Time,Atlanta,Score,Sacramento,Event,Quarter,TeamScore,OpponentScore,PointDifference,ElapsedTime
12:00.0,Jump ball: C. Capela vs. D. Sabonis (S. Bey gains possession),0-0,,,1,0,0,0,0.0
11:41.0,Turnover by C. Capela (bad pass; steal by K. Murray),0-0, ,,1,0,0,0,19.0
11:38.0, ,0-0,K. Murray misses 2-pt layup from 3 ft (block by C. Capela),,1,0,0,0,22.0
11:36.0,Defensive rebound by D. Murray,0-0, ,,1,0,0,0,24.0
11:29.0,D. Murray misses 2-pt layup from 1 ft,0-0, ,,1,0,0,0,31.0
11:29.0,Offensive rebound by C. Capela,0-0, ,,1,0,0,0,31.0
11:25.0,C. Capela makes 2-pt layup from 2 ft,2-0, ,,1,2,0,2,35.0
11:15.0, ,2-2,K. Murray makes 2-pt jump shot from 11 ft (assist by D. Sabonis),Tie,1,2,2,0,45.0
10:58.0,J. Johnson misses 2-pt jump shot from 7 ft,2-2, ,,1,2,2,0,62.0
10:57.0,Offensive rebound by C. Capela,2-2, ,,1,2,2,0,63.0
10:57.0,C. Capela misses 2-pt layup at rim,2-2, ,,1,2,2,0,63.0
10:56.0, ,2-2,Defensive rebound by D. Sabonis,,1,2,2,0,64.0
10:42.0, ,2-5,H. Barnes makes 3-pt jump shot from 26 ft (assist by K. Murray),Lead change,1,2,5,-3,78.0
10:29.0,S. Bey misses 3-pt jump shot from 25 ft,2-5, ,,1,2,5,-3,91.0
10:26.0, ,2-5,Defensive rebound by K. Murray,,1,2,5,-3,94.0
10:19.0, ,2-5,D. Sabonis misses 3-pt jump shot from 25 ft,,1,2,5,-3,101.0
10:14.0,Defensive rebound by J. Johnson,2-5, ,,1,2,5,-3,106.0
9:56.0,Shooting foul by D. Sabonis (drawn by B. Bogdanović),2-5, ,,1,2,5,-3,124.0
9:56.0,B. Bogdanović makes free throw 1 of 2,3-5, ,,1,3,5,-2,124.0
9:56.0,B. Bogdanović makes free throw 2 of 2,4-5, ,,1,4,5,-1,124.0
9:42.0, ,4-5,K. Murray misses 3-pt jump shot from 25 ft,,1,4,5,-1,138.0
9:40.0,Defensive rebound by J. Johnson,4-5, ,,1,4,5,-1,140.0
9:33.0,S. Bey makes 3-pt jump shot from 26 ft (assist by B. Bogdanović),7-5, ,Lead change,1,7,5,2,147.0
9:22.0, ,7-7,H. Barnes makes 2-pt jump shot from 9 ft,Tie,1,7,7,0,158.0
9:10.0,C. Capela misses 2-pt layup from 4 ft,7-7, ,,1,7,7,0,170.0
9:09.0,Offensive rebound by C. Capela,7-7, ,,1,7,7,0,171.0
9:09.0,C. Capela misses 2-pt layup at rim,7-7, ,,1,7,7,0,171.0
