Time,Dallas,Score,Atlanta,Event,Quarter,TeamScore,OpponentScore,PointDifference,ElapsedTime
12:00.0,Jump ball: D. Lively vs. C. Capela (J. Johnson gains possession),0-0,,,1,0,0,0,0.0
11:40.0, ,0-2,J. Johnson makes 2-pt layup from 1 ft (assist by T. Young),,1,2,0,2,20.0
11:18.0,L. Dončić makes 2-pt layup from 1 ft,2-2, ,Tie,1,2,2,0,42.0
11:05.0, ,2-4,J. Johnson makes 2-pt jump shot from 14 ft (assist by S. Bey),,1,4,2,2,55.0
10:49.0,L. Dončić makes 2-pt jump shot from 7 ft (assist by D. Lively),4-4, ,Tie,1,4,4,0,71.0
10:29.0, ,4-4,T. Young misses 2-pt layup from 1 ft (block by D. Lively),,1,4,4,0,91.0
10:26.0,Defensive rebound by D. Lively,4-4, ,,1,4,4,0,94.0
10:24.0,J. Green makes 3-pt jump shot from 22 ft (assist by G. Williams),7-4, ,Lead change,1,4,7,-3,96.0
10:07.0, ,7-7,J. Johnson makes 3-pt jump shot from 25 ft (assist by D. Murray),Tie,1,7,7,0,113.0
9:45.0,J. Green misses 2-pt jump shot from 6 ft,7-7, ,,1,7,7,0,135.0
9:42.0, ,7-7,Defensive rebound by C. Capela,,1,7,7,0,138.0
9:33.0, ,7-7,D. Murray misses 3-pt jump shot from 26 ft,,1,7,7,0,147.0
9:30.0,Defensive rebound by L. Dončić,7-7, ,,1,7,7,0,150.0
9:22.0,L. Dončić makes 2-pt jump shot from 18 ft,9-7, ,,1,7,9,-2,158.0
9:07.0,Violation by Team (kicked ball),9-7, ,,1,7,9,-2,173.0
9:00.0, ,9-7,S. Bey misses 3-pt jump shot from 23 ft,,1,7,9,-2,180.0
8:57.0,Defensive rebound by D. Lively,9-7, ,,1,7,9,-2,183.0
8:49.0,Offensive foul by D. Lively (drawn by C. Capela),9-7, ,,1,7,9,-2,191.0
8:49.0,Turnover by D. Lively (offensive foul),9-7, ,,1,7,9,-2,191.0
8:33.0, ,9-7,Turnover by C. Capela (out of bounds lost ball),,1,7,9,-2,207.0
8:16.0,L. Dončić misses 3-pt jump shot from 25 ft,9-7, ,,1,7,9,-2,224.0
8:08.0,Offensive rebound by J. Green,9-7, ,,1,7,9,-2,232.0
8:05.0,L. Dončić misses 2-pt hook shot from 4 ft,9-7, ,,1,7,9,-2,235.0
8:01.0, ,9-7,Defensive rebound by S. Bey,,1,7,9,-2,239.0
7:56.0, ,9-7,T. Young misses 2-pt jump shot from 9 ft,,1,7,9,-2,244.0
7:52.0,Defensive rebound by D. Lively,9-7, ,,1,7,9,-2,248.0
7:49.0,J. Green makes 2-pt dunk from 1 ft (assist by L. Dončić),11-7, ,,1,7,11,-4,251.0
7:49.0, ,11-7,Atlanta full timeout,,1,7,11,-4,251.0
7:49.0,T. Hardaway enters the game for D. Jones,11-7, ,,1,7,11,-4,251.0
7:36.0, ,11-7,D. Murray misses 2-pt jump shot from 8 ft,,1,7,11,-4,264.0
7:31.0,Defensive rebound by T. Hardaway,11-7, ,,1,7,11,-4,269.0
7:29.0,D. Lively misses 2-pt dunk from 1 ft,11-7, ,,1,7,11,-4,271.0
7:24.0, ,11-7,Defensive rebound by C. Capela,,1,7,11,-4,276.0
7:22.0, ,11-7,S. Bey misses 2-pt layup from 2 ft,,1,7,11,-4,278.0
7:20.0,Defensive rebound by T. Hardaway,11-7, ,,1,7,11,-4,280.0
7:18.0,L. Dončić makes 2-pt layup from 1 ft (assist by T. Hardaway),13-7, ,,1,7,13,-6,282.0
7:08.0, ,13-9,T. Young makes 2-pt jump shot from 11 ft,,1,9,13,-4,292.0
7:08.0, ,13-9,Shooting foul by J. Green (drawn by T. Young),,1,9,13,-4,292.0
7:08.0,D. Exum enters the game for G. Williams,13-9, ,,1,9,13,-4,292.0
7:08.0, ,13-9,B. Bogdanović enters the game for J. Johnson,,1,9,13,-4,292.0
7:08.0, ,13-10,T. Young makes free throw 1 of 1,,1,10,13,-3,292.0
6:55.0,L. Dončić makes 3-pt jump shot from 26 ft,16-10, ,,1,10,16,-6,305.0
6:40.0, ,16-10,B. Bogdanović misses 2-pt layup from 1 ft,,1,10,16,-6,320.0
6:36.0, ,16-10,Offensive rebound by B. Bogdanović,,1,10,16,-6,324.0
6:36.0, ,16-12,C. Capela makes 2-pt layup from 1 ft (assist by S. Bey),,1,12,16,-4,324.0
6:36.0, ,16-12,Shooting foul by D. Lively (drawn by C. Capela),,1,12,16,-4,324.0
6:36.0,G. Williams enters the game for D. Lively,16-12, ,,1,12,16,-4,324.0
6:36.0, ,16-12,P. Mills enters the game for T. Young,,1,12,16,-4,324.0
6:36.0, ,16-12,C. Capela misses free throw 1 of 1,,1,12,16,-4,324.0
6:32.0,Defensive rebound by G. Williams,16-12, ,,1,12,16,-4,328.0
6:20.0,G. Williams makes 2-pt layup from 1 ft (assist by D. Exum),18-12, ,,1,12,18,-6,340.0
6:01.0, ,18-14,B. Bogdanović makes 2-pt layup from 1 ft,,1,14,18,-4,359.0
