Time,Phoenix,Score,Atlanta,Event,Quarter,TeamScore,OpponentScore,PointDifference,ElapsedTime
12:00.0,Jump ball: J. Nurkić vs. C. Capela (T. Young gains possession),0-0,,,1,0,0,0,0.0
11:43.0, ,0-0,S. Bey misses 3-pt jump shot from 25 ft,,1,0,0,0,17.0
11:41.0,Defensive rebound by J. Nurkić,0-0, ,,1,0,0,0,19.0
11:28.0,J. Nurkić makes 2-pt layup from 1 ft (assist by B. Beal),2-0, ,,1,0,2,-2,32.0
11:10.0, ,2-2,D. Murray makes 2-pt jump shot from 8 ft,Tie,1,2,2,0,50.0
10:56.0,J. Nurkić makes 2-pt layup from 1 ft (assist by K. Durant),4-2, ,,1,2,4,-2,64.0
10:41.0, ,4-2,J. Johnson misses 3-pt jump shot from 26 ft,,1,2,4,-2,79.0
10:37.0, ,4-2,Offensive rebound by C. Capela,,1,2,4,-2,83.0
10:37.0, ,4-4,C. Capela makes 2-pt layup at rim,Tie,1,4,4,0,83.0
10:27.0,J. Nurkić makes 2-pt layup from 2 ft,6-4, ,,1,4,6,-2,93.0
10:27.0,Shooting foul by C. Capela (drawn by J. Nurkić),6-4, ,,1,4,6,-2,93.0
10:27.0,J. Nurkić misses free throw 1 of 1,6-4, ,,1,4,6,-2,93.0
10:24.0, ,6-4,Defensive rebound by C. Capela,,1,4,6,-2,96.0
10:16.0, ,6-7,T. Young makes 3-pt jump shot from 26 ft,Lead change,1,7,6,1,104.0
9:58.0,D. Booker makes 3-pt jump shot from 26 ft,9-7, ,Lead change,1,7,9,-2,122.0
9:47.0, ,9-7,Shooting foul by K. Durant (drawn by J. Johnson),,1,7,9,-2,133.0
9:47.0, ,9-7,J. Johnson misses free throw 1 of 2,,1,7,9,-2,133.0
9:47.0, ,9-7,Offensive rebound by Team,,1,7,9,-2,133.0
9:47.0, ,9-8,J. Johnson makes free throw 2 of 2,,1,8,9,-1,133.0
9:29.0,D. Booker misses 2-pt jump shot from 12 ft,9-8, ,,1,8,9,-1,151.0
9:27.0, ,9-8,Defensive rebound by Team,,1,8,9,-1,153.0
9:15.0, ,9-10,C. Capela makes 2-pt layup from 2 ft (assist by D. Murray),Lead change,1,10,9,1,165.0
9:11.0,Turnover by K. Durant (out of bounds lost ball),9-10, ,,1,10,9,1,169.0
8:58.0, ,9-10,D. Murray misses 3-pt jump shot from 23 ft,,1,10,9,1,182.0
8:51.0,Defensive rebound by G. Allen,9-10, ,,1,10,9,1,189.0
