Time,LA Clippers,Score,Atlanta,Event,Quarter,TeamScore,OpponentScore,PointDifference,ElapsedTime
12:00.0,Jump ball: M. Plumlee vs. O. Okongwu (J. Johnson gains possession),0-0,,,1,0,0,0,0.0
11:45.0, ,0-2,O. Okongwu makes 2-pt dunk at rim (assist by J. Johnson),,1,2,0,2,15.0
11:19.0,K. Leonard misses 3-pt jump shot from 23 ft,0-2, ,,1,2,0,2,41.0
11:16.0, ,0-2,Defensive rebound by S. Bey,,1,2,0,2,44.0
11:08.0, ,0-5,J. Johnson makes 3-pt jump shot from 23 ft (assist by T. Young),,1,5,0,5,52.0
10:44.0,P. George makes 2-pt jump shot from 17 ft (assist by T. Mann),2-5, ,,1,5,2,3,76.0
10:34.0, ,2-5,Turnover by J. Johnson (out of bounds lost ball),,1,5,2,3,86.0
10:23.0,J. Harden makes 3-pt jump shot from 26 ft,5-5, ,Tie,1,5,5,0,97.0
10:09.0, ,5-5,D. Murray misses 2-pt layup from 1 ft,,1,5,5,0,111.0
10:06.0,Defensive rebound by P. George,5-5, ,,1,5,5,0,114.0
10:04.0,Turnover by P. George (bad pass),5-5, ,,1,5,5,0,116.0
9:52.0, ,5-7,S. Bey makes 2-pt dunk at rim (assist by T. Young),,1,7,5,2,128.0
9:35.0,J. Harden misses 3-pt jump shot from 25 ft,5-7, ,,1,7,5,2,145.0
9:30.0,Offensive rebound by T. Mann,5-7, ,,1,7,5,2,150.0
9:30.0,T. Mann makes 2-pt layup at rim,7-7, ,Tie,1,7,7,0,150.0
9:19.0, ,7-7,Turnover by O. Okongwu (lost ball; steal by M. Plumlee),,1,7,7,0,161.0
9:03.0,K. Leonard misses 2-pt dunk from 2 ft,7-7, ,,1,7,7,0,177.0
9:00.0, ,7-7,Defensive rebound by T. Young,,1,7,7,0,180.0
8:58.0, ,7-7,Turnover by T. Young (out of bounds lost ball),,1,7,7,0,182.0
8:45.0,Shooting foul by O. Okongwu (drawn by M. Plumlee),7-7, ,,1,7,7,0,195.0
8:45.0,M. Plumlee misses free throw 1 of 2,7-7, ,,1,7,7,0,195.0
8:45.0,Offensive rebound by Team,7-7, ,,1,7,7,0,195.0
8:45.0,M. Plumlee makes free throw 2 of 2,8-7, ,Lead change,1,7,8,-1,195.0
8:33.0, ,8-7,D. Murray misses 2-pt jump shot from 12 ft,,1,7,8,-1,207.0
8:30.0,Defensive rebound by M. Plumlee,8-7, ,,1,7,8,-1,210.0
8:17.0,M. Plumlee makes 2-pt dunk from 1 ft (assist by J. Harden),10-7, ,,1,7,10,-3,223.0
7:57.0, ,10-7,T. Young misses 3-pt jump shot from 28 ft,,1,7,10,-3,243.0
7:56.0, ,10-7,Offensive rebound by S. Bey,,1,7,10,-3,244.0
7:53.0, ,10-7,O. Okongwu misses 2-pt jump shot from 10 ft,,1,7,10,-3,247.0
7:53.0,Defensive rebound by P. George,10-7, ,,1,7,10,-3,247.0
7:37.0,P. George makes 3-pt jump shot from 26 ft,13-7, ,,1,7,13,-6,263.0
7:20.0, ,13-7,S. Bey misses 3-pt jump shot from 24 ft,,1,7,13,-6,280.0
7:18.0,Defensive rebound by M. Plumlee,13-7, ,,1,7,13,-6,282.0
7:11.0,K. Leonard makes 3-pt jump shot from 23 ft (assist by J. Harden),16-7, ,,1,7,16,-9,289.0
