Time,Houston,Score,Atlanta,Event,Quarter,TeamScore,OpponentScore,PointDifference,ElapsedTime
12:00.0,Jump ball: J. Green vs. O. Okongwu (A. Thompson gains possession),0-0,,,1,0,0,0,0.0
11:37.0,J. Green misses 3-pt jump shot from 23 ft,0-0, ,,1,0,0,0,23.0
11:31.0,Offensive rebound by D. Brooks,0-0, ,,1,0,0,0,29.0
11:31.0,D. Brooks misses 2-pt layup at rim,0-0, ,,1,0,0,0,29.0
11:30.0, ,0-0,Defensive rebound by O. Okongwu,,1,0,0,0,30.0
11:18.0, ,0-2,O. Okongwu makes 2-pt dunk from 1 ft (assist by T. Young),,1,2,0,2,42.0
11:04.0,Turnover by J. Smith (traveling),0-2, ,,1,2,0,2,56.0
10:51.0, ,0-2,Offensive foul by J. Johnson (drawn by A. Thompson),,1,2,0,2,69.0
10:51.0, ,0-2,Turnover by J. Johnson (offensive foul),,1,2,0,2,69.0
10:42.0,J. Green makes 3-pt jump shot from 25 ft (assist by J. Green),3-2, ,Lead change,1,2,3,-1,78.0
10:26.0, ,3-5,D. Murray makes 3-pt jump shot from 24 ft (assist by J. Johnson),Lead change,1,5,3,2,94.0
10:26.0, ,3-5,Shooting foul by D. Brooks (drawn by D. Murray),,1,5,3,2,94.0
10:26.0, ,3-6,D. Murray makes free throw 1 of 1,,1,6,3,3,94.0
10:15.0,J. Green misses 3-pt jump shot from 23 ft,3-6, ,,1,6,3,3,105.0
10:12.0, ,3-6,Defensive rebound by T. Young,,1,6,3,3,108.0
10:08.0, ,3-6,S. Bey misses 3-pt jump shot from 25 ft,,1,6,3,3,112.0
10:05.0,Defensive rebound by J. Smith,3-6, ,,1,6,3,3,115.0
9:51.0,J. Green misses 3-pt jump shot from 26 ft,3-6, ,,1,6,3,3,129.0
9:48.0, ,3-6,Defensive rebound by T. Young,,1,6,3,3,132.0
9:34.0, ,3-6,T. Young misses 3-pt jump shot from 29 ft,,1,6,3,3,146.0
9:30.0,Defensive rebound by J. Green,3-6, ,,1,6,3,3,150.0
9:24.0,Turnover by J. Green (bad pass; steal by D. Murray),3-6, ,,1,6,3,3,156.0
9:20.0, ,3-8,J. Johnson makes 2-pt dunk at rim (assist by D. Murray),,1,8,3,5,160.0
9:01.0,D. Brooks makes 2-pt layup from 2 ft,5-8, ,,1,8,5,3,179.0
8:51.0, ,5-8,Turnover by D. Murray (out of bounds lost ball),,1,8,5,3,189.0
8:35.0,A. Thompson makes 2-pt dunk from 1 ft (assist by J. Smith),7-8, ,,1,8,7,1,205.0
8:21.0, ,7-10,J. Johnson makes 2-pt dunk from 1 ft (assist by T. Young),,1,10,7,3,219.0
8:19.0,Houston full timeout,7-10, ,,1,10,7,3,221.0
