Time,Chicago,Score,Atlanta,Event,Quarter,TeamScore,OpponentScore,PointDifference,ElapsedTime
12:00.0,Jump ball: N. Vučević vs. O. Okongwu (C. White gains possession),0-0,,,1,0,0,0,0.0
11:47.0,A. Dosunmu makes 2-pt layup from 1 ft (assist by D. DeRozan),2-0, ,,1,0,2,-2,13.0
11:29.0, ,2-0,D. Murray misses 3-pt jump shot from 25 ft,,1,0,2,-2,31.0
11:27.0,Defensive rebound by D. DeRozan,2-0, ,,1,0,2,-2,33.0
11:16.0,A. Dosunmu misses 2-pt jump shot from 12 ft,2-0, ,,1,0,2,-2,44.0
11:13.0, ,2-0,Defensive rebound by J. Johnson,,1,0,2,-2,47.0
10:59.0, ,2-0,T. Young misses 2-pt jump shot from 10 ft,,1,0,2,-2,61.0
10:56.0,Defensive rebound by T. Craig,2-0, ,,1,0,2,-2,64.0
10:43.0,T. Craig misses 3-pt jump shot from 23 ft,2-0, ,,1,0,2,-2,77.0
10:39.0, ,2-0,Defensive rebound by T. Young,,1,0,2,-2,81.0
10:28.0, ,2-2,S. Bey makes 2-pt jump shot from 8 ft (assist by D. Murray),Tie,1,2,2,0,92.0
10:03.0,T. Craig makes 2-pt layup from 2 ft (assist by N. Vučević),4-2, ,,1,2,4,-2,117.0
9:53.0, ,4-2,J. Johnson misses 2-pt layup from 2 ft,,1,2,4,-2,127.0
9:50.0,Defensive rebound by A. Dosunmu,4-2, ,,1,2,4,-2,130.0
9:41.0,N. Vučević misses 2-pt hook shot from 10 ft,4-2, ,,1,2,4,-2,139.0
9:37.0, ,4-2,Defensive rebound by J. Johnson,,1,2,4,-2,143.0
9:23.0, ,4-2,Personal foul by D. DeRozan (drawn by T. Young),,1,2,4,-2,157.0
9:17.0, ,4-2,D. Murray misses 2-pt jump shot from 3 ft,,1,2,4,-2,163.0
9:15.0,Defensive rebound by N. Vučević,4-2, ,,1,2,4,-2,165.0
9:01.0,A. Dosunmu makes 2-pt layup from 1 ft (assist by T. Craig),6-2, ,,1,2,6,-4,179.0
8:50.0, ,6-4,O. Okongwu makes 2-pt layup from 1 ft (assist by T. Young),,1,4,6,-2,190.0
8:32.0,C. White misses 2-pt jump shot from 16 ft,6-4, ,,1,4,6,-2,208.0
8:29.0, ,6-4,Defensive rebound by O. Okongwu,,1,4,6,-2,211.0
8:25.0, ,6-6,J. Johnson makes 2-pt dunk from 1 ft (assist by T. Young),Tie,1,6,6,0,215.0
8:10.0,N. Vučević makes 2-pt hook shot from 10 ft (assist by T. Craig),8-6, ,,1,6,8,-2,230.0
7:59.0,Violation by Team (kicked ball),8-6, ,,1,6,8,-2,241.0
7:52.0, ,8-8,S. Bey makes 2-pt layup at rim (assist by O. Okongwu),Tie,1,8,8,0,248.0
7:32.0,T. Craig makes 3-pt jump shot from 23 ft (assist by C. White),11-8, ,,1,8,11,-3,268.0
7:16.0, ,11-8,S. Bey misses 3-pt jump shot from 26 ft,,1,8,11,-3,284.0
7:13.0, ,11-8,Offensive rebound by O. Okongwu,,1,8,11,-3,287.0
7:06.0, ,11-8,O. Okongwu misses 2-pt dunk from 4 ft,,1,8,11,-3,294.0
7:06.0, ,11-8,Offensive rebound by O. Okongwu,,1,8,11,-3,294.0
7:05.0, ,11-10,O. Okongwu makes 2-pt layup from 2 ft,,1,10,11,-1,295.0
6:40.0,N. Vučević misses 2-pt jump shot from 9 ft,11-10, ,,1,10,11,-1,320.0
6:38.0, ,11-10,Defensive rebound by S. Bey,,1,10,11,-1,322.0
6:30.0, ,11-13,D. Murray makes 3-pt jump shot from 23 ft (assist by T. Young),Lead change,1,13,11,2,330.0
6:14.0,C. White misses 3-pt jump shot from 23 ft,11-13, ,,1,13,11,2,346.0
6:11.0, ,11-13,Defensive rebound by O. Okongwu,,1,13,11,2,349.0
6:01.0, ,11-15,S. Bey makes 2-pt layup from 4 ft (assist by D. Murray),,1,15,11,4,359.0
5:49.0,N. Vučević misses 2-pt hook shot from 8 ft,11-15, ,,1,15,11,4,371.0
5:43.0, ,11-15,Defensive rebound by O. Okongwu,,1,15,11,4,377.0
5:40.0, ,11-18,T. Young makes 3-pt jump shot from 26 ft (assist by S. Bey),,1,18,11,7,380.0
5:39.0,Chicago full timeout,11-18, ,,1,18,11,7,381.0
5:39.0,A. Drummond enters the game for D. DeRozan,11-18, ,,1,18,11,7,381.0
5:39.0,J. Phillips enters the game for A. Dosunmu,11-18, ,,1,18,11,7,381.0
5:39.0, ,11-18,B. Bogdanović enters the game for J. Johnson,,1,18,11,7,381.0
5:39.0, ,11-18,D. Hunter enters the game for T. Young,,1,18,11,7,381.0
5:19.0,A. Drummond makes 2-pt hook shot from 7 ft (assist by T. Craig),13-18, ,,1,18,13,5,401.0
5:18.0,Violation by Team (delay of game),13-18, ,,1,18,13,5,402.0
5:07.0, ,13-18,S. Bey misses 3-pt jump shot from 25 ft,,1,18,13,5,413.0
5:04.0, ,13-18,Offensive rebound by S. Bey,,1,18,13,5,416.0
5:01.0, ,13-18,S. Bey misses 2-pt layup from 4 ft,,1,18,13,5,419.0
4:59.0,Defensive rebound by A. Drummond,13-18, ,,1,18,13,5,421.0
4:50.0,C. White misses 2-pt jump shot from 8 ft,13-18, ,,1,18,13,5,430.0
4:47.0, ,13-18,Defensive rebound by S. Bey,,1,18,13,5,433.0
4:44.0, ,13-20,D. Murray makes 2-pt layup from 2 ft,,1,20,13,7,436.0
4:44.0, ,13-20,Shooting foul by T. Craig (drawn by D. Murray),,1,20,13,7,436.0
4:44.0,A. Dosunmu enters the game for C. White,13-20, ,,1,20,13,7,436.0
4:44.0, ,13-20,D. Murray misses free throw 1 of 1,,1,20,13,7,436.0
4:41.0, ,13-20,Offensive rebound by O. Okongwu,,1,20,13,7,439.0
4:34.0, ,13-23,D. Hunter makes 3-pt jump shot from 26 ft (assist by B. Bogdanović),,1,23,13,10,446.0
4:21.0,Turnover by A. Dosunmu (bad pass),13-23, ,,1,23,13,10,459.0
4:21.0,J. Carter enters the game for T. Craig,13-23, ,,1,23,13,10,459.0
4:08.0, ,13-23,D. Murray misses 3-pt jump shot from 26 ft,,1,23,13,10,472.0
4:05.0,Defensive rebound by N. Vučević,13-23, ,,1,23,13,10,475.0
3:54.0,A. Drummond misses 2-pt jump shot from 8 ft (block by O. Okongwu),13-23, ,,1,23,13,10,486.0
3:52.0, ,13-23,Defensive rebound by D. Murray,,1,23,13,10,488.0
3:48.0, ,13-23,S. Bey misses 3-pt jump shot from 26 ft,,1,23,13,10,492.0
3:45.0,Defensive rebound by A. Drummond,13-23, ,,1,23,13,10,495.0
3:37.0,N. Vučević makes 3-pt jump shot from 26 ft (assist by A. Dosunmu),16-23, ,,1,23,16,7,503.0
3:23.0, ,16-23,Shooting foul by J. Phillips (drawn by D. Hunter),,1,23,16,7,517.0
3:23.0, ,16-24,D. Hunter makes free throw 1 of 3,,1,24,16,8,517.0
3:23.0,D. DeRozan enters the game for N. Vučević,16-24, ,,1,24,16,8,517.0
3:23.0, ,16-24,J. Johnson enters the game for S. Bey,,1,24,16,8,517.0
3:23.0, ,16-24,T. Young enters the game for D. Murray,,1,24,16,8,517.0
3:23.0, ,16-25,D. Hunter makes free throw 2 of 3,,1,25,16,9,517.0
3:23.0, ,16-26,D. Hunter makes free throw 3 of 3,,1,26,16,10,517.0
3:16.0,A. Dosunmu misses 2-pt layup from 2 ft,16-26, ,,1,26,16,10,524.0
3:16.0, ,16-26,Defensive rebound by Team,,1,26,16,10,524.0
3:15.0,Loose ball foul by A. Drummond (drawn by D. Hunter),16-26, ,,1,26,16,10,525.0
3:15.0, ,16-26,Atlanta full timeout,,1,26,16,10,525.0
3:15.0, ,16-26,B. Fernando enters the game for O. Okongwu,,1,26,16,10,525.0
2:57.0, ,16-26,D. Hunter misses 2-pt layup from 2 ft,,1,26,16,10,543.0
2:54.0,Defensive rebound by A. Drummond,16-26, ,,1,26,16,10,546.0
2:48.0,Shooting foul by B. Fernando (drawn by D. DeRozan),16-26, ,,1,26,16,10,552.0
2:48.0,D. DeRozan makes free throw 1 of 2,17-26, ,,1,26,17,9,552.0
2:48.0,D. Terry enters the game for J. Phillips,17-26, ,,1,26,17,9,552.0
2:48.0,D. DeRozan makes free throw 2 of 2,18-26, ,,1,26,18,8,552.0
2:35.0, ,18-28,B. Bogdanović makes 2-pt jump shot from 22 ft (assist by T. Young),,1,28,18,10,565.0
2:25.0,Turnover by D. DeRozan (bad pass),18-28, ,,1,28,18,10,575.0
2:20.0, ,18-31,B. Bogdanović makes 3-pt jump shot from 26 ft (assist by T. Young),,1,31,18,13,580.0
2:19.0,Chicago full timeout,18-31, ,,1,31,18,13,581.0
1:58.0,A. Drummond misses 2-pt hook shot from 9 ft,18-31, ,,1,31,18,13,602.0
1:55.0, ,18-31,Defensive rebound by J. Johnson,,1,31,18,13,605.0
1:45.0, ,18-31,B. Fernando misses 2-pt layup from 3 ft,,1,31,18,13,615.0
1:43.0,Defensive rebound by A. Drummond,18-31, ,,1,31,18,13,617.0
1:35.0,D. DeRozan makes 2-pt layup from 3 ft,20-31, ,,1,31,20,11,625.0
1:20.0, ,20-31,B. Fernando misses 2-pt dunk from 1 ft,,1,31,20,11,640.0
1:16.0,Defensive rebound by D. DeRozan,20-31, ,,1,31,20,11,644.0
1:13.0,D. Terry makes 2-pt dunk at rim (assist by A. Dosunmu),22-31, ,,1,31,22,9,647.0
0:50.0, ,22-31,T. Young misses 3-pt jump shot from 34 ft,,1,31,22,9,670.0
0:49.0,Defensive rebound by A. Drummond,22-31, ,,1,31,22,9,671.0
0:44.0,J. Carter makes 3-pt jump shot from 22 ft (assist by A. Dosunmu),25-31, ,,1,31,25,6,676.0
0:30.0, ,25-31,D. Hunter misses 3-pt jump shot from 23 ft,,1,31,25,6,690.0
0:27.0, ,25-31,Offensive rebound by B. Fernando,,1,31,25,6,693.0
0:27.0, ,25-33,B. Fernando makes 2-pt layup at rim,,1,33,25,8,693.0
0:08.0,Shooting foul by B. Fernando (drawn by D. DeRozan),25-33, ,,1,33,25,8,712.0
0:08.0,D. DeRozan misses free throw 1 of 2,25-33, ,,1,33,25,8,712.0
0:08.0,Offensive rebound by Team,25-33, ,,1,33,25,8,712.0
0:08.0,D. DeRozan makes free throw 2 of 2,26-33, ,,1,33,26,7,712.0
0:04.0, ,26-33,T. Young misses 3-pt jump shot from 27 ft,,1,33,26,7,716.0
0:00.0,Defensive rebound by A. Drummond,26-33, ,,1,33,26,7,720.0
0:00.0,A. Drummond misses 3-pt jump shot from 57 ft,26-33, ,,1,33,26,7,720.0
0:00.0,Offensive rebound by Team,26-33, ,,1,33,26,7,720.0
0:00.0,End of 1st quarter,26-33,,,1,33,26,7,720.0
12:00.0,Start of 2nd quarter,26-33,,,2,33,26,7,720.0
11:36.0, ,26-33,T. Young misses 3-pt jump shot from 30 ft,,2,33,26,7,744.0
11:33.0, ,26-33,Offensive rebound by J. Johnson,,2,33,26,7,747.0
11:33.0, ,26-33,Personal foul by A. Drummond (drawn by J. Johnson),,2,33,26,7,747.0
11:23.0, ,26-33,B. Bogdanović misses 3-pt jump shot from 26 ft,,2,33,26,7,757.0
11:21.0,Defensive rebound by D. Terry,26-33, ,,2,33,26,7,759.0
11:09.0,D. DeRozan makes 2-pt jump shot from 13 ft,28-33, ,,2,33,28,5,771.0
10:55.0, ,28-33,Personal foul by D. Terry (drawn by J. Johnson),,2,33,28,5,785.0
10:44.0, ,28-35,J. Johnson makes 2-pt layup from 1 ft (assist by B. Bogdanović),,2,35,28,7,796.0
10:19.0,A. Dosunmu misses 2-pt layup from 2 ft,28-35, ,,2,35,28,7,821.0
10:18.0,Offensive rebound by A. Drummond,28-35, ,,2,35,28,7,822.0
10:18.0,A. Drummond misses 2-pt layup from 2 ft,28-35, ,,2,35,28,7,822.0
10:17.0, ,28-35,Defensive rebound by B. Fernando,,2,35,28,7,823.0
10:10.0, ,28-35,J. Johnson misses 3-pt jump shot from 23 ft,,2,35,28,7,830.0
10:09.0,Defensive rebound by Team,28-35, ,,2,35,28,7,831.0
10:09.0,T. Craig enters the game for D. Terry,28-35, ,,2,35,28,7,831.0
9:56.0,A. Dosunmu makes 3-pt jump shot from 25 ft (assist by D. DeRozan),31-35, ,,2,35,31,4,844.0
9:37.0, ,31-35,T. Young misses 2-pt jump shot from 8 ft,,2,35,31,4,863.0
9:33.0, ,31-35,Offensive rebound by B. Fernando,,2,35,31,4,867.0
9:33.0, ,31-35,B. Fernando misses 2-pt layup from 7 ft,,2,35,31,4,867.0
9:32.0,Defensive rebound by A. Drummond,31-35, ,,2,35,31,4,868.0
9:20.0,A. Drummond makes 2-pt dunk from 1 ft (assist by J. Carter),33-35, ,,2,35,33,2,880.0
9:20.0,N. Vučević enters the game for J. Carter,33-35, ,,2,35,33,2,880.0
9:20.0,C. White enters the game for A. Drummond,33-35, ,,2,35,33,2,880.0
9:20.0, ,33-35,D. Hunter enters the game for B. Fernando,,2,35,33,2,880.0
9:20.0, ,33-35,D. Murray enters the game for J. Johnson,,2,35,33,2,880.0
9:20.0, ,33-35,O. Okongwu enters the game for T. Young,,2,35,33,2,880.0
8:55.0, ,33-38,B. Bogdanović makes 3-pt jump shot from 25 ft (assist by D. Murray),,2,38,33,5,905.0
8:32.0,C. White misses 3-pt jump shot from 26 ft,33-38, ,,2,38,33,5,928.0
8:29.0, ,33-38,Defensive rebound by G. Mathews,,2,38,33,5,931.0
8:18.0, ,33-40,O. Okongwu makes 2-pt layup from 2 ft (assist by B. Bogdanović),,2,40,33,7,942.0
8:03.0,D. DeRozan makes 2-pt jump shot from 14 ft (assist by T. Craig),35-40, ,,2,40,35,5,957.0
7:52.0, ,35-40,Personal foul by A. Dosunmu (drawn by B. Bogdanović),,2,40,35,5,968.0
7:52.0,J. Carter enters the game for D. DeRozan,35-40, ,,2,40,35,5,968.0
7:52.0,D. Terry enters the game for A. Dosunmu,35-40, ,,2,40,35,5,968.0
7:52.0, ,35-40,S. Bey enters the game for G. Mathews,,2,40,35,5,968.0
7:43.0, ,35-43,D. Hunter makes 3-pt jump shot from 23 ft (assist by D. Murray),,2,43,35,8,977.0
7:29.0,J. Carter misses 3-pt jump shot from 25 ft,35-43, ,,2,43,35,8,991.0
7:26.0, ,35-43,Defensive rebound by D. Murray,,2,43,35,8,994.0
7:18.0, ,35-46,D. Hunter makes 3-pt jump shot from 23 ft (assist by S. Bey),,2,46,35,11,1002.0
7:18.0, ,35-46,Shooting foul by J. Carter (drawn by D. Hunter),,2,46,35,11,1002.0
7:18.0, ,35-47,D. Hunter makes free throw 1 of 1,,2,47,35,12,1002.0
7:07.0,C. White makes 2-pt jump shot from 6 ft,37-47, ,,2,47,37,10,1013.0
6:44.0, ,37-47,D. Hunter misses 2-pt jump shot from 6 ft (block by T. Craig),,2,47,37,10,1036.0
6:41.0,Defensive rebound by J. Carter,37-47, ,,2,47,37,10,1039.0
6:37.0,Personal foul by D. Hunter (drawn by C. White),37-47, ,,2,47,37,10,1043.0
6:37.0, ,37-47,Atlanta full timeout,,2,47,37,10,1043.0
6:27.0,Shooting foul by S. Bey (drawn by N. Vučević),37-47, ,,2,47,37,10,1053.0
6:27.0,N. Vučević makes free throw 1 of 2,38-47, ,,2,47,38,9,1053.0
6:27.0,N. Vučević makes free throw 2 of 2,39-47, ,,2,47,39,8,1053.0
6:10.0, ,39-47,Turnover by D. Murray (bad pass; steal by T. Craig),,2,47,39,8,1070.0
6:07.0,C. White misses 3-pt jump shot from 25 ft,39-47, ,,2,47,39,8,1073.0
6:02.0, ,39-47,Defensive rebound by S. Bey,,2,47,39,8,1078.0
5:52.0, ,39-47,Turnover by D. Murray (bad pass; steal by C. White),,2,47,39,8,1088.0
5:50.0,Turnover by T. Craig (lost ball; steal by D. Murray),39-47, ,,2,47,39,8,1090.0
