Time,Orlando,Score,Atlanta,Event,Quarter,TeamScore,OpponentScore,PointDifference,ElapsedTime
12:00.0,Jump ball: W. Carter vs. C. Capela (J. Suggs gains possession),0-0,,,1,0,0,0,0.0
11:37.0,G. Bitadze misses 3-pt jump shot from 24 ft,0-0, ,,1,0,0,0,23.0
11:33.0, ,0-0,Defensive rebound by D. Murray,,1,0,0,0,27.0
11:29.0, ,0-0,Personal foul by G. Bitadze (drawn by C. Capela),,1,0,0,0,31.0
11:22.0, ,0-0,Shooting foul by J. Suggs (drawn by B. Bogdanović),,1,0,0,0,38.0
11:22.0, ,0-1,B. Bogdanović makes free throw 1 of 2,,1,1,0,1,38.0
11:22.0, ,0-2,B. Bogdanović makes free throw 2 of 2,,1,2,0,2,38.0
11:03.0,W. Carter misses 2-pt dunk from 2 ft (block by J. Johnson),0-2, ,,1,2,0,2,57.0
11:00.0, ,0-2,Defensive rebound by C. Capela,,1,2,0,2,60.0
10:49.0, ,0-5,S. Bey makes 3-pt jump shot from 26 ft (assist by D. Murray),,1,5,0,5,71.0
10:39.0,W. Carter misses 3-pt jump shot from 25 ft,0-5, ,,1,5,0,5,81.0
10:35.0,Offensive rebound by F. Wagner,0-5, ,,1,5,0,5,85.0
10:28.0,J. Suggs makes 3-pt jump shot from 26 ft (assist by G. Bitadze),3-5, ,,1,5,3,2,92.0
10:10.0, ,3-5,B. Bogdanović misses 3-pt jump shot from 25 ft,,1,5,3,2,110.0
10:07.0,Defensive rebound by W. Carter,3-5, ,,1,5,3,2,113.0
9:48.0,W. Carter misses 3-pt jump shot from 23 ft,3-5, ,,1,5,3,2,132.0
9:45.0, ,3-5,Defensive rebound by J. Johnson,,1,5,3,2,135.0
9:36.0, ,3-7,D. Murray makes 2-pt jump shot from 20 ft,,1,7,3,4,144.0
9:07.0,J. Suggs misses 2-pt jump shot from 11 ft,3-7, ,,1,7,3,4,173.0
9:05.0, ,3-7,Defensive rebound by C. Capela,,1,7,3,4,175.0
8:55.0, ,3-7,C. Capela misses 2-pt layup from 2 ft,,1,7,3,4,185.0
8:52.0,Defensive rebound by A. Black,3-7, ,,1,7,3,4,188.0
8:47.0,A. Black misses 2-pt jump shot from 2 ft,3-7, ,,1,7,3,4,193.0
8:44.0, ,3-7,Defensive rebound by D. Murray,,1,7,3,4,196.0
8:37.0, ,3-7,Turnover by D. Murray (lost ball; steal by F. Wagner),,1,7,3,4,203.0
8:32.0,F. Wagner makes 2-pt layup from 1 ft,5-7, ,,1,7,5,2,208.0
8:13.0, ,5-7,J. Johnson misses 2-pt hook shot from 2 ft,,1,7,5,2,227.0
8:11.0, ,5-7,Offensive rebound by C. Capela,,1,7,5,2,229.0
8:09.0, ,5-7,Turnover by C. Capela (lost ball; steal by J. Suggs),,1,7,5,2,231.0
8:09.0,Personal foul by C. Capela (drawn by G. Bitadze),5-7, ,,1,7,5,2,231.0
7:49.0,A. Black misses 3-pt jump shot from 26 ft,5-7, ,,1,7,5,2,251.0
7:47.0,Offensive rebound by Team,5-7, ,,1,7,5,2,253.0
7:47.0, ,5-7,Loose ball foul by C. Capela (drawn by W. Carter),,1,7,5,2,253.0
7:42.0,F. Wagner makes 3-pt jump shot from 25 ft (assist by G. Bitadze),8-7, ,Lead change,1,7,8,-1,258.0
7:25.0, ,8-7,C. Capela misses 2-pt hook shot from 6 ft,,1,7,8,-1,275.0
7:22.0,Defensive rebound by F. Wagner,8-7, ,,1,7,8,-1,278.0
7:03.0,F. Wagner makes 2-pt layup from 1 ft,10-7, ,,1,7,10,-3,297.0
6:55.0, ,10-7,Atlanta full timeout,,1,7,10,-3,305.0
6:55.0, ,10-7,B. Fernando enters the game for B. Bogdanović,,1,7,10,-3,305.0
6:55.0, ,10-7,D. Hunter enters the game for C. Capela,,1,7,10,-3,305.0
6:55.0, ,10-7,G. Mathews enters the game for J. Johnson,,1,7,10,-3,305.0
