Time,Utah,Score,Atlanta,Event,Quarter,TeamScore,OpponentScore,PointDifference,ElapsedTime
12:00.0,Jump ball: J. Collins vs. C. Capela (L. Markkanen gains possession),0-0,,,1,0,0,0,0.0
11:41.0,T. Hendricks misses 3-pt jump shot from 26 ft,0-0, ,,1,0,0,0,19.0
11:38.0, ,0-0,Defensive rebound by D. Murray,,1,0,0,0,22.0
11:26.0, ,0-0,Turnover by D. Murray (bad pass; steal by T. Hendricks),,1,0,0,0,34.0
11:20.0,J. Collins misses 3-pt jump shot from 25 ft,0-0, ,,1,0,0,0,40.0
11:14.0, ,0-0,Defensive rebound by B. Bogdanović,,1,0,0,0,46.0
11:07.0, ,0-0,Turnover by C. Capela (out of bounds lost ball),,1,0,0,0,53.0
10:51.0,L. Markkanen misses 3-pt jump shot from 27 ft,0-0, ,,1,0,0,0,69.0
10:47.0, ,0-0,Defensive rebound by J. Johnson,,1,0,0,0,73.0
10:39.0, ,0-0,D. Murray misses 3-pt jump shot from 25 ft,,1,0,0,0,81.0
10:36.0,Defensive rebound by L. Markkanen,0-0, ,,1,0,0,0,84.0
10:30.0,C. Sexton misses 3-pt jump shot from 26 ft,0-0, ,,1,0,0,0,90.0
10:28.0, ,0-0,Defensive rebound by C. Capela,,1,0,0,0,92.0
10:24.0, ,0-0,Offensive foul by J. Johnson (drawn by J. Collins),,1,0,0,0,96.0
10:24.0, ,0-0,Turnover by J. Johnson (offensive foul),,1,0,0,0,96.0
10:16.0,Turnover by J. Collins (bad pass; steal by D. Murray),0-0, ,,1,0,0,0,104.0
10:09.0, ,0-2,C. Capela makes 2-pt dunk at rim,,1,2,0,2,111.0
9:50.0,Turnover by C. Sexton (traveling),0-2, ,,1,2,0,2,130.0
9:33.0, ,0-2,D. Murray misses 2-pt jump shot from 13 ft,,1,2,0,2,147.0
9:28.0, ,0-2,Offensive rebound by C. Capela,,1,2,0,2,152.0
9:28.0, ,0-2,C. Capela misses 2-pt layup at rim,,1,2,0,2,152.0
9:28.0,Defensive rebound by J. Collins,0-2, ,,1,2,0,2,152.0
9:15.0,J. Collins misses 3-pt jump shot from 23 ft,0-2, ,,1,2,0,2,165.0
9:11.0, ,0-2,Defensive rebound by S. Bey,,1,2,0,2,169.0
9:02.0, ,0-4,J. Johnson makes 2-pt jump shot from 5 ft (assist by D. Murray),,1,4,0,4,178.0
8:49.0,Turnover by J. Collins (out of bounds lost ball),0-4, ,,1,4,0,4,191.0
8:39.0, ,0-7,S. Bey makes 3-pt jump shot from 26 ft (assist by D. Murray),,1,7,0,7,201.0
8:25.0,Turnover by J. Collins (bad pass; steal by B. Bogdanović),0-7, ,,1,7,0,7,215.0
8:21.0, ,0-9,D. Murray makes 2-pt layup from 1 ft (assist by B. Bogdanović),,1,9,0,9,219.0
8:21.0,Utah full timeout,0-9, ,,1,9,0,9,219.0
8:07.0,Turnover by J. Collins (lost ball; steal by C. Capela),0-9, ,,1,9,0,9,233.0
8:04.0, ,0-9,Shooting foul by T. Hendricks (drawn by S. Bey),,1,9,0,9,236.0
8:04.0, ,0-10,S. Bey makes free throw 1 of 3,,1,10,0,10,236.0
8:04.0, ,0-11,S. Bey makes free throw 2 of 3,,1,11,0,11,236.0
8:04.0, ,0-12,S. Bey makes free throw 3 of 3,,1,12,0,12,236.0
7:53.0,K. George misses 2-pt jump shot from 10 ft,0-12, ,,1,12,0,12,247.0
7:50.0, ,0-12,Defensive rebound by C. Capela,,1,12,0,12,250.0
7:43.0, ,0-12,C. Capela misses 2-pt hook shot from 4 ft,,1,12,0,12,257.0
7:43.0,Defensive rebound by J. Collins,0-12, ,,1,12,0,12,257.0
7:37.0,Turnover by K. George (bad pass),0-12, ,,1,12,0,12,263.0
7:18.0, ,0-12,B. Bogdanović misses 2-pt jump shot from 20 ft,,1,12,0,12,282.0
7:15.0,Defensive rebound by J. Collins,0-12, ,,1,12,0,12,285.0
7:05.0,C. Sexton makes 2-pt jump shot from 6 ft,2-12, ,,1,12,2,10,295.0
6:51.0, ,2-12,D. Murray misses 2-pt layup from 2 ft,,1,12,2,10,309.0
6:47.0,Defensive rebound by J. Collins,2-12, ,,1,12,2,10,313.0
6:43.0,T. Hendricks makes 2-pt jump shot from 3 ft (assist by K. George),4-12, ,,1,12,4,8,317.0
6:28.0, ,4-15,J. Johnson makes 3-pt jump shot from 26 ft (assist by D. Murray),,1,15,4,11,332.0
6:12.0,C. Sexton misses 2-pt layup from 3 ft (block by D. Murray),4-15, ,,1,15,4,11,348.0
6:12.0,Offensive rebound by Team,4-15, ,,1,15,4,11,348.0
6:12.0,J. Clarkson enters the game for J. Collins,4-15, ,,1,15,4,11,348.0
6:12.0,K. Dunn enters the game for L. Markkanen,4-15, ,,1,15,4,11,348.0
6:12.0,W. Kessler enters the game for C. Sexton,4-15, ,,1,15,4,11,348.0
6:12.0, ,4-15,B. Fernando enters the game for B. Bogdanović,,1,15,4,11,348.0
6:12.0, ,4-15,D. Hunter enters the game for C. Capela,,1,15,4,11,348.0
6:12.0, ,4-15,G. Mathews enters the game for J. Johnson,,1,15,4,11,348.0
6:04.0,J. Clarkson misses 2-pt jump shot from 11 ft,4-15, ,,1,15,4,11,356.0
6:02.0, ,4-15,Defensive rebound by S. Bey,,1,15,4,11,358.0
5:58.0, ,4-15,Offensive foul by B. Fernando (drawn by W. Kessler),,1,15,4,11,362.0
5:58.0, ,4-15,Turnover by B. Fernando (offensive foul),,1,15,4,11,362.0
5:40.0,W. Kessler makes 2-pt dunk from 1 ft (assist by J. Clarkson),6-15, ,,1,15,6,9,380.0
5:25.0, ,6-17,D. Hunter makes 2-pt jump shot from 14 ft (assist by D. Murray),,1,17,6,11,395.0
5:18.0,Turnover by K. George (bad pass),6-17, ,,1,17,6,11,402.0
5:08.0, ,6-17,Shooting foul by J. Clarkson (drawn by D. Hunter),,1,17,6,11,412.0
5:08.0, ,6-17,D. Hunter misses free throw 1 of 2,,1,17,6,11,412.0
5:08.0, ,6-17,Offensive rebound by Team,,1,17,6,11,412.0
5:08.0, ,6-17,D. Hunter misses free throw 2 of 2,,1,17,6,11,412.0
5:05.0,Defensive rebound by T. Hendricks,6-17, ,,1,17,6,11,415.0
