Time,Atlanta,Score,Brooklyn,Event,Quarter,TeamScore,OpponentScore,PointDifference,ElapsedTime
12:00.0,Jump ball: C. Capela vs. N. Claxton (D. Schröder gains possession),0-0,,,1,0,0,0,0.0
11:44.0, ,0-3,D. Finney-Smith makes 3-pt jump shot from 25 ft (assist by D. Schröder),,1,0,3,-3,16.0
11:21.0,B. Bogdanović misses 2-pt jump shot from 19 ft,0-3, ,,1,0,3,-3,39.0
11:18.0, ,0-3,Defensive rebound by D. Finney-Smith,,1,0,3,-3,42.0
11:01.0, ,0-6,C. Johnson makes 3-pt jump shot from 27 ft (assist by M. Bridges),,1,0,6,-6,59.0
10:40.0,D. Murray makes 2-pt layup from 2 ft,2-6, ,,1,2,6,-4,80.0
10:23.0, ,2-6,N. Claxton misses 2-pt layup from 5 ft (block by C. Capela),,1,2,6,-4,97.0
10:20.0,Defensive rebound by B. Bogdanović,2-6, ,,1,2,6,-4,100.0
10:15.0,D. Murray misses 2-pt layup from 4 ft,2-6, ,,1,2,6,-4,105.0
10:13.0,Offensive rebound by C. Capela,2-6, ,,1,2,6,-4,107.0
10:13.0,Turnover by C. Capela (lost ball; steal by M. Bridges),2-6, ,,1,2,6,-4,107.0
10:03.0, ,2-9,C. Johnson makes 3-pt jump shot from 23 ft (assist by N. Claxton),,1,2,9,-7,117.0
9:44.0,C. Capela makes 2-pt dunk from 1 ft (assist by B. Bogdanović),4-9, ,,1,4,9,-5,136.0
9:27.0, ,4-12,C. Johnson makes 3-pt jump shot from 24 ft (assist by D. Schröder),,1,4,12,-8,153.0
9:13.0,J. Johnson misses 2-pt jump shot from 4 ft,4-12, ,,1,4,12,-8,167.0
9:13.0, ,4-12,Defensive rebound by Team,,1,4,12,-8,167.0
8:53.0, ,4-12,D. Schröder misses 3-pt jump shot from 27 ft,,1,4,12,-8,187.0
8:50.0,Defensive rebound by S. Bey,4-12, ,,1,4,12,-8,190.0
8:40.0,S. Bey misses 2-pt jump shot from 5 ft,4-12, ,,1,4,12,-8,200.0
8:37.0,Offensive rebound by C. Capela,4-12, ,,1,4,12,-8,203.0
8:36.0,Turnover by C. Capela (lost ball; steal by C. Johnson),4-12, ,,1,4,12,-8,204.0
8:35.0, ,4-12,Shooting foul by B. Bogdanović (drawn by C. Johnson),,1,4,12,-8,205.0
8:35.0, ,4-13,C. Johnson makes free throw 1 of 2,,1,4,13,-9,205.0
8:35.0, ,4-13,C. Johnson misses free throw 2 of 2,,1,4,13,-9,205.0
8:32.0, ,4-13,Offensive rebound by N. Claxton,,1,4,13,-9,208.0
8:30.0, ,4-13,C. Johnson misses 3-pt jump shot from 26 ft,,1,4,13,-9,210.0
8:27.0, ,4-13,Offensive rebound by M. Bridges,,1,4,13,-9,213.0
8:25.0, ,4-15,M. Bridges makes 2-pt jump shot from 16 ft,,1,4,15,-11,215.0
7:59.0,D. Murray misses 3-pt jump shot from 24 ft (block by M. Bridges),4-15, ,,1,4,15,-11,241.0
7:59.0,Offensive rebound by Team,4-15, ,,1,4,15,-11,241.0
7:59.0,Turnover by Team (shot clock),4-15, ,,1,4,15,-11,241.0
7:48.0, ,4-15,C. Johnson misses 2-pt layup from 2 ft (block by C. Capela),,1,4,15,-11,252.0
7:46.0,Defensive rebound by S. Bey,4-15, ,,1,4,15,-11,254.0
7:28.0,J. Johnson misses 2-pt jump shot from 10 ft,4-15, ,,1,4,15,-11,272.0
7:26.0, ,4-15,Defensive rebound by D. Schröder,,1,4,15,-11,274.0
7:17.0, ,4-18,M. Bridges makes 3-pt jump shot from 26 ft (assist by D. Schröder),,1,4,18,-14,283.0
7:16.0,Atlanta full timeout,4-18, ,,1,4,18,-14,284.0
7:16.0,D. Hunter enters the game for B. Bogdanović,4-18, ,,1,4,18,-14,284.0
7:16.0,G. Mathews enters the game for J. Johnson,4-18, ,,1,4,18,-14,284.0
7:04.0,Flagrant foul type 1 by N. Claxton (drawn by S. Bey),4-18, ,,1,4,18,-14,296.0
7:04.0,Instant Replay (Request: Ruling Stands),4-18, ,,1,4,18,-14,296.0
7:04.0, ,4-18,L. Walker enters the game for C. Johnson,,1,4,18,-14,296.0
7:04.0,S. Bey makes flagrant free throw 1 of 2,5-18, ,,1,5,18,-13,296.0
7:04.0,S. Bey makes flagrant free throw 2 of 2,6-18, ,,1,6,18,-12,296.0
6:52.0,D. Hunter misses 2-pt jump shot from 7 ft,6-18, ,,1,6,18,-12,308.0
6:51.0, ,6-18,Defensive rebound by M. Bridges,,1,6,18,-12,309.0
6:38.0, ,6-18,Turnover by D. Finney-Smith (bad pass; steal by D. Hunter),,1,6,18,-12,322.0
6:34.0,Turnover by C. Capela (bad pass),6-18, ,,1,6,18,-12,326.0
6:23.0, ,6-18,D. Finney-Smith misses 3-pt jump shot from 26 ft,,1,6,18,-12,337.0
6:19.0,Defensive rebound by G. Mathews,6-18, ,,1,6,18,-12,341.0
6:07.0,G. Mathews misses 3-pt jump shot from 26 ft,6-18, ,,1,6,18,-12,353.0
6:06.0,Offensive rebound by G. Mathews,6-18, ,,1,6,18,-12,354.0
6:06.0,G. Mathews misses 2-pt jump shot from 13 ft,6-18, ,,1,6,18,-12,354.0
6:04.0, ,6-18,Defensive rebound by N. Claxton,,1,6,18,-12,356.0
5:49.0, ,6-18,M. Bridges misses 3-pt jump shot from 23 ft,,1,6,18,-12,371.0
5:45.0,Defensive rebound by C. Capela,6-18, ,,1,6,18,-12,375.0
5:33.0,D. Murray makes 2-pt jump shot from 13 ft,8-18, ,,1,8,18,-10,387.0
5:23.0, ,8-18,N. Claxton misses 2-pt layup from 2 ft (block by C. Capela),,1,8,18,-10,397.0
5:23.0, ,8-18,Offensive rebound by Team,,1,8,18,-10,397.0
5:23.0,B. Fernando enters the game for C. Capela,8-18, ,,1,8,18,-10,397.0
5:23.0, ,8-18,D. Sharpe enters the game for N. Claxton,,1,8,18,-10,397.0
5:16.0, ,8-18,Turnover by D. Sharpe (bad pass; steal by B. Fernando),,1,8,18,-10,404.0
5:12.0,S. Bey misses 2-pt layup from 3 ft,8-18, ,,1,8,18,-10,408.0
5:11.0,Offensive rebound by B. Fernando,8-18, ,,1,8,18,-10,409.0
5:11.0,B. Fernando misses 2-pt layup at rim,8-18, ,,1,8,18,-10,409.0
5:11.0,Offensive rebound by Team,8-18, ,,1,8,18,-10,409.0
5:09.0,Shooting foul by L. Walker (drawn by D. Hunter),8-18, ,,1,8,18,-10,411.0
