Time,Atlanta,Score,New York,Event,Quarter,TeamScore,OpponentScore,PointDifference,ElapsedTime
12:00.0,Jump ball: C. Capela vs. I. Hartenstein (J. Johnson gains possession),0-0,,,1,0,0,0,0.0
11:46.0,C. Capela misses 2-pt layup from 3 ft (block by M. McBride),0-0, ,,1,0,0,0,14.0
11:46.0,Offensive rebound by Team,0-0, ,,1,0,0,0,14.0
11:42.0,Jump ball: C. Capela vs. M. McBride (D. Murray gains possession),0-0,,,1,0,0,0,18.0
11:33.0,C. Capela misses 2-pt hook shot from 3 ft,0-0, ,,1,0,0,0,27.0
11:31.0,Offensive rebound by S. Bey,0-0, ,,1,0,0,0,29.0
11:30.0,S. Bey misses 2-pt layup from 3 ft (block by J. Hart),0-0, ,,1,0,0,0,30.0
11:30.0, ,0-0,Defensive rebound by Team,,1,0,0,0,30.0
11:08.0, ,0-0,I. Hartenstein misses 2-pt layup from 2 ft (block by C. Capela),,1,0,0,0,52.0
11:06.0,Defensive rebound by D. Murray,0-0, ,,1,0,0,0,54.0
11:01.0,J. Johnson makes 2-pt layup from 1 ft,2-0, ,,1,2,0,2,59.0
10:46.0, ,2-0,D. DiVincenzo misses 3-pt jump shot from 26 ft,,1,2,0,2,74.0
10:44.0,Defensive rebound by D. Murray,2-0, ,,1,2,0,2,76.0
10:30.0,J. Johnson makes 2-pt jump shot from 8 ft,4-0, ,,1,4,0,4,90.0
10:08.0, ,4-0,M. McBride misses 3-pt jump shot from 23 ft,,1,4,0,4,112.0
10:06.0,Defensive rebound by C. Capela,4-0, ,,1,4,0,4,114.0
9:56.0,C. Capela misses 2-pt hook shot from 1 ft,4-0, ,,1,4,0,4,124.0
9:54.0, ,4-0,Defensive rebound by I. Hartenstein,,1,4,0,4,126.0
9:45.0, ,4-0,I. Hartenstein misses 2-pt hook shot from 5 ft,,1,4,0,4,135.0
9:43.0,Defensive rebound by J. Johnson,4-0, ,,1,4,0,4,137.0
9:38.0,C. Capela misses 2-pt layup from 1 ft,4-0, ,,1,4,0,4,142.0
9:36.0, ,4-0,Defensive rebound by J. Hart,,1,4,0,4,144.0
9:28.0, ,4-0,D. DiVincenzo misses 3-pt jump shot from 25 ft,,1,4,0,4,152.0
9:26.0,Defensive rebound by J. Johnson,4-0, ,,1,4,0,4,154.0
9:18.0,J. Johnson misses 2-pt layup from 2 ft,4-0, ,,1,4,0,4,162.0
9:17.0,Offensive rebound by Team,4-0, ,,1,4,0,4,163.0
9:14.0,Turnover by S. Bey (traveling),4-0, ,,1,4,0,4,166.0
8:58.0, ,4-0,J. Hart misses 2-pt jump shot from 9 ft,,1,4,0,4,182.0
8:56.0,Defensive rebound by S. Bey,4-0, ,,1,4,0,4,184.0
