Time,Atlanta,Score,Memphis,Event,Quarter,TeamScore,OpponentScore,PointDifference,ElapsedTime
12:00.0,Jump ball: C. Capela vs. J. Jackson (J. Goodwin gains possession),0-0,,,1,0,0,0,0.0
11:46.0, ,0-0,Shooting foul by C. Capela (drawn by J. Jackson),,1,0,0,0,14.0
11:46.0, ,0-1,J. Jackson makes free throw 1 of 3,,1,0,1,-1,14.0
11:46.0, ,0-2,J. Jackson makes free throw 2 of 3,,1,0,2,-2,14.0
11:46.0, ,0-3,J. Jackson makes free throw 3 of 3,,1,0,3,-3,14.0
11:31.0,B. Bogdanović makes 3-pt jump shot from 26 ft (assist by D. Murray),3-3, ,Tie,1,3,3,0,29.0
11:11.0, ,3-5,J. Jackson makes 2-pt hook shot from 5 ft,,1,3,5,-2,49.0
11:02.0,Turnover by D. Murray (bad pass; steal by J. Jackson),3-5, ,,1,3,5,-2,58.0
10:56.0, ,3-5,J. Konchar misses 2-pt jump shot from 13 ft,,1,3,5,-2,64.0
10:52.0, ,3-5,Offensive rebound by J. Konchar,,1,3,5,-2,68.0
10:49.0, ,3-7,J. Konchar makes 2-pt layup from 1 ft (assist by V. Williams),,1,3,7,-4,71.0
10:32.0,S. Bey misses 3-pt jump shot from 23 ft,3-7, ,,1,3,7,-4,88.0
10:27.0, ,3-7,Defensive rebound by J. Konchar,,1,3,7,-4,93.0
10:18.0, ,3-9,J. Jackson makes 2-pt layup from 2 ft,,1,3,9,-6,102.0
10:18.0,Violation by Team (def goaltending),3-9, ,,1,3,9,-6,102.0
10:09.0,Personal foul by J. Jackson (drawn by D. Murray),3-9, ,,1,3,9,-6,111.0
10:01.0,S. Bey misses 2-pt layup from 3 ft (block by J. Jackson),3-9, ,,1,3,9,-6,119.0
9:55.0,Offensive rebound by C. Capela,3-9, ,,1,3,9,-6,125.0
9:55.0,C. Capela misses 2-pt layup at rim (block by J. Goodwin),3-9, ,,1,3,9,-6,125.0
9:55.0,Offensive rebound by B. Bogdanović,3-9, ,,1,3,9,-6,125.0
9:48.0,Personal foul by J. Konchar (drawn by C. Capela),3-9, ,,1,3,9,-6,132.0
9:41.0,D. Murray makes 3-pt jump shot from 26 ft,6-9, ,,1,6,9,-3,139.0
9:27.0, ,6-11,J. Jackson makes 2-pt hook shot from 4 ft,,1,6,11,-5,153.0
9:18.0,D. Murray makes 3-pt jump shot from 27 ft,9-11, ,,1,9,11,-2,162.0
8:52.0, ,9-11,J. Konchar misses 3-pt jump shot from 23 ft,,1,9,11,-2,188.0
8:47.0,Defensive rebound by D. Murray,9-11, ,,1,9,11,-2,193.0
8:41.0,D. Murray makes 2-pt jump shot from 10 ft,11-11, ,Tie,1,11,11,0,199.0
8:21.0, ,11-11,J. Goodwin misses 2-pt layup from 4 ft (block by V. Krejci),,1,11,11,0,219.0
8:19.0,Defensive rebound by C. Capela,11-11, ,,1,11,11,0,221.0
8:13.0,D. Murray misses 3-pt jump shot from 26 ft,11-11, ,,1,11,11,0,227.0
8:06.0,Offensive rebound by C. Capela,11-11, ,,1,11,11,0,234.0
8:06.0,C. Capela misses 2-pt layup at rim,11-11, ,,1,11,11,0,234.0
8:06.0, ,11-11,Defensive rebound by S. Aldama,,1,11,11,0,234.0
8:02.0, ,11-13,S. Aldama makes 2-pt dunk from 2 ft (assist by V. Williams),,1,11,13,-2,238.0
