Time,Atlanta,Score,Utah,Event,Quarter,TeamScore,OpponentScore,PointDifference,ElapsedTime
12:00.0,Jump ball: C. Capela vs. J. Collins (J. Johnson gains possession),0-0,,,1,0,0,0,0.0
11:43.0,V. Krejci misses 2-pt layup from 5 ft,0-0, ,,1,0,0,0,17.0
11:41.0, ,0-0,Defensive rebound by J. Collins,,1,0,0,0,19.0
11:25.0, ,0-0,J. Collins misses 2-pt jump shot from 8 ft (block by W. Matthews),,1,0,0,0,35.0
11:24.0, ,0-0,Offensive rebound by Team,,1,0,0,0,36.0
11:20.0, ,0-0,J. Collins misses 2-pt jump shot from 18 ft,,1,0,0,0,40.0
11:17.0,Defensive rebound by D. Murray,0-0, ,,1,0,0,0,43.0
11:13.0,V. Krejci misses 3-pt jump shot from 25 ft,0-0, ,,1,0,0,0,47.0
11:10.0, ,0-0,Defensive rebound by T. Hendricks,,1,0,0,0,50.0
11:02.0, ,0-0,T. Hendricks misses 3-pt jump shot from 26 ft,,1,0,0,0,58.0
10:58.0, ,0-0,Offensive rebound by J. Collins,,1,0,0,0,62.0
10:58.0, ,0-2,J. Collins makes 2-pt layup at rim,,1,0,2,-2,62.0
10:44.0,J. Johnson misses 3-pt jump shot from 25 ft,0-2, ,,1,0,2,-2,76.0
10:43.0, ,0-2,Defensive rebound by K. George,,1,0,2,-2,77.0
10:35.0, ,0-2,K. George misses 3-pt jump shot from 25 ft,,1,0,2,-2,85.0
10:31.0,Defensive rebound by C. Capela,0-2, ,,1,0,2,-2,89.0
10:28.0,V. Krejci makes 2-pt dunk from 2 ft (assist by J. Johnson),2-2, ,Tie,1,2,2,0,92.0
10:16.0, ,2-5,J. Collins makes 3-pt jump shot from 26 ft (assist by C. Sexton),,1,2,5,-3,104.0
10:01.0,W. Matthews misses 2-pt layup from 4 ft (block by T. Hendricks),2-5, ,,1,2,5,-3,119.0
9:59.0, ,2-5,Defensive rebound by T. Hendricks,,1,2,5,-3,121.0
9:48.0, ,2-8,C. Sexton makes 3-pt jump shot from 23 ft,,1,2,8,-6,132.0
9:35.0,D. Murray makes 3-pt jump shot from 25 ft,5-8, ,,1,5,8,-3,145.0
9:24.0, ,5-8,T. Hendricks misses 3-pt jump shot from 26 ft,,1,5,8,-3,156.0
9:21.0,Defensive rebound by W. Matthews,5-8, ,,1,5,8,-3,159.0
9:13.0,W. Matthews makes 3-pt jump shot from 22 ft (assist by D. Murray),8-8, ,Tie,1,8,8,0,167.0
9:11.0, ,8-8,Utah full timeout,,1,8,8,0,169.0
8:51.0, ,8-8,Turnover by J. Collins (out of bounds lost ball),,1,8,8,0,189.0
8:37.0,J. Johnson misses 2-pt layup from 6 ft,8-8, ,,1,8,8,0,203.0
8:35.0, ,8-8,Defensive rebound by J. Collins,,1,8,8,0,205.0
8:30.0, ,8-10,C. Sexton makes 2-pt layup from 3 ft (assist by K. George),,1,8,10,-2,210.0
8:18.0,Shooting foul by T. Hendricks (drawn by J. Johnson),8-10, ,,1,8,10,-2,222.0
8:18.0,J. Johnson misses free throw 1 of 2,8-10, ,,1,8,10,-2,222.0
8:18.0,Offensive rebound by Team,8-10, ,,1,8,10,-2,222.0
8:18.0,J. Johnson misses free throw 2 of 2,8-10, ,,1,8,10,-2,222.0
8:16.0,Offensive rebound by C. Capela,8-10, ,,1,8,10,-2,224.0
8:14.0,W. Matthews makes 3-pt jump shot from 23 ft (assist by C. Capela),11-10, ,Lead change,1,11,10,1,226.0
7:58.0, ,11-10,K. George misses 3-pt jump shot from 26 ft,,1,11,10,1,242.0
7:55.0,Defensive rebound by D. Murray,11-10, ,,1,11,10,1,245.0
7:51.0,W. Matthews makes 3-pt jump shot from 30 ft (assist by D. Murray),14-10, ,,1,14,10,4,249.0
7:31.0, ,14-10,Shooting foul by C. Capela (drawn by J. Collins),,1,14,10,4,269.0
7:31.0, ,14-11,J. Collins makes free throw 1 of 2,,1,14,11,3,269.0
7:31.0, ,14-12,J. Collins makes free throw 2 of 2,,1,14,12,2,269.0
7:18.0,D. Murray makes 2-pt jump shot from 13 ft (assist by C. Capela),16-12, ,,1,16,12,4,282.0
7:02.0, ,16-12,T. Hendricks misses 3-pt jump shot from 23 ft,,1,16,12,4,298.0
6:57.0, ,16-12,Offensive rebound by J. Collins,,1,16,12,4,303.0
6:57.0, ,16-14,J. Collins makes 2-pt layup at rim,,1,16,14,2,303.0
6:37.0,D. Murray misses 2-pt jump shot from 19 ft,16-14, ,,1,16,14,2,323.0
6:34.0, ,16-14,Defensive rebound by T. Hendricks,,1,16,14,2,326.0
6:28.0, ,16-14,C. Sexton misses 2-pt jump shot from 7 ft,,1,16,14,2,332.0
6:25.0, ,16-14,Offensive rebound by T. Hendricks,,1,16,14,2,335.0
6:25.0, ,16-16,T. Hendricks makes 2-pt layup at rim,Tie,1,16,16,0,335.0
6:15.0,J. Johnson misses 3-pt jump shot from 26 ft,16-16, ,,1,16,16,0,345.0
6:13.0, ,16-16,Defensive rebound by K. George,,1,16,16,0,347.0
