Time,Atlanta,Score,LA Clippers,Event,Quarter,TeamScore,OpponentScore,PointDifference,ElapsedTime
12:00.0,Jump ball: C. Capela vs. I. Zubac (T. Mann gains possession),0-0,,,1,0,0,0,0.0
11:38.0, ,0-2,K. Leonard makes 2-pt jump shot from 17 ft,,1,0,2,-2,22.0
11:20.0,B. Bogdanović misses 3-pt jump shot from 25 ft (block by I. Zubac),0-2, ,,1,0,2,-2,40.0
11:18.0, ,0-2,Defensive rebound by K. Leonard,,1,0,2,-2,42.0
11:11.0, ,0-2,Personal foul by V. Krejci (drawn by K. Leonard),,1,0,2,-2,49.0
10:59.0, ,0-2,K. Leonard misses 3-pt jump shot from 24 ft,,1,0,2,-2,61.0
10:56.0,Defensive rebound by J. Johnson,0-2, ,,1,0,2,-2,64.0
10:49.0,J. Johnson misses 2-pt jump shot from 4 ft,0-2, ,,1,0,2,-2,71.0
10:45.0,Offensive rebound by C. Capela,0-2, ,,1,0,2,-2,75.0
10:45.0,C. Capela misses 2-pt layup at rim,0-2, ,,1,0,2,-2,75.0
10:43.0,Offensive rebound by C. Capela,0-2, ,,1,0,2,-2,77.0
10:43.0,C. Capela makes 2-pt layup at rim,2-2, ,Tie,1,2,2,0,77.0
10:30.0, ,2-2,K. Leonard misses 2-pt jump shot from 10 ft,,1,2,2,0,90.0
10:28.0, ,2-2,Offensive rebound by I. Zubac,,1,2,2,0,92.0
10:24.0, ,2-5,K. Leonard makes 3-pt jump shot from 26 ft (assist by I. Zubac),,1,2,5,-3,96.0
10:09.0,C. Capela makes 2-pt jump shot from 9 ft (assist by D. Murray),4-5, ,,1,4,5,-1,111.0
9:56.0, ,4-5,Turnover by P. George (lost ball; steal by C. Capela),,1,4,5,-1,124.0
9:56.0,Personal foul by P. George (drawn by C. Capela),4-5, ,,1,4,5,-1,124.0
9:43.0,B. Bogdanović misses 2-pt jump shot from 14 ft,4-5, ,,1,4,5,-1,137.0
9:39.0,Offensive rebound by C. Capela,4-5, ,,1,4,5,-1,141.0
9:38.0,C. Capela makes 2-pt dunk from 1 ft,6-5, ,Lead change,1,6,5,1,142.0
9:13.0, ,6-5,P. George misses 3-pt jump shot from 26 ft,,1,6,5,1,167.0
9:11.0,Defensive rebound by J. Johnson,6-5, ,,1,6,5,1,169.0
9:09.0,Personal foul by J. Harden (drawn by C. Capela),6-5, ,,1,6,5,1,171.0
9:03.0,B. Bogdanović misses 3-pt jump shot from 27 ft,6-5, ,,1,6,5,1,177.0
