Time,Atlanta,Score,LA Lakers,Event,Quarter,TeamScore,OpponentScore,PointDifference,ElapsedTime
12:00.0,Jump ball: C. Capela vs. A. Davis (D. Russell gains possession),0-0,,,1,0,0,0,0.0
11:47.0, ,0-0,Turnover by L. James (lost ball; steal by D. Murray),,1,0,0,0,13.0
11:43.0,J. Johnson makes 2-pt dunk from 2 ft (assist by D. Murray),2-0, ,,1,2,0,2,17.0
11:43.0,Shooting foul by A. Reaves (drawn by J. Johnson),2-0, ,,1,2,0,2,17.0
11:43.0,J. Johnson misses free throw 1 of 1,2-0, ,,1,2,0,2,17.0
11:39.0,Offensive rebound by B. Bogdanović,2-0, ,,1,2,0,2,21.0
11:38.0,Turnover by D. Murray (out of bounds lost ball),2-0, ,,1,2,0,2,22.0
11:38.0,Violation by Team (delay of game),2-0, ,,1,2,0,2,22.0
11:26.0, ,2-0,L. James misses 2-pt layup from 2 ft (block by J. Johnson),,1,2,0,2,34.0
11:24.0,Defensive rebound by J. Johnson,2-0, ,,1,2,0,2,36.0
11:21.0,D. Murray misses 2-pt jump shot from 6 ft,2-0, ,,1,2,0,2,39.0
11:17.0, ,2-0,Defensive rebound by A. Davis,,1,2,0,2,43.0
11:10.0, ,2-0,D. Russell misses 3-pt jump shot from 23 ft,,1,2,0,2,50.0
11:07.0,Defensive rebound by B. Bogdanović,2-0, ,,1,2,0,2,53.0
10:56.0,B. Bogdanović makes 3-pt jump shot from 26 ft (assist by D. Murray),5-0, ,,1,5,0,5,64.0
10:43.0, ,5-0,R. Hachimura misses 2-pt layup from 4 ft,,1,5,0,5,77.0
10:41.0,Defensive rebound by C. Capela,5-0, ,,1,5,0,5,79.0
10:36.0,V. Krejci misses 3-pt jump shot from 27 ft,5-0, ,,1,5,0,5,84.0
10:31.0,Offensive rebound by J. Johnson,5-0, ,,1,5,0,5,89.0
10:29.0,J. Johnson makes 3-pt jump shot from 26 ft,8-0, ,,1,8,0,8,91.0
10:14.0, ,8-2,A. Davis makes 2-pt jump shot from 9 ft,,1,8,2,6,106.0
9:50.0,B. Bogdanović makes 3-pt jump shot from 23 ft (assist by D. Murray),11-2, ,,1,11,2,9,130.0
9:40.0, ,11-2,Turnover by D. Russell (bad pass; steal by D. Murray),,1,11,2,9,140.0
9:39.0,Turnover by B. Bogdanović (bad pass),11-2, ,,1,11,2,9,141.0
9:36.0, ,11-4,A. Davis makes 2-pt layup from 1 ft (assist by D. Russell),,1,11,4,7,144.0
9:36.0, ,11-4,Shooting foul by B. Bogdanović (drawn by A. Davis),,1,11,4,7,144.0
9:36.0, ,11-4,A. Davis misses free throw 1 of 1,,1,11,4,7,144.0
9:32.0,Defensive rebound by V. Krejci,11-4, ,,1,11,4,7,148.0
9:14.0,Turnover by B. Bogdanović (bad pass; steal by A. Davis),11-4, ,,1,11,4,7,166.0
9:04.0, ,11-6,L. James makes 2-pt hook shot from 4 ft,,1,11,6,5,176.0
8:46.0,J. Johnson misses 3-pt jump shot from 26 ft,11-6, ,,1,11,6,5,194.0
8:42.0, ,11-6,Defensive rebound by A. Reaves,,1,11,6,5,198.0
8:27.0, ,11-8,A. Davis makes 2-pt jump shot from 4 ft (assist by L. James),,1,11,8,3,213.0
8:27.0, ,11-8,Shooting foul by C. Capela (drawn by A. Davis),,1,11,8,3,213.0
8:27.0, ,11-9,A. Davis makes free throw 1 of 1,,1,11,9,2,213.0
8:12.0,D. Murray makes 2-pt jump shot from 15 ft,13-9, ,,1,13,9,4,228.0
7:58.0, ,13-9,R. Hachimura misses 3-pt jump shot from 24 ft,,1,13,9,4,242.0
7:55.0, ,13-9,Offensive rebound by A. Reaves,,1,13,9,4,245.0
7:49.0, ,13-11,R. Hachimura makes 2-pt layup from 3 ft (assist by D. Russell),,1,13,11,2,251.0
7:42.0,B. Bogdanović misses 3-pt jump shot from 23 ft,13-11, ,,1,13,11,2,258.0
7:37.0,Offensive rebound by J. Johnson,13-11, ,,1,13,11,2,263.0
7:36.0,J. Johnson misses 2-pt layup from 2 ft,13-11, ,,1,13,11,2,264.0
7:34.0, ,13-11,Defensive rebound by A. Davis,,1,13,11,2,266.0
7:34.0, ,13-13,L. James makes 2-pt jump shot from 2 ft (assist by A. Davis),Tie,1,13,13,0,266.0
7:34.0, ,13-13,Shooting foul by V. Krejci (drawn by L. James),,1,13,13,0,266.0
7:34.0, ,13-14,L. James makes free throw 1 of 1,Lead change,1,13,14,-1,266.0
7:15.0,D. Murray misses 3-pt jump shot from 28 ft,13-14, ,,1,13,14,-1,285.0
7:12.0, ,13-14,Defensive rebound by A. Davis,,1,13,14,-1,288.0
7:05.0, ,13-16,A. Reaves makes 2-pt layup from 2 ft (assist by A. Davis),,1,13,16,-3,295.0
7:05.0, ,13-16,Shooting foul by V. Krejci (drawn by A. Reaves),,1,13,16,-3,295.0
7:05.0,Atlanta full timeout,13-16, ,,1,13,16,-3,295.0
7:05.0,G. Mathews enters the game for B. Bogdanović,13-16, ,,1,13,16,-3,295.0
7:05.0, ,13-17,A. Reaves makes free throw 1 of 1,,1,13,17,-4,295.0
6:53.0,Shooting foul by A. Davis (drawn by J. Johnson),13-17, ,,1,13,17,-4,307.0
6:53.0,J. Johnson makes free throw 1 of 2,14-17, ,,1,14,17,-3,307.0
6:53.0,J. Johnson makes free throw 2 of 2,15-17, ,,1,15,17,-2,307.0
6:35.0, ,15-20,L. James makes 3-pt jump shot from 26 ft,,1,15,20,-5,325.0
6:22.0,D. Murray makes 2-pt layup from 2 ft,17-20, ,,1,17,20,-3,338.0
6:10.0, ,17-22,L. James makes 2-pt layup from 4 ft (assist by D. Russell),,1,17,22,-5,350.0
5:59.0,D. Murray makes 3-pt jump shot from 27 ft (assist by J. Johnson),20-22, ,,1,20,22,-2,361.0
5:46.0, ,20-22,Shooting foul by D. Murray (drawn by D. Russell),,1,20,22,-2,374.0
5:46.0, ,20-23,D. Russell makes free throw 1 of 2,,1,20,23,-3,374.0
5:46.0,D. Hunter enters the game for C. Capela,20-23, ,,1,20,23,-3,374.0
5:46.0,O. Okongwu enters the game for J. Johnson,20-23, ,,1,20,23,-3,374.0
5:46.0, ,20-24,D. Russell makes free throw 2 of 2,,1,20,24,-4,374.0
5:36.0,D. Hunter makes 2-pt hook shot from 3 ft (assist by D. Murray),22-24, ,,1,22,24,-2,384.0
5:20.0, ,22-24,A. Davis misses 2-pt hook shot from 6 ft,,1,22,24,-2,400.0
5:18.0,Defensive rebound by O. Okongwu,22-24, ,,1,22,24,-2,402.0
5:14.0,Personal foul by A. Reaves (drawn by D. Murray),22-24, ,,1,22,24,-2,406.0
5:14.0,T. Forrest enters the game for V. Krejci,22-24, ,,1,22,24,-2,406.0
5:14.0, ,22-24,S. Dinwiddie enters the game for D. Russell,,1,22,24,-2,406.0
