Time,Atlanta,Score,Phoenix,Event,Quarter,TeamScore,OpponentScore,PointDifference,ElapsedTime
12:00.0,Jump ball: C. Capela vs. J. Nurkić (B. Beal gains possession),0-0,,,1,0,0,0,0.0
11:39.0, ,0-3,B. Beal makes 3-pt jump shot from 24 ft (assist by G. Allen),,1,0,3,-3,21.0
11:19.0,D. Hunter makes 3-pt jump shot from 23 ft (assist by V. Krejci),3-3, ,Tie,1,3,3,0,41.0
11:01.0, ,3-3,G. Allen misses 3-pt jump shot from 27 ft,,1,3,3,0,59.0
10:54.0, ,3-3,Offensive rebound by B. Beal,,1,3,3,0,66.0
10:54.0, ,3-5,B. Beal makes 2-pt layup at rim,,1,3,5,-2,66.0
10:41.0,C. Capela misses 2-pt hook shot from 6 ft,3-5, ,,1,3,5,-2,79.0
10:39.0,Offensive rebound by C. Capela,3-5, ,,1,3,5,-2,81.0
10:34.0,V. Krejci makes 3-pt jump shot from 24 ft (assist by B. Bogdanović),6-5, ,Lead change,1,6,5,1,86.0
10:18.0, ,6-5,B. Beal misses 3-pt jump shot from 26 ft,,1,6,5,1,102.0
10:14.0, ,6-5,Offensive rebound by K. Durant,,1,6,5,1,106.0
10:02.0, ,6-5,Turnover by J. Nurkić (bad pass; steal by D. Murray),,1,6,5,1,118.0
9:57.0,V. Krejci makes 2-pt layup from 23 ft (assist by D. Murray),8-5, ,,1,8,5,3,123.0
9:54.0, ,8-5,Turnover by K. Durant (bad pass; steal by D. Hunter),,1,8,5,3,126.0
9:39.0,B. Bogdanović misses 2-pt jump shot from 10 ft,8-5, ,,1,8,5,3,141.0
9:36.0, ,8-5,Defensive rebound by G. Allen,,1,8,5,3,144.0
9:30.0, ,8-8,D. Booker makes 3-pt jump shot from 26 ft,Tie,1,8,8,0,150.0
9:10.0,C. Capela makes 2-pt jump shot from 8 ft (assist by D. Murray),10-8, ,,1,10,8,2,170.0
8:54.0, ,10-8,Turnover by K. Durant (bad pass; steal by D. Murray),,1,10,8,2,186.0
8:47.0,D. Murray misses 3-pt jump shot from 27 ft,10-8, ,,1,10,8,2,193.0
8:42.0,Offensive rebound by D. Murray,10-8, ,,1,10,8,2,198.0
8:41.0,C. Capela makes 2-pt layup from 3 ft (assist by D. Murray),12-8, ,,1,12,8,4,199.0
8:22.0, ,12-8,D. Booker misses 2-pt jump shot from 7 ft,,1,12,8,4,218.0
8:22.0,Defensive rebound by D. Murray,12-8, ,,1,12,8,4,218.0
8:15.0,C. Capela misses 2-pt layup from 4 ft (block by K. Durant),12-8, ,,1,12,8,4,225.0
8:13.0, ,12-8,Defensive rebound by K. Durant,,1,12,8,4,227.0
8:01.0, ,12-11,G. Allen makes 3-pt jump shot from 24 ft (assist by K. Durant),,1,12,11,1,239.0
7:49.0,B. Bogdanović misses 3-pt jump shot from 27 ft,12-11, ,,1,12,11,1,251.0
7:47.0,Offensive rebound by C. Capela,12-11, ,,1,12,11,1,253.0
7:46.0,B. Bogdanović makes 3-pt jump shot from 27 ft (assist by C. Capela),15-11, ,,1,15,11,4,254.0
7:27.0, ,15-11,J. Nurkić misses 2-pt layup from 7 ft (block by C. Capela),,1,15,11,4,273.0
7:25.0,Defensive rebound by C. Capela,15-11, ,,1,15,11,4,275.0
7:17.0,D. Murray makes 3-pt jump shot from 26 ft (assist by C. Capela),18-11, ,,1,18,11,7,283.0
7:15.0, ,18-11,Phoenix full timeout,,1,18,11,7,285.0
7:15.0,G. Mathews enters the game for B. Bogdanović,18-11, ,,1,18,11,7,285.0
6:53.0, ,18-11,Turnover by B. Beal (lost ball; steal by V. Krejci),,1,18,11,7,307.0
6:47.0,D. Murray makes 2-pt layup from 1 ft (assist by V. Krejci),20-11, ,,1,20,11,9,313.0
6:30.0, ,20-11,K. Durant misses 2-pt jump shot from 10 ft,,1,20,11,9,330.0
6:26.0,Defensive rebound by C. Capela,20-11, ,,1,20,11,9,334.0
6:21.0,D. Murray makes 2-pt layup from 2 ft (assist by D. Hunter),22-11, ,,1,22,11,11,339.0
6:05.0, ,22-11,K. Durant misses 2-pt jump shot from 17 ft,,1,22,11,11,355.0
6:01.0,Defensive rebound by G. Mathews,22-11, ,,1,22,11,11,359.0
5:55.0,D. Murray makes 3-pt jump shot from 26 ft (assist by V. Krejci),25-11, ,,1,25,11,14,365.0
5:53.0, ,25-11,Phoenix full timeout,,1,25,11,14,367.0
5:53.0,O. Okongwu enters the game for C. Capela,25-11, ,,1,25,11,14,367.0
5:53.0, ,25-11,E. Gordon enters the game for B. Beal,,1,25,11,14,367.0
5:38.0, ,25-11,E. Gordon misses 3-pt jump shot from 27 ft,,1,25,11,14,382.0
5:34.0,Defensive rebound by O. Okongwu,25-11, ,,1,25,11,14,386.0
5:22.0,D. Murray misses 2-pt layup from 5 ft,25-11, ,,1,25,11,14,398.0
5:20.0, ,25-11,Defensive rebound by J. Nurkić,,1,25,11,14,400.0
5:08.0, ,25-11,Personal foul by O. Okongwu (drawn by J. Nurkić),,1,25,11,14,412.0
5:03.0, ,25-14,D. Booker makes 3-pt jump shot from 25 ft (assist by J. Nurkić),,1,25,14,11,417.0
4:42.0,D. Hunter makes 2-pt jump shot from 13 ft (assist by O. Okongwu),27-14, ,,1,27,14,13,438.0
4:32.0, ,27-17,D. Booker makes 3-pt jump shot from 27 ft,,1,27,17,10,448.0
4:20.0,D. Murray makes 2-pt jump shot from 15 ft,29-17, ,,1,29,17,12,460.0
4:09.0, ,29-17,Personal foul by D. Hunter (drawn by K. Durant),,1,29,17,12,471.0
4:09.0,T. Forrest enters the game for D. Hunter,29-17, ,,1,29,17,12,471.0
4:09.0,W. Matthews enters the game for V. Krejci,29-17, ,,1,29,17,12,471.0
3:58.0, ,29-17,G. Allen misses 3-pt jump shot from 25 ft,,1,29,17,12,482.0
3:54.0,Defensive rebound by D. Murray,29-17, ,,1,29,17,12,486.0
3:50.0,Shooting foul by D. Booker (drawn by D. Murray),29-17, ,,1,29,17,12,490.0
3:50.0,D. Murray makes free throw 1 of 2,30-17, ,,1,30,17,13,490.0
