Time,Milwaukee,Score,Atlanta,Event,Quarter,TeamScore,OpponentScore,PointDifference,ElapsedTime
12:00.0,Jump ball: B. Lopez vs. C. Capela (G. Antetokounmpo gains possession),0-0,,,1,0,0,0,0.0
11:39.0,Shooting foul by V. Krejci (drawn by B. Lopez),0-0, ,,1,0,0,0,21.0
11:39.0,B. Lopez makes free throw 1 of 2,1-0, ,,1,0,1,-1,21.0
11:39.0,B. Lopez makes free throw 2 of 2,2-0, ,,1,0,2,-2,21.0
11:25.0, ,2-0,Def 3 sec tech foul by Team,,1,0,2,-2,35.0
11:25.0, ,2-1,B. Bogdanović makes technical free throw,,1,1,2,-1,35.0
11:15.0, ,2-4,D. Murray makes 3-pt jump shot from 25 ft (assist by D. Hunter),Lead change,1,4,2,2,45.0
11:05.0,G. Antetokounmpo misses 2-pt jump shot from 14 ft,2-4, ,,1,4,2,2,55.0
11:02.0, ,2-4,Defensive rebound by D. Murray,,1,4,2,2,58.0
10:59.0, ,2-4,V. Krejci misses 3-pt jump shot from 26 ft,,1,4,2,2,61.0
10:56.0,Defensive rebound by G. Antetokounmpo,2-4, ,,1,4,2,2,64.0
10:51.0,K. Middleton makes 2-pt layup from 1 ft (assist by M. Beasley),4-4, ,Tie,1,4,4,0,69.0
10:37.0, ,4-6,C. Capela makes 2-pt jump shot from 10 ft (assist by D. Murray),,1,6,4,2,83.0
10:23.0,K. Middleton misses 2-pt jump shot from 4 ft,4-6, ,,1,6,4,2,97.0
10:20.0, ,4-6,Defensive rebound by D. Murray,,1,6,4,2,100.0
10:10.0, ,4-6,Turnover by D. Murray (bad pass; steal by K. Middleton),,1,6,4,2,110.0
10:06.0,G. Antetokounmpo makes 2-pt dunk at rim (assist by K. Middleton),6-6, ,Tie,1,6,6,0,114.0
9:48.0, ,6-9,D. Hunter makes 3-pt jump shot from 26 ft (assist by D. Murray),,1,9,6,3,132.0
9:37.0,M. Beasley misses 3-pt jump shot from 26 ft,6-9, ,,1,9,6,3,143.0
9:34.0, ,6-9,Defensive rebound by B. Bogdanović,,1,9,6,3,146.0
9:29.0, ,6-12,B. Bogdanović makes 3-pt jump shot from 25 ft,,1,12,6,6,151.0
9:29.0,Milwaukee full timeout,6-12, ,,1,12,6,6,151.0
9:19.0,Turnover by G. Antetokounmpo (lost ball; steal by D. Hunter),6-12, ,,1,12,6,6,161.0
9:12.0, ,6-14,D. Murray makes 2-pt jump shot from 10 ft,,1,14,6,8,168.0
9:02.0,M. Beasley misses 2-pt layup from 2 ft (block by C. Capela),6-14, ,,1,14,6,8,178.0
9:00.0, ,6-14,Defensive rebound by B. Bogdanović,,1,14,6,8,180.0
8:54.0, ,6-14,D. Murray misses 3-pt jump shot from 25 ft,,1,14,6,8,186.0
8:52.0, ,6-14,Offensive rebound by B. Bogdanović,,1,14,6,8,188.0
8:50.0, ,6-14,B. Bogdanović misses 2-pt jump shot from 19 ft,,1,14,6,8,190.0
8:47.0,Defensive rebound by P. Beverley,6-14, ,,1,14,6,8,193.0
8:37.0,K. Middleton makes 3-pt jump shot from 24 ft (assist by P. Beverley),9-14, ,,1,14,9,5,203.0
8:11.0, ,9-14,D. Murray misses 2-pt jump shot from 18 ft,,1,14,9,5,229.0
8:08.0,Defensive rebound by G. Antetokounmpo,9-14, ,,1,14,9,5,232.0
7:57.0,B. Lopez makes 2-pt layup from 1 ft (assist by G. Antetokounmpo),11-14, ,,1,14,11,3,243.0
7:45.0, ,11-14,D. Hunter misses 2-pt jump shot from 8 ft (block by B. Lopez),,1,14,11,3,255.0
7:44.0,Defensive rebound by G. Antetokounmpo,11-14, ,,1,14,11,3,256.0
7:36.0,P. Beverley makes 3-pt jump shot from 23 ft (assist by G. Antetokounmpo),14-14, ,Tie,1,14,14,0,264.0
7:11.0, ,14-16,D. Hunter makes 2-pt layup from 2 ft,,1,16,14,2,289.0
7:11.0, ,14-16,Shooting foul by B. Lopez (drawn by D. Hunter),,1,16,14,2,289.0
7:11.0, ,14-17,D. Hunter makes free throw 1 of 1,,1,17,14,3,289.0
6:59.0,G. Antetokounmpo makes 2-pt dunk from 1 ft (assist by P. Beverley),16-17, ,,1,17,16,1,301.0
6:59.0,B. Portis enters the game for G. Antetokounmpo,16-17, ,,1,17,16,1,301.0
6:59.0, ,16-17,G. Mathews enters the game for B. Bogdanović,,1,17,16,1,301.0
6:28.0, ,16-17,V. Krejci misses 3-pt jump shot from 25 ft,,1,17,16,1,332.0
6:26.0,Defensive rebound by K. Middleton,16-17, ,,1,17,16,1,334.0
6:10.0,K. Middleton makes 2-pt jump shot from 17 ft (assist by B. Portis),18-17, ,Lead change,1,17,18,-1,350.0
5:57.0, ,18-19,D. Murray makes 2-pt jump shot from 13 ft,Lead change,1,19,18,1,363.0
5:39.0,B. Portis misses 3-pt jump shot from 24 ft,18-19, ,,1,19,18,1,381.0
