Time,Atlanta,Score,Chicago,Event,Quarter,TeamScore,OpponentScore,PointDifference,ElapsedTime
12:00.0,Jump ball: C. Capela vs. N. Vučević (V. Krejci gains possession),0-0,,,1,0,0,0,0.0
11:46.0, ,0-0,Violation by Team (kicked ball),,1,0,0,0,14.0
11:38.0,D. Hunter misses 3-pt jump shot from 27 ft,0-0, ,,1,0,0,0,22.0
11:33.0, ,0-0,Defensive rebound by N. Vučević,,1,0,0,0,27.0
11:20.0, ,0-2,A. Dosunmu makes 2-pt jump shot from 8 ft,,1,0,2,-2,40.0
11:05.0,D. Hunter misses 3-pt jump shot from 26 ft,0-2, ,,1,0,2,-2,55.0
11:02.0, ,0-2,Defensive rebound by A. Caruso,,1,0,2,-2,58.0
10:47.0, ,0-2,D. DeRozan misses 2-pt jump shot from 15 ft,,1,0,2,-2,73.0
10:46.0,Defensive rebound by D. Murray,0-2, ,,1,0,2,-2,74.0
10:40.0,D. Murray misses 3-pt jump shot from 25 ft,0-2, ,,1,0,2,-2,80.0
10:36.0, ,0-2,Defensive rebound by A. Dosunmu,,1,0,2,-2,84.0
10:31.0, ,0-4,A. Dosunmu makes 2-pt layup from 2 ft,,1,0,4,-4,89.0
10:22.0,Turnover by D. Murray (bad pass; steal by D. DeRozan),0-4, ,,1,0,4,-4,98.0
10:18.0, ,0-6,D. DeRozan makes 2-pt layup from 1 ft,,1,0,6,-6,102.0
10:05.0,Turnover by C. Capela (bad pass; steal by A. Caruso),0-6, ,,1,0,6,-6,115.0
10:02.0, ,0-8,A. Caruso makes 2-pt dunk at rim,,1,0,8,-8,118.0
10:02.0,Atlanta full timeout,0-8, ,,1,0,8,-8,118.0
9:45.0,Turnover by D. Murray (bad pass; steal by A. Caruso),0-8, ,,1,0,8,-8,135.0
9:28.0, ,0-11,C. White makes 3-pt jump shot from 26 ft (assist by N. Vučević),,1,0,11,-11,152.0
9:16.0,Personal foul by D. DeRozan (drawn by B. Bogdanović),0-11, ,,1,0,11,-11,164.0
9:11.0,C. Capela makes 2-pt layup from 1 ft (assist by B. Bogdanović),2-11, ,,1,2,11,-9,169.0
8:57.0, ,2-11,D. DeRozan misses 2-pt jump shot from 16 ft,,1,2,11,-9,183.0
8:55.0,Defensive rebound by C. Capela,2-11, ,,1,2,11,-9,185.0
8:50.0,Shooting foul by C. White (drawn by B. Bogdanović),2-11, ,,1,2,11,-9,190.0
8:50.0,B. Bogdanović makes free throw 1 of 2,3-11, ,,1,3,11,-8,190.0
8:50.0,B. Bogdanović makes free throw 2 of 2,4-11, ,,1,4,11,-7,190.0
8:32.0, ,4-11,Turnover by D. DeRozan (step out of bounds),,1,4,11,-7,208.0
8:14.0,C. Capela makes 2-pt dunk from 1 ft (assist by D. Hunter),6-11, ,,1,6,11,-5,226.0
7:54.0, ,6-11,A. Dosunmu misses 2-pt jump shot from 16 ft,,1,6,11,-5,246.0
7:52.0,Defensive rebound by D. Hunter,6-11, ,,1,6,11,-5,248.0
7:44.0,D. Murray misses 2-pt jump shot from 13 ft,6-11, ,,1,6,11,-5,256.0
7:40.0,Offensive rebound by C. Capela,6-11, ,,1,6,11,-5,260.0
7:39.0,C. Capela misses 2-pt layup from 6 ft,6-11, ,,1,6,11,-5,261.0
7:37.0, ,6-11,Defensive rebound by N. Vučević,,1,6,11,-5,263.0
7:30.0, ,6-11,C. White misses 2-pt jump shot from 6 ft,,1,6,11,-5,270.0
7:29.0, ,6-11,Offensive rebound by N. Vučević,,1,6,11,-5,271.0
