Time,Charlotte,Score,Atlanta,Event,Quarter,TeamScore,OpponentScore,PointDifference,ElapsedTime
12:00.0,Jump ball: G. Williams vs. C. Capela (T. Young gains possession),0-0,,,1,0,0,0,0.0
11:40.0, ,0-3,B. Bogdanović makes 3-pt jump shot from 26 ft (assist by G. Mathews),,1,3,0,3,20.0
11:23.0,G. Williams makes 2-pt layup from 1 ft (assist by V. Micić),2-3, ,,1,3,2,1,37.0
11:09.0, ,2-3,Turnover by B. Bogdanović (bad pass; steal by T. Mann),,1,3,2,1,51.0
11:09.0,Personal foul by B. Bogdanović (drawn by V. Micić),2-3, ,,1,3,2,1,51.0
11:09.0,T. Mann makes free throw 1 of 1,3-3, ,Tie,1,3,3,0,51.0
10:56.0,B. Miller makes 3-pt jump shot from 26 ft (assist by M. Bridges),6-3, ,Lead change,1,3,6,-3,64.0
10:46.0, ,6-3,Turnover by T. Young (bad pass; steal by V. Micić),,1,3,6,-3,74.0
10:39.0,B. Miller misses 3-pt jump shot from 26 ft,6-3, ,,1,3,6,-3,81.0
10:36.0, ,6-3,Defensive rebound by T. Young,,1,3,6,-3,84.0
10:25.0, ,6-5,T. Young makes 2-pt layup from 2 ft (assist by B. Bogdanović),,1,5,6,-1,95.0
10:11.0,M. Bridges makes 3-pt jump shot from 25 ft (assist by T. Mann),9-5, ,,1,5,9,-4,109.0
9:50.0, ,9-8,G. Mathews makes 3-pt jump shot from 25 ft (assist by T. Young),,1,8,9,-1,130.0
9:39.0,M. Bridges makes 3-pt jump shot from 25 ft (assist by V. Micić),12-8, ,,1,8,12,-4,141.0
9:20.0, ,12-8,C. Capela misses 2-pt hook shot from 5 ft,,1,8,12,-4,160.0
9:18.0,Defensive rebound by G. Williams,12-8, ,,1,8,12,-4,162.0
9:12.0,T. Mann makes 2-pt layup from 2 ft,14-8, ,,1,8,14,-6,168.0
9:11.0, ,14-8,Atlanta full timeout,,1,8,14,-6,169.0
8:58.0, ,14-10,V. Krejci makes 2-pt jump shot from 5 ft (assist by T. Young),,1,10,14,-4,182.0
8:40.0,M. Bridges misses 3-pt jump shot from 23 ft,14-10, ,,1,10,14,-4,200.0
8:38.0, ,14-10,Defensive rebound by T. Young,,1,10,14,-4,202.0
8:34.0, ,14-10,Shooting foul by B. Miller (drawn by T. Young),,1,10,14,-4,206.0
8:34.0, ,14-11,T. Young makes free throw 1 of 2,,1,11,14,-3,206.0
8:34.0, ,14-12,T. Young makes free throw 2 of 2,,1,12,14,-2,206.0
8:12.0,M. Bridges misses 2-pt layup from 1 ft,14-12, ,,1,12,14,-2,228.0
8:08.0,Offensive rebound by M. Bridges,14-12, ,,1,12,14,-2,232.0
8:07.0,Turnover by M. Bridges (lost ball; steal by T. Young),14-12, ,,1,12,14,-2,233.0
8:02.0, ,14-12,B. Bogdanović misses 3-pt jump shot from 26 ft,,1,12,14,-2,238.0
8:00.0, ,14-12,Offensive rebound by Team,,1,12,14,-2,240.0
7:45.0, ,14-14,C. Capela makes 2-pt hook shot from 5 ft (assist by G. Mathews),Tie,1,14,14,0,255.0
7:35.0,G. Williams misses 3-pt jump shot from 23 ft,14-14, ,,1,14,14,0,265.0
7:32.0, ,14-14,Defensive rebound by B. Bogdanović,,1,14,14,0,268.0
7:25.0, ,14-14,B. Bogdanović misses 3-pt jump shot from 25 ft,,1,14,14,0,275.0
7:19.0, ,14-14,Offensive rebound by V. Krejci,,1,14,14,0,281.0
7:19.0, ,14-16,V. Krejci makes 2-pt layup at rim,Lead change,1,16,14,2,281.0
7:05.0,B. Miller makes 2-pt layup from 1 ft (assist by G. Williams),16-16, ,Tie,1,16,16,0,295.0
6:50.0, ,16-18,C. Capela makes 2-pt layup from 1 ft (assist by T. Young),,1,18,16,2,310.0
6:42.0,Offensive foul by G. Williams (drawn by T. Young),16-18, ,,1,18,16,2,318.0
6:42.0,Turnover by G. Williams (offensive foul),16-18, ,,1,18,16,2,318.0
6:42.0,A. Pokusevski enters the game for T. Mann,16-18, ,,1,18,16,2,318.0
6:42.0, ,16-18,K. Bufkin enters the game for G. Mathews,,1,18,16,2,318.0
6:42.0, ,16-18,D. Windler enters the game for T. Young,,1,18,16,2,318.0
6:31.0, ,16-18,K. Bufkin misses 2-pt jump shot from 14 ft,,1,18,16,2,329.0
6:27.0,Defensive rebound by A. Pokusevski,16-18, ,,1,18,16,2,333.0
6:18.0,A. Pokusevski makes 3-pt jump shot from 26 ft (assist by V. Micić),19-18, ,Lead change,1,18,19,-1,342.0
6:04.0, ,19-18,V. Krejci misses 3-pt jump shot from 25 ft,,1,18,19,-1,356.0
6:01.0,Defensive rebound by G. Williams,19-18, ,,1,18,19,-1,359.0
5:47.0,A. Pokusevski makes 2-pt layup from 2 ft (assist by G. Williams),21-18, ,,1,18,21,-3,373.0
5:29.0, ,21-20,V. Krejci makes 2-pt jump shot from 13 ft (assist by K. Bufkin),,1,20,21,-1,391.0
5:08.0,M. Bridges makes 2-pt layup from 3 ft,23-20, ,,1,20,23,-3,412.0
4:57.0, ,23-20,Shooting foul by G. Williams (drawn by C. Capela),,1,20,23,-3,423.0
4:57.0, ,23-20,C. Capela misses free throw 1 of 2,,1,20,23,-3,423.0
4:57.0, ,23-20,Offensive rebound by Team,,1,20,23,-3,423.0
4:57.0,N. Richards enters the game for G. Williams,23-20, ,,1,20,23,-3,423.0
4:57.0, ,23-20,M. Gueye enters the game for V. Krejci,,1,20,23,-3,423.0
4:57.0, ,23-21,C. Capela makes free throw 2 of 2,,1,21,23,-2,423.0
4:36.0,B. Miller misses 2-pt jump shot from 8 ft,23-21, ,,1,21,23,-2,444.0
4:30.0, ,23-21,Defensive rebound by M. Gueye,,1,21,23,-2,450.0
4:15.0, ,23-21,B. Bogdanović misses 3-pt jump shot from 26 ft,,1,21,23,-2,465.0
4:14.0,Defensive rebound by Team,23-21, ,,1,21,23,-2,466.0
4:14.0,T. Mann enters the game for V. Micić,23-21, ,,1,21,23,-2,466.0
4:14.0, ,23-21,B. Fernando enters the game for C. Capela,,1,21,23,-2,466.0
3:54.0,Shooting foul by B. Fernando (drawn by B. Miller),23-21, ,,1,21,23,-2,486.0
3:54.0, ,23-21,Atlanta full timeout,,1,21,23,-2,486.0
3:54.0, ,23-21,Instant Replay (Challenge: Ruling Stands),,1,21,23,-2,486.0
3:54.0, ,23-21,G. Mathews enters the game for B. Bogdanović,,1,21,23,-2,486.0
3:54.0,B. Miller makes free throw 1 of 2,24-21, ,,1,21,24,-3,486.0
