Time,Atlanta,Score,Indiana,Event,Quarter,TeamScore,OpponentScore,PointDifference,ElapsedTime
12:00.0,Jump ball: B. Fernando vs. M. Turner (D. Hunter gains possession),0-0,,,1,0,0,0,0.0
11:38.0,B. Fernando misses 2-pt layup from 3 ft (block by M. Turner),0-0, ,,1,0,0,0,22.0
11:35.0, ,0-0,Defensive rebound by M. Turner,,1,0,0,0,25.0
11:28.0, ,0-0,T. Haliburton misses 3-pt jump shot from 24 ft,,1,0,0,0,32.0
11:25.0,Defensive rebound by T. Young,0-0, ,,1,0,0,0,35.0
11:18.0,Personal foul by A. Nesmith (drawn by D. Hunter),0-0, ,,1,0,0,0,42.0
11:13.0,D. Hunter misses 2-pt jump shot from 11 ft,0-0, ,,1,0,0,0,47.0
11:10.0, ,0-0,Defensive rebound by M. Turner,,1,0,0,0,50.0
11:02.0, ,0-2,M. Turner makes 2-pt layup from 4 ft (assist by T. Haliburton),,1,0,2,-2,58.0
11:02.0, ,0-2,Shooting foul by B. Fernando (drawn by M. Turner),,1,0,2,-2,58.0
11:02.0, ,0-3,M. Turner makes free throw 1 of 1,,1,0,3,-3,58.0
10:50.0,B. Fernando misses 2-pt layup from 6 ft (block by M. Turner),0-3, ,,1,0,3,-3,70.0
10:47.0, ,0-3,Defensive rebound by A. Nesmith,,1,0,3,-3,73.0
10:44.0, ,0-5,P. Siakam makes 2-pt layup from 2 ft (assist by T. Haliburton),,1,0,5,-5,76.0
10:25.0,D. Hunter misses 3-pt jump shot from 24 ft,0-5, ,,1,0,5,-5,95.0
10:22.0, ,0-5,Defensive rebound by T. Haliburton,,1,0,5,-5,98.0
10:12.0, ,0-8,M. Turner makes 3-pt jump shot from 28 ft (assist by T. Haliburton),,1,0,8,-8,108.0
10:09.0,Atlanta full timeout,0-8, ,,1,0,8,-8,111.0
10:09.0,Violation by Team (delay of game),0-8, ,,1,0,8,-8,111.0
9:57.0,D. Murray misses 3-pt jump shot from 26 ft,0-8, ,,1,0,8,-8,123.0
9:53.0, ,0-8,Defensive rebound by M. Turner,,1,0,8,-8,127.0
9:48.0, ,0-8,Turnover by T. Haliburton (bad pass; steal by D. Murray),,1,0,8,-8,132.0
9:45.0,D. Murray makes 2-pt layup from 3 ft,2-8, ,,1,2,8,-6,135.0
9:34.0, ,2-11,M. Turner makes 3-pt jump shot from 26 ft (assist by T. Haliburton),,1,2,11,-9,146.0
9:17.0,B. Bogdanović misses 3-pt jump shot from 24 ft,2-11, ,,1,2,11,-9,163.0
9:15.0, ,2-11,Defensive rebound by P. Siakam,,1,2,11,-9,165.0
9:06.0, ,2-13,P. Siakam makes 2-pt jump shot from 10 ft,,1,2,13,-11,174.0
8:49.0,B. Fernando makes 2-pt jump shot from 9 ft (assist by D. Murray),4-13, ,,1,4,13,-9,191.0
8:37.0, ,4-15,M. Turner makes 2-pt jump shot from 16 ft (assist by T. Haliburton),,1,4,15,-11,203.0
8:22.0,Offensive foul by B. Fernando (drawn by A. Nesmith),4-15, ,,1,4,15,-11,218.0
8:22.0,Turnover by B. Fernando (offensive foul),4-15, ,,1,4,15,-11,218.0
8:13.0, ,4-15,M. Turner misses 2-pt layup from 4 ft,,1,4,15,-11,227.0
8:08.0, ,4-15,Offensive rebound by P. Siakam,,1,4,15,-11,232.0
8:08.0, ,4-17,P. Siakam makes 2-pt dunk at rim,,1,4,17,-13,232.0
7:57.0,Shooting foul by M. Turner (drawn by B. Fernando),4-17, ,,1,4,17,-13,243.0
7:57.0,B. Fernando makes free throw 1 of 2,5-17, ,,1,5,17,-12,243.0
7:57.0,B. Fernando makes free throw 2 of 2,6-17, ,,1,6,17,-11,243.0
7:50.0, ,6-19,P. Siakam makes 2-pt layup from 3 ft (assist by A. Nembhard),,1,6,19,-13,250.0
7:40.0,Turnover by T. Young (lost ball; steal by A. Nesmith),6-19, ,,1,6,19,-13,260.0
7:23.0, ,6-21,T. Haliburton makes 2-pt layup from 3 ft,,1,6,21,-15,277.0
7:15.0,B. Bogdanović makes 3-pt jump shot from 26 ft (assist by T. Young),9-21, ,,1,9,21,-12,285.0
7:09.0, ,9-21,Offensive foul by A. Nembhard (drawn by D. Hunter),,1,9,21,-12,291.0
7:09.0, ,9-21,Turnover by A. Nembhard (offensive foul),,1,9,21,-12,291.0
7:09.0,M. Gueye enters the game for B. Fernando,9-21, ,,1,9,21,-12,291.0
7:09.0, ,9-21,B. Sheppard enters the game for A. Nesmith,,1,9,21,-12,291.0
7:01.0,Shooting foul by M. Turner (drawn by M. Gueye),9-21, ,,1,9,21,-12,299.0
7:01.0,M. Gueye makes free throw 1 of 2,10-21, ,,1,10,21,-11,299.0
7:01.0, ,10-21,J. Smith enters the game for M. Turner,,1,10,21,-11,299.0
7:01.0,M. Gueye makes free throw 2 of 2,11-21, ,,1,11,21,-10,299.0
6:49.0, ,11-21,Turnover by J. Smith (bad pass; steal by B. Bogdanović),,1,11,21,-10,311.0
6:44.0,B. Bogdanović misses 2-pt layup from 6 ft,11-21, ,,1,11,21,-10,316.0
6:42.0,Offensive rebound by T. Young,11-21, ,,1,11,21,-10,318.0
6:42.0,T. Young makes 2-pt layup at rim,13-21, ,,1,13,21,-8,318.0
6:17.0, ,13-24,J. Smith makes 3-pt jump shot from 24 ft (assist by T. Haliburton),,1,13,24,-11,343.0
6:02.0,M. Gueye makes 2-pt dunk from 2 ft (assist by D. Murray),15-24, ,,1,15,24,-9,358.0
5:46.0, ,15-27,A. Nembhard makes 3-pt jump shot from 26 ft,,1,15,27,-12,374.0
5:36.0,Turnover by T. Young (bad pass; steal by T. Haliburton),15-27, ,,1,15,27,-12,384.0
5:33.0, ,15-29,T. Haliburton makes 2-pt dunk from 1 ft,,1,15,29,-14,387.0
5:18.0,D. Murray misses 2-pt jump shot from 13 ft,15-29, ,,1,15,29,-14,402.0
5:15.0, ,15-29,Defensive rebound by P. Siakam,,1,15,29,-14,405.0
5:11.0, ,15-31,P. Siakam makes 2-pt layup from 3 ft,,1,15,31,-16,409.0
5:10.0,Atlanta full timeout,15-31, ,,1,15,31,-16,410.0
5:10.0,G. Mathews enters the game for D. Murray,15-31, ,,1,15,31,-16,410.0
5:10.0, ,15-31,T. McConnell enters the game for A. Nembhard,,1,15,31,-16,410.0
4:55.0,Personal foul by B. Sheppard (drawn by M. Gueye),15-31, ,,1,15,31,-16,425.0
4:46.0,B. Bogdanović makes 3-pt jump shot from 23 ft (assist by T. Young),18-31, ,,1,18,31,-13,434.0
4:33.0, ,18-33,T. McConnell makes 2-pt jump shot from 14 ft,,1,18,33,-15,447.0
4:09.0,M. Gueye makes 2-pt jump shot from 7 ft (assist by T. Young),20-33, ,,1,20,33,-13,471.0
3:45.0, ,20-33,B. Sheppard misses 3-pt jump shot from 23 ft,,1,20,33,-13,495.0
3:42.0,Defensive rebound by M. Gueye,20-33, ,,1,20,33,-13,498.0
3:39.0,Personal take foul by T. McConnell (drawn by D. Hunter),20-33, ,,1,20,33,-13,501.0
3:39.0,D. Hunter makes free throw 1 of 2,21-33, ,,1,21,33,-12,501.0
3:39.0, ,21-33,A. Nesmith enters the game for T. Haliburton,,1,21,33,-12,501.0
3:39.0, ,21-33,O. Toppin enters the game for P. Siakam,,1,21,33,-12,501.0
3:39.0,D. Hunter makes free throw 2 of 2,22-33, ,,1,22,33,-11,501.0
3:22.0, ,22-33,T. McConnell misses 2-pt jump shot from 11 ft (block by M. Gueye),,1,22,33,-11,518.0
3:19.0, ,22-33,Offensive rebound by J. Smith,,1,22,33,-11,521.0
3:19.0, ,22-35,J. Smith makes 2-pt layup from 2 ft,,1,22,35,-13,521.0
3:06.0,M. Gueye makes 2-pt layup from 2 ft (assist by T. Young),24-35, ,,1,24,35,-11,534.0
2:43.0, ,24-37,T. McConnell makes 2-pt jump shot from 5 ft (assist by A. Nesmith),,1,24,37,-13,557.0
2:33.0,B. Bogdanović misses 3-pt jump shot from 24 ft,24-37, ,,1,24,37,-13,567.0
2:30.0,Offensive rebound by Team,24-37, ,,1,24,37,-13,570.0
2:30.0,A. Griffin enters the game for B. Bogdanović,24-37, ,,1,24,37,-13,570.0
2:30.0,V. Krejci enters the game for D. Hunter,24-37, ,,1,24,37,-13,570.0
2:24.0,T. Young makes 2-pt jump shot from 5 ft,26-37, ,,1,26,37,-11,576.0
2:15.0, ,26-37,Shooting foul by T. Young (drawn by O. Toppin),,1,26,37,-11,585.0
2:15.0, ,26-38,O. Toppin makes free throw 1 of 2,,1,26,38,-12,585.0
2:15.0, ,26-39,O. Toppin makes free throw 2 of 2,,1,26,39,-13,585.0
2:05.0,M. Gueye misses 3-pt jump shot from 26 ft,26-39, ,,1,26,39,-13,595.0
2:01.0, ,26-39,Defensive rebound by B. Sheppard,,1,26,39,-13,599.0
1:45.0, ,26-39,Turnover by J. Smith (bad pass),,1,26,39,-13,615.0
1:33.0, ,26-39,Loose ball foul by A. Nesmith (drawn by M. Gueye),,1,26,39,-13,627.0
