Time,Boston,Score,Washington,Event,Quarter,TeamScore,OpponentScore,PointDifference,ElapsedTime
12:00.0,Jump ball: K. Porziņģis vs. D. Avdija (D. White gains possession),0-0,,,1,0,0,0,0.0
11:45.0,K. Porziņģis misses 2-pt layup from 9 ft,0-0, ,,1,0,0,0,15.0
11:41.0, ,0-0,Defensive rebound by D. Avdija,,1,0,0,0,19.0
11:24.0, ,0-0,K. Kuzma misses 2-pt jump shot from 14 ft,,1,0,0,0,36.0
11:21.0,Defensive rebound by J. Tatum,0-0, ,,1,0,0,0,39.0
11:11.0,J. Brown makes 2-pt layup from 7 ft (assist by D. White),2-0, ,,1,2,0,2,49.0
10:57.0, ,2-0,B. Coulibaly misses 3-pt jump shot from 26 ft,,1,2,0,2,63.0
10:53.0,Defensive rebound by J. Brown,2-0, ,,1,2,0,2,67.0
10:51.0,Personal foul by D. Avdija (drawn by K. Porziņģis),2-0, ,,1,2,0,2,69.0
10:37.0,J. Tatum makes 2-pt layup from 4 ft,4-0, ,,1,4,0,4,83.0
10:26.0, ,4-3,J. Poole makes 3-pt jump shot from 26 ft (assist by T. Jones),,1,4,3,1,94.0
10:08.0,K. Porziņģis makes 2-pt layup from 2 ft (assist by D. White),6-3, ,,1,6,3,3,112.0
9:59.0, ,6-3,D. Avdija misses 3-pt jump shot from 26 ft,,1,6,3,3,121.0
9:55.0,Defensive rebound by J. Tatum,6-3, ,,1,6,3,3,125.0
9:46.0,K. Porziņģis makes 2-pt layup from 2 ft (assist by J. Tatum),8-3, ,,1,8,3,5,134.0
9:32.0, ,8-5,T. Jones makes 2-pt layup from 3 ft (assist by J. Poole),,1,8,5,3,148.0
9:18.0,J. Holiday makes 2-pt jump shot from 20 ft,10-5, ,,1,10,5,5,162.0
9:02.0, ,10-5,B. Coulibaly misses 3-pt jump shot from 26 ft,,1,10,5,5,178.0
8:59.0,Defensive rebound by J. Brown,10-5, ,,1,10,5,5,181.0
