Time,Boston,Score,Philadelphia,Event,Quarter,TeamScore,OpponentScore,PointDifference,ElapsedTime
12:00.0,Jump ball: K. Porziņģis vs. J. Embiid (K. Oubre gains possession),0-0,,,1,0,0,0,0.0
11:51.0, ,0-2,K. Oubre makes 2-pt dunk from 3 ft,,1,0,2,-2,9.0
11:34.0,J. Brown misses 2-pt jump shot from 23 ft,0-2, ,,1,0,2,-2,26.0
11:30.0, ,0-2,Defensive rebound by J. Embiid,,1,0,2,-2,30.0
11:14.0, ,0-4,T. Maxey makes 2-pt jump shot from 5 ft,,1,0,4,-4,46.0
10:58.0,K. Porziņģis misses 3-pt jump shot from 27 ft,0-4, ,,1,0,4,-4,62.0
10:55.0, ,0-4,Defensive rebound by T. Harris,,1,0,4,-4,65.0
10:51.0, ,0-4,Shooting foul by J. Brown (drawn by T. Harris),,1,0,4,-4,69.0
10:51.0, ,0-5,T. Harris makes free throw 1 of 2,,1,0,5,-5,69.0
10:51.0, ,0-6,T. Harris makes free throw 2 of 2,,1,0,6,-6,69.0
10:35.0,J. Brown misses 3-pt jump shot from 28 ft,0-6, ,,1,0,6,-6,85.0
10:31.0, ,0-6,Defensive rebound by K. Oubre,,1,0,6,-6,89.0
10:20.0, ,0-6,T. Maxey misses 3-pt jump shot from 28 ft,,1,0,6,-6,100.0
10:16.0,Defensive rebound by D. White,0-6, ,,1,0,6,-6,104.0
10:09.0,J. Tatum makes 2-pt dunk from 1 ft,2-6, ,,1,2,6,-4,111.0
9:54.0, ,2-6,T. Harris misses 3-pt jump shot from 26 ft,,1,2,6,-4,126.0
9:50.0,Defensive rebound by D. White,2-6, ,,1,2,6,-4,130.0
9:48.0,D. White misses 3-pt jump shot from 26 ft,2-6, ,,1,2,6,-4,132.0
9:44.0,Offensive rebound by K. Porziņģis,2-6, ,,1,2,6,-4,136.0
9:44.0,K. Porziņģis misses 2-pt layup at rim,2-6, ,,1,2,6,-4,136.0
9:43.0,Offensive rebound by K. Porziņģis,2-6, ,,1,2,6,-4,137.0
9:41.0,K. Porziņģis misses 2-pt layup from 4 ft,2-6, ,,1,2,6,-4,139.0
9:39.0, ,2-6,Defensive rebound by K. Oubre,,1,2,6,-4,141.0
9:36.0, ,2-6,D. Melton misses 3-pt jump shot from 26 ft,,1,2,6,-4,144.0
9:34.0,Defensive rebound by J. Tatum,2-6, ,,1,2,6,-4,146.0
9:23.0,K. Porziņģis misses 3-pt jump shot from 26 ft,2-6, ,,1,2,6,-4,157.0
9:20.0, ,2-6,Defensive rebound by D. Melton,,1,2,6,-4,160.0
9:12.0, ,2-6,Shooting foul by K. Porziņģis (drawn by J. Embiid),,1,2,6,-4,168.0
9:12.0, ,2-7,J. Embiid makes free throw 1 of 2,,1,2,7,-5,168.0
9:12.0, ,2-8,J. Embiid makes free throw 2 of 2,,1,2,8,-6,168.0
8:51.0,J. Tatum misses 2-pt jump shot from 15 ft,2-8, ,,1,2,8,-6,189.0
8:44.0,Offensive rebound by D. White,2-8, ,,1,2,8,-6,196.0
8:44.0,D. White makes 2-pt layup at rim,4-8, ,,1,4,8,-4,196.0
