Time,Toronto,Score,Boston,Event,Quarter,TeamScore,OpponentScore,PointDifference,ElapsedTime
12:00.0,Jump ball: J. Poeltl vs. K. Porziņģis (S. Barnes gains possession),0-0,,,1,0,0,0,0.0
11:43.0,J. Poeltl makes 2-pt hook shot from 2 ft (assist by P. Siakam),2-0, ,,1,0,2,-2,17.0
11:21.0, ,2-0,K. Porziņģis misses 3-pt jump shot from 26 ft,,1,0,2,-2,39.0
11:19.0,Defensive rebound by S. Barnes,2-0, ,,1,0,2,-2,41.0
11:11.0,Def 3 sec tech foul by Team,2-0, ,,1,0,2,-2,49.0
11:11.0,D. Schröder makes technical free throw,3-0, ,,1,0,3,-3,49.0
10:59.0,Turnover by D. Schröder (out of bounds lost ball),3-0, ,,1,0,3,-3,61.0
10:46.0, ,3-0,J. Holiday misses 3-pt jump shot from 28 ft,,1,0,3,-3,74.0
10:43.0,Defensive rebound by S. Barnes,3-0, ,,1,0,3,-3,77.0
10:38.0,P. Siakam misses 2-pt jump shot from 13 ft (block by J. Holiday),3-0, ,,1,0,3,-3,82.0
10:34.0,Offensive rebound by Team,3-0, ,,1,0,3,-3,86.0
10:30.0,D. Schröder misses 2-pt jump shot from 11 ft,3-0, ,,1,0,3,-3,90.0
10:27.0, ,3-0,Defensive rebound by J. Holiday,,1,0,3,-3,93.0
10:22.0, ,3-0,J. Tatum misses 3-pt jump shot from 27 ft,,1,0,3,-3,98.0
10:19.0,Defensive rebound by P. Siakam,3-0, ,,1,0,3,-3,101.0
10:14.0,P. Siakam makes 2-pt jump shot from 16 ft,5-0, ,,1,0,5,-5,106.0
10:04.0, ,5-2,K. Porziņģis makes 2-pt dunk from 4 ft (assist by J. Holiday),,1,2,5,-3,116.0
10:04.0, ,5-2,Shooting foul by J. Poeltl (drawn by K. Porziņģis),,1,2,5,-3,116.0
10:04.0, ,5-2,K. Porziņģis misses free throw 1 of 1,,1,2,5,-3,116.0
10:04.0,Defensive rebound by P. Siakam,5-2, ,,1,2,5,-3,116.0
9:47.0,J. Poeltl makes 2-pt layup from 3 ft (assist by O. Anunoby),7-2, ,,1,2,7,-5,133.0
9:35.0, ,7-4,J. Brown makes 2-pt layup from 6 ft,,1,4,7,-3,145.0
9:22.0,P. Siakam misses 2-pt jump shot from 7 ft,7-4, ,,1,4,7,-3,158.0
9:18.0, ,7-4,Defensive rebound by Team,,1,4,7,-3,162.0
9:04.0, ,7-6,K. Porziņģis makes 2-pt dunk from 4 ft (assist by D. White),,1,6,7,-1,176.0
8:46.0,S. Barnes makes 3-pt jump shot from 26 ft (assist by D. Schröder),10-6, ,,1,6,10,-4,194.0
8:35.0, ,10-6,Turnover by J. Brown (lost ball; steal by S. Barnes),,1,6,10,-4,205.0
8:32.0,P. Siakam makes 2-pt layup from 1 ft (assist by S. Barnes),12-6, ,,1,6,12,-6,208.0
8:32.0, ,12-6,Boston full timeout,,1,6,12,-6,208.0
8:24.0, ,12-6,D. White misses 3-pt jump shot from 29 ft,,1,6,12,-6,216.0
8:21.0,Defensive rebound by O. Anunoby,12-6, ,,1,6,12,-6,219.0
8:04.0,O. Anunoby misses 2-pt jump shot from 15 ft,12-6, ,,1,6,12,-6,236.0
8:01.0, ,12-6,Defensive rebound by J. Tatum,,1,6,12,-6,239.0
7:49.0, ,12-9,K. Porziņģis makes 3-pt jump shot from 30 ft (assist by J. Holiday),,1,9,12,-3,251.0
7:33.0,J. Poeltl misses 2-pt hook shot from 4 ft,12-9, ,,1,9,12,-3,267.0
7:29.0, ,12-9,Defensive rebound by J. Tatum,,1,9,12,-3,271.0
7:16.0, ,12-11,J. Holiday makes 2-pt jump shot from 17 ft (assist by K. Porziņģis),,1,11,12,-1,284.0
7:05.0,P. Siakam misses 3-pt jump shot from 25 ft,12-11, ,,1,11,12,-1,295.0
7:02.0, ,12-11,Defensive rebound by D. White,,1,11,12,-1,298.0
6:54.0, ,12-11,Shooting foul by D. Schröder (drawn by J. Brown),,1,11,12,-1,306.0
6:54.0, ,12-12,J. Brown makes free throw 1 of 2,Tie,1,12,12,0,306.0
6:54.0, ,12-12,J. Brown misses free throw 2 of 2,,1,12,12,0,306.0
6:54.0,Defensive rebound by O. Anunoby,12-12, ,,1,12,12,0,306.0
6:35.0,D. Schröder misses 3-pt jump shot from 28 ft,12-12, ,,1,12,12,0,325.0
6:32.0, ,12-12,Defensive rebound by K. Porziņģis,,1,12,12,0,328.0
6:23.0, ,12-15,J. Brown makes 3-pt jump shot from 28 ft (assist by D. White),Lead change,1,15,12,3,337.0
6:11.0,S. Barnes misses 3-pt jump shot from 25 ft,12-15, ,,1,15,12,3,349.0
6:08.0,Offensive rebound by P. Siakam,12-15, ,,1,15,12,3,352.0
6:04.0,P. Siakam makes 2-pt layup from 2 ft (assist by J. Poeltl),14-15, ,,1,15,14,1,356.0
5:51.0, ,14-15,Turnover by J. Holiday (bad pass),,1,15,14,1,369.0
5:51.0,O. Porter enters the game for S. Barnes,14-15, ,,1,15,14,1,369.0
5:51.0, ,14-15,S. Hauser enters the game for J. Holiday,,1,15,14,1,369.0
5:51.0, ,14-15,A. Horford enters the game for J. Tatum,,1,15,14,1,369.0
5:40.0,Shooting foul by D. White (drawn by P. Siakam),14-15, ,,1,15,14,1,380.0
5:40.0,P. Siakam makes free throw 1 of 2,15-15, ,Tie,1,15,15,0,380.0
5:40.0,P. Siakam makes free throw 2 of 2,16-15, ,Lead change,1,15,16,-1,380.0
5:20.0, ,16-17,D. White makes 2-pt layup from 4 ft,Lead change,1,17,16,1,400.0
5:07.0,Shooting foul by D. White (drawn by D. Schröder),16-17, ,,1,17,16,1,413.0
5:07.0,D. Schröder makes free throw 1 of 2,17-17, ,Tie,1,17,17,0,413.0
5:07.0, ,17-17,P. Pritchard enters the game for D. White,,1,17,17,0,413.0
5:07.0,D. Schröder makes free throw 2 of 2,18-17, ,Lead change,1,17,18,-1,413.0
4:47.0, ,18-17,Personal foul by D. Schröder (drawn by J. Brown),,1,17,18,-1,433.0
4:42.0, ,18-17,K. Porziņģis misses 3-pt jump shot from 31 ft,,1,17,18,-1,438.0
4:38.0,Defensive rebound by O. Porter,18-17, ,,1,17,18,-1,442.0
4:32.0,Shooting foul by A. Horford (drawn by P. Siakam),18-17, ,,1,17,18,-1,448.0
4:32.0,P. Siakam makes free throw 1 of 2,19-17, ,,1,17,19,-2,448.0
4:32.0,P. Siakam makes free throw 2 of 2,20-17, ,,1,17,20,-3,448.0
4:18.0, ,20-19,J. Brown makes 2-pt layup from 4 ft (assist by K. Porziņģis),,1,19,20,-1,462.0
4:03.0,O. Anunoby makes 2-pt layup from 6 ft (assist by D. Schröder),22-19, ,,1,19,22,-3,477.0
3:48.0, ,22-19,Turnover by J. Brown (lost ball; steal by P. Siakam),,1,19,22,-3,492.0
3:43.0,Personal foul by S. Hauser (drawn by O. Anunoby),22-19, ,,1,19,22,-3,497.0
3:43.0,M. Flynn enters the game for D. Schröder,22-19, ,,1,19,22,-3,497.0
3:36.0,J. Poeltl makes 2-pt layup from 3 ft,24-19, ,,1,19,24,-5,504.0
3:24.0, ,24-22,S. Hauser makes 3-pt jump shot from 26 ft (assist by P. Pritchard),,1,22,24,-2,516.0
3:19.0,Toronto full timeout,24-22, ,,1,22,24,-2,521.0
3:19.0,P. Achiuwa enters the game for O. Anunoby,24-22, ,,1,22,24,-2,521.0
3:19.0,S. Barnes enters the game for J. Poeltl,24-22, ,,1,22,24,-2,521.0
3:19.0, ,24-22,J. Tatum enters the game for J. Brown,,1,22,24,-2,521.0
3:05.0,P. Siakam misses 2-pt jump shot from 12 ft,24-22, ,,1,22,24,-2,535.0
3:02.0, ,24-22,Defensive rebound by K. Porziņģis,,1,22,24,-2,538.0
2:48.0, ,24-22,K. Porziņģis misses 3-pt jump shot from 28 ft,,1,22,24,-2,552.0
2:46.0,Defensive rebound by Team,24-22, ,,1,22,24,-2,554.0
2:38.0,S. Barnes misses 2-pt hook shot from 6 ft,24-22, ,,1,22,24,-2,562.0
2:35.0, ,24-22,Defensive rebound by K. Porziņģis,,1,22,24,-2,565.0
2:21.0, ,24-24,J. Tatum makes 2-pt layup from 7 ft,Tie,1,24,24,0,579.0
2:11.0,P. Achiuwa misses 2-pt jump shot from 10 ft,24-24, ,,1,24,24,0,589.0
2:08.0, ,24-24,Defensive rebound by K. Porziņģis,,1,24,24,0,592.0
1:54.0, ,24-24,Turnover by J. Tatum (bad pass),,1,24,24,0,606.0
1:54.0,C. Boucher enters the game for P. Siakam,24-24, ,,1,24,24,0,606.0
1:54.0, ,24-24,J. Holiday enters the game for K. Porziņģis,,1,24,24,0,606.0
1:40.0,S. Barnes makes 2-pt jump shot from 17 ft,26-24, ,,1,24,26,-2,620.0
1:24.0, ,26-24,J. Holiday misses 2-pt jump shot from 14 ft,,1,24,26,-2,636.0
1:22.0,Defensive rebound by M. Flynn,26-24, ,,1,24,26,-2,638.0
1:16.0,S. Barnes misses 3-pt jump shot from 26 ft,26-24, ,,1,24,26,-2,644.0
1:13.0, ,26-24,Defensive rebound by A. Horford,,1,24,26,-2,647.0
1:06.0, ,26-24,J. Tatum misses 3-pt jump shot from 27 ft,,1,24,26,-2,654.0
1:04.0, ,26-24,Offensive rebound by Team,,1,24,26,-2,656.0
1:04.0,Loose ball foul by P. Achiuwa (drawn by A. Horford),26-24, ,,1,24,26,-2,656.0
0:58.0, ,26-26,J. Holiday makes 2-pt layup from 5 ft,Tie,1,26,26,0,662.0
0:48.0,S. Barnes misses 3-pt jump shot from 25 ft,26-26, ,,1,26,26,0,672.0
0:45.0, ,26-26,Defensive rebound by Team,,1,26,26,0,675.0
0:33.0, ,26-26,Shooting foul by C. Boucher (drawn by J. Tatum),,1,26,26,0,687.0
0:33.0, ,26-27,J. Tatum makes free throw 1 of 2,Lead change,1,27,26,1,687.0
0:33.0, ,26-28,J. Tatum makes free throw 2 of 2,,1,28,26,2,687.0
0:25.0,S. Barnes misses 2-pt layup from 5 ft,26-28, ,,1,28,26,2,695.0
0:22.0,Offensive rebound by S. Barnes,26-28, ,,1,28,26,2,698.0
0:16.0,M. Flynn misses 3-pt jump shot from 27 ft,26-28, ,,1,28,26,2,704.0
0:11.0, ,26-28,Defensive rebound by S. Hauser,,1,28,26,2,709.0
0:00.0, ,26-30,J. Tatum makes 2-pt layup from 5 ft,,1,30,26,4,720.0
0:00.0,S. Barnes misses 3-pt jump shot from 57 ft,26-30, ,,1,30,26,4,720.0
0:00.0,Offensive rebound by Team,26-30, ,,1,30,26,4,720.0
0:00.0,End of 1st quarter,26-30,,,1,30,26,4,720.0
12:00.0,Start of 2nd quarter,26-30,,,2,30,26,4,720.0
11:46.0, ,26-33,S. Hauser makes 3-pt jump shot from 28 ft (assist by J. Tatum),,2,33,26,7,734.0
11:29.0,S. Barnes misses 2-pt layup from 6 ft (block by J. Holiday),26-33, ,,2,33,26,7,751.0
11:27.0, ,26-33,Defensive rebound by A. Horford,,2,33,26,7,753.0
11:20.0, ,26-35,J. Tatum makes 2-pt jump shot from 15 ft (assist by A. Horford),,2,35,26,9,760.0
