Time,Boston,Score,Toronto,Event,Quarter,TeamScore,OpponentScore,PointDifference,ElapsedTime
12:00.0,Jump ball: K. Porziņģis vs. J. Poeltl (J. Tatum gains possession),0-0,,,1,0,0,0,0.0
11:45.0,D. White misses 3-pt jump shot from 27 ft,0-0, ,,1,0,0,0,15.0
11:42.0,Offensive rebound by K. Porziņģis,0-0, ,,1,0,0,0,18.0
11:41.0,J. Tatum misses 3-pt jump shot from 25 ft,0-0, ,,1,0,0,0,19.0
11:37.0,Offensive rebound by J. Holiday,0-0, ,,1,0,0,0,23.0
11:28.0,K. Porziņģis misses 3-pt jump shot from 25 ft,0-0, ,,1,0,0,0,32.0
11:24.0, ,0-0,Defensive rebound by S. Barnes,,1,0,0,0,36.0
11:08.0, ,0-2,P. Siakam makes 2-pt layup from 1 ft (assist by J. Poeltl),,1,0,2,-2,52.0
10:53.0,J. Holiday makes 3-pt jump shot from 23 ft (assist by J. Brown),3-2, ,Lead change,1,3,2,1,67.0
10:33.0, ,3-4,S. Barnes makes 2-pt layup at rim (assist by J. Poeltl),Lead change,1,3,4,-1,87.0
10:16.0,J. Tatum misses 3-pt jump shot from 24 ft,3-4, ,,1,3,4,-1,104.0
10:13.0, ,3-4,Defensive rebound by D. Schröder,,1,3,4,-1,107.0
10:00.0, ,3-6,J. Poeltl makes 2-pt layup at rim (assist by D. Schröder),,1,3,6,-3,120.0
9:49.0,D. White misses 2-pt jump shot from 10 ft,3-6, ,,1,3,6,-3,131.0
9:47.0, ,3-6,Defensive rebound by J. Poeltl,,1,3,6,-3,133.0
9:42.0, ,3-8,P. Siakam makes 2-pt layup from 1 ft (assist by D. Schröder),,1,3,8,-5,138.0
9:28.0,J. Tatum misses 3-pt jump shot from 26 ft,3-8, ,,1,3,8,-5,152.0
9:25.0, ,3-8,Defensive rebound by P. Siakam,,1,3,8,-5,155.0
9:06.0, ,3-8,D. Schröder misses 3-pt jump shot from 25 ft,,1,3,8,-5,174.0
9:03.0,Defensive rebound by D. White,3-8, ,,1,3,8,-5,177.0
8:54.0,J. Tatum makes 2-pt layup at rim (assist by K. Porziņģis),5-8, ,,1,5,8,-3,186.0
8:40.0, ,5-8,G. Trent misses 2-pt jump shot from 10 ft,,1,5,8,-3,200.0
8:37.0,Defensive rebound by K. Porziņģis,5-8, ,,1,5,8,-3,203.0
8:32.0,J. Brown misses 2-pt layup from 2 ft,5-8, ,,1,5,8,-3,208.0
8:31.0,Offensive rebound by J. Tatum,5-8, ,,1,5,8,-3,209.0
8:31.0,J. Tatum makes 2-pt layup at rim,7-8, ,,1,7,8,-1,209.0
8:13.0, ,7-11,D. Schröder makes 3-pt jump shot from 23 ft (assist by G. Trent),,1,7,11,-4,227.0
7:55.0,Shooting foul by P. Siakam (drawn by K. Porziņģis),7-11, ,,1,7,11,-4,245.0
7:55.0,K. Porziņģis makes free throw 1 of 2,8-11, ,,1,8,11,-3,245.0
7:55.0,K. Porziņģis makes free throw 2 of 2,9-11, ,,1,9,11,-2,245.0
7:48.0, ,9-13,G. Trent makes 2-pt layup from 1 ft,,1,9,13,-4,252.0
7:48.0, ,9-13,Shooting foul by D. White (drawn by G. Trent),,1,9,13,-4,252.0
7:48.0, ,9-14,G. Trent makes free throw 1 of 1,,1,9,14,-5,252.0
7:23.0,J. Holiday makes 3-pt jump shot from 24 ft (assist by J. Brown),12-14, ,,1,12,14,-2,277.0
7:15.0, ,12-17,G. Trent makes 3-pt jump shot from 25 ft (assist by S. Barnes),,1,12,17,-5,285.0
