Time,Milwaukee,Score,Boston,Event,Quarter,TeamScore,OpponentScore,PointDifference,ElapsedTime
12:00.0,Jump ball: B. Lopez vs. K. Porziņģis (D. White gains possession),0-0,,,1,0,0,0,0.0
11:50.0, ,0-2,J. Brown makes 2-pt dunk from 2 ft (assist by J. Holiday),,1,2,0,2,10.0
11:25.0,K. Middleton misses 2-pt jump shot from 12 ft,0-2, ,,1,2,0,2,35.0
11:22.0, ,0-2,Defensive rebound by J. Tatum,,1,2,0,2,38.0
11:16.0, ,0-2,J. Brown misses 2-pt jump shot from 10 ft,,1,2,0,2,44.0
11:15.0, ,0-2,Offensive rebound by Team,,1,2,0,2,45.0
11:02.0, ,0-2,J. Holiday misses 2-pt jump shot from 13 ft,,1,2,0,2,58.0
11:00.0,Defensive rebound by G. Antetokounmpo,0-2, ,,1,2,0,2,60.0
10:51.0,G. Antetokounmpo misses 2-pt layup from 4 ft (block by J. Holiday),0-2, ,,1,2,0,2,69.0
10:49.0,Offensive rebound by B. Lopez,0-2, ,,1,2,0,2,71.0
10:47.0,B. Lopez misses 2-pt jump shot from 7 ft,0-2, ,,1,2,0,2,73.0
10:44.0,Offensive rebound by G. Antetokounmpo,0-2, ,,1,2,0,2,76.0
10:43.0,G. Antetokounmpo misses 2-pt layup from 1 ft (block by J. Tatum),0-2, ,,1,2,0,2,77.0
10:41.0, ,0-2,Defensive rebound by J. Holiday,,1,2,0,2,79.0
10:37.0, ,0-5,J. Brown makes 3-pt jump shot from 25 ft (assist by D. White),,1,5,0,5,83.0
10:16.0,K. Middleton misses 3-pt jump shot from 29 ft,0-5, ,,1,5,0,5,104.0
10:14.0,Offensive rebound by Team,0-5, ,,1,5,0,5,106.0
10:09.0,D. Lillard misses 3-pt jump shot from 27 ft,0-5, ,,1,5,0,5,111.0
10:07.0, ,0-5,Defensive rebound by J. Tatum,,1,5,0,5,113.0
9:55.0, ,0-7,J. Tatum makes 2-pt jump shot from 12 ft,,1,7,0,7,125.0
9:43.0,Turnover by D. Lillard (bad pass),0-7, ,,1,7,0,7,137.0
9:26.0, ,0-10,J. Brown makes 3-pt jump shot from 26 ft,,1,10,0,10,154.0
9:23.0,Milwaukee full timeout,0-10, ,,1,10,0,10,157.0
9:08.0,G. Antetokounmpo misses 2-pt hook shot from 9 ft,0-10, ,,1,10,0,10,172.0
