Time,Atlanta,Score,Boston,Event,Quarter,TeamScore,OpponentScore,PointDifference,ElapsedTime
12:00.0,Jump ball: C. Capela vs. A. Horford (J. Brown gains possession),0-0,,,1,0,0,0,0.0
11:43.0, ,0-2,A. Horford makes 2-pt layup from 3 ft (assist by J. Tatum),,1,2,0,2,17.0
11:17.0,Turnover by D. Murray (bad pass; steal by J. Tatum),0-2, ,,1,2,0,2,43.0
11:08.0, ,0-5,J. Tatum makes 3-pt jump shot from 25 ft (assist by D. White),,1,5,0,5,52.0
10:53.0,Turnover by C. Capela (bad pass),0-5, ,,1,5,0,5,67.0
10:45.0, ,0-5,Turnover by J. Tatum (bad pass; steal by D. Hunter),,1,5,0,5,75.0
10:40.0,D. Murray misses 2-pt layup from 6 ft,0-5, ,,1,5,0,5,80.0
10:38.0, ,0-5,Defensive rebound by J. Tatum,,1,5,0,5,82.0
10:36.0, ,0-5,A. Horford misses 3-pt jump shot from 26 ft,,1,5,0,5,84.0
10:35.0,Defensive rebound by S. Bey,0-5, ,,1,5,0,5,85.0
10:25.0,T. Young makes 2-pt layup from 4 ft,2-5, ,,1,5,2,3,95.0
10:08.0, ,2-5,Personal foul by S. Bey (drawn by J. Brown),,1,5,2,3,112.0
9:54.0, ,2-7,J. Brown makes 2-pt layup from 2 ft (assist by A. Horford),,1,7,2,5,126.0
9:42.0,D. Hunter misses 3-pt jump shot from 27 ft,2-7, ,,1,7,2,5,138.0
9:39.0, ,2-7,Defensive rebound by A. Horford,,1,7,2,5,141.0
9:32.0, ,2-7,Turnover by J. Tatum (bad pass; steal by C. Capela),,1,7,2,5,148.0
9:29.0,S. Bey makes 2-pt dunk from 4 ft (assist by T. Young),4-7, ,,1,7,4,3,151.0
9:21.0, ,4-10,J. Brown makes 3-pt jump shot from 26 ft (assist by J. Tatum),,1,10,4,6,159.0
9:00.0,D. Murray misses 2-pt jump shot from 20 ft,4-10, ,,1,10,4,6,180.0
8:58.0,Offensive rebound by Team,4-10, ,,1,10,4,6,182.0
8:58.0, ,4-10,Loose ball foul by D. Banton (drawn by C. Capela),,1,10,4,6,182.0
8:55.0,T. Young misses 3-pt jump shot from 38 ft,4-10, ,,1,10,4,6,185.0
8:52.0, ,4-10,Defensive rebound by A. Horford,,1,10,4,6,188.0
8:43.0, ,4-10,Shooting foul by S. Bey (drawn by J. Tatum),,1,10,4,6,197.0
8:43.0,A. Griffin enters the game for S. Bey,4-10, ,,1,10,4,6,197.0
8:43.0, ,4-10,J. Tatum misses free throw 1 of 2,,1,10,4,6,197.0
8:43.0, ,4-10,Offensive rebound by Team,,1,10,4,6,197.0
8:43.0, ,4-11,J. Tatum makes free throw 2 of 2,,1,11,4,7,197.0
8:21.0,C. Capela misses 2-pt hook shot from 6 ft (block by A. Horford),4-11, ,,1,11,4,7,219.0
8:19.0, ,4-11,Defensive rebound by A. Horford,,1,11,4,7,221.0
8:18.0,Technical foul by T. Young,4-11, ,,1,11,4,7,222.0
8:18.0, ,4-12,J. Tatum makes technical free throw,,1,12,4,8,222.0
8:08.0, ,4-12,D. White misses 2-pt layup from 2 ft,,1,12,4,8,232.0
8:06.0, ,4-12,Offensive rebound by D. Banton,,1,12,4,8,234.0
8:05.0, ,4-12,D. Banton misses 2-pt layup from 3 ft (block by C. Capela),,1,12,4,8,235.0
8:03.0,Defensive rebound by D. Hunter,4-12, ,,1,12,4,8,237.0
8:00.0,D. Hunter makes 3-pt jump shot from 27 ft (assist by T. Young),7-12, ,,1,12,7,5,240.0
7:39.0, ,7-12,J. Tatum misses 2-pt layup from 3 ft,,1,12,7,5,261.0
7:37.0,Defensive rebound by C. Capela,7-12, ,,1,12,7,5,263.0
7:32.0,A. Griffin misses 3-pt jump shot from 27 ft,7-12, ,,1,12,7,5,268.0
7:29.0, ,7-12,Defensive rebound by A. Horford,,1,12,7,5,271.0
7:24.0, ,7-12,J. Brown misses 2-pt jump shot from 6 ft,,1,12,7,5,276.0
7:22.0,Defensive rebound by D. Murray,7-12, ,,1,12,7,5,278.0
7:11.0,T. Young makes 3-pt jump shot from 28 ft (assist by A. Griffin),10-12, ,,1,12,10,2,289.0
7:09.0, ,10-12,Boston full timeout,,1,12,10,2,291.0
7:09.0,B. Bogdanović enters the game for A. Griffin,10-12, ,,1,12,10,2,291.0
6:55.0, ,10-12,D. White misses 3-pt jump shot from 23 ft,,1,12,10,2,305.0
6:52.0,Defensive rebound by C. Capela,10-12, ,,1,12,10,2,308.0
6:44.0,Turnover by T. Young (bad pass; steal by D. White),10-12, ,,1,12,10,2,316.0
6:40.0, ,10-14,J. Brown makes 2-pt dunk from 1 ft (assist by J. Tatum),,1,14,10,4,320.0
6:28.0,T. Young makes 3-pt jump shot from 26 ft (assist by D. Murray),13-14, ,,1,14,13,1,332.0
6:05.0, ,13-16,D. White makes 2-pt layup from 5 ft,,1,16,13,3,355.0
5:50.0,D. Murray misses 2-pt jump shot from 19 ft,13-16, ,,1,16,13,3,370.0
5:47.0, ,13-16,Defensive rebound by D. Banton,,1,16,13,3,373.0
5:39.0, ,13-16,D. White misses 3-pt jump shot from 23 ft,,1,16,13,3,381.0
5:36.0, ,13-16,Offensive rebound by D. White,,1,16,13,3,384.0
5:34.0, ,13-16,D. White misses 3-pt jump shot from 23 ft,,1,16,13,3,386.0
5:32.0,Defensive rebound by B. Bogdanović,13-16, ,,1,16,13,3,388.0
5:27.0,Shooting foul by D. Banton (drawn by C. Capela),13-16, ,,1,16,13,3,393.0
5:27.0,C. Capela misses free throw 1 of 2,13-16, ,,1,16,13,3,393.0
5:27.0,Offensive rebound by Team,13-16, ,,1,16,13,3,393.0
