Time,Cleveland,Score,Boston,Event,Quarter,TeamScore,OpponentScore,PointDifference,ElapsedTime
12:00.0,Jump ball: J. Allen vs. K. Porziņģis (J. Brown gains possession),0-0,,,1,0,0,0,0.0
11:45.0, ,0-2,J. Holiday makes 2-pt layup from 2 ft (assist by J. Tatum),,1,2,0,2,15.0
11:28.0,D. Wade misses 3-pt jump shot from 27 ft,0-2, ,,1,2,0,2,32.0
11:27.0,Offensive rebound by Team,0-2, ,,1,2,0,2,33.0
11:20.0,M. Strus misses 3-pt jump shot from 28 ft,0-2, ,,1,2,0,2,40.0
11:18.0, ,0-2,Defensive rebound by K. Porziņģis,,1,2,0,2,42.0
11:13.0, ,0-2,Turnover by K. Porziņģis (bad pass; steal by D. Garland),,1,2,0,2,47.0
11:08.0,D. Mitchell misses 3-pt jump shot from 26 ft,0-2, ,,1,2,0,2,52.0
11:06.0, ,0-2,Defensive rebound by J. Tatum,,1,2,0,2,54.0
10:57.0, ,0-5,D. White makes 3-pt jump shot from 26 ft (assist by J. Tatum),,1,5,0,5,63.0
10:29.0,D. Mitchell makes 2-pt dunk from 4 ft,2-5, ,,1,5,2,3,91.0
10:04.0, ,2-5,J. Brown misses 2-pt jump shot from 11 ft,,1,5,2,3,116.0
10:02.0, ,2-5,Offensive rebound by D. White,,1,5,2,3,118.0
10:02.0, ,2-7,D. White makes 2-pt layup at rim,,1,7,2,5,118.0
9:47.0,Turnover by D. Garland (traveling),2-7, ,,1,7,2,5,133.0
9:33.0, ,2-7,K. Porziņģis misses 3-pt jump shot from 25 ft,,1,7,2,5,147.0
9:31.0,Defensive rebound by D. Mitchell,2-7, ,,1,7,2,5,149.0
9:20.0,D. Garland makes 2-pt jump shot from 19 ft (assist by D. Mitchell),4-7, ,,1,7,4,3,160.0
9:09.0, ,4-7,Turnover by J. Tatum (bad pass; steal by D. Mitchell),,1,7,4,3,171.0
9:02.0,D. Mitchell makes 3-pt jump shot from 25 ft (assist by D. Garland),7-7, ,Tie,1,7,7,0,178.0
