Time,Orlando,Score,Boston,Event,Quarter,TeamScore,OpponentScore,PointDifference,ElapsedTime
12:00.0,Jump ball: G. Bitadze vs. L. Stevens (J. Suggs gains possession),0-0,,,1,0,0,0,0.0
11:36.0,J. Suggs makes 3-pt jump shot from 26 ft,3-0, ,,1,0,3,-3,24.0
11:07.0, ,3-0,J. Tatum misses 3-pt jump shot from 27 ft,,1,0,3,-3,53.0
11:03.0,Defensive rebound by A. Black,3-0, ,,1,0,3,-3,57.0
10:50.0,F. Wagner makes 2-pt layup from 3 ft,5-0, ,,1,0,5,-5,70.0
10:37.0, ,5-0,L. Stevens misses 3-pt jump shot from 24 ft,,1,0,5,-5,83.0
10:32.0,Defensive rebound by J. Suggs,5-0, ,,1,0,5,-5,88.0
10:31.0,J. Suggs misses 2-pt layup from 3 ft,5-0, ,,1,0,5,-5,89.0
10:26.0,Offensive rebound by G. Bitadze,5-0, ,,1,0,5,-5,94.0
10:24.0,G. Bitadze makes 2-pt layup from 5 ft,7-0, ,,1,0,7,-7,96.0
10:17.0, ,7-2,J. Tatum makes 2-pt layup from 2 ft (assist by D. White),,1,2,7,-5,103.0
9:56.0,F. Wagner misses 3-pt jump shot from 28 ft,7-2, ,,1,2,7,-5,124.0
9:56.0, ,7-2,Defensive rebound by J. Tatum,,1,2,7,-5,124.0
9:44.0, ,7-2,D. White misses 3-pt jump shot from 24 ft,,1,2,7,-5,136.0
9:41.0,Defensive rebound by A. Black,7-2, ,,1,2,7,-5,139.0
9:37.0,F. Wagner makes 2-pt layup from 3 ft (assist by A. Black),9-2, ,,1,2,9,-7,143.0
9:33.0, ,9-2,Turnover by J. Tatum (bad pass; steal by F. Wagner),,1,2,9,-7,147.0
9:27.0,F. Wagner misses 3-pt jump shot from 26 ft,9-2, ,,1,2,9,-7,153.0
9:25.0, ,9-2,Defensive rebound by J. Tatum,,1,2,9,-7,155.0
9:21.0, ,9-4,L. Stevens makes 2-pt layup from 4 ft (assist by D. White),,1,4,9,-5,159.0
8:55.0,J. Suggs misses 3-pt jump shot from 28 ft,9-4, ,,1,4,9,-5,185.0
8:52.0, ,9-4,Defensive rebound by J. Holiday,,1,4,9,-5,188.0
8:48.0, ,9-4,D. White misses 3-pt jump shot from 28 ft,,1,4,9,-5,192.0
8:45.0,Defensive rebound by G. Bitadze,9-4, ,,1,4,9,-5,195.0
8:36.0,Turnover by P. Banchero (bad pass; steal by J. Holiday),9-4, ,,1,4,9,-5,204.0
8:29.0, ,9-4,J. Tatum misses 3-pt jump shot from 27 ft,,1,4,9,-5,211.0
8:26.0,Defensive rebound by A. Black,9-4, ,,1,4,9,-5,214.0
8:22.0,Offensive foul by F. Wagner (drawn by D. White),9-4, ,,1,4,9,-5,218.0
8:22.0,Turnover by F. Wagner (offensive foul),9-4, ,,1,4,9,-5,218.0
8:22.0,Instant Replay,9-4, ,,1,4,9,-5,218.0
7:59.0, ,9-4,J. Tatum misses 3-pt jump shot from 27 ft,,1,4,9,-5,241.0
7:58.0, ,9-4,Offensive rebound by Team,,1,4,9,-5,242.0
7:58.0, ,9-4,Turnover by Team (shot clock),,1,4,9,-5,242.0
