Time,Boston,Score,LA Clippers,Event,Quarter,TeamScore,OpponentScore,PointDifference,ElapsedTime
12:00.0,Jump ball: A. Horford vs. I. Zubac (J. Brown gains possession),0-0,,,1,0,0,0,0.0
11:45.0,J. Brown makes 3-pt jump shot from 26 ft,3-0, ,,1,3,0,3,15.0
11:23.0, ,3-3,P. George makes 3-pt jump shot from 25 ft (assist by A. Coffey),Tie,1,3,3,0,37.0
11:09.0,J. Tatum misses 3-pt jump shot from 26 ft,3-3, ,,1,3,3,0,51.0
11:07.0, ,3-3,Defensive rebound by P. George,,1,3,3,0,53.0
10:57.0, ,3-3,J. Harden misses 3-pt jump shot from 26 ft,,1,3,3,0,63.0
10:54.0, ,3-3,Offensive rebound by I. Zubac,,1,3,3,0,66.0
10:44.0, ,3-3,Personal foul by J. Brown (drawn by J. Harden),,1,3,3,0,76.0
10:31.0, ,3-3,P. George misses 3-pt jump shot from 26 ft,,1,3,3,0,89.0
10:28.0,Defensive rebound by J. Holiday,3-3, ,,1,3,3,0,92.0
10:22.0,A. Horford makes 3-pt jump shot from 23 ft (assist by J. Holiday),6-3, ,,1,6,3,3,98.0
10:09.0, ,6-3,Personal foul by J. Brown (drawn by P. George),,1,6,3,3,111.0
9:59.0, ,6-3,Turnover by J. Harden (bad pass; steal by J. Brown),,1,6,3,3,121.0
9:51.0,J. Brown misses 3-pt jump shot from 29 ft,6-3, ,,1,6,3,3,129.0
9:49.0, ,6-3,Defensive rebound by I. Zubac,,1,6,3,3,131.0
9:44.0, ,6-5,J. Harden makes 2-pt layup from 2 ft,,1,6,5,1,136.0
9:31.0,A. Horford misses 2-pt hook shot from 5 ft,6-5, ,,1,6,5,1,149.0
9:28.0,Offensive rebound by J. Brown,6-5, ,,1,6,5,1,152.0
9:26.0,D. White misses 3-pt jump shot from 25 ft,6-5, ,,1,6,5,1,154.0
9:25.0, ,6-5,Defensive rebound by A. Coffey,,1,6,5,1,155.0
9:25.0, ,6-5,Turnover by A. Coffey (out of bounds lost ball),,1,6,5,1,155.0
9:17.0,D. White misses 3-pt jump shot from 28 ft,6-5, ,,1,6,5,1,163.0
9:12.0,Offensive rebound by J. Holiday,6-5, ,,1,6,5,1,168.0
9:12.0,J. Holiday misses 2-pt layup from 5 ft (block by P. George),6-5, ,,1,6,5,1,168.0
9:12.0, ,6-5,Defensive rebound by A. Coffey,,1,6,5,1,168.0
9:04.0,Violation by Team (kicked ball),6-5, ,,1,6,5,1,176.0
8:49.0, ,6-5,Turnover by Team (shot clock),,1,6,5,1,191.0
8:38.0,J. Holiday makes 3-pt jump shot from 24 ft (assist by A. Horford),9-5, ,,1,9,5,4,202.0
8:24.0, ,9-8,P. George makes 3-pt jump shot from 27 ft (assist by J. Harden),,1,9,8,1,216.0
8:10.0,J. Holiday misses 3-pt jump shot from 26 ft,9-8, ,,1,9,8,1,230.0
8:08.0, ,9-8,Defensive rebound by T. Mann,,1,9,8,1,232.0
