Time,Detroit,Score,Boston,Event,Quarter,TeamScore,OpponentScore,PointDifference,ElapsedTime
12:00.0,Jump ball: J. Duren vs. K. Porziņģis (J. Ivey gains possession),0-0,,,1,0,0,0,0.0
11:43.0,C. Cunningham makes 2-pt jump shot from 9 ft,2-0, ,,1,0,2,-2,17.0
11:28.0, ,2-2,J. Tatum makes 2-pt dunk from 1 ft (assist by A. Horford),Tie,1,2,2,0,32.0
11:15.0,C. Cunningham misses 2-pt layup from 5 ft,2-2, ,,1,2,2,0,45.0
11:12.0,Offensive rebound by J. Duren,2-2, ,,1,2,2,0,48.0
11:10.0,C. Cunningham makes 2-pt layup from 3 ft (assist by J. Duren),4-2, ,,1,2,4,-2,50.0
10:54.0, ,4-2,K. Porziņģis misses 3-pt jump shot from 27 ft,,1,2,4,-2,66.0
10:52.0,Defensive rebound by B. Bogdanović,4-2, ,,1,2,4,-2,68.0
10:39.0,B. Bogdanović makes 2-pt layup from 2 ft (assist by C. Cunningham),6-2, ,,1,2,6,-4,81.0
10:25.0, ,6-4,K. Porziņģis makes 2-pt jump shot from 6 ft (assist by J. Holiday),,1,4,6,-2,95.0
10:12.0,C. Cunningham makes 2-pt jump shot from 17 ft,8-4, ,,1,4,8,-4,108.0
9:58.0, ,8-4,Shooting foul by K. Knox (drawn by J. Tatum),,1,4,8,-4,122.0
9:58.0, ,8-5,J. Tatum makes free throw 1 of 2,,1,5,8,-3,122.0
9:58.0, ,8-6,J. Tatum makes free throw 2 of 2,,1,6,8,-2,122.0
9:51.0, ,8-6,Violation by Team (kicked ball),,1,6,8,-2,129.0
9:40.0,C. Cunningham makes 2-pt jump shot from 6 ft,10-6, ,,1,6,10,-4,140.0
9:24.0, ,10-6,J. Holiday misses 3-pt jump shot from 27 ft,,1,6,10,-4,156.0
9:22.0,Defensive rebound by K. Knox,10-6, ,,1,6,10,-4,158.0
9:18.0,J. Ivey misses 2-pt jump shot from 7 ft,10-6, ,,1,6,10,-4,162.0
9:16.0, ,10-6,Defensive rebound by J. Holiday,,1,6,10,-4,164.0
9:09.0, ,10-6,D. White misses 3-pt jump shot from 25 ft,,1,6,10,-4,171.0
9:07.0,Defensive rebound by J. Ivey,10-6, ,,1,6,10,-4,173.0
9:01.0,J. Ivey makes 2-pt layup from 2 ft,12-6, ,,1,6,12,-6,179.0
8:36.0, ,12-6,Turnover by J. Tatum (bad pass; steal by C. Cunningham),,1,6,12,-6,204.0
8:31.0,Shooting foul by K. Porziņģis (drawn by J. Duren),12-6, ,,1,6,12,-6,209.0
8:31.0,J. Duren misses free throw 1 of 2,12-6, ,,1,6,12,-6,209.0
8:31.0,Offensive rebound by Team,12-6, ,,1,6,12,-6,209.0
8:31.0,J. Duren makes free throw 2 of 2,13-6, ,,1,6,13,-7,209.0
8:16.0, ,13-9,J. Tatum makes 3-pt jump shot from 29 ft,,1,9,13,-4,224.0
8:07.0,Offensive foul by C. Cunningham (drawn by D. White),13-9, ,,1,9,13,-4,233.0
8:07.0,Turnover by C. Cunningham (offensive foul),13-9, ,,1,9,13,-4,233.0
7:53.0, ,13-9,D. White misses 2-pt layup from 1 ft,,1,9,13,-4,247.0
7:51.0,Defensive rebound by J. Ivey,13-9, ,,1,9,13,-4,249.0
7:46.0,C. Cunningham misses 3-pt jump shot from 26 ft,13-9, ,,1,9,13,-4,254.0
7:44.0,Offensive rebound by J. Ivey,13-9, ,,1,9,13,-4,256.0
7:40.0,Turnover by J. Ivey (bad pass),13-9, ,,1,9,13,-4,260.0
7:27.0, ,13-9,K. Porziņģis misses 3-pt jump shot from 24 ft,,1,9,13,-4,273.0
7:25.0, ,13-9,Offensive rebound by D. White,,1,9,13,-4,275.0
7:22.0, ,13-11,D. White makes 2-pt layup from 1 ft,,1,11,13,-2,278.0
7:00.0,J. Ivey makes 3-pt jump shot from 26 ft (assist by B. Bogdanović),16-11, ,,1,11,16,-5,300.0
6:40.0, ,16-11,K. Porziņģis misses 2-pt jump shot from 17 ft,,1,11,16,-5,320.0
6:38.0,Defensive rebound by B. Bogdanović,16-11, ,,1,11,16,-5,322.0
6:27.0,B. Bogdanović misses 2-pt layup from 4 ft,16-11, ,,1,11,16,-5,333.0
6:25.0, ,16-11,Defensive rebound by J. Holiday,,1,11,16,-5,335.0
6:18.0, ,16-11,D. White misses 2-pt layup from 3 ft (block by J. Ivey),,1,11,16,-5,342.0
6:16.0, ,16-11,Offensive rebound by A. Horford,,1,11,16,-5,344.0
6:09.0, ,16-13,J. Holiday makes 2-pt layup from 6 ft,,1,13,16,-3,351.0
5:56.0,J. Ivey misses 2-pt jump shot from 13 ft,16-13, ,,1,13,16,-3,364.0
5:55.0, ,16-13,Defensive rebound by K. Porziņģis,,1,13,16,-3,365.0
5:49.0, ,16-13,J. Tatum misses 3-pt jump shot from 27 ft,,1,13,16,-3,371.0
5:47.0,Defensive rebound by B. Bogdanović,16-13, ,,1,13,16,-3,373.0
5:42.0, ,16-13,Violation by Team (kicked ball),,1,13,16,-3,378.0
5:42.0, ,16-13,Boston full timeout,,1,13,16,-3,378.0
5:42.0, ,16-13,S. Hauser enters the game for J. Holiday,,1,13,16,-3,378.0
5:42.0, ,16-13,P. Pritchard enters the game for A. Horford,,1,13,16,-3,378.0
5:42.0, ,16-13,N. Queta enters the game for D. White,,1,13,16,-3,378.0
5:36.0,K. Knox misses 3-pt jump shot from 27 ft,16-13, ,,1,13,16,-3,384.0
5:32.0, ,16-13,Defensive rebound by S. Hauser,,1,13,16,-3,388.0
5:22.0, ,16-15,K. Porziņģis makes 2-pt layup from 4 ft (assist by J. Tatum),,1,15,16,-1,398.0
5:11.0,C. Cunningham makes 2-pt jump shot from 16 ft,18-15, ,,1,15,18,-3,409.0
4:54.0, ,18-15,J. Tatum misses 3-pt jump shot from 28 ft,,1,15,18,-3,426.0
4:51.0,Defensive rebound by B. Bogdanović,18-15, ,,1,15,18,-3,429.0
4:47.0,B. Bogdanović misses 2-pt layup from 4 ft,18-15, ,,1,15,18,-3,433.0
4:46.0,Offensive rebound by J. Duren,18-15, ,,1,15,18,-3,434.0
4:46.0,J. Duren makes 2-pt dunk at rim,20-15, ,,1,15,20,-5,434.0
4:31.0, ,20-15,J. Tatum misses 2-pt layup from 5 ft,,1,15,20,-5,449.0
4:29.0,Defensive rebound by B. Bogdanović,20-15, ,,1,15,20,-5,451.0
4:24.0,K. Knox misses 3-pt jump shot from 25 ft,20-15, ,,1,15,20,-5,456.0
4:22.0, ,20-15,Defensive rebound by K. Porziņģis,,1,15,20,-5,458.0
4:22.0, ,20-15,Personal foul by J. Ivey (drawn by K. Porziņģis),,1,15,20,-5,458.0
