Time,Boston,Score,Oklahoma City,Event,Quarter,TeamScore,OpponentScore,PointDifference,ElapsedTime
12:00.0,Jump ball: K. Porziņģis vs. C. Holmgren (D. White gains possession),0-0,,,1,0,0,0,0.0
11:43.0,J. Brown misses 3-pt jump shot from 26 ft,0-0, ,,1,0,0,0,17.0
11:40.0, ,0-0,Defensive rebound by J. Giddey,,1,0,0,0,20.0
11:29.0, ,0-2,S. Gilgeous-Alexander makes 2-pt jump shot from 14 ft (assist by C. Holmgren),,1,0,2,-2,31.0
11:16.0,Turnover by J. Tatum (bad pass),0-2, ,,1,0,2,-2,44.0
10:57.0, ,0-4,J. Williams makes 2-pt layup from 2 ft (assist by J. Giddey),,1,0,4,-4,63.0
10:45.0,K. Porziņģis makes 2-pt layup from 2 ft (assist by J. Brown),2-4, ,,1,2,4,-2,75.0
10:30.0, ,2-6,C. Holmgren makes 2-pt jump shot from 8 ft,,1,2,6,-4,90.0
10:16.0,Shooting foul by S. Gilgeous-Alexander (drawn by J. Holiday),2-6, ,,1,2,6,-4,104.0
10:16.0,J. Holiday makes free throw 1 of 2,3-6, ,,1,3,6,-3,104.0
10:16.0,J. Holiday misses free throw 2 of 2,3-6, ,,1,3,6,-3,104.0
10:12.0,Offensive rebound by K. Porziņģis,3-6, ,,1,3,6,-3,108.0
10:07.0,J. Tatum misses 2-pt layup from 3 ft,3-6, ,,1,3,6,-3,113.0
10:04.0,Offensive rebound by J. Tatum,3-6, ,,1,3,6,-3,116.0
9:58.0,D. White makes 3-pt jump shot from 25 ft (assist by J. Holiday),6-6, ,Tie,1,6,6,0,122.0
9:41.0, ,6-6,J. Giddey misses 2-pt jump shot from 7 ft,,1,6,6,0,139.0
9:39.0,Defensive rebound by J. Tatum,6-6, ,,1,6,6,0,141.0
9:39.0,Turnover by J. Tatum (step out of bounds),6-6, ,,1,6,6,0,141.0
9:27.0, ,6-9,J. Giddey makes 3-pt jump shot from 23 ft (assist by C. Holmgren),,1,6,9,-3,153.0
9:20.0,Personal foul by J. Williams (drawn by J. Brown),6-9, ,,1,6,9,-3,160.0
9:17.0,Turnover by J. Holiday (step out of bounds),6-9, ,,1,6,9,-3,163.0
9:01.0, ,6-9,J. Giddey misses 2-pt layup from 2 ft,,1,6,9,-3,179.0
8:59.0,Defensive rebound by J. Tatum,6-9, ,,1,6,9,-3,181.0
8:56.0,D. White misses 3-pt jump shot from 26 ft,6-9, ,,1,6,9,-3,184.0
8:52.0,Offensive rebound by K. Porziņģis,6-9, ,,1,6,9,-3,188.0
8:50.0,K. Porziņģis makes 2-pt layup from 1 ft,8-9, ,,1,8,9,-1,190.0
8:38.0, ,8-12,S. Gilgeous-Alexander makes 3-pt jump shot from 26 ft,,1,8,12,-4,202.0
8:23.0,K. Porziņģis makes 3-pt jump shot from 27 ft (assist by J. Tatum),11-12, ,,1,11,12,-1,217.0
8:07.0, ,11-15,J. Giddey makes 3-pt jump shot from 24 ft (assist by S. Gilgeous-Alexander),,1,11,15,-4,233.0
7:43.0,K. Porziņģis makes 3-pt jump shot from 26 ft (assist by J. Tatum),14-15, ,,1,14,15,-1,257.0
7:34.0, ,14-15,Oklahoma City full timeout,,1,14,15,-1,266.0
