Time,Utah,Score,Boston,Event,Quarter,TeamScore,OpponentScore,PointDifference,ElapsedTime
12:00.0,Jump ball: L. Markkanen vs. K. Porziņģis (D. White gains possession),0-0,,,1,0,0,0,0.0
11:46.0, ,0-0,Turnover by J. Brown (bad pass; steal by C. Sexton),,1,0,0,0,14.0
11:42.0,K. Dunn misses 2-pt layup from 5 ft (block by J. Tatum),0-0, ,,1,0,0,0,18.0
11:40.0,Offensive rebound by S. Fontecchio,0-0, ,,1,0,0,0,20.0
11:40.0,S. Fontecchio misses 2-pt layup from 3 ft,0-0, ,,1,0,0,0,20.0
11:40.0,Offensive rebound by Team,0-0, ,,1,0,0,0,20.0
11:35.0,L. Markkanen misses 2-pt dunk from 3 ft (block by J. Brown),0-0, ,,1,0,0,0,25.0
11:31.0, ,0-0,Defensive rebound by K. Porziņģis,,1,0,0,0,29.0
11:29.0, ,0-0,Shooting foul by J. Collins (drawn by J. Tatum),,1,0,0,0,31.0
11:29.0, ,0-0,J. Tatum misses free throw 1 of 2,,1,0,0,0,31.0
11:29.0, ,0-0,Offensive rebound by Team,,1,0,0,0,31.0
11:29.0, ,0-1,J. Tatum makes free throw 2 of 2,,1,1,0,1,31.0
11:14.0,Offensive foul by S. Fontecchio (drawn by J. Brown),0-1, ,,1,1,0,1,46.0
11:14.0,Turnover by S. Fontecchio (offensive foul),0-1, ,,1,1,0,1,46.0
11:04.0, ,0-4,D. White makes 3-pt jump shot from 29 ft (assist by J. Tatum),,1,4,0,4,56.0
10:51.0,L. Markkanen misses 3-pt jump shot from 27 ft,0-4, ,,1,4,0,4,69.0
10:49.0, ,0-4,Defensive rebound by K. Porziņģis,,1,4,0,4,71.0
10:34.0, ,0-6,K. Porziņģis makes 2-pt layup from 6 ft (assist by J. Tatum),,1,6,0,6,86.0
10:22.0,S. Fontecchio misses 2-pt layup from 3 ft,0-6, ,,1,6,0,6,98.0
10:21.0, ,0-6,Defensive rebound by J. Brown,,1,6,0,6,99.0
10:13.0, ,0-8,J. Holiday makes 2-pt dunk from 2 ft,,1,8,0,8,107.0
10:00.0,K. Dunn misses 2-pt jump shot from 4 ft,0-8, ,,1,8,0,8,120.0
9:58.0, ,0-8,Defensive rebound by J. Tatum,,1,8,0,8,122.0
9:42.0, ,0-10,J. Brown makes 2-pt jump shot from 15 ft,,1,10,0,10,138.0
9:28.0,C. Sexton misses 2-pt layup from 3 ft,0-10, ,,1,10,0,10,152.0
9:26.0, ,0-10,Defensive rebound by J. Tatum,,1,10,0,10,154.0
9:22.0, ,0-10,J. Holiday misses 3-pt jump shot from 24 ft,,1,10,0,10,158.0
9:19.0,Defensive rebound by K. Dunn,0-10, ,,1,10,0,10,161.0
9:17.0,Shooting foul by K. Porziņģis (drawn by C. Sexton),0-10, ,,1,10,0,10,163.0
9:17.0,C. Sexton makes free throw 1 of 2,1-10, ,,1,10,1,9,163.0
9:17.0,C. Sexton makes free throw 2 of 2,2-10, ,,1,10,2,8,163.0
9:04.0, ,2-10,J. Tatum misses 3-pt jump shot from 28 ft,,1,10,2,8,176.0
9:01.0,Defensive rebound by J. Collins,2-10, ,,1,10,2,8,179.0
8:55.0,C. Sexton misses 3-pt jump shot from 26 ft,2-10, ,,1,10,2,8,185.0
8:53.0, ,2-10,Defensive rebound by D. White,,1,10,2,8,187.0
8:45.0, ,2-10,K. Porziņģis misses 3-pt jump shot from 27 ft,,1,10,2,8,195.0
8:42.0,Defensive rebound by J. Collins,2-10, ,,1,10,2,8,198.0
8:29.0,J. Collins misses 2-pt jump shot from 9 ft,2-10, ,,1,10,2,8,211.0
8:27.0, ,2-10,Defensive rebound by D. White,,1,10,2,8,213.0
8:23.0, ,2-12,J. Brown makes 2-pt layup from 4 ft,,1,12,2,10,217.0
8:21.0,Utah full timeout,2-12, ,,1,12,2,10,219.0
8:21.0,W. Kessler enters the game for J. Collins,2-12, ,,1,12,2,10,219.0
7:59.0,L. Markkanen makes 2-pt dunk from 1 ft (assist by K. Dunn),4-12, ,,1,12,4,8,241.0
7:49.0, ,4-12,J. Tatum misses 2-pt jump shot from 16 ft,,1,12,4,8,251.0
7:46.0,Defensive rebound by C. Sexton,4-12, ,,1,12,4,8,254.0
7:37.0,C. Sexton makes 2-pt layup from 4 ft (assist by S. Fontecchio),6-12, ,,1,12,6,6,263.0
7:28.0, ,6-15,J. Tatum makes 3-pt jump shot from 24 ft (assist by K. Porziņģis),,1,15,6,9,272.0
7:07.0,S. Fontecchio misses 3-pt jump shot from 26 ft,6-15, ,,1,15,6,9,293.0
7:03.0,Offensive rebound by K. Dunn,6-15, ,,1,15,6,9,297.0
6:59.0,C. Sexton makes 2-pt layup from 2 ft (assist by L. Markkanen),8-15, ,,1,15,8,7,301.0
6:44.0, ,8-15,Personal foul by C. Sexton (drawn by J. Tatum),,1,15,8,7,316.0
6:44.0,J. Clarkson enters the game for K. Dunn,8-15, ,,1,15,8,7,316.0
6:44.0,K. George enters the game for C. Sexton,8-15, ,,1,15,8,7,316.0
6:44.0, ,8-15,O. Brissett enters the game for J. Holiday,,1,15,8,7,316.0
6:44.0, ,8-15,S. Hauser enters the game for J. Tatum,,1,15,8,7,316.0
6:44.0, ,8-15,Violation by Team (delay of game),,1,15,8,7,316.0
6:41.0, ,8-15,J. Brown misses 3-pt jump shot from 27 ft,,1,15,8,7,319.0
6:37.0,Defensive rebound by J. Clarkson,8-15, ,,1,15,8,7,323.0
6:19.0,L. Markkanen misses 2-pt layup from 3 ft (block by K. Porziņģis),8-15, ,,1,15,8,7,341.0
6:19.0,Offensive rebound by L. Markkanen,8-15, ,,1,15,8,7,341.0
6:15.0,K. George misses 3-pt jump shot from 26 ft,8-15, ,,1,15,8,7,345.0
6:10.0, ,8-15,Defensive rebound by D. White,,1,15,8,7,350.0
6:05.0, ,8-18,K. Porziņģis makes 3-pt jump shot from 28 ft (assist by J. Brown),,1,18,8,10,355.0
