Time,Boston,Score,Indiana,Event,Quarter,TeamScore,OpponentScore,PointDifference,ElapsedTime
12:00.0,Jump ball: K. Porziņģis vs. M. Turner (B. Brown gains possession),0-0,,,1,0,0,0,0.0
11:37.0, ,0-2,M. Turner makes 2-pt dunk from 2 ft (assist by A. Nesmith),,1,0,2,-2,23.0
11:21.0,K. Porziņģis misses 3-pt jump shot from 26 ft,0-2, ,,1,0,2,-2,39.0
11:18.0, ,0-2,Defensive rebound by M. Turner,,1,0,2,-2,42.0
10:59.0, ,0-2,A. Nesmith misses 2-pt layup from 4 ft,,1,0,2,-2,61.0
10:57.0,Defensive rebound by J. Holiday,0-2, ,,1,0,2,-2,63.0
10:54.0,J. Holiday misses 3-pt jump shot from 27 ft,0-2, ,,1,0,2,-2,66.0
10:51.0, ,0-2,Defensive rebound by B. Brown,,1,0,2,-2,69.0
10:46.0, ,0-2,B. Brown misses 2-pt layup from 5 ft (block by A. Horford),,1,0,2,-2,74.0
10:45.0, ,0-2,Offensive rebound by Team,,1,0,2,-2,75.0
10:45.0, ,0-2,M. Turner misses 2-pt jump shot from 21 ft,,1,0,2,-2,75.0
10:40.0, ,0-2,Offensive rebound by A. Nesmith,,1,0,2,-2,80.0
10:36.0, ,0-5,A. Nesmith makes 3-pt jump shot from 23 ft (assist by T. Haliburton),,1,0,5,-5,84.0
10:17.0,K. Porziņģis makes 2-pt layup from 4 ft (assist by D. White),2-5, ,,1,2,5,-3,103.0
10:04.0, ,2-5,J. Smith misses 3-pt jump shot from 24 ft,,1,2,5,-3,116.0
10:01.0,Defensive rebound by K. Porziņģis,2-5, ,,1,2,5,-3,119.0
9:50.0,J. Brown makes 2-pt layup from 4 ft,4-5, ,,1,4,5,-1,130.0
9:43.0, ,4-7,A. Nesmith makes 2-pt layup from 5 ft (assist by T. Haliburton),,1,4,7,-3,137.0
9:30.0,J. Holiday misses 2-pt layup from 4 ft (block by J. Smith),4-7, ,,1,4,7,-3,150.0
9:28.0, ,4-7,Defensive rebound by Team,,1,4,7,-3,152.0
9:28.0,Loose ball foul by J. Holiday (drawn by J. Smith),4-7, ,,1,4,7,-3,152.0
9:12.0, ,4-7,B. Brown misses 2-pt jump shot from 17 ft,,1,4,7,-3,168.0
9:09.0,Defensive rebound by J. Holiday,4-7, ,,1,4,7,-3,171.0
9:05.0,Personal foul by A. Nesmith (drawn by J. Brown),4-7, ,,1,4,7,-3,175.0
8:48.0,A. Horford makes 3-pt jump shot from 23 ft (assist by D. White),7-7, ,Tie,1,7,7,0,192.0
8:36.0, ,7-9,J. Smith makes 2-pt jump shot from 6 ft (assist by T. Haliburton),,1,7,9,-2,204.0
8:19.0,J. Holiday makes 3-pt jump shot from 28 ft (assist by D. White),10-9, ,Lead change,1,10,9,1,221.0
7:57.0, ,10-9,B. Brown misses 2-pt jump shot from 11 ft,,1,10,9,1,243.0
7:53.0,Defensive rebound by A. Horford,10-9, ,,1,10,9,1,247.0
7:45.0,D. White misses 3-pt jump shot from 23 ft,10-9, ,,1,10,9,1,255.0
7:42.0, ,10-9,Defensive rebound by T. Haliburton,,1,10,9,1,258.0
7:31.0, ,10-12,T. Haliburton makes 3-pt jump shot from 25 ft,Lead change,1,10,12,-2,269.0
7:13.0,J. Brown makes 2-pt dunk from 2 ft (assist by K. Porziņģis),12-12, ,Tie,1,12,12,0,287.0
7:12.0, ,12-12,Indiana full timeout,,1,12,12,0,288.0
6:52.0, ,12-12,J. Smith misses 3-pt jump shot from 23 ft,,1,12,12,0,308.0
6:50.0,Defensive rebound by A. Horford,12-12, ,,1,12,12,0,310.0
6:37.0,D. White misses 3-pt jump shot from 24 ft,12-12, ,,1,12,12,0,323.0
6:34.0, ,12-12,Defensive rebound by J. Smith,,1,12,12,0,326.0
6:25.0, ,12-15,J. Smith makes 3-pt jump shot from 24 ft (assist by B. Brown),,1,12,15,-3,335.0
6:16.0,D. White misses 2-pt layup from 3 ft (block by J. Smith),12-15, ,,1,12,15,-3,344.0
6:13.0, ,12-15,Defensive rebound by B. Brown,,1,12,15,-3,347.0
6:09.0, ,12-15,Turnover by J. Smith (out of bounds lost ball),,1,12,15,-3,351.0
6:09.0,D. Banton enters the game for J. Holiday,12-15, ,,1,12,15,-3,351.0
6:09.0,O. Brissett enters the game for A. Horford,12-15, ,,1,12,15,-3,351.0
6:09.0,P. Pritchard enters the game for D. White,12-15, ,,1,12,15,-3,351.0
5:54.0,O. Brissett misses 3-pt jump shot from 26 ft,12-15, ,,1,12,15,-3,366.0
5:51.0,Offensive rebound by K. Porziņģis,12-15, ,,1,12,15,-3,369.0
5:49.0,O. Brissett misses 3-pt jump shot from 23 ft,12-15, ,,1,12,15,-3,371.0
5:49.0, ,12-15,Defensive rebound by M. Turner,,1,12,15,-3,371.0
5:42.0, ,12-15,Personal foul by D. Banton (drawn by A. Nesmith),,1,12,15,-3,378.0
5:42.0, ,12-15,B. Mathurin enters the game for A. Nesmith,,1,12,15,-3,378.0
5:36.0, ,12-15,T. Haliburton misses 3-pt jump shot from 25 ft,,1,12,15,-3,384.0
5:32.0,Defensive rebound by O. Brissett,12-15, ,,1,12,15,-3,388.0
5:20.0,J. Brown makes 2-pt layup from 3 ft (assist by P. Pritchard),14-15, ,,1,14,15,-1,400.0
5:20.0,Shooting foul by J. Smith (drawn by J. Brown),14-15, ,,1,14,15,-1,400.0
5:20.0, ,14-15,O. Toppin enters the game for J. Smith,,1,14,15,-1,400.0
5:20.0,J. Brown misses free throw 1 of 1,14-15, ,,1,14,15,-1,400.0
5:19.0, ,14-15,Defensive rebound by T. Haliburton,,1,14,15,-1,401.0
5:07.0, ,14-15,Turnover by T. Haliburton (lost ball; steal by O. Brissett),,1,14,15,-1,413.0
5:02.0,Flagrant foul type 1 by B. Mathurin (drawn by O. Brissett),14-15, ,,1,14,15,-1,418.0
5:02.0,Instant Replay (Request: Ruling Stands),14-15, ,,1,14,15,-1,418.0
5:02.0,O. Brissett makes flagrant free throw 1 of 2,15-15, ,Tie,1,15,15,0,418.0
5:02.0, ,15-15,B. Hield enters the game for B. Brown,,1,15,15,0,418.0
5:02.0,O. Brissett makes flagrant free throw 2 of 2,16-15, ,Lead change,1,16,15,1,418.0
5:00.0,Offensive foul by D. Banton (drawn by M. Turner),16-15, ,,1,16,15,1,420.0
5:00.0,Turnover by D. Banton (offensive foul),16-15, ,,1,16,15,1,420.0
4:38.0, ,16-15,M. Turner misses 3-pt jump shot from 26 ft,,1,16,15,1,442.0
4:34.0,Defensive rebound by P. Pritchard,16-15, ,,1,16,15,1,446.0
4:24.0,Turnover by J. Brown (lost ball; steal by B. Hield),16-15, ,,1,16,15,1,456.0
4:21.0, ,16-18,B. Mathurin makes 3-pt jump shot from 25 ft,Lead change,1,16,18,-2,459.0
3:58.0,K. Porziņģis misses 2-pt jump shot from 9 ft,16-18, ,,1,16,18,-2,482.0
3:55.0,Offensive rebound by O. Brissett,16-18, ,,1,16,18,-2,485.0
3:55.0,Personal foul by O. Toppin (drawn by O. Brissett),16-18, ,,1,16,18,-2,485.0
3:47.0,J. Brown makes 2-pt jump shot from 13 ft,18-18, ,Tie,1,18,18,0,493.0
3:33.0, ,18-20,T. Haliburton makes 2-pt jump shot from 10 ft,,1,18,20,-2,507.0
3:26.0,P. Pritchard makes 3-pt jump shot from 25 ft,21-20, ,Lead change,1,21,20,1,514.0
3:11.0, ,21-22,M. Turner makes 2-pt layup from 4 ft (assist by T. Haliburton),Lead change,1,21,22,-1,529.0
3:11.0, ,21-22,Shooting foul by D. Banton (drawn by M. Turner),,1,21,22,-1,529.0
3:11.0, ,21-23,M. Turner makes free throw 1 of 1,,1,21,23,-2,529.0
3:00.0,O. Brissett makes 3-pt jump shot from 23 ft (assist by P. Pritchard),24-23, ,Lead change,1,24,23,1,540.0
2:52.0, ,24-25,B. Mathurin makes 2-pt layup from 2 ft (assist by T. Haliburton),Lead change,1,24,25,-1,548.0
2:35.0,K. Porziņģis misses 2-pt jump shot from 14 ft,24-25, ,,1,24,25,-1,565.0
2:32.0, ,24-25,Defensive rebound by M. Turner,,1,24,25,-1,568.0
2:22.0, ,24-25,T. Haliburton misses 3-pt jump shot from 25 ft,,1,24,25,-1,578.0
2:18.0,Defensive rebound by J. Brown,24-25, ,,1,24,25,-1,582.0
2:14.0,J. Brown misses 2-pt layup from 3 ft,24-25, ,,1,24,25,-1,586.0
2:11.0,Offensive rebound by P. Pritchard,24-25, ,,1,24,25,-1,589.0
2:10.0,Boston full timeout,24-25, ,,1,24,25,-1,590.0
2:10.0,J. Holiday enters the game for D. Banton,24-25, ,,1,24,25,-1,590.0
2:10.0, ,24-25,I. Jackson enters the game for T. Haliburton,,1,24,25,-1,590.0
2:10.0, ,24-25,T. McConnell enters the game for M. Turner,,1,24,25,-1,590.0
2:03.0,J. Brown makes 2-pt layup from 3 ft,26-25, ,Lead change,1,26,25,1,597.0
1:46.0, ,26-28,B. Mathurin makes 3-pt jump shot from 26 ft (assist by T. McConnell),Lead change,1,26,28,-2,614.0
1:31.0,K. Porziņģis makes 2-pt layup from 3 ft (assist by J. Holiday),28-28, ,Tie,1,28,28,0,629.0
1:31.0,Shooting foul by B. Hield (drawn by K. Porziņģis),28-28, ,,1,28,28,0,629.0
1:31.0,K. Porziņģis makes free throw 1 of 1,29-28, ,Lead change,1,29,28,1,629.0
1:14.0, ,29-30,B. Mathurin makes 2-pt jump shot from 12 ft (assist by O. Toppin),Lead change,1,29,30,-1,646.0
0:56.0,K. Porziņģis misses 2-pt dunk from 3 ft,29-30, ,,1,29,30,-1,664.0
0:53.0, ,29-30,Defensive rebound by B. Mathurin,,1,29,30,-1,667.0
0:46.0, ,29-30,B. Hield misses 3-pt jump shot from 26 ft,,1,29,30,-1,674.0
0:42.0,Defensive rebound by P. Pritchard,29-30, ,,1,29,30,-1,678.0
0:35.0,J. Brown makes 2-pt layup from 2 ft (assist by P. Pritchard),31-30, ,Lead change,1,31,30,1,685.0
0:21.0, ,31-33,B. Mathurin makes 3-pt jump shot from 25 ft (assist by T. McConnell),Lead change,1,31,33,-2,699.0
0:01.0,P. Pritchard makes 3-pt jump shot from 26 ft (assist by K. Porziņģis),34-33, ,Lead change,1,34,33,1,719.0
0:00.0,Instant Replay (Request: Ruling Stands),34-33, ,,1,34,33,1,720.0
0:00.0,End of 1st quarter,34-33,,,1,34,33,1,720.0
12:00.0,Start of 2nd quarter,34-33,,,2,34,33,1,720.0
11:46.0,D. White misses 2-pt jump shot from 8 ft,34-33, ,,2,34,33,1,734.0
11:44.0,Offensive rebound by L. Kornet,34-33, ,,2,34,33,1,736.0
11:36.0,P. Pritchard makes 2-pt jump shot from 11 ft,36-33, ,,2,36,33,3,744.0
11:19.0, ,36-33,T. McConnell misses 3-pt jump shot from 27 ft,,2,36,33,3,761.0
11:16.0, ,36-33,Offensive rebound by I. Jackson,,2,36,33,3,764.0
11:14.0, ,36-33,B. Mathurin misses 3-pt jump shot from 25 ft,,2,36,33,3,766.0
11:11.0,Defensive rebound by D. White,36-33, ,,2,36,33,3,769.0
11:07.0,L. Kornet makes 2-pt dunk from 1 ft (assist by D. White),38-33, ,,2,38,33,5,773.0
10:44.0, ,38-33,Shooting foul by J. Holiday (drawn by O. Toppin),,2,38,33,5,796.0
10:44.0, ,38-34,O. Toppin makes free throw 1 of 2,,2,38,34,4,796.0
10:44.0, ,38-35,O. Toppin makes free throw 2 of 2,,2,38,35,3,796.0
10:31.0,J. Holiday makes 2-pt layup from 4 ft,40-35, ,,2,40,35,5,809.0
10:19.0, ,40-38,O. Toppin makes 3-pt jump shot from 25 ft (assist by B. Mathurin),,2,40,38,2,821.0
10:05.0,D. White misses 2-pt jump shot from 7 ft (block by I. Jackson),40-38, ,,2,40,38,2,835.0
10:01.0, ,40-38,Defensive rebound by T. McConnell,,2,40,38,2,839.0
9:56.0, ,40-38,Turnover by B. Mathurin (traveling),,2,40,38,2,844.0
9:49.0,Turnover by J. Holiday (traveling),40-38, ,,2,40,38,2,851.0
9:39.0, ,40-38,T. McConnell misses 3-pt jump shot from 25 ft,,2,40,38,2,861.0
9:36.0,Defensive rebound by D. White,40-38, ,,2,40,38,2,864.0
