Time,San Antonio,Score,Boston,Event,Quarter,TeamScore,OpponentScore,PointDifference,ElapsedTime
12:00.0,Jump ball: V. Wembanyama vs. L. Kornet (A. Horford gains possession),0-0,,,1,0,0,0,0.0
11:40.0, ,0-2,J. Tatum makes 2-pt jump shot from 6 ft,,1,2,0,2,20.0
11:23.0,J. Sochan makes 3-pt jump shot from 23 ft (assist by T. Jones),3-2, ,Lead change,1,2,3,-1,37.0
11:10.0, ,3-5,J. Brown makes 3-pt jump shot from 27 ft,Lead change,1,5,3,2,50.0
11:00.0,J. Sochan misses 2-pt layup from 3 ft,3-5, ,,1,5,3,2,60.0
10:58.0,Offensive rebound by J. Sochan,3-5, ,,1,5,3,2,62.0
10:57.0,J. Sochan misses 2-pt dunk from 1 ft,3-5, ,,1,5,3,2,63.0
10:55.0,Offensive rebound by J. Sochan,3-5, ,,1,5,3,2,65.0
10:53.0,J. Champagnie makes 2-pt layup from 4 ft (assist by J. Sochan),5-5, ,Tie,1,5,5,0,67.0
10:36.0, ,5-5,J. Brown misses 3-pt jump shot from 28 ft,,1,5,5,0,84.0
10:36.0,Defensive rebound by J. Sochan,5-5, ,,1,5,5,0,84.0
10:22.0,V. Wembanyama makes 2-pt dunk from 2 ft (assist by J. Sochan),7-5, ,Lead change,1,5,7,-2,98.0
10:07.0, ,7-8,J. Holiday makes 3-pt jump shot from 27 ft (assist by L. Kornet),Lead change,1,8,7,1,113.0
9:53.0,V. Wembanyama makes 3-pt jump shot from 27 ft (assist by T. Jones),10-8, ,Lead change,1,8,10,-2,127.0
9:43.0, ,10-8,Personal foul by V. Wembanyama (drawn by J. Brown),,1,8,10,-2,137.0
9:36.0, ,10-8,J. Holiday misses 2-pt jump shot from 13 ft,,1,8,10,-2,144.0
9:35.0,Defensive rebound by J. Champagnie,10-8, ,,1,8,10,-2,145.0
9:27.0,V. Wembanyama misses 2-pt layup from 9 ft,10-8, ,,1,8,10,-2,153.0
9:26.0, ,10-8,Defensive rebound by Team,,1,8,10,-2,154.0
9:07.0, ,10-10,J. Tatum makes 2-pt layup from 3 ft,Tie,1,10,10,0,173.0
8:53.0,Turnover by V. Wembanyama (bad pass; steal by A. Horford),10-10, ,,1,10,10,0,187.0
8:43.0, ,10-12,J. Tatum makes 2-pt jump shot from 15 ft (assist by J. Holiday),Lead change,1,12,10,2,197.0
8:30.0,V. Wembanyama makes 3-pt jump shot from 27 ft (assist by T. Jones),13-12, ,Lead change,1,12,13,-1,210.0
8:11.0, ,13-15,J. Holiday makes 3-pt jump shot from 26 ft,Lead change,1,15,13,2,229.0
7:57.0,J. Sochan misses 3-pt jump shot from 27 ft,13-15, ,,1,15,13,2,243.0
7:55.0, ,13-15,Defensive rebound by J. Brown,,1,15,13,2,245.0
7:48.0, ,13-15,J. Brown misses 2-pt jump shot from 16 ft,,1,15,13,2,252.0
7:46.0, ,13-15,Offensive rebound by Team,,1,15,13,2,254.0
7:38.0, ,13-15,J. Tatum misses 2-pt jump shot from 16 ft,,1,15,13,2,262.0
7:35.0,Defensive rebound by V. Wembanyama,13-15, ,,1,15,13,2,265.0
