Time,Denver,Score,Boston,Event,Quarter,TeamScore,OpponentScore,PointDifference,ElapsedTime
12:00.0,Jump ball: N. Jokić vs. K. Porziņģis (D. White gains possession),0-0,,,1,0,0,0,0.0
11:47.0, ,0-2,K. Porziņģis makes 2-pt dunk from 1 ft (assist by J. Tatum),,1,2,0,2,13.0
11:30.0,Turnover by N. Jokić (bad pass),0-2, ,,1,2,0,2,30.0
11:26.0, ,0-5,K. Porziņģis makes 3-pt jump shot from 26 ft (assist by J. Holiday),,1,5,0,5,34.0
11:06.0,N. Jokić misses 2-pt hook shot from 10 ft,0-5, ,,1,5,0,5,54.0
11:03.0,Offensive rebound by A. Gordon,0-5, ,,1,5,0,5,57.0
11:03.0,A. Gordon misses 2-pt layup at rim,0-5, ,,1,5,0,5,57.0
11:02.0,Offensive rebound by N. Jokić,0-5, ,,1,5,0,5,58.0
10:58.0,K. Caldwell-Pope makes 2-pt jump shot from 20 ft (assist by N. Jokić),2-5, ,,1,5,2,3,62.0
10:47.0, ,2-5,J. Brown misses 3-pt jump shot from 29 ft,,1,5,2,3,73.0
10:47.0,Defensive rebound by N. Jokić,2-5, ,,1,5,2,3,73.0
10:29.0,J. Murray makes 2-pt jump shot from 15 ft,4-5, ,,1,5,4,1,91.0
10:16.0, ,4-5,J. Holiday misses 2-pt jump shot from 14 ft,,1,5,4,1,104.0
10:14.0,Defensive rebound by M. Porter,4-5, ,,1,5,4,1,106.0
9:55.0,N. Jokić makes 2-pt hook shot from 12 ft,6-5, ,Lead change,1,5,6,-1,125.0
9:40.0, ,6-5,J. Brown misses 3-pt jump shot from 24 ft,,1,5,6,-1,140.0
9:38.0,Defensive rebound by M. Porter,6-5, ,,1,5,6,-1,142.0
9:20.0,N. Jokić makes 2-pt layup from 6 ft,8-5, ,,1,5,8,-3,160.0
9:06.0, ,8-8,K. Porziņģis makes 3-pt jump shot from 26 ft (assist by J. Holiday),Tie,1,8,8,0,174.0
8:43.0,M. Porter makes 2-pt jump shot from 18 ft (assist by J. Murray),10-8, ,,1,8,10,-2,197.0
8:30.0, ,10-11,K. Porziņģis makes 3-pt jump shot from 29 ft (assist by J. Tatum),Lead change,1,11,10,1,210.0
8:04.0,N. Jokić makes 2-pt jump shot from 13 ft,12-11, ,Lead change,1,11,12,-1,236.0
7:56.0, ,12-11,J. Brown misses 2-pt layup from 9 ft,,1,11,12,-1,244.0
7:55.0, ,12-11,Offensive rebound by Team,,1,11,12,-1,245.0
7:51.0, ,12-11,J. Tatum misses 3-pt jump shot from 25 ft,,1,11,12,-1,249.0
7:48.0,Defensive rebound by M. Porter,12-11, ,,1,11,12,-1,252.0
7:45.0,M. Porter misses 3-pt jump shot from 27 ft,12-11, ,,1,11,12,-1,255.0
7:41.0, ,12-11,Defensive rebound by J. Tatum,,1,11,12,-1,259.0
7:36.0, ,12-14,J. Holiday makes 3-pt jump shot from 25 ft (assist by D. White),Lead change,1,14,12,2,264.0
7:21.0,Shooting foul by J. Brown (drawn by A. Gordon),12-14, ,,1,14,12,2,279.0
7:21.0,A. Gordon makes free throw 1 of 2,13-14, ,,1,14,13,1,279.0
7:21.0,A. Gordon misses free throw 2 of 2,13-14, ,,1,14,13,1,279.0
7:20.0, ,13-14,Defensive rebound by J. Holiday,,1,14,13,1,280.0
7:03.0, ,13-14,Personal foul by J. Murray (drawn by J. Tatum),,1,14,13,1,297.0
6:48.0, ,13-14,Turnover by Team (shot clock),,1,14,13,1,312.0
6:48.0, ,13-14,Boston full timeout,,1,14,13,1,312.0
6:48.0, ,13-14,S. Hauser enters the game for J. Holiday,,1,14,13,1,312.0
6:48.0, ,13-14,A. Horford enters the game for J. Tatum,,1,14,13,1,312.0
6:35.0,N. Jokić misses 2-pt jump shot from 16 ft,13-14, ,,1,14,13,1,325.0
6:32.0, ,13-14,Defensive rebound by K. Porziņģis,,1,14,13,1,328.0
6:27.0, ,13-16,D. White makes 2-pt layup from 2 ft,,1,16,13,3,333.0
6:14.0,J. Murray makes 2-pt layup from 6 ft,15-16, ,,1,16,15,1,346.0
6:02.0, ,15-16,Shooting foul by J. Murray (drawn by K. Porziņģis),,1,16,15,1,358.0
6:02.0, ,15-17,K. Porziņģis makes free throw 1 of 2,,1,17,15,2,358.0
6:02.0, ,15-18,K. Porziņģis makes free throw 2 of 2,,1,18,15,3,358.0
6:02.0,R. Jackson enters the game for J. Murray,15-18, ,,1,18,15,3,358.0
5:44.0,A. Gordon misses 2-pt layup from 4 ft,15-18, ,,1,18,15,3,376.0
5:42.0, ,15-18,Defensive rebound by A. Horford,,1,18,15,3,378.0
5:30.0, ,15-18,J. Brown misses 2-pt layup from 3 ft (block by A. Gordon),,1,18,15,3,390.0
5:29.0,Defensive rebound by R. Jackson,15-18, ,,1,18,15,3,391.0
5:16.0,N. Jokić makes 2-pt layup from 4 ft (assist by K. Caldwell-Pope),17-18, ,,1,18,17,1,404.0
4:54.0, ,17-18,Shooting foul by M. Porter (drawn by K. Porziņģis),,1,18,17,1,426.0
4:54.0, ,17-19,K. Porziņģis makes free throw 1 of 2,,1,19,17,2,426.0
4:54.0, ,17-20,K. Porziņģis makes free throw 2 of 2,,1,20,17,3,426.0
4:42.0,M. Porter misses 3-pt jump shot from 27 ft (block by D. White),17-20, ,,1,20,17,3,438.0
4:38.0,Offensive rebound by N. Jokić,17-20, ,,1,20,17,3,442.0
4:35.0,M. Porter makes 3-pt jump shot from 24 ft (assist by N. Jokić),20-20, ,Tie,1,20,20,0,445.0
4:22.0, ,20-23,D. White makes 3-pt jump shot from 26 ft (assist by J. Brown),,1,23,20,3,458.0
4:12.0,Personal foul by A. Horford (drawn by N. Jokić),20-23, ,,1,23,20,3,468.0
4:12.0,P. Watson enters the game for A. Gordon,20-23, ,,1,23,20,3,468.0
4:05.0,N. Jokić makes 3-pt jump shot from 26 ft (assist by R. Jackson),23-23, ,Tie,1,23,23,0,475.0
