Time,Boston,Score,Houston,Event,Quarter,TeamScore,OpponentScore,PointDifference,ElapsedTime
12:00.0,Jump ball: K. Porziņģis vs. A. Sengun (D. Brooks gains possession),0-0,,,1,0,0,0,0.0
11:48.0, ,0-0,J. Green misses 3-pt jump shot from 26 ft,,1,0,0,0,12.0
11:47.0,Defensive rebound by J. Brown,0-0, ,,1,0,0,0,13.0
11:37.0,Turnover by J. Brown (bad pass; steal by C. Whitmore),0-0, ,,1,0,0,0,23.0
11:35.0, ,0-0,D. Brooks misses 3-pt jump shot from 24 ft,,1,0,0,0,25.0
11:32.0,Defensive rebound by J. Brown,0-0, ,,1,0,0,0,28.0
11:27.0,J. Tatum makes 2-pt dunk from 1 ft (assist by J. Brown),2-0, ,,1,2,0,2,33.0
11:17.0, ,2-0,Turnover by J. Green (lost ball; steal by J. Brown),,1,2,0,2,43.0
11:10.0,S. Hauser misses 3-pt jump shot from 25 ft,2-0, ,,1,2,0,2,50.0
11:06.0, ,2-0,Defensive rebound by A. Thompson,,1,2,0,2,54.0
10:57.0, ,2-0,A. Sengun misses 2-pt jump shot from 11 ft,,1,2,0,2,63.0
10:57.0,Defensive rebound by D. White,2-0, ,,1,2,0,2,63.0
10:47.0,J. Tatum misses 2-pt jump shot from 7 ft,2-0, ,,1,2,0,2,73.0
10:45.0, ,2-0,Defensive rebound by J. Green,,1,2,0,2,75.0
10:40.0, ,2-0,Shooting foul by K. Porziņģis (drawn by J. Green),,1,2,0,2,80.0
10:40.0, ,2-0,J. Green misses free throw 1 of 2,,1,2,0,2,80.0
10:40.0, ,2-0,Offensive rebound by Team,,1,2,0,2,80.0
10:40.0, ,2-1,J. Green makes free throw 2 of 2,,1,2,1,1,80.0
10:29.0,J. Brown misses 2-pt layup from 3 ft (block by C. Whitmore),2-1, ,,1,2,1,1,91.0
10:27.0, ,2-1,Defensive rebound by A. Thompson,,1,2,1,1,93.0
10:21.0, ,2-1,D. Brooks misses 3-pt jump shot from 25 ft,,1,2,1,1,99.0
10:20.0,Defensive rebound by D. White,2-1, ,,1,2,1,1,100.0
10:07.0,K. Porziņģis misses 3-pt jump shot from 24 ft,2-1, ,,1,2,1,1,113.0
10:06.0, ,2-1,Defensive rebound by J. Green,,1,2,1,1,114.0
9:57.0, ,2-1,J. Green misses 2-pt jump shot from 14 ft (block by S. Hauser),,1,2,1,1,123.0
9:54.0, ,2-1,Offensive rebound by J. Green,,1,2,1,1,126.0
9:54.0, ,2-1,A. Sengun misses 2-pt jump shot from 8 ft (block by K. Porziņģis),,1,2,1,1,126.0
9:48.0,Defensive rebound by J. Tatum,2-1, ,,1,2,1,1,132.0
9:43.0,K. Porziņģis misses 3-pt jump shot from 26 ft,2-1, ,,1,2,1,1,137.0
9:41.0, ,2-1,Defensive rebound by A. Sengun,,1,2,1,1,139.0
9:25.0, ,2-1,A. Sengun misses 2-pt hook shot from 5 ft,,1,2,1,1,155.0
9:23.0,Defensive rebound by K. Porziņģis,2-1, ,,1,2,1,1,157.0
9:12.0,J. Brown misses 2-pt jump shot from 7 ft,2-1, ,,1,2,1,1,168.0
9:12.0, ,2-1,Defensive rebound by A. Thompson,,1,2,1,1,168.0
9:04.0, ,2-3,J. Green makes 2-pt layup from 3 ft,Lead change,1,2,3,-1,176.0
8:55.0,S. Hauser makes 3-pt jump shot from 24 ft (assist by J. Brown),5-3, ,Lead change,1,5,3,2,185.0
8:36.0, ,5-5,J. Green makes 2-pt layup from 2 ft (assist by A. Sengun),Tie,1,5,5,0,204.0
8:26.0,D. White makes 3-pt jump shot from 25 ft (assist by S. Hauser),8-5, ,,1,8,5,3,214.0
8:11.0, ,8-5,A. Thompson misses 2-pt jump shot from 22 ft,,1,8,5,3,229.0
8:10.0,Defensive rebound by D. White,8-5, ,,1,8,5,3,230.0
8:01.0,Shooting foul by A. Thompson (drawn by J. Tatum),8-5, ,,1,8,5,3,239.0
8:01.0,J. Tatum misses free throw 1 of 2,8-5, ,,1,8,5,3,239.0
8:01.0,Offensive rebound by Team,8-5, ,,1,8,5,3,239.0
8:01.0,J. Tatum makes free throw 2 of 2,9-5, ,,1,9,5,4,239.0
7:44.0, ,9-5,Turnover by A. Sengun (bad pass; steal by J. Tatum),,1,9,5,4,256.0
