Time,Indiana,Score,Boston,Event,Quarter,TeamScore,OpponentScore,PointDifference,ElapsedTime
12:00.0,Jump ball: M. Turner vs. K. Porziņģis (J. Brown gains possession),0-0,,,1,0,0,0,0.0
11:44.0, ,0-0,D. White misses 2-pt jump shot from 11 ft,,1,0,0,0,16.0
11:40.0,Defensive rebound by M. Turner,0-0, ,,1,0,0,0,20.0
11:34.0,Turnover by T. Haliburton (bad pass; steal by J. Brown),0-0, ,,1,0,0,0,26.0
11:22.0, ,0-2,K. Porziņģis makes 2-pt dunk from 1 ft (assist by J. Tatum),,1,2,0,2,38.0
11:00.0,A. Nesmith makes 3-pt jump shot from 27 ft (assist by T. Haliburton),3-2, ,Lead change,1,2,3,-1,60.0
10:50.0,Violation by Team (kicked ball),3-2, ,,1,2,3,-1,70.0
10:43.0, ,3-4,J. Tatum makes 2-pt dunk from 1 ft (assist by D. White),Lead change,1,4,3,1,77.0
10:28.0,A. Nesmith makes 2-pt jump shot from 13 ft (assist by M. Turner),5-4, ,Lead change,1,4,5,-1,92.0
10:16.0, ,5-7,K. Porziņģis makes 3-pt jump shot from 27 ft (assist by D. White),Lead change,1,7,5,2,104.0
10:01.0,M. Turner makes 3-pt jump shot from 27 ft (assist by T. Haliburton),8-7, ,Lead change,1,7,8,-1,119.0
9:49.0, ,8-9,J. Brown makes 2-pt layup from 3 ft (assist by J. Tatum),Lead change,1,9,8,1,131.0
9:49.0, ,8-9,Shooting foul by P. Siakam (drawn by J. Brown),,1,9,8,1,131.0
9:49.0, ,8-10,J. Brown makes free throw 1 of 1,,1,10,8,2,131.0
9:38.0,M. Turner makes 2-pt layup from 6 ft (assist by T. Haliburton),10-10, ,Tie,1,10,10,0,142.0
9:29.0, ,10-13,D. White makes 3-pt jump shot from 26 ft (assist by J. Holiday),,1,13,10,3,151.0
9:09.0,P. Siakam misses 2-pt hook shot from 14 ft,10-13, ,,1,13,10,3,171.0
9:06.0, ,10-13,Defensive rebound by J. Holiday,,1,13,10,3,174.0
