Time,LA Lakers,Score,Boston,Event,Quarter,TeamScore,OpponentScore,PointDifference,ElapsedTime
12:00.0,Jump ball: J. Hayes vs. K. Porziņģis (D. White gains possession),0-0,,,1,0,0,0,0.0
11:43.0, ,0-2,J. Brown makes 2-pt dunk from 2 ft (assist by J. Holiday),,1,2,0,2,17.0
11:25.0,D. Russell misses 2-pt jump shot from 10 ft,0-2, ,,1,2,0,2,35.0
11:24.0,Offensive rebound by D. Russell,0-2, ,,1,2,0,2,36.0
11:24.0,D. Russell misses 2-pt layup at rim,0-2, ,,1,2,0,2,36.0
11:23.0, ,0-2,Defensive rebound by J. Brown,,1,2,0,2,37.0
11:12.0, ,0-2,Turnover by K. Porziņģis (bad pass; steal by J. Hayes),,1,2,0,2,48.0
11:05.0,J. Hayes makes 2-pt jump shot from 9 ft (assist by T. Prince),2-2, ,Tie,1,2,2,0,55.0
10:51.0, ,2-4,D. White makes 2-pt layup from 2 ft (assist by K. Porziņģis),,1,4,2,2,69.0
10:40.0,J. Vanderbilt misses 3-pt jump shot from 24 ft,2-4, ,,1,4,2,2,80.0
10:38.0, ,2-4,Defensive rebound by J. Holiday,,1,4,2,2,82.0
10:33.0, ,2-4,J. Brown misses 3-pt jump shot from 25 ft,,1,4,2,2,87.0
10:31.0,Defensive rebound by J. Vanderbilt,2-4, ,,1,4,2,2,89.0
10:24.0,Shooting foul by K. Porziņģis (drawn by J. Vanderbilt),2-4, ,,1,4,2,2,96.0
10:24.0,J. Vanderbilt makes free throw 1 of 2,3-4, ,,1,4,3,1,96.0
10:24.0,J. Vanderbilt makes free throw 2 of 2,4-4, ,Tie,1,4,4,0,96.0
10:15.0, ,4-4,Turnover by J. Brown (lost ball; steal by J. Hayes),,1,4,4,0,105.0
10:11.0,J. Vanderbilt misses 2-pt layup from 8 ft,4-4, ,,1,4,4,0,109.0
10:08.0,Offensive rebound by J. Hayes,4-4, ,,1,4,4,0,112.0
10:06.0,A. Reaves misses 3-pt jump shot from 26 ft,4-4, ,,1,4,4,0,114.0
10:02.0,Offensive rebound by J. Vanderbilt,4-4, ,,1,4,4,0,118.0
9:53.0,J. Vanderbilt misses 2-pt hook shot from 12 ft,4-4, ,,1,4,4,0,127.0
9:49.0, ,4-4,Defensive rebound by J. Tatum,,1,4,4,0,131.0
9:40.0, ,4-4,J. Brown misses 2-pt jump shot from 7 ft,,1,4,4,0,140.0
9:38.0, ,4-4,Offensive rebound by J. Brown,,1,4,4,0,142.0
9:37.0, ,4-6,J. Brown makes 2-pt layup at rim,,1,6,4,2,143.0
9:18.0,A. Reaves misses 2-pt jump shot from 16 ft (block by J. Tatum),4-6, ,,1,6,4,2,162.0
9:16.0, ,4-6,Defensive rebound by K. Porziņģis,,1,6,4,2,164.0
9:12.0, ,4-8,J. Brown makes 2-pt dunk from 1 ft (assist by J. Holiday),,1,8,4,4,168.0
8:56.0,D. Russell misses 2-pt layup from 5 ft (block by D. White),4-8, ,,1,8,4,4,184.0
8:54.0,Offensive rebound by J. Hayes,4-8, ,,1,8,4,4,186.0
8:54.0,J. Hayes makes 2-pt dunk at rim,6-8, ,,1,8,6,2,186.0
8:38.0, ,6-8,K. Porziņģis misses 3-pt jump shot from 28 ft,,1,8,6,2,202.0
8:35.0,Defensive rebound by J. Vanderbilt,6-8, ,,1,8,6,2,205.0
8:29.0,D. Russell misses 2-pt layup from 8 ft,6-8, ,,1,8,6,2,211.0
8:27.0, ,6-8,Defensive rebound by K. Porziņģis,,1,8,6,2,213.0
8:19.0, ,6-8,J. Holiday misses 3-pt jump shot from 28 ft,,1,8,6,2,221.0
8:16.0, ,6-8,Offensive rebound by J. Brown,,1,8,6,2,224.0
8:12.0, ,6-8,J. Tatum misses 3-pt jump shot from 26 ft,,1,8,6,2,228.0
8:11.0,Defensive rebound by J. Hayes,6-8, ,,1,8,6,2,229.0
8:05.0,A. Reaves misses 2-pt layup from 5 ft (block by D. White),6-8, ,,1,8,6,2,235.0
8:03.0, ,6-8,Defensive rebound by J. Holiday,,1,8,6,2,237.0
7:50.0, ,6-8,J. Tatum misses 2-pt jump shot from 6 ft,,1,8,6,2,250.0
7:48.0,Defensive rebound by J. Hayes,6-8, ,,1,8,6,2,252.0
7:45.0,Personal foul by J. Tatum (drawn by J. Hayes),6-8, ,,1,8,6,2,255.0
7:27.0,J. Vanderbilt misses 2-pt layup from 5 ft (block by K. Porziņģis),6-8, ,,1,8,6,2,273.0
7:25.0,Offensive rebound by J. Hayes,6-8, ,,1,8,6,2,275.0
7:23.0,A. Reaves makes 3-pt jump shot from 27 ft (assist by J. Hayes),9-8, ,Lead change,1,8,9,-1,277.0
7:10.0, ,9-10,D. White makes 2-pt jump shot from 17 ft (assist by J. Holiday),Lead change,1,10,9,1,290.0
6:45.0,J. Vanderbilt makes 2-pt dunk from 2 ft (assist by A. Reaves),11-10, ,Lead change,1,10,11,-1,315.0
6:44.0, ,11-10,Boston full timeout,,1,10,11,-1,316.0
6:24.0, ,11-10,J. Brown misses 3-pt jump shot from 24 ft,,1,10,11,-1,336.0
6:21.0,Defensive rebound by T. Prince,11-10, ,,1,10,11,-1,339.0
6:14.0,A. Reaves makes 3-pt jump shot from 27 ft (assist by D. Russell),14-10, ,,1,10,14,-4,346.0
6:02.0, ,14-10,K. Porziņģis misses 2-pt jump shot from 11 ft,,1,10,14,-4,358.0
6:01.0,Defensive rebound by J. Hayes,14-10, ,,1,10,14,-4,359.0
5:48.0,J. Hayes makes 2-pt dunk from 2 ft (assist by D. Russell),16-10, ,,1,10,16,-6,372.0
5:37.0, ,16-10,Turnover by J. Holiday (lost ball; steal by D. Russell),,1,10,16,-6,383.0
5:28.0,D. Russell misses 3-pt jump shot from 24 ft,16-10, ,,1,10,16,-6,392.0
5:26.0, ,16-10,Defensive rebound by J. Brown,,1,10,16,-6,394.0
5:22.0, ,16-13,J. Tatum makes 3-pt jump shot from 25 ft (assist by D. White),,1,13,16,-3,398.0
5:05.0,T. Prince misses 3-pt jump shot from 26 ft,16-13, ,,1,13,16,-3,415.0
5:03.0, ,16-13,Defensive rebound by J. Brown,,1,13,16,-3,417.0
4:53.0, ,16-15,K. Porziņģis makes 2-pt layup from 2 ft (assist by J. Brown),,1,15,16,-1,427.0
4:39.0,A. Reaves makes 3-pt jump shot from 27 ft (assist by D. Russell),19-15, ,,1,15,19,-4,441.0
4:28.0, ,19-15,Turnover by D. White (bad pass),,1,15,19,-4,452.0
4:28.0,M. Christie enters the game for J. Hayes,19-15, ,,1,15,19,-4,452.0
4:28.0,R. Hachimura enters the game for T. Prince,19-15, ,,1,15,19,-4,452.0
4:28.0,C. Wood enters the game for D. Russell,19-15, ,,1,15,19,-4,452.0
4:28.0, ,19-15,S. Hauser enters the game for J. Holiday,,1,15,19,-4,452.0
4:28.0, ,19-15,A. Horford enters the game for J. Tatum,,1,15,19,-4,452.0
4:13.0,R. Hachimura makes 3-pt jump shot from 26 ft,22-15, ,,1,15,22,-7,467.0
3:59.0, ,22-15,Turnover by J. Brown (bad pass; steal by M. Christie),,1,15,22,-7,481.0
3:54.0,A. Reaves makes 2-pt layup from 9 ft (assist by J. Vanderbilt),24-15, ,,1,15,24,-9,486.0
3:37.0, ,24-15,Turnover by K. Porziņģis (bad pass; steal by J. Vanderbilt),,1,15,24,-9,503.0
3:32.0,A. Reaves misses 3-pt jump shot from 26 ft,24-15, ,,1,15,24,-9,508.0
3:29.0,Offensive rebound by Team,24-15, ,,1,15,24,-9,511.0
3:19.0,M. Christie misses 2-pt jump shot from 19 ft,24-15, ,,1,15,24,-9,521.0
3:18.0,Offensive rebound by C. Wood,24-15, ,,1,15,24,-9,522.0
3:18.0,C. Wood misses 2-pt layup at rim,24-15, ,,1,15,24,-9,522.0
3:17.0, ,24-15,Defensive rebound by A. Horford,,1,15,24,-9,523.0
3:08.0, ,24-15,Turnover by J. Brown (bad pass),,1,15,24,-9,532.0
3:07.0, ,24-15,Loose ball foul by D. White (drawn by A. Reaves),,1,15,24,-9,533.0
2:50.0,C. Wood misses 2-pt dunk from 4 ft,24-15, ,,1,15,24,-9,550.0
2:49.0,Offensive rebound by J. Vanderbilt,24-15, ,,1,15,24,-9,551.0
2:46.0,R. Hachimura misses 3-pt jump shot from 26 ft,24-15, ,,1,15,24,-9,554.0
2:45.0,Offensive rebound by C. Wood,24-15, ,,1,15,24,-9,555.0
2:44.0,C. Wood misses 2-pt layup from 4 ft (block by K. Porziņģis),24-15, ,,1,15,24,-9,556.0
2:43.0,Offensive rebound by J. Vanderbilt,24-15, ,,1,15,24,-9,557.0
2:40.0,C. Wood misses 3-pt jump shot from 24 ft,24-15, ,,1,15,24,-9,560.0
2:38.0, ,24-15,Defensive rebound by J. Brown,,1,15,24,-9,562.0
2:31.0, ,24-15,D. White misses 2-pt jump shot from 11 ft,,1,15,24,-9,569.0
2:30.0,Defensive rebound by R. Hachimura,24-15, ,,1,15,24,-9,570.0
2:23.0,R. Hachimura misses 2-pt layup from 9 ft,24-15, ,,1,15,24,-9,577.0
2:21.0,Offensive rebound by R. Hachimura,24-15, ,,1,15,24,-9,579.0
2:18.0,Turnover by R. Hachimura (bad pass; steal by K. Porziņģis),24-15, ,,1,15,24,-9,582.0
2:16.0, ,24-15,Turnover by K. Porziņģis (bad pass; steal by J. Vanderbilt),,1,15,24,-9,584.0
2:11.0,Turnover by J. Vanderbilt (bad pass),24-15, ,,1,15,24,-9,589.0
2:11.0,LA Lakers full timeout,24-15, ,,1,15,24,-9,589.0
2:11.0,J. Hayes enters the game for M. Christie,24-15, ,,1,15,24,-9,589.0
2:11.0,T. Prince enters the game for A. Reaves,24-15, ,,1,15,24,-9,589.0
2:11.0,D. Russell enters the game for J. Vanderbilt,24-15, ,,1,15,24,-9,589.0
2:11.0, ,24-15,J. Holiday enters the game for J. Brown,,1,15,24,-9,589.0
2:11.0, ,24-15,P. Pritchard enters the game for K. Porziņģis,,1,15,24,-9,589.0
2:11.0, ,24-15,N. Queta enters the game for D. White,,1,15,24,-9,589.0
1:48.0, ,24-15,J. Holiday misses 2-pt jump shot from 12 ft,,1,15,24,-9,612.0
1:46.0, ,24-15,Offensive rebound by J. Holiday,,1,15,24,-9,614.0
1:43.0, ,24-17,N. Queta makes 2-pt dunk from 1 ft (assist by J. Holiday),,1,17,24,-7,617.0
1:26.0,D. Russell makes 3-pt jump shot from 26 ft (assist by C. Wood),27-17, ,,1,17,27,-10,634.0
1:11.0, ,27-17,Turnover by J. Holiday (lost ball; steal by C. Wood),,1,17,27,-10,649.0
1:02.0,Shooting foul by N. Queta (drawn by C. Wood),27-17, ,,1,17,27,-10,658.0
1:02.0,C. Wood misses free throw 1 of 2,27-17, ,,1,17,27,-10,658.0
1:02.0,Offensive rebound by Team,27-17, ,,1,17,27,-10,658.0
1:02.0,C. Wood makes free throw 2 of 2,28-17, ,,1,17,28,-11,658.0
0:51.0, ,28-20,S. Hauser makes 3-pt jump shot from 25 ft (assist by J. Holiday),,1,20,28,-8,669.0
0:43.0,C. Wood misses 3-pt jump shot from 25 ft,28-20, ,,1,20,28,-8,677.0
0:42.0, ,28-20,Defensive rebound by S. Hauser,,1,20,28,-8,678.0
0:28.0, ,28-23,S. Hauser makes 3-pt jump shot from 25 ft (assist by J. Holiday),,1,23,28,-5,692.0
0:17.0,T. Prince misses 2-pt layup from 6 ft (block by A. Horford),28-23, ,,1,23,28,-5,703.0
0:15.0, ,28-23,Defensive rebound by N. Queta,,1,23,28,-5,705.0
0:00.0, ,28-25,J. Holiday makes 2-pt jump shot from 20 ft,,1,25,28,-3,720.0
0:00.0, ,28-25,Instant Replay (Request: Ruling Stands),,1,25,28,-3,720.0
0:00.0,End of 1st quarter,28-25,,,1,25,28,-3,720.0
12:00.0,Start of 2nd quarter,28-25,,,2,25,28,-3,720.0
11:41.0,R. Hachimura misses 2-pt jump shot from 9 ft (block by N. Queta),28-25, ,,2,25,28,-3,739.0
11:38.0,Offensive rebound by D. Russell,28-25, ,,2,25,28,-3,742.0
11:36.0,M. Christie misses 3-pt jump shot from 24 ft,28-25, ,,2,25,28,-3,744.0
11:34.0, ,28-25,Defensive rebound by A. Horford,,2,25,28,-3,746.0
11:22.0, ,28-25,S. Hauser misses 3-pt jump shot from 26 ft,,2,25,28,-3,758.0
11:19.0, ,28-25,Offensive rebound by N. Queta,,2,25,28,-3,761.0
11:19.0, ,28-25,N. Queta misses 2-pt layup at rim,,2,25,28,-3,761.0
11:18.0, ,28-25,Offensive rebound by N. Queta,,2,25,28,-3,762.0
11:18.0, ,28-27,N. Queta makes 2-pt layup at rim,,2,27,28,-1,762.0
11:05.0,D. Russell makes 3-pt jump shot from 26 ft,31-27, ,,2,27,31,-4,775.0
10:47.0, ,31-27,S. Hauser misses 3-pt jump shot from 26 ft,,2,27,31,-4,793.0
10:45.0, ,31-27,Offensive rebound by N. Queta,,2,27,31,-4,795.0
10:43.0, ,31-30,P. Pritchard makes 3-pt jump shot from 27 ft (assist by N. Queta),,2,30,31,-1,797.0
10:26.0,Turnover by D. Russell (bad pass),31-30, ,,2,30,31,-1,814.0
10:17.0, ,31-32,P. Pritchard makes 2-pt jump shot from 16 ft (assist by J. Tatum),Lead change,2,32,31,1,823.0
9:59.0,C. Wood makes 3-pt jump shot from 27 ft (assist by D. Russell),34-32, ,Lead change,2,32,34,-2,841.0
9:38.0, ,34-32,S. Hauser misses 2-pt jump shot from 12 ft,,2,32,34,-2,862.0
9:36.0,Defensive rebound by R. Hachimura,34-32, ,,2,32,34,-2,864.0
9:32.0,M. Christie makes 2-pt jump shot from 17 ft (assist by R. Hachimura),36-32, ,,2,32,36,-4,868.0
9:17.0, ,36-32,J. Tatum misses 3-pt jump shot from 29 ft,,2,32,36,-4,883.0
9:15.0,Defensive rebound by M. Christie,36-32, ,,2,32,36,-4,885.0
9:10.0,D. Russell makes 3-pt jump shot from 27 ft (assist by M. Christie),39-32, ,,2,32,39,-7,890.0
8:51.0, ,39-32,P. Pritchard misses 3-pt jump shot from 25 ft,,2,32,39,-7,909.0
8:49.0,Defensive rebound by C. Wood,39-32, ,,2,32,39,-7,911.0
