Time,Memphis,Score,Boston,Event,Quarter,TeamScore,OpponentScore,PointDifference,ElapsedTime
12:00.0,Jump ball: T. Jemison vs. K. Porziņģis (D. White gains possession),0-0,,,1,0,0,0,0.0
11:50.0, ,0-0,Shooting foul by T. Jemison (drawn by K. Porziņģis),,1,0,0,0,10.0
11:50.0, ,0-0,K. Porziņģis misses free throw 1 of 2,,1,0,0,0,10.0
11:50.0, ,0-0,Offensive rebound by Team,,1,0,0,0,10.0
11:50.0, ,0-1,K. Porziņģis makes free throw 2 of 2,,1,1,0,1,10.0
11:30.0,Turnover by L. Kennard (bad pass),0-1, ,,1,1,0,1,30.0
11:20.0, ,0-1,K. Porziņģis misses 3-pt jump shot from 28 ft,,1,1,0,1,40.0
11:18.0,Defensive rebound by T. Jemison,0-1, ,,1,1,0,1,42.0
11:13.0,Offensive foul by T. Jemison (drawn by J. Holiday),0-1, ,,1,1,0,1,47.0
11:13.0,Turnover by T. Jemison (offensive foul),0-1, ,,1,1,0,1,47.0
11:13.0,T. Evbuomwan enters the game for T. Jemison,0-1, ,,1,1,0,1,47.0
11:01.0, ,0-1,A. Horford misses 3-pt jump shot from 24 ft,,1,1,0,1,59.0
10:59.0,Defensive rebound by T. Evbuomwan,0-1, ,,1,1,0,1,61.0
10:49.0,D. Roddy misses 3-pt jump shot from 25 ft,0-1, ,,1,1,0,1,71.0
10:47.0, ,0-1,Defensive rebound by J. Tatum,,1,1,0,1,73.0
10:37.0, ,0-3,J. Tatum makes 2-pt layup from 3 ft,,1,3,0,3,83.0
10:23.0,G. Jackson misses 3-pt jump shot from 25 ft,0-3, ,,1,3,0,3,97.0
10:21.0, ,0-3,Defensive rebound by D. White,,1,3,0,3,99.0
10:14.0, ,0-3,J. Holiday misses 3-pt jump shot from 27 ft,,1,3,0,3,106.0
10:12.0,Defensive rebound by T. Evbuomwan,0-3, ,,1,3,0,3,108.0
10:03.0,D. Roddy makes 2-pt layup from 2 ft,2-3, ,,1,3,2,1,117.0
9:47.0, ,2-5,J. Holiday makes 2-pt layup from 3 ft (assist by J. Tatum),,1,5,2,3,133.0
9:32.0,Turnover by G. Jackson (lost ball; steal by J. Holiday),2-5, ,,1,5,2,3,148.0
9:28.0, ,2-7,J. Tatum makes 2-pt dunk at rim (assist by A. Horford),,1,7,2,5,152.0
9:08.0,J. Gilyard makes 2-pt layup from 4 ft (assist by G. Jackson),4-7, ,,1,7,4,3,172.0
9:08.0, ,4-7,Violation by Team (def goaltending),,1,7,4,3,172.0
8:56.0, ,4-7,Offensive foul by D. White (drawn by D. Roddy),,1,7,4,3,184.0
8:56.0, ,4-7,Turnover by D. White (offensive foul),,1,7,4,3,184.0
8:44.0,L. Kennard misses 3-pt jump shot from 27 ft,4-7, ,,1,7,4,3,196.0
8:42.0, ,4-7,Defensive rebound by J. Tatum,,1,7,4,3,198.0
8:34.0, ,4-9,A. Horford makes 2-pt hook shot from 4 ft (assist by J. Tatum),,1,9,4,5,206.0
8:20.0,L. Kennard misses 2-pt jump shot from 12 ft,4-9, ,,1,9,4,5,220.0
8:18.0, ,4-9,Defensive rebound by J. Holiday,,1,9,4,5,222.0
8:12.0, ,4-11,A. Horford makes 2-pt layup from 3 ft (assist by D. White),,1,11,4,7,228.0
7:55.0,G. Jackson makes 3-pt jump shot from 29 ft (assist by D. Roddy),7-11, ,,1,11,7,4,245.0
7:43.0, ,7-11,Personal foul by L. Kennard (drawn by K. Porziņģis),,1,11,7,4,257.0
7:37.0, ,7-11,A. Horford misses 3-pt jump shot from 27 ft,,1,11,7,4,263.0
7:36.0,Defensive rebound by T. Evbuomwan,7-11, ,,1,11,7,4,264.0
7:27.0,J. Gilyard makes 2-pt jump shot from 17 ft,9-11, ,,1,11,9,2,273.0
7:10.0, ,9-14,K. Porziņģis makes 3-pt jump shot from 28 ft (assist by J. Holiday),,1,14,9,5,290.0
6:54.0,G. Jackson misses 2-pt layup from 5 ft,9-14, ,,1,14,9,5,306.0
6:53.0,Offensive rebound by G. Jackson,9-14, ,,1,14,9,5,307.0
6:53.0,G. Jackson misses 2-pt layup at rim,9-14, ,,1,14,9,5,307.0
6:52.0,Offensive rebound by T. Evbuomwan,9-14, ,,1,14,9,5,308.0
6:48.0,J. Gilyard misses 3-pt jump shot from 24 ft,9-14, ,,1,14,9,5,312.0
6:47.0, ,9-14,Defensive rebound by A. Horford,,1,14,9,5,313.0
6:36.0, ,9-17,D. White makes 3-pt jump shot from 27 ft (assist by J. Holiday),,1,17,9,8,324.0
6:35.0,Memphis full timeout,9-17, ,,1,17,9,8,325.0
6:35.0, ,9-17,S. Hauser enters the game for J. Holiday,,1,17,9,8,325.0
6:29.0,Shooting foul by A. Horford (drawn by D. Roddy),9-17, ,,1,17,9,8,331.0
6:29.0,D. Roddy makes free throw 1 of 2,10-17, ,,1,17,10,7,331.0
6:29.0,D. Roddy makes free throw 2 of 2,11-17, ,,1,17,11,6,331.0
6:13.0, ,11-17,Shooting foul by T. Evbuomwan (drawn by K. Porziņģis),,1,17,11,6,347.0
6:13.0, ,11-18,K. Porziņģis makes free throw 1 of 2,,1,18,11,7,347.0
6:13.0, ,11-19,K. Porziņģis makes free throw 2 of 2,,1,19,11,8,347.0
5:48.0,D. Roddy misses 2-pt jump shot from 17 ft,11-19, ,,1,19,11,8,372.0
5:45.0, ,11-19,Defensive rebound by J. Tatum,,1,19,11,8,375.0
5:40.0, ,11-22,D. White makes 3-pt jump shot from 23 ft (assist by A. Horford),,1,22,11,11,380.0
5:27.0,D. Roddy misses 3-pt jump shot from 26 ft,11-22, ,,1,22,11,11,393.0
5:25.0, ,11-22,Defensive rebound by J. Tatum,,1,22,11,11,395.0
5:19.0, ,11-22,J. Tatum misses 3-pt jump shot from 28 ft,,1,22,11,11,401.0
5:17.0,Defensive rebound by D. Roddy,11-22, ,,1,22,11,11,403.0
5:14.0,L. Kennard misses 3-pt jump shot from 24 ft,11-22, ,,1,22,11,11,406.0
5:13.0,Offensive rebound by T. Evbuomwan,11-22, ,,1,22,11,11,407.0
5:13.0,T. Evbuomwan misses 2-pt layup from 4 ft,11-22, ,,1,22,11,11,407.0
5:12.0,Offensive rebound by T. Evbuomwan,11-22, ,,1,22,11,11,408.0
5:10.0,T. Evbuomwan misses 2-pt layup from 3 ft (block by K. Porziņģis),11-22, ,,1,22,11,11,410.0
5:09.0,Offensive rebound by D. Roddy,11-22, ,,1,22,11,11,411.0
5:06.0,D. Roddy makes 2-pt layup from 1 ft,13-22, ,,1,22,13,9,414.0
4:51.0, ,13-22,S. Hauser misses 3-pt jump shot from 27 ft,,1,22,13,9,429.0
4:51.0, ,13-22,Offensive rebound by J. Tatum,,1,22,13,9,429.0
4:46.0, ,13-24,J. Tatum makes 2-pt dunk from 2 ft,,1,24,13,11,434.0
4:46.0,M. Hurt enters the game for J. Gilyard,13-24, ,,1,24,13,11,434.0
4:46.0,S. Pippen  enters the game for L. Kennard,13-24, ,,1,24,13,11,434.0
4:46.0, ,13-24,L. Kornet enters the game for A. Horford,,1,24,13,11,434.0
4:25.0,T. Evbuomwan misses 3-pt jump shot from 24 ft,13-24, ,,1,24,13,11,455.0
4:25.0, ,13-24,Defensive rebound by S. Hauser,,1,24,13,11,455.0
4:11.0, ,13-24,J. Tatum misses 2-pt layup from 7 ft (block by M. Hurt),,1,24,13,11,469.0
