Time,Washington,Score,Boston,Event,Quarter,TeamScore,OpponentScore,PointDifference,ElapsedTime
12:00.0,Jump ball: D. Avdija vs. K. Porziņģis (D. White gains possession),0-0,,,1,0,0,0,0.0
11:41.0, ,0-0,J. Holiday misses 2-pt layup from 2 ft,,1,0,0,0,19.0
11:39.0,Defensive rebound by B. Coulibaly,0-0, ,,1,0,0,0,21.0
11:37.0,Turnover by T. Jones (lost ball; steal by D. White),0-0, ,,1,0,0,0,23.0
11:32.0, ,0-2,J. Tatum makes 2-pt layup from 2 ft (assist by J. Brown),,1,2,0,2,28.0
11:14.0,J. Poole makes 2-pt jump shot from 15 ft (assist by K. Kuzma),2-2, ,Tie,1,2,2,0,46.0
11:01.0, ,2-4,K. Porziņģis makes 2-pt jump shot from 14 ft,,1,4,2,2,59.0
10:52.0,B. Coulibaly misses 3-pt jump shot from 26 ft,2-4, ,,1,4,2,2,68.0
10:51.0, ,2-4,Defensive rebound by J. Tatum,,1,4,2,2,69.0
10:46.0, ,2-4,Personal foul by J. Poole (drawn by K. Porziņģis),,1,4,2,2,74.0
10:41.0, ,2-6,J. Brown makes 2-pt layup from 3 ft,,1,6,2,4,79.0
10:32.0,J. Poole misses 2-pt layup from 4 ft,2-6, ,,1,6,2,4,88.0
10:30.0, ,2-6,Defensive rebound by K. Porziņģis,,1,6,2,4,90.0
10:24.0, ,2-8,K. Porziņģis makes 2-pt layup from 2 ft (assist by J. Holiday),,1,8,2,6,96.0
10:12.0,T. Jones makes 2-pt jump shot from 12 ft,4-8, ,,1,8,4,4,108.0
9:57.0, ,4-8,J. Tatum misses 3-pt jump shot from 27 ft,,1,8,4,4,123.0
9:55.0,Defensive rebound by D. Avdija,4-8, ,,1,8,4,4,125.0
9:51.0,D. Avdija makes 2-pt layup from 4 ft,6-8, ,,1,8,6,2,129.0
9:51.0,Shooting foul by J. Brown (drawn by D. Avdija),6-8, ,,1,8,6,2,129.0
9:51.0,D. Avdija makes free throw 1 of 1,7-8, ,,1,8,7,1,129.0
9:32.0, ,7-8,Shooting foul by K. Kuzma (drawn by K. Porziņģis),,1,8,7,1,148.0
9:32.0, ,7-9,K. Porziņģis makes free throw 1 of 2,,1,9,7,2,148.0
9:32.0, ,7-10,K. Porziņģis makes free throw 2 of 2,,1,10,7,3,148.0
9:22.0,Personal foul by K. Porziņģis (drawn by B. Coulibaly),7-10, ,,1,10,7,3,158.0
9:16.0,B. Coulibaly misses 3-pt jump shot from 27 ft,7-10, ,,1,10,7,3,164.0
9:14.0, ,7-10,Defensive rebound by J. Tatum,,1,10,7,3,166.0
9:01.0, ,7-12,J. Holiday makes 2-pt layup from 1 ft (assist by J. Tatum),,1,12,7,5,179.0
8:41.0,Turnover by D. Avdija (bad pass; steal by J. Holiday),7-12, ,,1,12,7,5,199.0
8:33.0, ,7-14,J. Brown makes 2-pt layup from 2 ft (assist by J. Tatum),,1,14,7,7,207.0
8:19.0,J. Poole makes 3-pt jump shot from 27 ft (assist by K. Kuzma),10-14, ,,1,14,10,4,221.0
