Time,Boston,Score,Brooklyn,Event,Quarter,TeamScore,OpponentScore,PointDifference,ElapsedTime
12:00.0,Jump ball: A. Horford vs. N. Claxton (B. Simmons gains possession),0-0,,,1,0,0,0,0.0
11:54.0, ,0-3,M. Bridges makes 3-pt jump shot from 25 ft (assist by B. Simmons),,1,0,3,-3,6.0
11:33.0,J. Brown makes 2-pt jump shot from 13 ft,2-3, ,,1,2,3,-1,27.0
11:20.0, ,2-3,C. Thomas misses 3-pt jump shot from 26 ft,,1,2,3,-1,40.0
11:20.0,Defensive rebound by D. White,2-3, ,,1,2,3,-1,40.0
11:11.0,J. Tatum makes 2-pt layup from 2 ft (assist by J. Holiday),4-3, ,Lead change,1,4,3,1,49.0
10:54.0, ,4-3,M. Bridges misses 2-pt jump shot from 18 ft,,1,4,3,1,66.0
10:54.0,Defensive rebound by J. Tatum,4-3, ,,1,4,3,1,66.0
10:45.0,A. Horford makes 2-pt hook shot from 2 ft (assist by J. Brown),6-3, ,,1,6,3,3,75.0
10:29.0, ,6-5,C. Thomas makes 2-pt jump shot from 12 ft (assist by B. Simmons),,1,6,5,1,91.0
10:12.0,J. Tatum misses 2-pt layup from 2 ft,6-5, ,,1,6,5,1,108.0
10:10.0, ,6-5,Defensive rebound by B. Simmons,,1,6,5,1,110.0
10:05.0, ,6-7,D. Finney-Smith makes 2-pt layup from 2 ft (assist by B. Simmons),Lead change,1,6,7,-1,115.0
9:50.0,J. Holiday makes 2-pt jump shot from 11 ft,8-7, ,Lead change,1,8,7,1,130.0
9:39.0, ,8-9,N. Claxton makes 2-pt dunk from 1 ft (assist by C. Thomas),Lead change,1,8,9,-1,141.0
9:21.0,J. Brown misses 3-pt jump shot from 23 ft,8-9, ,,1,8,9,-1,159.0
9:21.0, ,8-9,Defensive rebound by N. Claxton,,1,8,9,-1,159.0
9:01.0, ,8-9,M. Bridges misses 2-pt layup from 3 ft,,1,8,9,-1,179.0
8:59.0,Defensive rebound by A. Horford,8-9, ,,1,8,9,-1,181.0
8:57.0,Turnover by D. White (bad pass),8-9, ,,1,8,9,-1,183.0
8:42.0, ,8-9,Shooting foul by J. Tatum (drawn by N. Claxton),,1,8,9,-1,198.0
8:42.0, ,8-9,N. Claxton misses free throw 1 of 2,,1,8,9,-1,198.0
8:42.0, ,8-9,Offensive rebound by Team,,1,8,9,-1,198.0
8:42.0, ,8-9,N. Claxton misses free throw 2 of 2,,1,8,9,-1,198.0
8:39.0,Defensive rebound by D. White,8-9, ,,1,8,9,-1,201.0
8:29.0,D. White misses 3-pt jump shot from 25 ft,8-9, ,,1,8,9,-1,211.0
8:24.0, ,8-9,Defensive rebound by C. Thomas,,1,8,9,-1,216.0
