Time,Brooklyn,Score,Boston,Event,Quarter,TeamScore,OpponentScore,PointDifference,ElapsedTime
12:00.0,Jump ball: N. Claxton vs. K. Porziņģis (D. White gains possession),0-0,,,1,0,0,0,0.0
11:45.0, ,0-0,D. White misses 3-pt jump shot from 26 ft,,1,0,0,0,15.0
11:41.0,Defensive rebound by N. Claxton,0-0, ,,1,0,0,0,19.0
11:35.0,M. Bridges misses 3-pt jump shot from 28 ft,0-0, ,,1,0,0,0,25.0
11:32.0, ,0-0,Defensive rebound by J. Holiday,,1,0,0,0,28.0
11:25.0, ,0-3,K. Porziņģis makes 3-pt jump shot from 27 ft (assist by S. Hauser),,1,3,0,3,35.0
11:07.0,C. Thomas misses 2-pt jump shot from 16 ft,0-3, ,,1,3,0,3,53.0
11:05.0, ,0-3,Defensive rebound by J. Tatum,,1,3,0,3,55.0
10:56.0, ,0-3,Shooting foul by D. Finney-Smith (drawn by J. Tatum),,1,3,0,3,64.0
10:56.0, ,0-4,J. Tatum makes free throw 1 of 2,,1,4,0,4,64.0
10:56.0, ,0-5,J. Tatum makes free throw 2 of 2,,1,5,0,5,64.0
10:41.0,N. Claxton misses 2-pt layup from 6 ft,0-5, ,,1,5,0,5,79.0
10:39.0, ,0-5,Defensive rebound by K. Porziņģis,,1,5,0,5,81.0
10:35.0, ,0-7,D. White makes 2-pt jump shot from 12 ft,,1,7,0,7,85.0
10:14.0,M. Bridges misses 3-pt jump shot from 29 ft,0-7, ,,1,7,0,7,106.0
10:11.0, ,0-7,Defensive rebound by J. Tatum,,1,7,0,7,109.0
9:55.0, ,0-7,K. Porziņģis misses 2-pt jump shot from 18 ft,,1,7,0,7,125.0
9:53.0,Defensive rebound by N. Claxton,0-7, ,,1,7,0,7,127.0
9:44.0,D. Schröder makes 2-pt jump shot from 13 ft (assist by N. Claxton),2-7, ,,1,7,2,5,136.0
9:24.0, ,2-10,D. White makes 3-pt jump shot from 26 ft (assist by J. Holiday),,1,10,2,8,156.0
9:06.0,D. Schröder makes 2-pt layup from 5 ft (assist by M. Bridges),4-10, ,,1,10,4,6,174.0
9:00.0, ,4-10,Turnover by D. White (bad pass),,1,10,4,6,180.0
8:41.0,D. Finney-Smith misses 2-pt jump shot from 21 ft,4-10, ,,1,10,4,6,199.0
8:38.0, ,4-10,Defensive rebound by D. White,,1,10,4,6,202.0
8:33.0, ,4-10,Shooting foul by D. Schröder (drawn by D. White),,1,10,4,6,207.0
8:33.0, ,4-11,D. White makes free throw 1 of 2,,1,11,4,7,207.0
8:33.0, ,4-12,D. White makes free throw 2 of 2,,1,12,4,8,207.0
8:12.0,M. Bridges misses 3-pt jump shot from 26 ft,4-12, ,,1,12,4,8,228.0
8:10.0, ,4-12,Defensive rebound by D. White,,1,12,4,8,230.0
