Time,Boston,Score,New York,Event,Quarter,TeamScore,OpponentScore,PointDifference,ElapsedTime
12:00.0,Jump ball: K. Porziņģis vs. I. Hartenstein (D. White gains possession),0-0,,,1,0,0,0,0.0
11:41.0,J. Brown makes 3-pt jump shot from 26 ft,3-0, ,,1,3,0,3,19.0
11:25.0, ,3-2,J. Brunson makes 2-pt jump shot from 12 ft,,1,3,2,1,35.0
11:11.0,K. Porziņģis misses 2-pt layup from 1 ft,3-2, ,,1,3,2,1,49.0
11:08.0, ,3-2,Defensive rebound by J. Hart,,1,3,2,1,52.0
11:06.0, ,3-5,J. Brunson makes 3-pt jump shot from 25 ft (assist by J. Hart),Lead change,1,3,5,-2,54.0
10:45.0,K. Porziņģis makes 2-pt jump shot from 14 ft (assist by D. White),5-5, ,Tie,1,5,5,0,75.0
10:22.0, ,5-5,J. Brunson misses 2-pt jump shot from 17 ft,,1,5,5,0,98.0
10:20.0,Defensive rebound by D. White,5-5, ,,1,5,5,0,100.0
10:16.0,J. Holiday misses 3-pt jump shot from 25 ft,5-5, ,,1,5,5,0,104.0
10:12.0, ,5-5,Defensive rebound by P. Achiuwa,,1,5,5,0,108.0
9:54.0, ,5-5,D. DiVincenzo misses 3-pt jump shot from 25 ft,,1,5,5,0,126.0
9:52.0,Defensive rebound by J. Tatum,5-5, ,,1,5,5,0,128.0
9:49.0,Turnover by J. Tatum (bad pass),5-5, ,,1,5,5,0,131.0
9:36.0, ,5-8,D. DiVincenzo makes 3-pt jump shot from 26 ft (assist by I. Hartenstein),,1,5,8,-3,144.0
9:26.0,J. Brown makes 3-pt jump shot from 26 ft,8-8, ,Tie,1,8,8,0,154.0
9:03.0, ,8-11,J. Brunson makes 3-pt jump shot from 25 ft,,1,8,11,-3,177.0
8:52.0,J. Holiday makes 2-pt layup from 2 ft (assist by J. Brown),10-11, ,,1,10,11,-1,188.0
8:39.0, ,10-11,Def 3 sec tech foul by Team,,1,10,11,-1,201.0
8:39.0, ,10-12,J. Brunson makes technical free throw,,1,10,12,-2,201.0
8:33.0, ,10-14,I. Hartenstein makes 2-pt jump shot from 3 ft (assist by J. Brunson),,1,10,14,-4,207.0
8:15.0,K. Porziņģis misses 3-pt jump shot from 27 ft,10-14, ,,1,10,14,-4,225.0
8:11.0, ,10-14,Defensive rebound by J. Hart,,1,10,14,-4,229.0
8:06.0, ,10-14,Turnover by J. Hart (lost ball; steal by D. White),,1,10,14,-4,234.0
7:59.0,J. Brown misses 3-pt jump shot from 24 ft,10-14, ,,1,10,14,-4,241.0
7:56.0, ,10-14,Defensive rebound by P. Achiuwa,,1,10,14,-4,244.0
7:34.0, ,10-14,Offensive foul by I. Hartenstein (drawn by K. Porziņģis),,1,10,14,-4,266.0
7:34.0, ,10-14,Turnover by I. Hartenstein (offensive foul),,1,10,14,-4,266.0
7:13.0,Shooting foul by P. Achiuwa (drawn by J. Tatum),10-14, ,,1,10,14,-4,287.0
7:13.0,J. Tatum makes free throw 1 of 2,11-14, ,,1,11,14,-3,287.0
7:13.0,J. Tatum misses free throw 2 of 2,11-14, ,,1,11,14,-3,287.0
7:08.0,Offensive rebound by J. Tatum,11-14, ,,1,11,14,-3,292.0
6:56.0,J. Tatum makes 2-pt layup from 1 ft,13-14, ,,1,13,14,-1,304.0
6:45.0, ,13-17,J. Hart makes 3-pt jump shot from 26 ft (assist by J. Brunson),,1,13,17,-4,315.0
6:23.0,J. Brown makes 2-pt jump shot from 9 ft,15-17, ,,1,15,17,-2,337.0
6:07.0, ,15-17,J. Brunson misses 3-pt jump shot from 25 ft,,1,15,17,-2,353.0
6:04.0,Defensive rebound by K. Porziņģis,15-17, ,,1,15,17,-2,356.0
5:53.0,J. Holiday makes 3-pt jump shot from 22 ft (assist by K. Porziņģis),18-17, ,Lead change,1,18,17,1,367.0
5:46.0, ,18-17,New York full timeout,,1,18,17,1,374.0
5:46.0,S. Hauser enters the game for J. Holiday,18-17, ,,1,18,17,1,374.0
5:46.0,A. Horford enters the game for J. Tatum,18-17, ,,1,18,17,1,374.0
5:46.0, ,18-17,J. Sims enters the game for I. Hartenstein,,1,18,17,1,374.0
5:28.0, ,18-19,P. Achiuwa makes 2-pt layup from 3 ft (assist by J. Brunson),Lead change,1,18,19,-1,392.0
5:02.0,K. Porziņģis misses 2-pt jump shot from 9 ft,18-19, ,,1,18,19,-1,418.0
5:00.0, ,18-19,Defensive rebound by J. Sims,,1,18,19,-1,420.0
4:49.0, ,18-21,J. Brunson makes 2-pt jump shot from 8 ft (assist by J. Hart),,1,18,21,-3,431.0
4:34.0,Personal foul by P. Achiuwa (drawn by K. Porziņģis),18-21, ,,1,18,21,-3,446.0
4:34.0, ,18-21,A. Burks enters the game for D. DiVincenzo,,1,18,21,-3,446.0
4:27.0,D. White makes 3-pt jump shot from 25 ft,21-21, ,Tie,1,21,21,0,453.0
4:08.0, ,21-21,J. Brunson misses 2-pt jump shot from 8 ft,,1,21,21,0,472.0
4:06.0, ,21-21,Offensive rebound by Team,,1,21,21,0,474.0
3:59.0, ,21-21,J. Brunson misses 3-pt jump shot from 25 ft,,1,21,21,0,481.0
3:55.0, ,21-21,Offensive rebound by P. Achiuwa,,1,21,21,0,485.0
3:46.0, ,21-24,A. Burks makes 3-pt jump shot from 25 ft,,1,21,24,-3,494.0
3:32.0,Shooting foul by A. Burks (drawn by K. Porziņģis),21-24, ,,1,21,24,-3,508.0
3:32.0,K. Porziņģis makes free throw 1 of 2,22-24, ,,1,22,24,-2,508.0
3:32.0,K. Porziņģis makes free throw 2 of 2,23-24, ,,1,23,24,-1,508.0
3:20.0, ,23-24,Personal foul by J. Brown (drawn by J. Brunson),,1,23,24,-1,520.0
