Time,Philadelphia,Score,Boston,Event,Quarter,TeamScore,OpponentScore,PointDifference,ElapsedTime
12:00.0,Jump ball: P. Reed vs. K. Porziņģis (D. White gains possession),0-0,,,1,0,0,0,0.0
11:44.0, ,0-2,J. Tatum makes 2-pt layup from 2 ft,,1,2,0,2,16.0
11:28.0,B. Hield makes 3-pt jump shot from 24 ft (assist by T. Maxey),3-2, ,Lead change,1,2,3,-1,32.0
11:17.0, ,3-4,J. Holiday makes 2-pt layup from 1 ft,Lead change,1,4,3,1,43.0
10:58.0,B. Hield makes 3-pt jump shot from 28 ft (assist by T. Maxey),6-4, ,Lead change,1,4,6,-2,62.0
10:41.0, ,6-4,K. Porziņģis misses 2-pt jump shot from 16 ft,,1,4,6,-2,79.0
10:39.0,Defensive rebound by P. Reed,6-4, ,,1,4,6,-2,81.0
10:26.0,T. Harris makes 2-pt layup from 3 ft (assist by B. Hield),8-4, ,,1,4,8,-4,94.0
10:26.0,Shooting foul by K. Porziņģis (drawn by T. Harris),8-4, ,,1,4,8,-4,94.0
10:26.0,T. Harris makes free throw 1 of 1,9-4, ,,1,4,9,-5,94.0
10:09.0, ,9-4,J. Brown misses 3-pt jump shot from 23 ft,,1,4,9,-5,111.0
10:04.0,Defensive rebound by B. Hield,9-4, ,,1,4,9,-5,116.0
9:56.0,B. Hield misses 2-pt layup from 4 ft,9-4, ,,1,4,9,-5,124.0
9:54.0, ,9-4,Defensive rebound by J. Brown,,1,4,9,-5,126.0
9:44.0, ,9-4,K. Porziņģis misses 2-pt jump shot from 10 ft,,1,4,9,-5,136.0
9:42.0,Defensive rebound by B. Hield,9-4, ,,1,4,9,-5,138.0
9:25.0,T. Maxey makes 2-pt layup from 3 ft (assist by B. Hield),11-4, ,,1,4,11,-7,155.0
9:11.0, ,11-7,J. Tatum makes 3-pt jump shot from 26 ft,,1,7,11,-4,169.0
8:52.0,K. Oubre misses 2-pt jump shot from 9 ft (block by D. White),11-7, ,,1,7,11,-4,188.0
8:50.0, ,11-7,Defensive rebound by K. Porziņģis,,1,7,11,-4,190.0
8:47.0, ,11-7,J. Tatum misses 3-pt jump shot from 25 ft,,1,7,11,-4,193.0
8:44.0, ,11-7,Offensive rebound by J. Holiday,,1,7,11,-4,196.0
8:38.0, ,11-9,J. Brown makes 2-pt layup from 3 ft (assist by J. Holiday),,1,9,11,-2,202.0
8:17.0,T. Harris misses 2-pt jump shot from 5 ft (block by J. Holiday),11-9, ,,1,9,11,-2,223.0
8:15.0, ,11-9,Defensive rebound by D. White,,1,9,11,-2,225.0
8:14.0, ,11-9,Shooting foul by K. Oubre (drawn by J. Brown),,1,9,11,-2,226.0
8:14.0, ,11-10,J. Brown makes free throw 1 of 2,,1,10,11,-1,226.0
8:14.0, ,11-11,J. Brown makes free throw 2 of 2,Tie,1,11,11,0,226.0
7:54.0,K. Oubre misses 3-pt jump shot from 29 ft,11-11, ,,1,11,11,0,246.0
7:52.0, ,11-11,Defensive rebound by J. Tatum,,1,11,11,0,248.0
7:43.0, ,11-14,K. Porziņģis makes 3-pt jump shot from 28 ft (assist by J. Tatum),Lead change,1,14,11,3,257.0
7:41.0,Philadelphia full timeout,11-14, ,,1,14,11,3,259.0
