Time,Golden State,Score,Boston,Event,Quarter,TeamScore,OpponentScore,PointDifference,ElapsedTime
12:00.0,Jump ball: D. Green vs. A. Horford (J. Holiday gains possession),0-0,,,1,0,0,0,0.0
11:53.0, ,0-3,J. Brown makes 3-pt jump shot from 26 ft (assist by J. Holiday),,1,3,0,3,7.0
11:40.0,S. Curry misses 3-pt jump shot from 30 ft,0-3, ,,1,3,0,3,20.0
11:39.0, ,0-3,Defensive rebound by A. Horford,,1,3,0,3,21.0
11:30.0, ,0-5,J. Brown makes 2-pt jump shot from 12 ft (assist by J. Tatum),,1,5,0,5,30.0
11:15.0,J. Kuminga makes 2-pt layup from 3 ft (assist by D. Green),2-5, ,,1,5,2,3,45.0
10:55.0, ,2-5,J. Holiday misses 2-pt layup from 5 ft,,1,5,2,3,65.0
10:54.0,Defensive rebound by D. Green,2-5, ,,1,5,2,3,66.0
10:47.0,K. Thompson makes 3-pt jump shot from 23 ft (assist by J. Kuminga),5-5, ,Tie,1,5,5,0,73.0
10:35.0, ,5-8,D. White makes 3-pt jump shot from 23 ft (assist by A. Horford),,1,8,5,3,85.0
10:23.0,M. Moody misses 3-pt jump shot from 27 ft,5-8, ,,1,8,5,3,97.0
10:22.0, ,5-8,Defensive rebound by J. Tatum,,1,8,5,3,98.0
10:13.0, ,5-8,J. Brown misses 3-pt jump shot from 24 ft,,1,8,5,3,107.0
10:11.0,Defensive rebound by K. Thompson,5-8, ,,1,8,5,3,109.0
9:59.0,M. Moody makes 3-pt jump shot from 27 ft (assist by K. Thompson),8-8, ,Tie,1,8,8,0,121.0
9:47.0, ,8-8,J. Brown misses 3-pt jump shot from 27 ft,,1,8,8,0,133.0
9:45.0,Defensive rebound by M. Moody,8-8, ,,1,8,8,0,135.0
9:38.0,M. Moody makes 2-pt dunk from 2 ft (assist by S. Curry),10-8, ,Lead change,1,8,10,-2,142.0
9:26.0, ,10-11,J. Holiday makes 3-pt jump shot from 25 ft (assist by D. White),Lead change,1,11,10,1,154.0
9:15.0,D. Green makes 2-pt layup from 2 ft (assist by S. Curry),12-11, ,Lead change,1,11,12,-1,165.0
9:04.0, ,12-14,J. Brown makes 3-pt jump shot from 26 ft (assist by D. White),Lead change,1,14,12,2,176.0
8:55.0,Shooting foul by A. Horford (drawn by J. Kuminga),12-14, ,,1,14,12,2,185.0
8:55.0,J. Kuminga makes free throw 1 of 2,13-14, ,,1,14,13,1,185.0
8:55.0,J. Kuminga makes free throw 2 of 2,14-14, ,Tie,1,14,14,0,185.0
8:44.0, ,14-17,D. White makes 3-pt jump shot from 27 ft (assist by A. Horford),,1,17,14,3,196.0
8:22.0,M. Moody makes 2-pt layup from 1 ft,16-17, ,,1,17,16,1,218.0
8:01.0, ,16-17,J. Brown misses 3-pt jump shot from 25 ft,,1,17,16,1,239.0
8:00.0,Defensive rebound by D. Green,16-17, ,,1,17,16,1,240.0
7:54.0,K. Thompson misses 3-pt jump shot from 26 ft,16-17, ,,1,17,16,1,246.0
7:53.0, ,16-17,Defensive rebound by J. Brown,,1,17,16,1,247.0
7:48.0, ,16-19,D. White makes 2-pt layup from 3 ft (assist by J. Brown),,1,19,16,3,252.0
7:35.0,S. Curry misses 2-pt jump shot from 17 ft,16-19, ,,1,19,16,3,265.0
7:34.0, ,16-19,Defensive rebound by A. Horford,,1,19,16,3,266.0
7:22.0, ,16-19,Shooting foul by M. Moody (drawn by J. Brown),,1,19,16,3,278.0
7:22.0, ,16-20,J. Brown makes free throw 1 of 2,,1,20,16,4,278.0
7:22.0, ,16-21,J. Brown makes free throw 2 of 2,,1,21,16,5,278.0
7:22.0,G. Payton enters the game for J. Kuminga,16-21, ,,1,21,16,5,278.0
7:22.0,L. Quinones enters the game for K. Thompson,16-21, ,,1,21,16,5,278.0
7:07.0,S. Curry misses 3-pt jump shot from 28 ft,16-21, ,,1,21,16,5,293.0
7:06.0, ,16-21,Defensive rebound by Team,,1,21,16,5,294.0
6:50.0, ,16-21,J. Tatum misses 2-pt jump shot from 16 ft,,1,21,16,5,310.0
6:46.0,Defensive rebound by D. Green,16-21, ,,1,21,16,5,314.0
6:32.0,L. Quinones makes 3-pt jump shot from 23 ft (assist by S. Curry),19-21, ,,1,21,19,2,328.0
6:21.0, ,19-21,J. Brown misses 2-pt jump shot from 17 ft,,1,21,19,2,339.0
6:20.0,Defensive rebound by D. Green,19-21, ,,1,21,19,2,340.0
6:11.0,S. Curry misses 3-pt jump shot from 24 ft,19-21, ,,1,21,19,2,349.0
6:10.0,Offensive rebound by M. Moody,19-21, ,,1,21,19,2,350.0
6:09.0,M. Moody misses 2-pt layup from 1 ft (block by J. Holiday),19-21, ,,1,21,19,2,351.0
6:08.0,Offensive rebound by Team,19-21, ,,1,21,19,2,352.0
6:08.0, ,19-21,Boston full timeout,,1,21,19,2,352.0
6:08.0, ,19-21,S. Hauser enters the game for J. Holiday,,1,21,19,2,352.0
6:08.0, ,19-21,L. Kornet enters the game for J. Tatum,,1,21,19,2,352.0
6:05.0,S. Curry makes 2-pt jump shot from 13 ft (assist by D. Green),21-21, ,Tie,1,21,21,0,355.0
5:44.0, ,21-24,J. Brown makes 3-pt jump shot from 24 ft (assist by A. Horford),,1,24,21,3,376.0
5:34.0,G. Payton misses 2-pt layup from 1 ft,21-24, ,,1,24,21,3,386.0
5:33.0, ,21-24,Defensive rebound by S. Hauser,,1,24,21,3,387.0
5:29.0, ,21-27,J. Brown makes 3-pt jump shot from 27 ft,,1,27,21,6,391.0
5:11.0,S. Curry misses 3-pt jump shot from 27 ft,21-27, ,,1,27,21,6,409.0
5:10.0, ,21-27,Defensive rebound by L. Kornet,,1,27,21,6,410.0
5:04.0, ,21-30,J. Brown makes 3-pt jump shot from 28 ft,,1,30,21,9,416.0
4:54.0,Offensive foul by G. Payton (drawn by D. White),21-30, ,,1,30,21,9,426.0
4:54.0,Turnover by G. Payton (offensive foul),21-30, ,,1,30,21,9,426.0
4:54.0,T. Jackson-Davis enters the game for D. Green,21-30, ,,1,30,21,9,426.0
4:54.0,C. Paul enters the game for M. Moody,21-30, ,,1,30,21,9,426.0
4:41.0, ,21-30,J. Brown misses 2-pt jump shot from 11 ft,,1,30,21,9,439.0
4:40.0,Defensive rebound by T. Jackson-Davis,21-30, ,,1,30,21,9,440.0
4:33.0,Personal foul by D. White (drawn by S. Curry),21-30, ,,1,30,21,9,447.0
4:17.0,L. Quinones misses 2-pt layup from 5 ft,21-30, ,,1,30,21,9,463.0
4:16.0, ,21-30,Defensive rebound by D. White,,1,30,21,9,464.0
4:11.0, ,21-33,S. Hauser makes 3-pt jump shot from 27 ft (assist by D. White),,1,33,21,12,469.0
3:48.0,L. Quinones misses 3-pt jump shot from 25 ft,21-33, ,,1,33,21,12,492.0
3:46.0, ,21-33,Defensive rebound by S. Hauser,,1,33,21,12,494.0
3:35.0, ,21-35,L. Kornet makes 2-pt dunk from 2 ft (assist by D. White),,1,35,21,14,505.0
3:34.0,Golden State full timeout,21-35, ,,1,35,21,14,506.0
3:34.0,J. Kuminga enters the game for S. Curry,21-35, ,,1,35,21,14,506.0
3:34.0,K. Thompson enters the game for G. Payton,21-35, ,,1,35,21,14,506.0
3:34.0, ,21-35,J. Holiday enters the game for D. White,,1,35,21,14,506.0
3:15.0,Def 3 sec tech foul by Team,21-35, ,,1,35,21,14,525.0
3:15.0,K. Thompson makes technical free throw,22-35, ,,1,35,22,13,525.0
3:12.0,Turnover by K. Thompson (bad pass),22-35, ,,1,35,22,13,528.0
3:03.0, ,22-35,L. Kornet misses 2-pt layup from 2 ft (block by T. Jackson-Davis),,1,35,22,13,537.0
3:02.0, ,22-35,Offensive rebound by J. Brown,,1,35,22,13,538.0
2:57.0, ,22-35,J. Brown misses 3-pt jump shot from 26 ft,,1,35,22,13,543.0
2:56.0,Defensive rebound by T. Jackson-Davis,22-35, ,,1,35,22,13,544.0
2:39.0,C. Paul misses 2-pt jump shot from 18 ft,22-35, ,,1,35,22,13,561.0
2:38.0, ,22-35,Defensive rebound by J. Brown,,1,35,22,13,562.0
2:36.0, ,22-35,Personal foul by L. Quinones (drawn by L. Kornet),,1,35,22,13,564.0
2:36.0, ,22-35,P. Pritchard enters the game for J. Brown,,1,35,22,13,564.0
2:36.0, ,22-35,J. Tatum enters the game for A. Horford,,1,35,22,13,564.0
2:27.0, ,22-35,Personal foul by T. Jackson-Davis (drawn by L. Kornet),,1,35,22,13,573.0
2:21.0, ,22-35,S. Hauser misses 3-pt jump shot from 26 ft,,1,35,22,13,579.0
2:20.0, ,22-35,Offensive rebound by L. Kornet,,1,35,22,13,580.0
2:18.0, ,22-35,Personal foul by K. Thompson (drawn by L. Kornet),,1,35,22,13,582.0
2:07.0, ,22-37,J. Tatum makes 2-pt jump shot from 4 ft,,1,37,22,15,593.0
1:49.0,Turnover by C. Paul (bad pass; steal by P. Pritchard),22-37, ,,1,37,22,15,611.0
1:45.0, ,22-37,J. Holiday misses 3-pt jump shot from 26 ft,,1,37,22,15,615.0
1:44.0,Defensive rebound by L. Quinones,22-37, ,,1,37,22,15,616.0
1:43.0,Personal foul by P. Pritchard (drawn by L. Quinones),22-37, ,,1,37,22,15,617.0
1:30.0,J. Kuminga misses 3-pt jump shot from 27 ft,22-37, ,,1,37,22,15,630.0
