Time,Boston,Score,Cleveland,Event,Quarter,TeamScore,OpponentScore,PointDifference,ElapsedTime
12:00.0,Jump ball: K. Porziņģis vs. J. Allen (D. White gains possession),0-0,,,1,0,0,0,0.0
11:42.0,J. Brown misses 3-pt jump shot from 24 ft,0-0, ,,1,0,0,0,18.0
11:40.0,Offensive rebound by D. White,0-0, ,,1,0,0,0,20.0
11:37.0,J. Holiday misses 3-pt jump shot from 25 ft,0-0, ,,1,0,0,0,23.0
11:34.0, ,0-0,Defensive rebound by I. Okoro,,1,0,0,0,26.0
11:20.0, ,0-0,D. Garland misses 2-pt layup at rim,,1,0,0,0,40.0
11:15.0, ,0-0,Offensive rebound by J. Allen,,1,0,0,0,45.0
11:15.0, ,0-2,J. Allen makes 2-pt layup at rim,,1,0,2,-2,45.0
11:02.0,D. White misses 3-pt jump shot from 26 ft,0-2, ,,1,0,2,-2,58.0
10:59.0, ,0-2,Defensive rebound by E. Mobley,,1,0,2,-2,61.0
10:52.0, ,0-2,E. Mobley misses 2-pt layup from 1 ft,,1,0,2,-2,68.0
10:48.0,Defensive rebound by K. Porziņģis,0-2, ,,1,0,2,-2,72.0
10:45.0,J. Brown makes 3-pt jump shot from 25 ft,3-2, ,Lead change,1,3,2,1,75.0
10:24.0, ,3-4,J. Allen makes 2-pt jump shot from 14 ft (assist by D. Garland),Lead change,1,3,4,-1,96.0
10:11.0,J. Tatum makes 3-pt jump shot from 25 ft,6-4, ,Lead change,1,6,4,2,109.0
9:57.0, ,6-6,D. Garland makes 2-pt jump shot from 17 ft,Tie,1,6,6,0,123.0
9:44.0,J. Brown misses 3-pt jump shot from 23 ft,6-6, ,,1,6,6,0,136.0
9:40.0,Offensive rebound by K. Porziņģis,6-6, ,,1,6,6,0,140.0
9:39.0,K. Porziņģis misses 2-pt layup from 2 ft,6-6, ,,1,6,6,0,141.0
9:36.0, ,6-6,Defensive rebound by S. Merrill,,1,6,6,0,144.0
9:31.0, ,6-6,D. Garland misses 3-pt jump shot from 25 ft,,1,6,6,0,149.0
9:28.0, ,6-6,Offensive rebound by E. Mobley,,1,6,6,0,152.0
9:26.0, ,6-9,I. Okoro makes 3-pt jump shot from 24 ft (assist by E. Mobley),Lead change,1,6,9,-3,154.0
9:01.0,J. Tatum misses 2-pt dunk from 2 ft,6-9, ,,1,6,9,-3,179.0
9:00.0,Offensive rebound by K. Porziņģis,6-9, ,,1,6,9,-3,180.0
8:57.0,J. Brown misses 3-pt jump shot from 27 ft,6-9, ,,1,6,9,-3,183.0
8:53.0, ,6-9,Defensive rebound by J. Allen,,1,6,9,-3,187.0
8:44.0, ,6-9,D. Garland misses 3-pt jump shot from 25 ft,,1,6,9,-3,196.0
8:40.0,Defensive rebound by J. Tatum,6-9, ,,1,6,9,-3,200.0
8:31.0,J. Holiday misses 3-pt jump shot from 23 ft,6-9, ,,1,6,9,-3,209.0
8:28.0, ,6-9,Defensive rebound by E. Mobley,,1,6,9,-3,212.0
8:26.0, ,6-9,Turnover by E. Mobley (bad pass; steal by J. Holiday),,1,6,9,-3,214.0
8:15.0,J. Tatum makes 3-pt jump shot from 31 ft,9-9, ,Tie,1,9,9,0,225.0
7:51.0, ,9-9,D. Garland misses 2-pt jump shot from 10 ft,,1,9,9,0,249.0
7:50.0,Defensive rebound by K. Porziņģis,9-9, ,,1,9,9,0,250.0
7:41.0,J. Brown misses 2-pt layup from 2 ft,9-9, ,,1,9,9,0,259.0
7:37.0, ,9-9,Defensive rebound by I. Okoro,,1,9,9,0,263.0
