Time,Boston,Score,Denver,Event,Quarter,TeamScore,OpponentScore,PointDifference,ElapsedTime
12:00.0,Jump ball: K. Porziņģis vs. N. Jokić (K. Caldwell-Pope gains possession),0-0,,,1,0,0,0,0.0
11:45.0, ,0-2,M. Porter makes 2-pt layup from 1 ft (assist by A. Gordon),,1,0,2,-2,15.0
11:29.0,J. Holiday misses 2-pt jump shot from 10 ft,0-2, ,,1,0,2,-2,31.0
11:27.0,Offensive rebound by J. Holiday,0-2, ,,1,0,2,-2,33.0
11:24.0,D. White misses 3-pt jump shot from 23 ft,0-2, ,,1,0,2,-2,36.0
11:20.0,Offensive rebound by D. White,0-2, ,,1,0,2,-2,40.0
11:07.0,J. Tatum makes 3-pt jump shot from 25 ft (assist by J. Brown),3-2, ,Lead change,1,3,2,1,53.0
10:45.0, ,3-2,J. Murray misses 2-pt layup from 2 ft,,1,3,2,1,75.0
10:44.0, ,3-2,Offensive rebound by Team,,1,3,2,1,76.0
10:36.0, ,3-2,Turnover by J. Murray (bad pass; steal by K. Porziņģis),,1,3,2,1,84.0
10:31.0,D. White makes 2-pt layup from 1 ft (assist by K. Porziņģis),5-2, ,,1,5,2,3,89.0
10:13.0, ,5-4,K. Caldwell-Pope makes 2-pt jump shot from 20 ft (assist by J. Murray),,1,5,4,1,107.0
9:56.0,K. Porziņģis makes 2-pt jump shot from 10 ft (assist by J. Tatum),7-4, ,,1,7,4,3,124.0
9:39.0, ,7-6,A. Gordon makes 2-pt dunk from 1 ft (assist by N. Jokić),,1,7,6,1,141.0
9:25.0,J. Holiday makes 2-pt layup from 1 ft,9-6, ,,1,9,6,3,155.0
9:09.0, ,9-6,J. Murray misses 2-pt jump shot from 16 ft,,1,9,6,3,171.0
9:07.0,Defensive rebound by K. Porziņģis,9-6, ,,1,9,6,3,173.0
9:01.0,Turnover by D. White (bad pass; steal by N. Jokić),9-6, ,,1,9,6,3,179.0
8:57.0, ,9-6,Turnover by J. Murray (lost ball; steal by D. White),,1,9,6,3,183.0
8:55.0,J. Brown makes 2-pt dunk from 1 ft (assist by D. White),11-6, ,,1,11,6,5,185.0
8:43.0, ,11-6,Personal foul by J. Brown (drawn by A. Gordon),,1,11,6,5,197.0
8:31.0, ,11-8,N. Jokić makes 2-pt dunk from 1 ft (assist by M. Porter),,1,11,8,3,209.0
8:22.0,J. Brown makes 2-pt jump shot from 8 ft,13-8, ,,1,13,8,5,218.0
8:21.0,Technical foul by J. Brown,13-8, ,,1,13,8,5,219.0
8:21.0, ,13-9,J. Murray makes technical free throw,,1,13,9,4,219.0
8:03.0, ,13-11,J. Murray makes 2-pt jump shot from 9 ft (assist by N. Jokić),,1,13,11,2,237.0
7:54.0,J. Brown makes 2-pt layup from 2 ft,15-11, ,,1,15,11,4,246.0
7:36.0, ,15-11,A. Gordon misses 3-pt jump shot from 23 ft,,1,15,11,4,264.0
7:33.0,Defensive rebound by J. Brown,15-11, ,,1,15,11,4,267.0
7:30.0,J. Brown misses 3-pt jump shot from 24 ft,15-11, ,,1,15,11,4,270.0
7:26.0, ,15-11,Defensive rebound by K. Caldwell-Pope,,1,15,11,4,274.0
7:21.0, ,15-14,M. Porter makes 3-pt jump shot from 26 ft (assist by N. Jokić),,1,15,14,1,279.0
6:59.0,K. Porziņģis misses 3-pt jump shot from 28 ft,15-14, ,,1,15,14,1,301.0
6:56.0, ,15-14,Defensive rebound by A. Gordon,,1,15,14,1,304.0
6:46.0, ,15-14,A. Gordon misses 2-pt jump shot from 13 ft,,1,15,14,1,314.0
6:43.0,Defensive rebound by K. Porziņģis,15-14, ,,1,15,14,1,317.0
6:43.0,Personal foul by M. Porter (drawn by K. Porziņģis),15-14, ,,1,15,14,1,317.0
6:43.0, ,15-14,Denver full timeout,,1,15,14,1,317.0
6:43.0,A. Horford enters the game for J. Holiday,15-14, ,,1,15,14,1,317.0
6:31.0,Shooting foul by A. Gordon (drawn by J. Brown),15-14, ,,1,15,14,1,329.0
6:31.0,J. Brown misses free throw 1 of 2,15-14, ,,1,15,14,1,329.0
6:31.0,Offensive rebound by Team,15-14, ,,1,15,14,1,329.0
6:31.0,J. Brown makes free throw 2 of 2,16-14, ,,1,16,14,2,329.0
6:17.0, ,16-14,Shooting foul by D. White (drawn by N. Jokić),,1,16,14,2,343.0
6:17.0, ,16-15,N. Jokić makes free throw 1 of 2,,1,16,15,1,343.0
6:17.0, ,16-16,N. Jokić makes free throw 2 of 2,Tie,1,16,16,0,343.0
6:04.0,J. Tatum makes 2-pt jump shot from 17 ft,18-16, ,,1,18,16,2,356.0
5:41.0, ,18-16,J. Murray misses 2-pt jump shot from 15 ft,,1,18,16,2,379.0
5:39.0,Defensive rebound by Team,18-16, ,,1,18,16,2,381.0
5:30.0,Personal foul by K. Caldwell-Pope (drawn by K. Porziņģis),18-16, ,,1,18,16,2,390.0
5:30.0, ,18-16,R. Jackson enters the game for J. Murray,,1,18,16,2,390.0
5:16.0,K. Porziņģis makes 2-pt layup from 3 ft (assist by J. Brown),20-16, ,,1,20,16,4,404.0
5:05.0, ,20-16,R. Jackson misses 2-pt layup from 2 ft (block by D. White),,1,20,16,4,415.0
5:03.0,Defensive rebound by K. Porziņģis,20-16, ,,1,20,16,4,417.0
4:54.0,A. Horford misses 3-pt jump shot from 26 ft,20-16, ,,1,20,16,4,426.0
4:51.0, ,20-16,Defensive rebound by A. Gordon,,1,20,16,4,429.0
4:33.0, ,20-18,R. Jackson makes 2-pt layup from 2 ft,,1,20,18,2,447.0
