Time,Boston,Score,Phoenix,Event,Quarter,TeamScore,OpponentScore,PointDifference,ElapsedTime
12:00.0,Jump ball: A. Horford vs. J. Nurkić (J. Brown gains possession),0-0,,,1,0,0,0,0.0
11:53.0,J. Brown misses 2-pt layup from 3 ft,0-0, ,,1,0,0,0,7.0
11:51.0, ,0-0,Defensive rebound by J. Nurkić,,1,0,0,0,9.0
11:47.0, ,0-0,K. Durant misses 3-pt jump shot from 25 ft,,1,0,0,0,13.0
11:42.0,Defensive rebound by J. Brown,0-0, ,,1,0,0,0,18.0
11:34.0,Shooting foul by B. Beal (drawn by J. Holiday),0-0, ,,1,0,0,0,26.0
11:34.0,J. Holiday makes free throw 1 of 2,1-0, ,,1,1,0,1,26.0
11:34.0,J. Holiday makes free throw 2 of 2,2-0, ,,1,2,0,2,26.0
11:18.0, ,2-2,K. Durant makes 2-pt jump shot from 14 ft (assist by J. Nurkić),Tie,1,2,2,0,42.0
11:05.0,A. Horford misses 3-pt jump shot from 25 ft,2-2, ,,1,2,2,0,55.0
11:02.0,Offensive rebound by D. White,2-2, ,,1,2,2,0,58.0
11:00.0,J. Tatum makes 2-pt layup from 1 ft (assist by D. White),4-2, ,,1,4,2,2,60.0
10:48.0, ,4-2,K. Durant misses 2-pt jump shot from 10 ft,,1,4,2,2,72.0
10:46.0,Defensive rebound by A. Horford,4-2, ,,1,4,2,2,74.0
10:38.0,J. Brown misses 2-pt layup from 2 ft,4-2, ,,1,4,2,2,82.0
10:36.0, ,4-2,Defensive rebound by G. Allen,,1,4,2,2,84.0
10:22.0, ,4-4,J. Nurkić makes 2-pt hook shot from 2 ft (assist by B. Beal),Tie,1,4,4,0,98.0
10:04.0,J. Tatum misses 2-pt layup at rim,4-4, ,,1,4,4,0,116.0
10:02.0, ,4-4,Defensive rebound by G. Allen,,1,4,4,0,118.0
9:59.0, ,4-4,Turnover by G. Allen (bad pass; steal by J. Brown),,1,4,4,0,121.0
9:56.0,J. Brown makes 2-pt dunk from 1 ft,6-4, ,,1,6,4,2,124.0
9:48.0, ,6-6,G. Allen makes 2-pt layup from 2 ft,Tie,1,6,6,0,132.0
9:36.0,J. Brown makes 3-pt jump shot from 25 ft (assist by J. Holiday),9-6, ,,1,9,6,3,144.0
9:19.0, ,9-8,K. Durant makes 2-pt jump shot from 10 ft,,1,9,8,1,161.0
9:08.0,D. White makes 2-pt jump shot from 7 ft (assist by J. Holiday),11-8, ,,1,11,8,3,172.0
8:54.0, ,11-8,Shooting foul by A. Horford (drawn by J. Nurkić),,1,11,8,3,186.0
8:54.0, ,11-9,J. Nurkić makes free throw 1 of 2,,1,11,9,2,186.0
8:54.0, ,11-9,J. Nurkić misses free throw 2 of 2,,1,11,9,2,186.0
8:51.0,Defensive rebound by J. Tatum,11-9, ,,1,11,9,2,189.0
8:42.0,D. White misses 3-pt jump shot from 26 ft,11-9, ,,1,11,9,2,198.0
8:39.0,Offensive rebound by A. Horford,11-9, ,,1,11,9,2,201.0
8:38.0,A. Horford misses 3-pt jump shot from 26 ft,11-9, ,,1,11,9,2,202.0
8:34.0, ,11-9,Defensive rebound by R. O'Neale,,1,11,9,2,206.0
8:21.0, ,11-11,J. Nurkić makes 2-pt hook shot from 3 ft,Tie,1,11,11,0,219.0
8:05.0,J. Tatum misses 3-pt jump shot from 25 ft,11-11, ,,1,11,11,0,235.0
8:02.0, ,11-11,Defensive rebound by J. Nurkić,,1,11,11,0,238.0
7:55.0, ,11-11,B. Beal misses 3-pt jump shot from 26 ft,,1,11,11,0,245.0
7:52.0, ,11-11,Offensive rebound by K. Durant,,1,11,11,0,248.0
7:49.0, ,11-11,Turnover by K. Durant (bad pass; steal by A. Horford),,1,11,11,0,251.0
7:42.0,D. White makes 2-pt layup from 1 ft (assist by J. Holiday),13-11, ,,1,13,11,2,258.0
7:17.0, ,13-14,B. Beal makes 3-pt jump shot from 23 ft (assist by K. Durant),Lead change,1,13,14,-1,283.0
7:02.0,J. Brown misses 2-pt layup from 2 ft,13-14, ,,1,13,14,-1,298.0
7:00.0, ,13-14,Defensive rebound by J. Nurkić,,1,13,14,-1,300.0
6:56.0, ,13-14,Shooting foul by J. Holiday (drawn by B. Beal),,1,13,14,-1,304.0
6:56.0, ,13-14,Phoenix full timeout,,1,13,14,-1,304.0
6:56.0,S. Hauser enters the game for J. Holiday,13-14, ,,1,13,14,-1,304.0
6:56.0,L. Kornet enters the game for J. Tatum,13-14, ,,1,13,14,-1,304.0
6:56.0, ,13-15,B. Beal makes free throw 1 of 2,,1,13,15,-2,304.0
6:56.0, ,13-16,B. Beal makes free throw 2 of 2,,1,13,16,-3,304.0
6:40.0,Turnover by D. White (bad pass; steal by R. O'Neale),13-16, ,,1,13,16,-3,320.0
6:32.0, ,13-16,B. Beal misses 2-pt layup from 3 ft,,1,13,16,-3,328.0
6:31.0,Defensive rebound by A. Horford,13-16, ,,1,13,16,-3,329.0
6:27.0,J. Brown misses 2-pt jump shot from 8 ft,13-16, ,,1,13,16,-3,333.0
6:23.0, ,13-16,Defensive rebound by J. Nurkić,,1,13,16,-3,337.0
6:12.0, ,13-16,K. Durant misses 2-pt jump shot from 10 ft,,1,13,16,-3,348.0
6:10.0, ,13-16,Offensive rebound by J. Nurkić,,1,13,16,-3,350.0
6:08.0, ,13-16,G. Allen misses 3-pt jump shot from 28 ft,,1,13,16,-3,352.0
6:06.0,Defensive rebound by A. Horford,13-16, ,,1,13,16,-3,354.0
5:57.0,J. Brown misses 2-pt jump shot from 3 ft,13-16, ,,1,13,16,-3,363.0
5:54.0,Offensive rebound by J. Brown,13-16, ,,1,13,16,-3,366.0
5:54.0,Shooting foul by G. Allen (drawn by J. Brown),13-16, ,,1,13,16,-3,366.0
5:54.0,J. Brown misses free throw 1 of 2,13-16, ,,1,13,16,-3,366.0
5:54.0,Offensive rebound by Team,13-16, ,,1,13,16,-3,366.0
5:54.0, ,13-16,E. Gordon enters the game for G. Allen,,1,13,16,-3,366.0
5:54.0,J. Brown makes free throw 2 of 2,14-16, ,,1,14,16,-2,366.0
5:40.0, ,14-18,K. Durant makes 2-pt jump shot from 12 ft (assist by B. Beal),,1,14,18,-4,380.0
5:20.0,D. White makes 2-pt layup from 6 ft,16-18, ,,1,16,18,-2,400.0
5:06.0, ,16-18,K. Durant misses 2-pt jump shot from 12 ft,,1,16,18,-2,414.0
5:04.0,Defensive rebound by A. Horford,16-18, ,,1,16,18,-2,416.0
4:57.0,L. Kornet makes 2-pt dunk from 1 ft (assist by D. White),18-18, ,Tie,1,18,18,0,423.0
4:48.0, ,18-18,Shooting foul by L. Kornet (drawn by K. Durant),,1,18,18,0,432.0
4:48.0, ,18-18,K. Durant misses free throw 1 of 2,,1,18,18,0,432.0
4:48.0, ,18-18,Offensive rebound by Team,,1,18,18,0,432.0
4:48.0, ,18-19,K. Durant makes free throw 2 of 2,,1,18,19,-1,432.0
4:29.0,J. Brown misses 3-pt jump shot from 26 ft,18-19, ,,1,18,19,-1,451.0
4:25.0, ,18-19,Defensive rebound by R. O'Neale,,1,18,19,-1,455.0
4:13.0, ,18-19,B. Beal misses 2-pt layup from 7 ft,,1,18,19,-1,467.0
4:11.0,Defensive rebound by D. White,18-19, ,,1,18,19,-1,469.0
4:04.0,J. Brown makes 2-pt layup from 3 ft (assist by D. White),20-19, ,Lead change,1,20,19,1,476.0
4:02.0,Technical foul by J. Brown,20-19, ,,1,20,19,1,478.0
4:02.0, ,20-20,K. Durant makes technical free throw,Tie,1,20,20,0,478.0
4:02.0,J. Tatum enters the game for J. Brown,20-20, ,,1,20,20,0,478.0
4:02.0, ,20-20,S. Lee enters the game for B. Beal,,1,20,20,0,478.0
3:43.0, ,20-22,J. Nurkić makes 2-pt hook shot from 3 ft (assist by K. Durant),Lead change,1,20,22,-2,497.0
3:23.0,L. Kornet makes 2-pt dunk from 2 ft (assist by D. White),22-22, ,Tie,1,22,22,0,517.0
3:11.0, ,22-24,K. Durant makes 2-pt jump shot from 15 ft (assist by J. Nurkić),,1,22,24,-2,529.0
2:57.0,J. Tatum misses 2-pt layup from 2 ft (block by J. Nurkić),22-24, ,,1,22,24,-2,543.0
2:54.0, ,22-24,Defensive rebound by K. Durant,,1,22,24,-2,546.0
2:50.0, ,22-24,S. Lee misses 3-pt jump shot from 24 ft,,1,22,24,-2,550.0
2:47.0,Defensive rebound by J. Tatum,22-24, ,,1,22,24,-2,553.0
2:38.0,D. White misses 3-pt jump shot from 26 ft,22-24, ,,1,22,24,-2,562.0
2:35.0, ,22-24,Defensive rebound by Team,,1,22,24,-2,565.0
2:35.0,Boston full timeout,22-24, ,,1,22,24,-2,565.0
2:35.0,J. Holiday enters the game for A. Horford,22-24, ,,1,22,24,-2,565.0
2:35.0,P. Pritchard enters the game for D. White,22-24, ,,1,22,24,-2,565.0
2:35.0, ,22-24,G. Allen enters the game for J. Nurkić,,1,22,24,-2,565.0
2:35.0, ,22-24,D. Eubanks enters the game for R. O'Neale,,1,22,24,-2,565.0
2:18.0, ,22-24,K. Durant misses 2-pt jump shot from 15 ft,,1,22,24,-2,582.0
2:14.0,Defensive rebound by J. Tatum,22-24, ,,1,22,24,-2,586.0
2:07.0,P. Pritchard makes 2-pt layup from 2 ft,24-24, ,Tie,1,24,24,0,593.0
1:53.0, ,24-24,E. Gordon misses 2-pt jump shot from 6 ft (block by S. Hauser),,1,24,24,0,607.0
1:51.0, ,24-24,Offensive rebound by Team,,1,24,24,0,609.0
1:43.0, ,24-24,S. Lee misses 3-pt jump shot from 23 ft,,1,24,24,0,617.0
1:40.0,Defensive rebound by S. Hauser,24-24, ,,1,24,24,0,620.0
1:25.0,J. Tatum misses 2-pt jump shot from 9 ft,24-24, ,,1,24,24,0,635.0
1:23.0,Offensive rebound by L. Kornet,24-24, ,,1,24,24,0,637.0
1:23.0,L. Kornet makes 2-pt layup at rim,26-24, ,Lead change,1,26,24,2,637.0
1:12.0, ,26-24,Offensive foul by S. Lee (drawn by J. Tatum),,1,26,24,2,648.0
1:12.0, ,26-24,Turnover by S. Lee (offensive foul),,1,26,24,2,648.0
1:09.0,Personal foul by K. Durant (drawn by J. Tatum),26-24, ,,1,26,24,2,651.0
1:00.0,J. Tatum makes 2-pt jump shot from 17 ft,28-24, ,,1,28,24,4,660.0
0:46.0, ,28-26,K. Durant makes 2-pt jump shot from 11 ft (assist by S. Lee),,1,28,26,2,674.0
0:33.0,J. Tatum makes 3-pt jump shot from 26 ft,31-26, ,,1,31,26,5,687.0
0:19.0, ,31-26,S. Lee misses 2-pt layup from 4 ft (block by J. Holiday),,1,31,26,5,701.0
0:16.0,Defensive rebound by J. Holiday,31-26, ,,1,31,26,5,704.0
0:03.0,J. Tatum misses 2-pt jump shot from 16 ft,31-26, ,,1,31,26,5,717.0
0:03.0, ,31-26,Defensive rebound by K. Durant,,1,31,26,5,717.0
0:00.0,End of 1st quarter,31-26,,,1,31,26,5,720.0
12:00.0,Start of 2nd quarter,31-26,,,2,31,26,5,720.0
11:38.0, ,31-29,B. Bol makes 3-pt jump shot from 26 ft (assist by G. Allen),,2,31,29,2,742.0
11:12.0,J. Tatum misses 2-pt jump shot from 14 ft,31-29, ,,2,31,29,2,768.0
11:11.0, ,31-29,Defensive rebound by B. Bol,,2,31,29,2,769.0
11:00.0, ,31-29,B. Beal misses 2-pt jump shot from 16 ft,,2,31,29,2,780.0
10:57.0,Defensive rebound by L. Kornet,31-29, ,,2,31,29,2,783.0
10:52.0,S. Hauser misses 3-pt jump shot from 25 ft,31-29, ,,2,31,29,2,788.0
10:47.0,Offensive rebound by P. Pritchard,31-29, ,,2,31,29,2,793.0
10:45.0,J. Holiday makes 3-pt jump shot from 26 ft (assist by P. Pritchard),34-29, ,,2,34,29,5,795.0
10:27.0, ,34-31,B. Beal makes 2-pt jump shot from 14 ft,,2,34,31,3,813.0
10:14.0,L. Kornet makes 2-pt dunk from 2 ft (assist by J. Holiday),36-31, ,,2,36,31,5,826.0
9:45.0, ,36-31,B. Beal misses 2-pt jump shot from 13 ft,,2,36,31,5,855.0
9:43.0,Defensive rebound by P. Pritchard,36-31, ,,2,36,31,5,857.0
9:30.0,P. Pritchard makes 2-pt layup from 3 ft,38-31, ,,2,38,31,7,870.0
9:16.0, ,38-31,E. Gordon misses 3-pt jump shot from 26 ft,,2,38,31,7,884.0
9:13.0,Defensive rebound by L. Kornet,38-31, ,,2,38,31,7,887.0
