Time,Phoenix,Score,Boston,Event,Quarter,TeamScore,OpponentScore,PointDifference,ElapsedTime
12:00.0,Jump ball: J. Nurkić vs. A. Horford (B. Beal gains possession),0-0,,,1,0,0,0,0.0
11:40.0,K. Durant makes 2-pt jump shot from 19 ft,2-0, ,,1,0,2,-2,20.0
11:19.0, ,2-0,J. Brown misses 2-pt jump shot from 13 ft,,1,0,2,-2,41.0
11:17.0,Defensive rebound by B. Beal,2-0, ,,1,0,2,-2,43.0
11:11.0,D. Booker misses 2-pt jump shot from 23 ft,2-0, ,,1,0,2,-2,49.0
11:09.0,Offensive rebound by J. Nurkić,2-0, ,,1,0,2,-2,51.0
11:09.0,J. Nurkić makes 2-pt layup at rim,4-0, ,,1,0,4,-4,51.0
10:54.0, ,4-3,A. Horford makes 3-pt jump shot from 26 ft (assist by J. Brown),,1,3,4,-1,66.0
10:33.0,J. Nurkić misses 2-pt hook shot from 11 ft,4-3, ,,1,3,4,-1,87.0
10:31.0, ,4-3,Defensive rebound by J. Tatum,,1,3,4,-1,89.0
10:14.0, ,4-3,Turnover by J. Tatum (lost ball; steal by G. Allen),,1,3,4,-1,106.0
10:14.0,Personal foul by J. Tatum (drawn by G. Allen),4-3, ,,1,3,4,-1,106.0
9:52.0,D. Booker misses 2-pt layup from 4 ft,4-3, ,,1,3,4,-1,128.0
9:50.0,Offensive rebound by G. Allen,4-3, ,,1,3,4,-1,130.0
9:48.0,B. Beal misses 3-pt jump shot from 27 ft,4-3, ,,1,3,4,-1,132.0
9:48.0, ,4-3,Defensive rebound by D. White,,1,3,4,-1,132.0
9:37.0, ,4-3,Personal foul by G. Allen (drawn by J. Brown),,1,3,4,-1,143.0
9:25.0, ,4-3,A. Horford misses 2-pt layup from 5 ft,,1,3,4,-1,155.0
9:23.0,Defensive rebound by J. Nurkić,4-3, ,,1,3,4,-1,157.0
9:18.0,K. Durant makes 2-pt jump shot from 21 ft (assist by J. Nurkić),6-3, ,,1,3,6,-3,162.0
9:10.0, ,6-3,Personal foul by D. Booker (drawn by J. Brown),,1,3,6,-3,170.0
9:05.0, ,6-3,J. Brown misses 2-pt jump shot from 11 ft,,1,3,6,-3,175.0
9:03.0,Defensive rebound by J. Nurkić,6-3, ,,1,3,6,-3,177.0
8:54.0,Turnover by K. Durant (bad pass; steal by A. Horford),6-3, ,,1,3,6,-3,186.0
8:51.0, ,6-5,A. Horford makes 2-pt layup from 2 ft,,1,5,6,-1,189.0
8:34.0,K. Durant makes 2-pt layup from 7 ft (assist by D. Booker),8-5, ,,1,5,8,-3,206.0
8:24.0, ,8-8,J. Brown makes 3-pt jump shot from 24 ft (assist by D. White),Tie,1,8,8,0,216.0
8:09.0,B. Beal makes 2-pt jump shot from 10 ft (assist by J. Nurkić),10-8, ,,1,8,10,-2,231.0
7:51.0, ,10-8,J. Brown misses 2-pt layup from 2 ft (block by B. Beal),,1,8,10,-2,249.0
7:49.0,Defensive rebound by J. Nurkić,10-8, ,,1,8,10,-2,251.0
7:43.0,G. Allen makes 2-pt jump shot from 9 ft (assist by B. Beal),12-8, ,,1,8,12,-4,257.0
7:27.0, ,12-8,J. Holiday misses 3-pt jump shot from 28 ft,,1,8,12,-4,273.0
7:25.0,Defensive rebound by B. Beal,12-8, ,,1,8,12,-4,275.0
7:17.0,B. Beal makes 3-pt jump shot from 26 ft,15-8, ,,1,8,15,-7,283.0
7:02.0, ,15-11,A. Horford makes 3-pt jump shot from 26 ft (assist by J. Holiday),,1,11,15,-4,298.0
6:50.0,Turnover by K. Durant (bad pass; steal by D. White),15-11, ,,1,11,15,-4,310.0
6:45.0, ,15-13,J. Brown makes 2-pt layup from 1 ft (assist by D. White),,1,13,15,-2,315.0
6:27.0,K. Durant makes 2-pt layup from 4 ft (assist by J. Nurkić),17-13, ,,1,13,17,-4,333.0
6:08.0, ,17-15,J. Tatum makes 2-pt layup from 1 ft,,1,15,17,-2,352.0
5:46.0,B. Beal makes 2-pt layup from 3 ft,19-15, ,,1,15,19,-4,374.0
5:46.0, ,19-15,Boston full timeout,,1,15,19,-4,374.0
5:46.0,R. O'Neale enters the game for B. Beal,19-15, ,,1,15,19,-4,374.0
5:46.0, ,19-15,S. Hauser enters the game for J. Brown,,1,15,19,-4,374.0
5:46.0, ,19-15,L. Kornet enters the game for D. White,,1,15,19,-4,374.0
5:37.0, ,19-15,J. Tatum misses 3-pt jump shot from 26 ft,,1,15,19,-4,383.0
5:34.0,Defensive rebound by K. Durant,19-15, ,,1,15,19,-4,386.0
5:29.0,D. Booker misses 3-pt jump shot from 29 ft,19-15, ,,1,15,19,-4,391.0
5:27.0,Offensive rebound by Team,19-15, ,,1,15,19,-4,393.0
5:27.0, ,19-15,Loose ball foul by L. Kornet (drawn by J. Nurkić),,1,15,19,-4,393.0
5:24.0,K. Durant makes 3-pt jump shot from 25 ft (assist by D. Booker),22-15, ,,1,15,22,-7,396.0
5:08.0, ,22-18,J. Tatum makes 3-pt jump shot from 28 ft (assist by J. Holiday),,1,18,22,-4,412.0
4:51.0,D. Booker misses 3-pt jump shot from 28 ft,22-18, ,,1,18,22,-4,429.0
4:48.0, ,22-18,Defensive rebound by J. Tatum,,1,18,22,-4,432.0
4:46.0, ,22-18,Turnover by J. Tatum (lost ball; steal by J. Nurkić),,1,18,22,-4,434.0
4:42.0,R. O'Neale misses 3-pt jump shot from 25 ft,22-18, ,,1,18,22,-4,438.0
4:39.0, ,22-18,Defensive rebound by S. Hauser,,1,18,22,-4,441.0
4:27.0, ,22-18,L. Kornet misses 2-pt layup from 3 ft,,1,18,22,-4,453.0
4:27.0,Defensive rebound by Team,22-18, ,,1,18,22,-4,453.0
4:13.0,Shooting foul by J. Holiday (drawn by D. Booker),22-18, ,,1,18,22,-4,467.0
4:13.0,D. Booker makes free throw 1 of 2,23-18, ,,1,18,23,-5,467.0
4:13.0,D. Eubanks enters the game for J. Nurkić,23-18, ,,1,18,23,-5,467.0
4:13.0,D. Booker makes free throw 2 of 2,24-18, ,,1,18,24,-6,467.0
4:02.0, ,24-18,A. Horford misses 3-pt jump shot from 25 ft,,1,18,24,-6,478.0
3:58.0,Defensive rebound by R. O'Neale,24-18, ,,1,18,24,-6,482.0
3:53.0,D. Booker makes 2-pt jump shot from 16 ft,26-18, ,,1,18,26,-8,487.0
3:36.0, ,26-20,J. Tatum makes 2-pt jump shot from 21 ft,,1,20,26,-6,504.0
3:21.0,K. Durant misses 2-pt jump shot from 17 ft,26-20, ,,1,20,26,-6,519.0
3:19.0, ,26-20,Defensive rebound by S. Hauser,,1,20,26,-6,521.0
3:13.0, ,26-23,J. Tatum makes 3-pt jump shot from 27 ft (assist by S. Hauser),,1,23,26,-3,527.0
3:12.0,Phoenix full timeout,26-23, ,,1,23,26,-3,528.0
3:12.0,B. Beal enters the game for G. Allen,26-23, ,,1,23,26,-3,528.0
