Time,Boston,Score,Chicago,Event,Quarter,TeamScore,OpponentScore,PointDifference,ElapsedTime
12:00.0,Jump ball: L. Kornet vs. N. Vučević (S. Hauser gains possession),0-0,,,1,0,0,0,0.0
11:45.0,A. Horford misses 3-pt jump shot from 23 ft,0-0, ,,1,0,0,0,15.0
11:42.0,Offensive rebound by L. Kornet,0-0, ,,1,0,0,0,18.0
11:37.0,L. Kornet makes 2-pt dunk from 1 ft (assist by D. White),2-0, ,,1,2,0,2,23.0
11:25.0, ,2-0,D. DeRozan misses 2-pt jump shot from 9 ft,,1,2,0,2,35.0
11:23.0,Defensive rebound by A. Horford,2-0, ,,1,2,0,2,37.0
11:09.0,J. Tatum misses 2-pt jump shot from 18 ft,2-0, ,,1,2,0,2,51.0
11:07.0,Offensive rebound by Team,2-0, ,,1,2,0,2,53.0
11:07.0, ,2-0,Loose ball foul by N. Vučević (drawn by L. Kornet),,1,2,0,2,53.0
10:57.0,J. Tatum makes 2-pt jump shot from 17 ft,4-0, ,,1,4,0,4,63.0
10:39.0, ,4-0,D. DeRozan misses 2-pt layup from 3 ft,,1,4,0,4,81.0
10:37.0,Defensive rebound by D. White,4-0, ,,1,4,0,4,83.0
10:30.0,S. Hauser misses 3-pt jump shot from 23 ft,4-0, ,,1,4,0,4,90.0
10:26.0, ,4-0,Defensive rebound by D. DeRozan,,1,4,0,4,94.0
10:21.0, ,4-0,A. Dosunmu misses 2-pt layup from 1 ft,,1,4,0,4,99.0
10:18.0,Defensive rebound by D. White,4-0, ,,1,4,0,4,102.0
10:10.0,J. Tatum misses 2-pt jump shot from 15 ft,4-0, ,,1,4,0,4,110.0
10:08.0, ,4-0,Defensive rebound by C. White,,1,4,0,4,112.0
10:00.0, ,4-0,Turnover by D. DeRozan (bad pass),,1,4,0,4,120.0
9:50.0,Personal foul by A. Caruso (drawn by J. Tatum),4-0, ,,1,4,0,4,130.0
9:38.0,A. Horford misses 2-pt layup from 4 ft (block by D. DeRozan),4-0, ,,1,4,0,4,142.0
9:38.0,Offensive rebound by Team,4-0, ,,1,4,0,4,142.0
9:32.0,J. Tatum misses 2-pt jump shot from 20 ft,4-0, ,,1,4,0,4,148.0
9:32.0, ,4-0,Defensive rebound by D. DeRozan,,1,4,0,4,148.0
9:23.0, ,4-2,D. DeRozan makes 2-pt jump shot from 7 ft,,1,4,2,2,157.0
9:23.0, ,4-2,Shooting foul by D. White (drawn by D. DeRozan),,1,4,2,2,157.0
9:23.0, ,4-3,D. DeRozan makes free throw 1 of 1,,1,4,3,1,157.0
9:09.0,D. White misses 3-pt jump shot from 26 ft,4-3, ,,1,4,3,1,171.0
9:07.0, ,4-3,Defensive rebound by A. Dosunmu,,1,4,3,1,173.0
9:05.0, ,4-3,Personal foul by J. Tatum (drawn by C. White),,1,4,3,1,175.0
9:00.0, ,4-6,A. Caruso makes 3-pt jump shot from 25 ft (assist by D. DeRozan),Lead change,1,4,6,-2,180.0
8:40.0,J. Tatum makes 2-pt layup from 1 ft,6-6, ,Tie,1,6,6,0,200.0
8:40.0,Shooting foul by A. Dosunmu (drawn by J. Tatum),6-6, ,,1,6,6,0,200.0
8:40.0,J. Tatum misses free throw 1 of 1,6-6, ,,1,6,6,0,200.0
8:35.0,Offensive rebound by J. Tatum,6-6, ,,1,6,6,0,205.0
8:32.0,D. White misses 3-pt jump shot from 25 ft,6-6, ,,1,6,6,0,208.0
8:29.0, ,6-6,Defensive rebound by A. Caruso,,1,6,6,0,211.0
8:26.0, ,6-8,A. Dosunmu makes 2-pt layup from 3 ft (assist by A. Caruso),,1,6,8,-2,214.0
8:06.0,Turnover by S. Hauser (bad pass; steal by A. Caruso),6-8, ,,1,6,8,-2,234.0
7:59.0, ,6-8,C. White misses 3-pt jump shot from 25 ft,,1,6,8,-2,241.0
7:57.0,Defensive rebound by S. Hauser,6-8, ,,1,6,8,-2,243.0
7:51.0,Turnover by L. Kornet (out of bounds lost ball),6-8, ,,1,6,8,-2,249.0
7:36.0, ,6-10,D. DeRozan makes 2-pt layup at rim (assist by N. Vučević),,1,6,10,-4,264.0
7:23.0,Turnover by J. Tatum (bad pass; steal by A. Dosunmu),6-10, ,,1,6,10,-4,277.0
7:19.0, ,6-13,A. Caruso makes 3-pt jump shot from 23 ft (assist by A. Dosunmu),,1,6,13,-7,281.0
7:16.0,Boston full timeout,6-13, ,,1,6,13,-7,284.0
7:00.0,S. Hauser makes 3-pt jump shot from 26 ft (assist by A. Horford),9-13, ,,1,9,13,-4,300.0
6:47.0, ,9-13,A. Caruso misses 3-pt jump shot from 23 ft,,1,9,13,-4,313.0
6:44.0,Defensive rebound by L. Kornet,9-13, ,,1,9,13,-4,316.0
6:37.0,A. Horford misses 3-pt jump shot from 23 ft,9-13, ,,1,9,13,-4,323.0
6:35.0, ,9-13,Defensive rebound by A. Dosunmu,,1,9,13,-4,325.0
6:25.0, ,9-15,D. DeRozan makes 2-pt layup from 1 ft (assist by C. White),,1,9,15,-6,335.0
6:10.0,D. White makes 3-pt jump shot from 27 ft (assist by L. Kornet),12-15, ,,1,12,15,-3,350.0
5:49.0, ,12-15,A. Caruso misses 2-pt layup from 1 ft (block by L. Kornet),,1,12,15,-3,371.0
5:47.0,Defensive rebound by A. Horford,12-15, ,,1,12,15,-3,373.0
5:43.0,D. White makes 2-pt jump shot from 3 ft,14-15, ,,1,14,15,-1,377.0
5:30.0, ,14-17,N. Vučević makes 2-pt jump shot from 12 ft (assist by A. Dosunmu),,1,14,17,-3,390.0
5:13.0,A. Horford makes 3-pt jump shot from 23 ft (assist by J. Tatum),17-17, ,Tie,1,17,17,0,407.0
4:59.0, ,17-17,A. Dosunmu misses 3-pt jump shot from 24 ft,,1,17,17,0,421.0
4:56.0,Defensive rebound by S. Hauser,17-17, ,,1,17,17,0,424.0
4:39.0,J. Tatum misses 2-pt jump shot from 13 ft,17-17, ,,1,17,17,0,441.0
4:34.0, ,17-17,Defensive rebound by N. Vučević,,1,17,17,0,446.0
4:13.0, ,17-17,C. White misses 2-pt jump shot from 10 ft,,1,17,17,0,467.0
4:13.0,Defensive rebound by Team,17-17, ,,1,17,17,0,467.0
4:13.0,O. Brissett enters the game for S. Hauser,17-17, ,,1,17,17,0,467.0
4:13.0,S. Mykhailiuk enters the game for L. Kornet,17-17, ,,1,17,17,0,467.0
4:13.0,P. Pritchard enters the game for D. White,17-17, ,,1,17,17,0,467.0
4:13.0, ,17-17,T. Craig enters the game for A. Caruso,,1,17,17,0,467.0
4:13.0, ,17-17,D. Terry enters the game for C. White,,1,17,17,0,467.0
3:57.0,J. Tatum makes 3-pt jump shot from 26 ft (assist by P. Pritchard),20-17, ,Lead change,1,20,17,3,483.0
3:44.0, ,20-19,N. Vučević makes 2-pt layup from 1 ft (assist by T. Craig),,1,20,19,1,496.0
3:29.0,S. Mykhailiuk misses 3-pt jump shot from 24 ft,20-19, ,,1,20,19,1,511.0
3:26.0, ,20-19,Defensive rebound by T. Craig,,1,20,19,1,514.0
3:18.0, ,20-19,N. Vučević misses 3-pt jump shot from 26 ft,,1,20,19,1,522.0
3:14.0, ,20-19,Offensive rebound by D. Terry,,1,20,19,1,526.0
3:12.0, ,20-19,A. Dosunmu misses 3-pt jump shot from 26 ft,,1,20,19,1,528.0
3:11.0, ,20-19,Offensive rebound by Team,,1,20,19,1,529.0
3:11.0,Loose ball foul by O. Brissett (drawn by D. Terry),20-19, ,,1,20,19,1,529.0
3:11.0, ,20-19,Chicago full timeout,,1,20,19,1,529.0
3:11.0,X. Tillman enters the game for A. Horford,20-19, ,,1,20,19,1,529.0
3:11.0, ,20-19,O. Bitim enters the game for D. DeRozan,,1,20,19,1,529.0
2:56.0, ,20-19,O. Bitim misses 2-pt jump shot from 8 ft,,1,20,19,1,544.0
2:54.0,Defensive rebound by X. Tillman,20-19, ,,1,20,19,1,546.0
2:47.0,Turnover by J. Tatum (traveling),20-19, ,,1,20,19,1,553.0
2:37.0, ,20-22,T. Craig makes 3-pt jump shot from 23 ft (assist by O. Bitim),Lead change,1,20,22,-2,563.0
2:24.0,Personal foul by T. Craig (drawn by J. Tatum),20-22, ,,1,20,22,-2,576.0
2:24.0, ,20-22,A. Drummond enters the game for A. Dosunmu,,1,20,22,-2,576.0
2:24.0, ,20-22,C. White enters the game for N. Vučević,,1,20,22,-2,576.0
2:19.0,P. Pritchard makes 3-pt jump shot from 25 ft (assist by X. Tillman),23-22, ,Lead change,1,23,22,1,581.0
2:04.0, ,23-24,D. Terry makes 2-pt layup from 3 ft (assist by C. White),Lead change,1,23,24,-1,596.0
1:51.0,S. Mykhailiuk makes 3-pt jump shot from 23 ft (assist by P. Pritchard),26-24, ,Lead change,1,26,24,2,609.0
1:33.0, ,26-26,D. Terry makes 2-pt layup from 3 ft (assist by T. Craig),Tie,1,26,26,0,627.0
1:16.0,S. Mykhailiuk misses 3-pt jump shot from 25 ft,26-26, ,,1,26,26,0,644.0
1:14.0, ,26-26,Defensive rebound by A. Drummond,,1,26,26,0,646.0
1:09.0, ,26-26,C. White misses 2-pt layup from 2 ft,,1,26,26,0,651.0
1:07.0,Defensive rebound by X. Tillman,26-26, ,,1,26,26,0,653.0
1:01.0,J. Tatum makes 2-pt layup from 1 ft (assist by P. Pritchard),28-26, ,,1,28,26,2,659.0
1:01.0,Shooting foul by O. Bitim (drawn by J. Tatum),28-26, ,,1,28,26,2,659.0
1:01.0, ,28-26,D. DeRozan enters the game for O. Bitim,,1,28,26,2,659.0
1:01.0,J. Tatum makes free throw 1 of 1,29-26, ,,1,29,26,3,659.0
0:44.0, ,29-28,A. Drummond makes 2-pt jump shot from 6 ft (assist by C. White),,1,29,28,1,676.0
0:30.0,X. Tillman misses 3-pt jump shot from 23 ft,29-28, ,,1,29,28,1,690.0
0:27.0,Offensive rebound by O. Brissett,29-28, ,,1,29,28,1,693.0
0:27.0,O. Brissett makes 2-pt layup at rim,31-28, ,,1,31,28,3,693.0
0:08.0, ,31-31,T. Craig makes 3-pt jump shot from 25 ft (assist by D. DeRozan),Tie,1,31,31,0,712.0
0:01.0,J. Tatum misses 3-pt jump shot from 27 ft,31-31, ,,1,31,31,0,719.0
0:01.0, ,31-31,Defensive rebound by A. Drummond,,1,31,31,0,719.0
0:00.0,End of 1st quarter,31-31,,,1,31,31,0,720.0
12:00.0,Start of 2nd quarter,31-31,,,2,31,31,0,720.0
11:47.0, ,31-33,D. DeRozan makes 2-pt jump shot from 16 ft (assist by D. Terry),Lead change,2,31,33,-2,733.0
11:25.0,S. Hauser makes 2-pt jump shot from 12 ft,33-33, ,Tie,2,33,33,0,755.0
10:58.0, ,33-36,D. Terry makes 3-pt jump shot from 23 ft (assist by C. White),,2,33,36,-3,782.0
10:36.0,P. Pritchard misses 2-pt jump shot from 18 ft,33-36, ,,2,33,36,-3,804.0
10:34.0, ,33-36,Defensive rebound by D. DeRozan,,2,33,36,-3,806.0
10:30.0, ,33-36,Turnover by C. White (bad pass; steal by D. White),,2,33,36,-3,810.0
10:24.0,P. Pritchard misses 3-pt jump shot from 23 ft,33-36, ,,2,33,36,-3,816.0
10:20.0,Offensive rebound by L. Kornet,33-36, ,,2,33,36,-3,820.0
10:17.0,P. Pritchard makes 3-pt jump shot from 28 ft (assist by S. Hauser),36-36, ,Tie,2,36,36,0,823.0
10:03.0, ,36-36,D. DeRozan misses 2-pt jump shot from 12 ft,,2,36,36,0,837.0
10:00.0,Defensive rebound by L. Kornet,36-36, ,,2,36,36,0,840.0
9:53.0,S. Hauser makes 3-pt jump shot from 23 ft (assist by X. Tillman),39-36, ,Lead change,2,39,36,3,847.0
9:51.0, ,39-36,Chicago full timeout,,2,39,36,3,849.0
9:51.0, ,39-36,A. Caruso enters the game for D. Terry,,2,39,36,3,849.0
9:36.0, ,39-38,T. Craig makes 2-pt jump shot from 7 ft (assist by D. DeRozan),,2,39,38,1,864.0
9:36.0, ,39-38,A. Dosunmu enters the game for C. White,,2,39,38,1,864.0
9:08.0,P. Pritchard misses 2-pt jump shot from 16 ft,39-38, ,,2,39,38,1,892.0
9:06.0, ,39-38,Defensive rebound by A. Drummond,,2,39,38,1,894.0
8:55.0, ,39-40,D. DeRozan makes 2-pt jump shot from 12 ft,Lead change,2,39,40,-1,905.0
8:40.0,D. White makes 2-pt jump shot from 14 ft,41-40, ,Lead change,2,41,40,1,920.0
8:15.0, ,41-40,A. Dosunmu misses 2-pt jump shot from 19 ft,,2,41,40,1,945.0
8:14.0,Defensive rebound by L. Kornet,41-40, ,,2,41,40,1,946.0
8:06.0,Turnover by D. White (lost ball; steal by T. Craig),41-40, ,,2,41,40,1,954.0
8:02.0, ,41-42,A. Caruso makes 2-pt layup from 1 ft (assist by T. Craig),Lead change,2,41,42,-1,958.0
7:48.0,S. Hauser makes 3-pt jump shot from 26 ft (assist by D. White),44-42, ,Lead change,2,44,42,2,972.0
7:30.0, ,44-42,A. Caruso misses 3-pt jump shot from 23 ft,,2,44,42,2,990.0
7:27.0,Defensive rebound by L. Kornet,44-42, ,,2,44,42,2,993.0
7:24.0,P. Pritchard misses 3-pt jump shot from 28 ft,44-42, ,,2,44,42,2,996.0
7:18.0,Offensive rebound by L. Kornet,44-42, ,,2,44,42,2,1002.0
7:13.0,Personal foul by A. Dosunmu (drawn by L. Kornet),44-42, ,,2,44,42,2,1007.0
7:13.0,A. Horford enters the game for X. Tillman,44-42, ,,2,44,42,2,1007.0
7:13.0, ,44-42,D. Terry enters the game for T. Craig,,2,44,42,2,1007.0
7:13.0, ,44-42,N. Vučević enters the game for A. Drummond,,2,44,42,2,1007.0
7:04.0,D. White misses 3-pt jump shot from 26 ft,44-42, ,,2,44,42,2,1016.0
6:57.0,Offensive rebound by S. Hauser,44-42, ,,2,44,42,2,1023.0
6:54.0,A. Horford makes 2-pt layup from 1 ft (assist by D. White),46-42, ,,2,46,42,4,1026.0
6:54.0, ,46-42,Chicago full timeout,,2,46,42,4,1026.0
6:54.0,J. Tatum enters the game for L. Kornet,46-42, ,,2,46,42,4,1026.0
6:54.0, ,46-42,O. Bitim enters the game for A. Caruso,,2,46,42,4,1026.0
6:28.0, ,46-44,N. Vučević makes 2-pt jump shot from 10 ft (assist by D. DeRozan),,2,46,44,2,1052.0
6:04.0,S. Hauser makes 3-pt jump shot from 23 ft (assist by P. Pritchard),49-44, ,,2,49,44,5,1076.0
5:50.0, ,49-44,N. Vučević misses 3-pt jump shot from 25 ft,,2,49,44,5,1090.0
5:48.0,Defensive rebound by J. Tatum,49-44, ,,2,49,44,5,1092.0
5:35.0,A. Horford makes 3-pt jump shot from 24 ft (assist by J. Tatum),52-44, ,,2,52,44,8,1105.0
5:15.0, ,52-46,O. Bitim makes 2-pt jump shot from 12 ft (assist by D. DeRozan),,2,52,46,6,1125.0
4:59.0,A. Horford misses 3-pt jump shot from 26 ft,52-46, ,,2,52,46,6,1141.0
4:56.0, ,52-46,Defensive rebound by D. DeRozan,,2,52,46,6,1144.0
4:45.0, ,52-46,O. Bitim misses 2-pt layup from 2 ft,,2,52,46,6,1155.0
4:41.0,Defensive rebound by A. Horford,52-46, ,,2,52,46,6,1159.0
4:33.0,Turnover by S. Hauser (bad pass; steal by D. Terry),52-46, ,,2,52,46,6,1167.0
4:33.0, ,52-46,C. White enters the game for D. DeRozan,,2,52,46,6,1167.0
4:25.0,Jump ball: S. Hauser vs. D. Terry (J. Tatum gains possession),52-46,,,2,52,46,6,1175.0
4:25.0, ,52-46,Turnover by A. Dosunmu (bad pass; steal by S. Hauser),,2,52,46,6,1175.0
4:07.0,J. Tatum makes 2-pt layup from 1 ft,54-46, ,,2,54,46,8,1193.0
3:51.0, ,54-48,C. White makes 2-pt layup from 1 ft,,2,54,48,6,1209.0
3:32.0,A. Horford makes 3-pt jump shot from 23 ft (assist by D. White),57-48, ,,2,57,48,9,1228.0
3:27.0, ,57-48,Personal foul by P. Pritchard (drawn by C. White),,2,57,48,9,1233.0
3:27.0, ,57-48,D. DeRozan enters the game for D. Terry,,2,57,48,9,1233.0
3:16.0, ,57-50,A. Dosunmu makes 2-pt layup from 1 ft (assist by N. Vučević),,2,57,50,7,1244.0
3:16.0,Violation by Team (def goaltending),57-50, ,,2,57,50,7,1244.0
3:03.0,Shooting foul by O. Bitim (drawn by J. Tatum),57-50, ,,2,57,50,7,1257.0
3:03.0,J. Tatum makes free throw 1 of 2,58-50, ,,2,58,50,8,1257.0
3:03.0,L. Kornet enters the game for S. Hauser,58-50, ,,2,58,50,8,1257.0
3:03.0, ,58-50,T. Craig enters the game for O. Bitim,,2,58,50,8,1257.0
3:03.0,J. Tatum makes free throw 2 of 2,59-50, ,,2,59,50,9,1257.0
2:47.0, ,59-52,D. DeRozan makes 2-pt jump shot from 19 ft (assist by N. Vučević),,2,59,52,7,1273.0
2:28.0,D. White makes 2-pt jump shot from 6 ft,61-52, ,,2,61,52,9,1292.0
2:12.0, ,61-55,T. Craig makes 3-pt jump shot from 25 ft (assist by D. DeRozan),,2,61,55,6,1308.0
1:54.0,J. Tatum makes 2-pt jump shot from 21 ft (assist by P. Pritchard),63-55, ,,2,63,55,8,1326.0
1:38.0, ,63-55,A. Dosunmu misses 3-pt jump shot from 23 ft,,2,63,55,8,1342.0
1:34.0,Defensive rebound by L. Kornet,63-55, ,,2,63,55,8,1346.0
1:16.0,Personal foul by D. DeRozan (drawn by L. Kornet),63-55, ,,2,63,55,8,1364.0
1:10.0,J. Tatum makes 3-pt jump shot from 28 ft (assist by L. Kornet),66-55, ,,2,66,55,11,1370.0
0:50.0, ,66-57,N. Vučević makes 2-pt hook shot from 8 ft (assist by C. White),,2,66,57,9,1390.0
0:32.0,P. Pritchard misses 3-pt jump shot from 23 ft,66-57, ,,2,66,57,9,1408.0
0:26.0, ,66-57,Defensive rebound by C. White,,2,66,57,9,1414.0
0:13.0, ,66-60,C. White makes 3-pt jump shot from 29 ft (assist by A. Dosunmu),,2,66,60,6,1427.0
0:00.0,J. Tatum misses 2-pt jump shot from 19 ft,66-60, ,,2,66,60,6,1440.0
0:00.0,Offensive rebound by Team,66-60, ,,2,66,60,6,1440.0
0:00.0,End of 2nd quarter,66-60,,,2,66,60,6,1440.0
12:00.0,Start of 3rd quarter,66-60,,,3,66,60,6,1440.0
11:50.0, ,66-62,N. Vučević makes 2-pt jump shot from 19 ft (assist by A. Dosunmu),,3,66,62,4,1450.0
11:25.0,D. White misses 3-pt jump shot from 26 ft,66-62, ,,3,66,62,4,1475.0
11:23.0, ,66-62,Defensive rebound by C. White,,3,66,62,4,1477.0
11:21.0, ,66-64,A. Dosunmu makes 2-pt dunk from 1 ft (assist by C. White),,3,66,64,2,1479.0
10:56.0,D. White misses 3-pt jump shot from 27 ft,66-64, ,,3,66,64,2,1504.0
10:49.0,Offensive rebound by L. Kornet,66-64, ,,3,66,64,2,1511.0
10:49.0,L. Kornet makes 2-pt layup at rim,68-64, ,,3,68,64,4,1511.0
10:35.0, ,68-64,Turnover by N. Vučević (bad pass; steal by S. Hauser),,3,68,64,4,1525.0
10:28.0,Shooting foul by C. White (drawn by A. Horford),68-64, ,,3,68,64,4,1532.0
10:28.0,A. Horford makes free throw 1 of 2,69-64, ,,3,69,64,5,1532.0
10:28.0,A. Horford makes free throw 2 of 2,70-64, ,,3,70,64,6,1532.0
10:06.0, ,70-66,N. Vučević makes 2-pt jump shot from 9 ft (assist by C. White),,3,70,66,4,1554.0
9:50.0,A. Horford misses 2-pt jump shot from 3 ft,70-66, ,,3,70,66,4,1570.0
9:49.0,Offensive rebound by A. Horford,70-66, ,,3,70,66,4,1571.0
9:48.0,A. Horford makes 2-pt layup at rim,72-66, ,,3,72,66,6,1572.0
9:46.0, ,72-66,Technical foul by N. Vučević,,3,72,66,6,1574.0
9:46.0,J. Tatum makes technical free throw,73-66, ,,3,73,66,7,1574.0
9:38.0, ,73-68,D. DeRozan makes 2-pt layup from 1 ft,,3,73,68,5,1582.0
9:08.0,Turnover by A. Horford (bad pass; steal by N. Vučević),73-68, ,,3,73,68,5,1612.0
9:03.0, ,73-70,A. Dosunmu makes 2-pt layup from 2 ft (assist by D. DeRozan),,3,73,70,3,1617.0
8:49.0,A. Horford misses 2-pt layup from 2 ft (block by N. Vučević),73-70, ,,3,73,70,3,1631.0
8:44.0,Offensive rebound by A. Horford,73-70, ,,3,73,70,3,1636.0
8:43.0,Turnover by A. Horford (bad pass; steal by A. Dosunmu),73-70, ,,3,73,70,3,1637.0
8:34.0, ,73-70,A. Dosunmu misses 2-pt layup from 2 ft (block by L. Kornet),,3,73,70,3,1646.0
8:31.0,Defensive rebound by S. Hauser,73-70, ,,3,73,70,3,1649.0
8:26.0,S. Hauser makes 3-pt jump shot from 26 ft (assist by D. White),76-70, ,,3,76,70,6,1654.0
8:04.0, ,76-73,A. Caruso makes 3-pt jump shot from 22 ft (assist by C. White),,3,76,73,3,1676.0
7:55.0,Personal foul by A. Dosunmu (drawn by D. White),76-73, ,,3,76,73,3,1685.0
7:42.0,J. Tatum misses 2-pt layup from 4 ft (block by N. Vučević),76-73, ,,3,76,73,3,1698.0
7:39.0, ,76-73,Defensive rebound by A. Caruso,,3,76,73,3,1701.0
7:34.0, ,76-73,Shooting foul by L. Kornet (drawn by C. White),,3,76,73,3,1706.0
7:34.0, ,76-74,C. White makes free throw 1 of 2,,3,76,74,2,1706.0
7:34.0, ,76-75,C. White makes free throw 2 of 2,,3,76,75,1,1706.0
7:15.0,J. Tatum misses 3-pt jump shot from 25 ft,76-75, ,,3,76,75,1,1725.0
7:12.0, ,76-75,Defensive rebound by A. Caruso,,3,76,75,1,1728.0
7:05.0, ,76-75,N. Vučević misses 3-pt jump shot from 27 ft,,3,76,75,1,1735.0
7:03.0,Defensive rebound by A. Horford,76-75, ,,3,76,75,1,1737.0
7:03.0,Boston full timeout,76-75, ,,3,76,75,1,1737.0
7:03.0,O. Brissett enters the game for L. Kornet,76-75, ,,3,76,75,1,1737.0
6:48.0,J. Tatum misses 2-pt jump shot from 11 ft,76-75, ,,3,76,75,1,1752.0
6:46.0, ,76-75,Defensive rebound by N. Vučević,,3,76,75,1,1754.0
6:44.0, ,76-77,A. Dosunmu makes 2-pt layup from 2 ft (assist by A. Caruso),Lead change,3,76,77,-1,1756.0
6:22.0,J. Tatum misses 3-pt jump shot from 24 ft,76-77, ,,3,76,77,-1,1778.0
6:22.0, ,76-77,Defensive rebound by C. White,,3,76,77,-1,1778.0
6:02.0, ,76-77,D. DeRozan misses 2-pt jump shot from 17 ft,,3,76,77,-1,1798.0
