Time,Boston,Score,Atlanta,Event,Quarter,TeamScore,OpponentScore,PointDifference,ElapsedTime
12:00.0,Jump ball: K. Porziņģis vs. C. Capela (D. White gains possession),0-0,,,1,0,0,0,0.0
11:42.0,J. Brown makes 2-pt jump shot from 13 ft,2-0, ,,1,2,0,2,18.0
11:28.0, ,2-0,Turnover by C. Capela (bad pass; steal by D. White),,1,2,0,2,32.0
11:22.0,J. Brown misses 3-pt jump shot from 24 ft,2-0, ,,1,2,0,2,38.0
11:19.0, ,2-0,Defensive rebound by D. Hunter,,1,2,0,2,41.0
11:14.0, ,2-0,Turnover by D. Hunter (bad pass; steal by J. Holiday),,1,2,0,2,46.0
11:11.0,J. Brown makes 2-pt dunk from 1 ft (assist by J. Holiday),4-0, ,,1,4,0,4,49.0
10:56.0, ,4-0,D. Murray misses 3-pt jump shot from 25 ft,,1,4,0,4,64.0
10:54.0,Defensive rebound by J. Holiday,4-0, ,,1,4,0,4,66.0
10:46.0,K. Porziņģis misses 2-pt jump shot from 13 ft,4-0, ,,1,4,0,4,74.0
10:44.0, ,4-0,Defensive rebound by V. Krejci,,1,4,0,4,76.0
10:36.0, ,4-2,C. Capela makes 2-pt hook shot from 6 ft (assist by D. Murray),,1,4,2,2,84.0
10:26.0,J. Holiday misses 2-pt hook shot from 6 ft,4-2, ,,1,4,2,2,94.0
10:22.0,Offensive rebound by K. Porziņģis,4-2, ,,1,4,2,2,98.0
10:22.0,K. Porziņģis misses 2-pt layup at rim,4-2, ,,1,4,2,2,98.0
10:21.0, ,4-2,Defensive rebound by C. Capela,,1,4,2,2,99.0
10:06.0, ,4-4,C. Capela makes 2-pt dunk from 1 ft (assist by B. Bogdanović),Tie,1,4,4,0,114.0
9:49.0,K. Porziņģis makes 3-pt jump shot from 26 ft (assist by D. White),7-4, ,,1,7,4,3,131.0
9:35.0, ,7-4,D. Hunter misses 2-pt jump shot from 16 ft,,1,7,4,3,145.0
9:33.0,Defensive rebound by K. Porziņģis,7-4, ,,1,7,4,3,147.0
9:20.0,K. Porziņģis misses 3-pt jump shot from 26 ft,7-4, ,,1,7,4,3,160.0
9:15.0, ,7-4,Defensive rebound by D. Murray,,1,7,4,3,165.0
9:05.0, ,7-4,D. Murray misses 3-pt jump shot from 26 ft,,1,7,4,3,175.0
9:02.0,Defensive rebound by J. Holiday,7-4, ,,1,7,4,3,178.0
8:58.0,J. Holiday misses 3-pt jump shot from 25 ft,7-4, ,,1,7,4,3,182.0
8:55.0, ,7-4,Defensive rebound by C. Capela,,1,7,4,3,185.0
8:44.0, ,7-4,D. Murray misses 2-pt jump shot from 12 ft,,1,7,4,3,196.0
8:41.0,Defensive rebound by J. Tatum,7-4, ,,1,7,4,3,199.0
8:38.0,J. Tatum makes 2-pt layup from 1 ft,9-4, ,,1,9,4,5,202.0
8:18.0, ,9-6,B. Bogdanović makes 2-pt layup from 2 ft,,1,9,6,3,222.0
8:10.0,J. Brown misses 2-pt layup from 2 ft,9-6, ,,1,9,6,3,230.0
8:07.0, ,9-6,Defensive rebound by C. Capela,,1,9,6,3,233.0
7:59.0, ,9-6,Personal foul by J. Brown (drawn by V. Krejci),,1,9,6,3,241.0
7:48.0, ,9-9,D. Murray makes 3-pt jump shot from 23 ft (assist by B. Bogdanović),Tie,1,9,9,0,252.0
7:34.0,K. Porziņģis misses 3-pt jump shot from 27 ft,9-9, ,,1,9,9,0,266.0
7:31.0, ,9-9,Defensive rebound by D. Hunter,,1,9,9,0,269.0
7:25.0, ,9-11,D. Murray makes 2-pt layup from 3 ft,Lead change,1,9,11,-2,275.0
7:12.0,Personal foul by V. Krejci (drawn by K. Porziņģis),9-11, ,,1,9,11,-2,288.0
7:08.0,J. Tatum misses 3-pt jump shot from 28 ft,9-11, ,,1,9,11,-2,292.0
7:06.0, ,9-11,Defensive rebound by Team,,1,9,11,-2,294.0
7:06.0, ,9-11,Atlanta full timeout,,1,9,11,-2,294.0
7:06.0, ,9-11,G. Mathews enters the game for B. Bogdanović,,1,9,11,-2,294.0
6:52.0, ,9-11,D. Murray misses 3-pt jump shot from 25 ft,,1,9,11,-2,308.0
6:50.0, ,9-11,Offensive rebound by C. Capela,,1,9,11,-2,310.0
6:50.0, ,9-11,Turnover by C. Capela (out of bounds lost ball),,1,9,11,-2,310.0
6:44.0,J. Holiday misses 3-pt jump shot from 23 ft,9-11, ,,1,9,11,-2,316.0
6:40.0, ,9-11,Defensive rebound by D. Hunter,,1,9,11,-2,320.0
6:37.0,Violation by Team (kicked ball),9-11, ,,1,9,11,-2,323.0
6:37.0,S. Hauser enters the game for J. Holiday,9-11, ,,1,9,11,-2,323.0
6:37.0,X. Tillman enters the game for J. Tatum,9-11, ,,1,9,11,-2,323.0
6:24.0, ,9-11,D. Hunter misses 2-pt jump shot from 12 ft,,1,9,11,-2,336.0
6:22.0,Defensive rebound by X. Tillman,9-11, ,,1,9,11,-2,338.0
6:00.0,K. Porziņģis makes 2-pt jump shot from 11 ft (assist by S. Hauser),11-11, ,Tie,1,11,11,0,360.0
5:41.0, ,11-11,G. Mathews misses 3-pt jump shot from 25 ft,,1,11,11,0,379.0
5:39.0,Defensive rebound by Team,11-11, ,,1,11,11,0,381.0
5:26.0,K. Porziņģis makes 2-pt jump shot from 10 ft (assist by S. Hauser),13-11, ,Lead change,1,13,11,2,394.0
5:10.0, ,13-11,G. Mathews misses 3-pt jump shot from 26 ft,,1,13,11,2,410.0
5:07.0,Defensive rebound by D. White,13-11, ,,1,13,11,2,413.0
5:04.0,D. White makes 2-pt jump shot from 8 ft,15-11, ,,1,15,11,4,416.0
5:04.0,Shooting foul by V. Krejci (drawn by D. White),15-11, ,,1,15,11,4,416.0
5:04.0, ,15-11,B. Fernando enters the game for C. Capela,,1,15,11,4,416.0
5:04.0,D. White makes free throw 1 of 1,16-11, ,,1,16,11,5,416.0
4:48.0, ,16-13,D. Hunter makes 2-pt jump shot from 6 ft (assist by D. Murray),,1,16,13,3,432.0
