Time,New York,Score,Boston,Event,Quarter,TeamScore,OpponentScore,PointDifference,ElapsedTime
12:00.0,Jump ball: I. Hartenstein vs. K. Porziņģis (D. White gains possession),0-0,,,1,0,0,0,0.0
11:39.0, ,0-2,J. Holiday makes 2-pt layup at rim (assist by K. Porziņģis),,1,2,0,2,21.0
11:15.0,Turnover by O. Anunoby (bad pass; steal by J. Tatum),0-2, ,,1,2,0,2,45.0
11:10.0, ,0-2,D. White misses 2-pt jump shot from 8 ft,,1,2,0,2,50.0
11:10.0,Defensive rebound by O. Anunoby,0-2, ,,1,2,0,2,50.0
11:02.0,D. DiVincenzo makes 3-pt jump shot from 24 ft (assist by I. Hartenstein),3-2, ,Lead change,1,2,3,-1,58.0
10:43.0, ,3-5,J. Brown makes 3-pt jump shot from 26 ft (assist by D. White),Lead change,1,5,3,2,77.0
10:18.0,J. Hart misses 2-pt jump shot from 22 ft,3-5, ,,1,5,3,2,102.0
10:17.0,Offensive rebound by I. Hartenstein,3-5, ,,1,5,3,2,103.0
10:16.0,Shooting foul by D. White (drawn by I. Hartenstein),3-5, ,,1,5,3,2,104.0
10:16.0,I. Hartenstein misses free throw 1 of 2,3-5, ,,1,5,3,2,104.0
10:16.0,Offensive rebound by Team,3-5, ,,1,5,3,2,104.0
10:16.0,I. Hartenstein makes free throw 2 of 2,4-5, ,,1,5,4,1,104.0
10:02.0, ,4-5,J. Holiday misses 3-pt jump shot from 23 ft,,1,5,4,1,118.0
10:00.0,Defensive rebound by I. Hartenstein,4-5, ,,1,5,4,1,120.0
9:48.0,J. Hart makes 2-pt layup from 2 ft (assist by J. Brunson),6-5, ,Lead change,1,5,6,-1,132.0
9:32.0, ,6-8,K. Porziņģis makes 3-pt jump shot from 26 ft (assist by J. Tatum),Lead change,1,8,6,2,148.0
9:13.0,D. DiVincenzo misses 2-pt layup from 4 ft (block by J. Holiday),6-8, ,,1,8,6,2,167.0
9:12.0,Offensive rebound by I. Hartenstein,6-8, ,,1,8,6,2,168.0
9:11.0,I. Hartenstein makes 2-pt dunk from 2 ft,8-8, ,Tie,1,8,8,0,169.0
9:11.0,Shooting foul by J. Brown (drawn by I. Hartenstein),8-8, ,,1,8,8,0,169.0
9:11.0,I. Hartenstein misses free throw 1 of 1,8-8, ,,1,8,8,0,169.0
9:11.0, ,8-8,Defensive rebound by J. Tatum,,1,8,8,0,169.0
8:57.0, ,8-10,J. Brown makes 2-pt layup from 2 ft,,1,10,8,2,183.0
8:38.0,J. Brunson makes 2-pt jump shot from 14 ft,10-10, ,Tie,1,10,10,0,202.0
