Time,Phoenix,Score,Detroit,Event,Quarter,TeamScore,OpponentScore,PointDifference,ElapsedTime
12:00.0,Jump ball: J. Nurkić vs. J. Duren (C. Cunningham gains possession),0-0,,,1,0,0,0,0.0
11:47.0, ,0-2,C. Cunningham makes 2-pt layup from 4 ft,,1,2,0,2,13.0
11:24.0,K. Durant misses 2-pt jump shot from 20 ft,0-2, ,,1,2,0,2,36.0
11:22.0, ,0-2,Defensive rebound by A. Thompson,,1,2,0,2,38.0
11:18.0, ,0-2,C. Cunningham misses 3-pt jump shot from 26 ft,,1,2,0,2,42.0
11:14.0, ,0-2,Offensive rebound by J. Duren,,1,2,0,2,46.0
11:10.0, ,0-2,Turnover by C. Cunningham (bad pass; steal by J. Nurkić),,1,2,0,2,50.0
11:04.0,Personal foul by K. Hayes (drawn by E. Gordon),0-2, ,,1,2,0,2,56.0
10:57.0,G. Allen makes 3-pt jump shot from 25 ft (assist by K. Durant),3-2, ,Lead change,1,2,3,-1,63.0
10:41.0, ,3-4,C. Cunningham makes 2-pt layup from 2 ft,Lead change,1,4,3,1,79.0
10:37.0,Turnover by G. Allen (bad pass; steal by A. Thompson),3-4, ,,1,4,3,1,83.0
10:24.0, ,3-4,Turnover by J. Duren (out of bounds lost ball),,1,4,3,1,96.0
10:10.0,K. Durant makes 2-pt jump shot from 6 ft (assist by E. Gordon),5-4, ,Lead change,1,4,5,-1,110.0
9:54.0, ,5-6,K. Hayes makes 2-pt jump shot from 10 ft,Lead change,1,6,5,1,126.0
9:33.0,G. Allen misses 3-pt jump shot from 28 ft,5-6, ,,1,6,5,1,147.0
9:29.0,Offensive rebound by K. Bates-Diop,5-6, ,,1,6,5,1,151.0
9:19.0,K. Durant misses 2-pt layup from 2 ft,5-6, ,,1,6,5,1,161.0
9:18.0, ,5-6,Defensive rebound by A. Thompson,,1,6,5,1,162.0
8:56.0, ,5-6,K. Hayes misses 2-pt jump shot from 12 ft (block by K. Durant),,1,6,5,1,184.0
8:53.0,Defensive rebound by K. Durant,5-6, ,,1,6,5,1,187.0
8:49.0,G. Allen misses 2-pt jump shot from 5 ft,5-6, ,,1,6,5,1,191.0
8:45.0, ,5-6,Defensive rebound by J. Duren,,1,6,5,1,195.0
8:39.0, ,5-6,C. Cunningham misses 2-pt jump shot from 9 ft,,1,6,5,1,201.0
8:36.0,Defensive rebound by K. Bates-Diop,5-6, ,,1,6,5,1,204.0
8:29.0,Turnover by K. Durant (bad pass),5-6, ,,1,6,5,1,211.0
8:18.0, ,5-6,J. Duren misses 2-pt layup from 4 ft (block by K. Bates-Diop),,1,6,5,1,222.0
8:14.0,Defensive rebound by K. Bates-Diop,5-6, ,,1,6,5,1,226.0
8:08.0,Turnover by G. Allen (bad pass; steal by J. Duren),5-6, ,,1,6,5,1,232.0
8:06.0, ,5-8,J. Duren makes 2-pt dunk from 1 ft,,1,8,5,3,234.0
7:37.0,E. Gordon makes 2-pt layup from 3 ft,7-8, ,,1,8,7,1,263.0
7:27.0, ,7-10,A. Thompson makes 2-pt layup from 1 ft,,1,10,7,3,273.0
7:12.0,E. Gordon misses 3-pt jump shot from 25 ft,7-10, ,,1,10,7,3,288.0
7:08.0,Offensive rebound by K. Bates-Diop,7-10, ,,1,10,7,3,292.0
7:06.0,G. Allen makes 2-pt jump shot from 7 ft (assist by K. Bates-Diop),9-10, ,,1,10,9,1,294.0
6:49.0, ,9-12,C. Cunningham makes 2-pt jump shot from 7 ft,,1,12,9,3,311.0
6:32.0,K. Durant makes 2-pt jump shot from 6 ft,11-12, ,,1,12,11,1,328.0
6:13.0, ,11-12,Turnover by J. Duren (back court),,1,12,11,1,347.0
6:13.0, ,11-12,Detroit full timeout,,1,12,11,1,347.0
6:13.0, ,11-12,M. Sasser enters the game for K. Hayes,,1,12,11,1,347.0
6:12.0,Violation by Team (delay of game),11-12, ,,1,12,11,1,348.0
6:02.0,Turnover by J. Nurkić (out of bounds lost ball),11-12, ,,1,12,11,1,358.0
5:45.0, ,11-12,Shooting foul by K. Durant (drawn by I. Stewart),,1,12,11,1,375.0
5:45.0, ,11-12,I. Stewart misses free throw 1 of 2,,1,12,11,1,375.0
5:45.0, ,11-12,Offensive rebound by Team,,1,12,11,1,375.0
5:45.0,J. Goodwin enters the game for E. Gordon,11-12, ,,1,12,11,1,375.0
5:45.0, ,11-13,I. Stewart makes free throw 2 of 2,,1,13,11,2,375.0
5:37.0,Personal foul by J. Duren (drawn by J. Nurkić),11-13, ,,1,13,11,2,383.0
5:30.0,K. Durant makes 2-pt layup from 2 ft (assist by J. Nurkić),13-13, ,Tie,1,13,13,0,390.0
5:18.0, ,13-13,C. Cunningham misses 2-pt jump shot from 21 ft,,1,13,13,0,402.0
5:16.0,Defensive rebound by G. Allen,13-13, ,,1,13,13,0,404.0
5:10.0,J. Goodwin misses 3-pt jump shot from 24 ft,13-13, ,,1,13,13,0,410.0
5:07.0, ,13-13,Defensive rebound by A. Thompson,,1,13,13,0,413.0
4:57.0, ,13-13,A. Thompson misses 2-pt layup from 8 ft (block by J. Nurkić),,1,13,13,0,423.0
4:57.0,Defensive rebound by J. Goodwin,13-13, ,,1,13,13,0,423.0
4:55.0,K. Durant makes 2-pt dunk from 3 ft (assist by J. Goodwin),15-13, ,Lead change,1,13,15,-2,425.0
4:46.0, ,15-15,M. Sasser makes 2-pt jump shot from 15 ft,Tie,1,15,15,0,434.0
4:30.0,G. Allen makes 2-pt layup from 1 ft (assist by K. Durant),17-15, ,,1,15,17,-2,450.0
4:15.0, ,17-15,Personal foul by J. Goodwin (drawn by J. Duren),,1,15,17,-2,465.0
