Time,Detroit,Score,Chicago,Event,Quarter,TeamScore,OpponentScore,PointDifference,ElapsedTime
12:00.0,Jump ball: M. Bagley vs. N. Vučević (K. Hayes gains possession),0-0,,,1,0,0,0,0.0
11:48.0,I. Stewart misses 3-pt jump shot from 23 ft,0-0, ,,1,0,0,0,12.0
11:44.0, ,0-0,Defensive rebound by T. Craig,,1,0,0,0,16.0
11:36.0, ,0-0,N. Vučević misses 2-pt hook shot from 6 ft,,1,0,0,0,24.0
11:34.0,Defensive rebound by A. Thompson,0-0, ,,1,0,0,0,26.0
11:25.0,M. Bagley misses 2-pt layup from 3 ft,0-0, ,,1,0,0,0,35.0
11:22.0,Offensive rebound by A. Thompson,0-0, ,,1,0,0,0,38.0
11:22.0,A. Thompson misses 2-pt layup at rim,0-0, ,,1,0,0,0,38.0
11:21.0, ,0-0,Defensive rebound by N. Vučević,,1,0,0,0,39.0
11:12.0, ,0-0,Z. LaVine misses 3-pt jump shot from 26 ft,,1,0,0,0,48.0
11:09.0,Defensive rebound by C. Cunningham,0-0, ,,1,0,0,0,51.0
11:01.0,M. Bagley makes 2-pt dunk at rim (assist by A. Thompson),2-0, ,,1,2,0,2,59.0
10:44.0, ,2-0,N. Vučević misses 3-pt jump shot from 26 ft,,1,2,0,2,76.0
10:41.0,Defensive rebound by A. Thompson,2-0, ,,1,2,0,2,79.0
10:32.0,I. Stewart misses 3-pt jump shot from 26 ft,2-0, ,,1,2,0,2,88.0
10:29.0, ,2-0,Defensive rebound by Z. LaVine,,1,2,0,2,91.0
10:20.0, ,2-0,C. White misses 3-pt jump shot from 27 ft,,1,2,0,2,100.0
10:17.0,Defensive rebound by M. Bagley,2-0, ,,1,2,0,2,103.0
10:04.0,M. Bagley misses 2-pt jump shot from 16 ft,2-0, ,,1,2,0,2,116.0
10:01.0, ,2-0,Defensive rebound by T. Craig,,1,2,0,2,119.0
9:40.0, ,2-0,N. Vučević misses 2-pt jump shot from 15 ft,,1,2,0,2,140.0
9:38.0,Defensive rebound by M. Bagley,2-0, ,,1,2,0,2,142.0
9:32.0,A. Thompson misses 2-pt layup from 2 ft (block by D. DeRozan),2-0, ,,1,2,0,2,148.0
9:30.0,Offensive rebound by I. Stewart,2-0, ,,1,2,0,2,150.0
9:30.0,I. Stewart makes 2-pt layup from 2 ft,4-0, ,,1,4,0,4,150.0
9:20.0, ,4-0,C. White misses 3-pt jump shot from 27 ft,,1,4,0,4,160.0
9:16.0, ,4-0,Offensive rebound by T. Craig,,1,4,0,4,164.0
9:14.0, ,4-0,T. Craig misses 3-pt jump shot from 27 ft,,1,4,0,4,166.0
9:12.0,Defensive rebound by A. Thompson,4-0, ,,1,4,0,4,168.0
9:06.0,Turnover by A. Thompson (bad pass; steal by C. White),4-0, ,,1,4,0,4,174.0
8:58.0, ,4-0,C. White misses 2-pt layup from 2 ft,,1,4,0,4,182.0
8:56.0,Defensive rebound by A. Thompson,4-0, ,,1,4,0,4,184.0
8:49.0,Turnover by M. Bagley (bad pass; steal by Z. LaVine),4-0, ,,1,4,0,4,191.0
8:41.0, ,4-0,Personal foul by C. Cunningham (drawn by Z. LaVine),,1,4,0,4,199.0
8:37.0, ,4-2,D. DeRozan makes 2-pt layup from 1 ft (assist by N. Vučević),,1,4,2,2,203.0
8:16.0,C. Cunningham misses 3-pt jump shot from 26 ft,4-2, ,,1,4,2,2,224.0
8:16.0, ,4-2,Defensive rebound by N. Vučević,,1,4,2,2,224.0
8:05.0, ,4-4,Z. LaVine makes 2-pt layup from 1 ft,Tie,1,4,4,0,235.0
7:54.0,Turnover by C. Cunningham (bad pass; steal by T. Craig),4-4, ,,1,4,4,0,246.0
7:43.0, ,4-7,C. White makes 3-pt jump shot from 24 ft (assist by Z. LaVine),Lead change,1,4,7,-3,257.0
7:27.0,Shooting foul by D. DeRozan (drawn by I. Stewart),4-7, ,,1,4,7,-3,273.0
7:27.0,I. Stewart makes free throw 1 of 2,5-7, ,,1,5,7,-2,273.0
7:27.0, ,5-7,Chicago full timeout,,1,5,7,-2,273.0
7:27.0,I. Stewart misses free throw 2 of 2,5-7, ,,1,5,7,-2,273.0
7:24.0,Offensive rebound by A. Thompson,5-7, ,,1,5,7,-2,276.0
7:12.0,K. Hayes misses 2-pt jump shot from 14 ft,5-7, ,,1,5,7,-2,288.0
7:11.0,Offensive rebound by A. Thompson,5-7, ,,1,5,7,-2,289.0
7:11.0,A. Thompson makes 2-pt layup at rim,7-7, ,Tie,1,7,7,0,289.0
7:11.0,Shooting foul by T. Craig (drawn by A. Thompson),7-7, ,,1,7,7,0,289.0
7:11.0,A. Thompson makes free throw 1 of 1,8-7, ,Lead change,1,8,7,1,289.0
6:44.0, ,8-10,T. Craig makes 3-pt jump shot from 23 ft (assist by C. White),Lead change,1,8,10,-2,316.0
6:23.0,K. Hayes makes 3-pt jump shot from 26 ft (assist by C. Cunningham),11-10, ,Lead change,1,11,10,1,337.0
6:15.0, ,11-10,Z. LaVine misses 3-pt jump shot from 25 ft,,1,11,10,1,345.0
6:13.0,Defensive rebound by K. Hayes,11-10, ,,1,11,10,1,347.0
6:04.0,C. Cunningham misses 3-pt jump shot from 25 ft,11-10, ,,1,11,10,1,356.0
6:02.0, ,11-10,Defensive rebound by N. Vučević,,1,11,10,1,358.0
5:59.0, ,11-10,Personal foul by K. Hayes (drawn by C. White),,1,11,10,1,361.0
5:59.0,M. Sasser enters the game for K. Hayes,11-10, ,,1,11,10,1,361.0
5:59.0, ,11-10,P. Williams enters the game for D. DeRozan,,1,11,10,1,361.0
5:49.0, ,11-10,Turnover by C. White (lost ball; steal by M. Sasser),,1,11,10,1,371.0
5:45.0,I. Stewart misses 2-pt dunk from 1 ft,11-10, ,,1,11,10,1,375.0
5:43.0,Offensive rebound by A. Thompson,11-10, ,,1,11,10,1,377.0
5:40.0,M. Sasser misses 3-pt jump shot from 25 ft,11-10, ,,1,11,10,1,380.0
5:40.0,Offensive rebound by I. Stewart,11-10, ,,1,11,10,1,380.0
5:40.0,I. Stewart misses 2-pt layup from 2 ft,11-10, ,,1,11,10,1,380.0
5:40.0,Offensive rebound by M. Bagley,11-10, ,,1,11,10,1,380.0
5:34.0,M. Bagley misses 2-pt dunk at rim,11-10, ,,1,11,10,1,386.0
5:34.0, ,11-10,Defensive rebound by Z. LaVine,,1,11,10,1,386.0
5:27.0, ,11-10,Z. LaVine misses 2-pt layup from 2 ft (block by A. Thompson),,1,11,10,1,393.0
5:24.0,Defensive rebound by A. Thompson,11-10, ,,1,11,10,1,396.0
5:21.0,M. Bagley makes 2-pt layup from 1 ft (assist by C. Cunningham),13-10, ,,1,13,10,3,399.0
5:10.0, ,13-13,C. White makes 3-pt jump shot from 28 ft,Tie,1,13,13,0,410.0
4:51.0,C. Cunningham misses 2-pt jump shot from 16 ft,13-13, ,,1,13,13,0,429.0
4:47.0, ,13-13,Defensive rebound by T. Craig,,1,13,13,0,433.0
4:37.0, ,13-13,T. Craig misses 2-pt layup from 4 ft (block by C. Cunningham),,1,13,13,0,443.0
4:34.0,Defensive rebound by C. Cunningham,13-13, ,,1,13,13,0,446.0
4:33.0,Turnover by I. Stewart (traveling),13-13, ,,1,13,13,0,447.0
4:33.0,K. Hayes enters the game for M. Sasser,13-13, ,,1,13,13,0,447.0
4:33.0, ,13-13,D. DeRozan enters the game for P. Williams,,1,13,13,0,447.0
4:22.0, ,13-13,Personal foul by C. Cunningham (drawn by C. White),,1,13,13,0,458.0
4:22.0, ,13-13,Instant Replay,,1,13,13,0,458.0
4:22.0,A. Burks enters the game for M. Bagley,13-13, ,,1,13,13,0,458.0
4:22.0,J. Ivey enters the game for C. Cunningham,13-13, ,,1,13,13,0,458.0
4:22.0,M. Sasser enters the game for K. Hayes,13-13, ,,1,13,13,0,458.0
4:22.0,J. Wiseman enters the game for A. Thompson,13-13, ,,1,13,13,0,458.0
4:22.0, ,13-13,A. Dosunmu enters the game for T. Craig,,1,13,13,0,458.0
4:22.0, ,13-13,P. Williams enters the game for D. DeRozan,,1,13,13,0,458.0
4:10.0, ,13-13,Turnover by P. Williams (lost ball; steal by J. Wiseman),,1,13,13,0,470.0
4:02.0,I. Stewart makes 3-pt jump shot from 25 ft (assist by M. Sasser),16-13, ,,1,16,13,3,478.0
3:49.0, ,16-13,Z. LaVine misses 2-pt jump shot from 19 ft,,1,16,13,3,491.0
3:49.0,Defensive rebound by I. Stewart,16-13, ,,1,16,13,3,491.0
3:38.0,A. Burks makes 3-pt jump shot from 23 ft,19-13, ,,1,19,13,6,502.0
3:27.0, ,19-13,C. White misses 2-pt layup from 2 ft,,1,19,13,6,513.0
3:27.0, ,19-13,Offensive rebound by N. Vučević,,1,19,13,6,513.0
3:27.0, ,19-13,N. Vučević misses 2-pt layup at rim,,1,19,13,6,513.0
3:27.0,Defensive rebound by Team,19-13, ,,1,19,13,6,513.0
3:27.0,K. Knox enters the game for I. Stewart,19-13, ,,1,19,13,6,513.0
3:27.0, ,19-13,J. Carter enters the game for Z. LaVine,,1,19,13,6,513.0
3:27.0, ,19-13,D. DeRozan enters the game for N. Vučević,,1,19,13,6,513.0
3:27.0, ,19-13,A. Drummond enters the game for C. White,,1,19,13,6,513.0
3:10.0,Shooting foul by J. Carter (drawn by A. Burks),19-13, ,,1,19,13,6,530.0
3:10.0,A. Burks makes free throw 1 of 2,20-13, ,,1,20,13,7,530.0
3:10.0,A. Burks makes free throw 2 of 2,21-13, ,,1,21,13,8,530.0
2:53.0, ,21-13,D. DeRozan misses 2-pt jump shot from 18 ft,,1,21,13,8,547.0
2:51.0,Defensive rebound by K. Knox,21-13, ,,1,21,13,8,549.0
2:46.0,A. Burks makes 3-pt jump shot from 25 ft (assist by M. Sasser),24-13, ,,1,24,13,11,554.0
2:31.0, ,24-15,A. Dosunmu makes 2-pt layup from 1 ft,,1,24,15,9,569.0
2:30.0,Detroit full timeout,24-15, ,,1,24,15,9,570.0
2:07.0,J. Wiseman makes 2-pt layup from 1 ft (assist by A. Burks),26-15, ,,1,26,15,11,593.0
1:53.0, ,26-17,D. DeRozan makes 2-pt jump shot from 5 ft,,1,26,17,9,607.0
1:53.0, ,26-17,Shooting foul by M. Sasser (drawn by D. DeRozan),,1,26,17,9,607.0
1:53.0, ,26-18,D. DeRozan makes free throw 1 of 1,,1,26,18,8,607.0
1:33.0,Turnover by M. Sasser (bad pass; steal by A. Drummond),26-18, ,,1,26,18,8,627.0
1:17.0, ,26-21,J. Carter makes 3-pt jump shot from 27 ft,,1,26,21,5,643.0
1:04.0,K. Knox makes 3-pt jump shot from 26 ft,29-21, ,,1,29,21,8,656.0
0:53.0, ,29-21,Shooting foul by A. Burks (drawn by P. Williams),,1,29,21,8,667.0
0:53.0, ,29-21,P. Williams misses free throw 1 of 2,,1,29,21,8,667.0
0:53.0, ,29-21,Offensive rebound by Team,,1,29,21,8,667.0
0:53.0, ,29-22,P. Williams makes free throw 2 of 2,,1,29,22,7,667.0
0:34.0,J. Ivey makes 2-pt layup from 3 ft (assist by A. Burks),31-22, ,,1,31,22,9,686.0
0:34.0, ,31-22,Violation by Team (def goaltending),,1,31,22,9,686.0
0:13.0, ,31-22,D. DeRozan misses 2-pt jump shot from 24 ft,,1,31,22,9,707.0
0:11.0,Defensive rebound by M. Sasser,31-22, ,,1,31,22,9,709.0
0:06.0,Personal foul by J. Carter (drawn by A. Burks),31-22, ,,1,31,22,9,714.0
0:06.0,Detroit full timeout,31-22, ,,1,31,22,9,714.0
0:00.0,J. Wiseman misses 3-pt jump shot from 25 ft,31-22, ,,1,31,22,9,720.0
0:00.0,Offensive rebound by Team,31-22, ,,1,31,22,9,720.0
0:00.0,End of 1st quarter,31-22,,,1,31,22,9,720.0
12:00.0,Start of 2nd quarter,31-22,,,2,31,22,9,720.0
11:41.0, ,31-22,D. DeRozan misses 2-pt jump shot from 15 ft,,2,31,22,9,739.0
11:39.0, ,31-22,Offensive rebound by A. Drummond,,2,31,22,9,741.0
11:38.0, ,31-24,A. Drummond makes 2-pt layup from 1 ft,,2,31,24,7,742.0
11:20.0,A. Burks makes 2-pt jump shot from 13 ft (assist by J. Ivey),33-24, ,,2,33,24,9,760.0
11:08.0, ,33-24,P. Williams misses 2-pt jump shot from 6 ft (block by J. Wiseman),,2,33,24,9,772.0
11:08.0,Defensive rebound by Team,33-24, ,,2,33,24,9,772.0
11:08.0, ,33-24,Loose ball foul by A. Drummond (drawn by K. Knox),,2,33,24,9,772.0
11:08.0,C. Cunningham enters the game for J. Ivey,33-24, ,,2,33,24,9,772.0
11:08.0,A. Thompson enters the game for K. Knox,33-24, ,,2,33,24,9,772.0
10:56.0,Shooting foul by A. Drummond (drawn by A. Thompson),33-24, ,,2,33,24,9,784.0
10:56.0,A. Thompson makes free throw 1 of 2,34-24, ,,2,34,24,10,784.0
10:56.0,K. Hayes enters the game for A. Burks,34-24, ,,2,34,24,10,784.0
10:56.0,A. Thompson misses free throw 2 of 2,34-24, ,,2,34,24,10,784.0
10:54.0, ,34-24,Defensive rebound by A. Drummond,,2,34,24,10,786.0
10:40.0, ,34-24,D. DeRozan misses 2-pt layup from 3 ft,,2,34,24,10,800.0
10:37.0, ,34-24,Offensive rebound by D. DeRozan,,2,34,24,10,803.0
10:35.0, ,34-24,D. DeRozan misses 2-pt jump shot from 14 ft,,2,34,24,10,805.0
10:35.0, ,34-24,Offensive rebound by A. Drummond,,2,34,24,10,805.0
10:26.0, ,34-24,D. DeRozan misses 2-pt layup from 4 ft (block by J. Wiseman),,2,34,24,10,814.0
10:26.0, ,34-24,Offensive rebound by Team,,2,34,24,10,814.0
10:24.0, ,34-24,Turnover by J. Carter (out of bounds lost ball),,2,34,24,10,816.0
10:07.0,Turnover by M. Sasser (bad pass; steal by A. Dosunmu),34-24, ,,2,34,24,10,833.0
9:52.0, ,34-24,J. Carter misses 3-pt jump shot from 25 ft,,2,34,24,10,848.0
9:45.0, ,34-24,Offensive rebound by A. Drummond,,2,34,24,10,855.0
9:45.0, ,34-26,A. Drummond makes 2-pt layup at rim,,2,34,26,8,855.0
9:34.0,J. Wiseman makes 2-pt jump shot from 19 ft (assist by K. Hayes),36-26, ,,2,36,26,10,866.0
9:20.0, ,36-26,P. Williams misses 3-pt jump shot from 25 ft,,2,36,26,10,880.0
9:16.0,Defensive rebound by A. Thompson,36-26, ,,2,36,26,10,884.0
9:09.0,C. Cunningham misses 3-pt jump shot from 22 ft,36-26, ,,2,36,26,10,891.0
9:06.0,Offensive rebound by J. Wiseman,36-26, ,,2,36,26,10,894.0
9:04.0,Turnover by J. Wiseman (bad pass; steal by A. Dosunmu),36-26, ,,2,36,26,10,896.0
8:56.0, ,36-28,A. Dosunmu makes 2-pt layup from 1 ft,,2,36,28,8,904.0
8:37.0,K. Hayes misses 2-pt jump shot from 7 ft (block by P. Williams),36-28, ,,2,36,28,8,923.0
8:33.0, ,36-28,Defensive rebound by A. Drummond,,2,36,28,8,927.0
8:25.0, ,36-30,D. DeRozan makes 2-pt jump shot from 6 ft,,2,36,30,6,935.0
8:09.0,M. Sasser misses 3-pt jump shot from 25 ft,36-30, ,,2,36,30,6,951.0
8:06.0, ,36-30,Defensive rebound by A. Drummond,,2,36,30,6,954.0
7:59.0, ,36-32,D. DeRozan makes 2-pt layup from 2 ft,,2,36,32,4,961.0
7:59.0, ,36-32,Shooting foul by J. Wiseman (drawn by D. DeRozan),,2,36,32,4,961.0
7:59.0,M. Bagley enters the game for M. Sasser,36-32, ,,2,36,32,4,961.0
7:59.0,I. Stewart enters the game for J. Wiseman,36-32, ,,2,36,32,4,961.0
7:59.0, ,36-32,T. Craig enters the game for A. Drummond,,2,36,32,4,961.0
7:59.0, ,36-32,N. Vučević enters the game for P. Williams,,2,36,32,4,961.0
7:59.0, ,36-33,D. DeRozan makes free throw 1 of 1,,2,36,33,3,961.0
7:45.0,K. Hayes misses 3-pt jump shot from 25 ft,36-33, ,,2,36,33,3,975.0
7:43.0, ,36-33,Defensive rebound by N. Vučević,,2,36,33,3,977.0
7:34.0, ,36-35,N. Vučević makes 2-pt jump shot from 17 ft (assist by J. Carter),,2,36,35,1,986.0
7:19.0,Personal foul by A. Dosunmu (drawn by C. Cunningham),36-35, ,,2,36,35,1,1001.0
7:19.0, ,36-35,Z. LaVine enters the game for D. DeRozan,,2,36,35,1,1001.0
7:19.0, ,36-35,C. White enters the game for A. Dosunmu,,2,36,35,1,1001.0
7:09.0,A. Thompson misses 3-pt jump shot from 23 ft,36-35, ,,2,36,35,1,1011.0
7:07.0,Offensive rebound by I. Stewart,36-35, ,,2,36,35,1,1013.0
7:05.0,I. Stewart misses 2-pt layup from 2 ft,36-35, ,,2,36,35,1,1015.0
7:02.0,Offensive rebound by M. Bagley,36-35, ,,2,36,35,1,1018.0
7:02.0,M. Bagley makes 2-pt layup at rim,38-35, ,,2,38,35,3,1018.0
6:56.0, ,38-35,J. Carter misses 2-pt layup from 3 ft (block by A. Thompson),,2,38,35,3,1024.0
6:56.0,Defensive rebound by M. Bagley,38-35, ,,2,38,35,3,1024.0
6:47.0,Personal foul by C. White (drawn by K. Hayes),38-35, ,,2,38,35,3,1033.0
6:47.0, ,38-35,Chicago full timeout,,2,38,35,3,1033.0
6:47.0, ,38-35,A. Dosunmu enters the game for J. Carter,,2,38,35,3,1033.0
6:35.0,M. Bagley misses 2-pt hook shot from 7 ft,38-35, ,,2,38,35,3,1045.0
6:33.0, ,38-35,Defensive rebound by N. Vučević,,2,38,35,3,1047.0
6:14.0, ,38-35,T. Craig misses 3-pt jump shot from 24 ft,,2,38,35,3,1066.0
6:12.0,Defensive rebound by A. Thompson,38-35, ,,2,38,35,3,1068.0
6:01.0,Turnover by A. Thompson (lost ball; steal by C. White),38-35, ,,2,38,35,3,1079.0
5:58.0, ,38-37,A. Dosunmu makes 2-pt layup from 2 ft,,2,38,37,1,1082.0
5:58.0,Violation by Team (def goaltending),38-37, ,,2,38,37,1,1082.0
5:46.0,Offensive foul by M. Bagley (drawn by C. White),38-37, ,,2,38,37,1,1094.0
5:46.0,Turnover by M. Bagley (offensive foul),38-37, ,,2,38,37,1,1094.0
5:36.0, ,38-40,N. Vučević makes 3-pt jump shot from 26 ft (assist by C. White),Lead change,2,38,40,-2,1104.0
5:13.0,A. Thompson misses 2-pt jump shot from 22 ft,38-40, ,,2,38,40,-2,1127.0
5:10.0,Offensive rebound by I. Stewart,38-40, ,,2,38,40,-2,1130.0
5:10.0,I. Stewart misses 2-pt layup at rim,38-40, ,,2,38,40,-2,1130.0
5:08.0, ,38-40,Defensive rebound by N. Vučević,,2,38,40,-2,1132.0
5:04.0, ,38-42,C. White makes 2-pt layup from 1 ft,,2,38,42,-4,1136.0
4:49.0,K. Hayes misses 3-pt jump shot from 26 ft,38-42, ,,2,38,42,-4,1151.0
4:48.0, ,38-42,Defensive rebound by Team,,2,38,42,-4,1152.0
4:48.0,A. Burks enters the game for M. Bagley,38-42, ,,2,38,42,-4,1152.0
4:48.0,K. Knox enters the game for K. Hayes,38-42, ,,2,38,42,-4,1152.0
4:34.0, ,38-44,N. Vučević makes 2-pt jump shot from 7 ft (assist by C. White),,2,38,44,-6,1166.0
4:18.0,C. Cunningham misses 3-pt jump shot from 23 ft,38-44, ,,2,38,44,-6,1182.0
4:16.0, ,38-44,Defensive rebound by N. Vučević,,2,38,44,-6,1184.0
4:03.0, ,38-44,C. White misses 2-pt jump shot from 7 ft,,2,38,44,-6,1197.0
4:01.0,Defensive rebound by I. Stewart,38-44, ,,2,38,44,-6,1199.0
3:46.0,A. Burks misses 3-pt jump shot from 23 ft,38-44, ,,2,38,44,-6,1214.0
3:41.0, ,38-44,Defensive rebound by T. Craig,,2,38,44,-6,1219.0
3:38.0, ,38-46,Z. LaVine makes 2-pt dunk from 1 ft (assist by A. Dosunmu),,2,38,46,-8,1222.0
3:38.0,Detroit full timeout,38-46, ,,2,38,46,-8,1222.0
3:38.0, ,38-46,D. DeRozan enters the game for A. Dosunmu,,2,38,46,-8,1222.0
3:17.0,K. Knox makes 2-pt layup at rim (assist by A. Burks),40-46, ,,2,40,46,-6,1243.0
2:51.0, ,40-46,C. White misses 3-pt jump shot from 25 ft,,2,40,46,-6,1269.0
2:49.0, ,40-46,Offensive rebound by T. Craig,,2,40,46,-6,1271.0
2:48.0, ,40-46,Personal foul by A. Thompson (drawn by Z. LaVine),,2,40,46,-6,1272.0
2:40.0, ,40-48,D. DeRozan makes 2-pt jump shot from 19 ft (assist by N. Vučević),,2,40,48,-8,1280.0
2:24.0,Shooting foul by N. Vučević (drawn by A. Burks),40-48, ,,2,40,48,-8,1296.0
2:24.0,A. Burks makes free throw 1 of 2,41-48, ,,2,41,48,-7,1296.0
2:24.0,M. Sasser enters the game for A. Thompson,41-48, ,,2,41,48,-7,1296.0
2:24.0,A. Burks makes free throw 2 of 2,42-48, ,,2,42,48,-6,1296.0
2:13.0, ,42-48,N. Vučević misses 3-pt jump shot from 27 ft,,2,42,48,-6,1307.0
2:10.0,Defensive rebound by A. Burks,42-48, ,,2,42,48,-6,1310.0
1:49.0,A. Burks misses 3-pt jump shot from 27 ft,42-48, ,,2,42,48,-6,1331.0
1:45.0,Offensive rebound by I. Stewart,42-48, ,,2,42,48,-6,1335.0
1:44.0,K. Knox makes 3-pt jump shot from 26 ft (assist by M. Sasser),45-48, ,,2,45,48,-3,1336.0
1:29.0, ,45-48,Shooting foul by I. Stewart (drawn by Z. LaVine),,2,45,48,-3,1351.0
1:29.0, ,45-49,Z. LaVine makes free throw 1 of 2,,2,45,49,-4,1351.0
1:29.0, ,45-50,Z. LaVine makes free throw 2 of 2,,2,45,50,-5,1351.0
1:14.0,I. Stewart makes 3-pt jump shot from 25 ft (assist by A. Burks),48-50, ,,2,48,50,-2,1366.0
0:58.0, ,48-50,Z. LaVine misses 3-pt jump shot from 27 ft,,2,48,50,-2,1382.0
0:55.0, ,48-50,Offensive rebound by Team,,2,48,50,-2,1385.0
0:43.0, ,48-53,D. DeRozan makes 3-pt jump shot from 23 ft (assist by C. White),,2,48,53,-5,1397.0
0:34.0,Turnover by I. Stewart (lost ball; steal by N. Vučević),48-53, ,,2,48,53,-5,1406.0
0:31.0, ,48-53,Shooting foul by C. Cunningham (drawn by Z. LaVine),,2,48,53,-5,1409.0
0:31.0, ,48-54,Z. LaVine makes free throw 1 of 2,,2,48,54,-6,1409.0
0:31.0, ,48-55,Z. LaVine makes free throw 2 of 2,,2,48,55,-7,1409.0
0:15.0,C. Cunningham makes 2-pt layup from 1 ft,50-55, ,,2,50,55,-5,1425.0
0:02.0, ,50-55,D. DeRozan misses 2-pt jump shot from 14 ft,,2,50,55,-5,1438.0
0:01.0, ,50-55,Offensive rebound by N. Vučević,,2,50,55,-5,1439.0
0:01.0, ,50-55,N. Vučević misses 2-pt layup at rim,,2,50,55,-5,1439.0
0:00.0,Defensive rebound by Team,50-55, ,,2,50,55,-5,1440.0
0:00.0,End of 2nd quarter,50-55,,,2,50,55,-5,1440.0
12:00.0,Start of 3rd quarter,50-55,,,3,50,55,-5,1440.0
12:00.0, ,50-55,Violation by Team (delay of game),,3,50,55,-5,1440.0
11:43.0, ,50-55,T. Craig misses 3-pt jump shot from 24 ft,,3,50,55,-5,1457.0
11:40.0,Defensive rebound by K. Hayes,50-55, ,,3,50,55,-5,1460.0
11:27.0,I. Stewart misses 2-pt layup from 2 ft,50-55, ,,3,50,55,-5,1473.0
11:25.0, ,50-55,Defensive rebound by N. Vučević,,3,50,55,-5,1475.0
11:20.0, ,50-55,Shooting foul by I. Stewart (drawn by D. DeRozan),,3,50,55,-5,1480.0
11:20.0, ,50-56,D. DeRozan makes free throw 1 of 2,,3,50,56,-6,1480.0
11:20.0, ,50-57,D. DeRozan makes free throw 2 of 2,,3,50,57,-7,1480.0
10:55.0,A. Thompson misses 2-pt jump shot from 10 ft,50-57, ,,3,50,57,-7,1505.0
10:53.0, ,50-57,Defensive rebound by N. Vučević,,3,50,57,-7,1507.0
10:39.0, ,50-60,D. DeRozan makes 3-pt jump shot from 25 ft (assist by C. White),,3,50,60,-10,1521.0
10:26.0,C. Cunningham makes 2-pt layup from 1 ft,52-60, ,,3,52,60,-8,1534.0
10:17.0, ,52-62,Z. LaVine makes 2-pt layup from 2 ft (assist by C. White),,3,52,62,-10,1543.0
9:53.0,C. Cunningham misses 2-pt jump shot from 14 ft,52-62, ,,3,52,62,-10,1567.0
9:50.0, ,52-62,Defensive rebound by T. Craig,,3,52,62,-10,1570.0
9:38.0, ,52-62,Offensive foul by N. Vučević (drawn by M. Bagley),,3,52,62,-10,1582.0
9:38.0, ,52-62,Turnover by N. Vučević (offensive foul),,3,52,62,-10,1582.0
9:18.0,C. Cunningham misses 2-pt jump shot from 16 ft,52-62, ,,3,52,62,-10,1602.0
9:16.0,Offensive rebound by A. Thompson,52-62, ,,3,52,62,-10,1604.0
9:16.0,A. Thompson misses 2-pt layup from 3 ft (block by D. DeRozan),52-62, ,,3,52,62,-10,1604.0
9:16.0,Offensive rebound by Team,52-62, ,,3,52,62,-10,1604.0
9:10.0,M. Bagley makes 2-pt layup from 3 ft (assist by I. Stewart),54-62, ,,3,54,62,-8,1610.0
8:55.0, ,54-62,N. Vučević misses 3-pt jump shot from 25 ft,,3,54,62,-8,1625.0
8:51.0,Defensive rebound by I. Stewart,54-62, ,,3,54,62,-8,1629.0
8:43.0,Shooting foul by T. Craig (drawn by M. Bagley),54-62, ,,3,54,62,-8,1637.0
8:43.0,M. Bagley makes free throw 1 of 2,55-62, ,,3,55,62,-7,1637.0
8:43.0,M. Bagley makes free throw 2 of 2,56-62, ,,3,56,62,-6,1637.0
8:29.0, ,56-64,D. DeRozan makes 2-pt layup from 2 ft (assist by N. Vučević),,3,56,64,-8,1651.0
8:05.0,I. Stewart makes 3-pt jump shot from 23 ft (assist by K. Hayes),59-64, ,,3,59,64,-5,1675.0
7:47.0, ,59-66,N. Vučević makes 2-pt hook shot from 6 ft (assist by C. White),,3,59,66,-7,1693.0
7:33.0,Shooting foul by C. White (drawn by A. Thompson),59-66, ,,3,59,66,-7,1707.0
7:33.0,A. Thompson makes free throw 1 of 2,60-66, ,,3,60,66,-6,1707.0
7:33.0, ,60-66,Chicago full timeout,,3,60,66,-6,1707.0
7:33.0,A. Thompson makes free throw 2 of 2,61-66, ,,3,61,66,-5,1707.0
7:10.0, ,61-66,D. DeRozan misses 3-pt jump shot from 27 ft,,3,61,66,-5,1730.0
7:08.0,Defensive rebound by A. Thompson,61-66, ,,3,61,66,-5,1732.0
7:05.0,Shooting foul by T. Craig (drawn by A. Thompson),61-66, ,,3,61,66,-5,1735.0
7:05.0,A. Thompson misses free throw 1 of 2,61-66, ,,3,61,66,-5,1735.0
7:05.0,Offensive rebound by Team,61-66, ,,3,61,66,-5,1735.0
7:05.0,A. Thompson makes free throw 2 of 2,62-66, ,,3,62,66,-4,1735.0
6:39.0, ,62-66,Z. LaVine misses 3-pt jump shot from 26 ft,,3,62,66,-4,1761.0
6:36.0,Defensive rebound by I. Stewart,62-66, ,,3,62,66,-4,1764.0
