Time,Detroit,Score,Cleveland,Event,Quarter,TeamScore,OpponentScore,PointDifference,ElapsedTime
12:00.0,Jump ball: I. Stewart vs. J. Allen (D. Garland gains possession),0-0,,,1,0,0,0,0.0
11:44.0, ,0-2,J. Allen makes 2-pt layup from 1 ft (assist by E. Mobley),,1,0,2,-2,16.0
11:44.0, ,0-2,Shooting foul by C. Cunningham (drawn by J. Allen),,1,0,2,-2,16.0
11:44.0, ,0-3,J. Allen makes free throw 1 of 1,,1,0,3,-3,16.0
11:30.0,Turnover by C. Cunningham (bad pass),0-3, ,,1,0,3,-3,30.0
11:19.0, ,0-6,M. Strus makes 3-pt jump shot from 25 ft (assist by E. Mobley),,1,0,6,-6,41.0
10:59.0,C. Cunningham misses 3-pt jump shot from 25 ft,0-6, ,,1,0,6,-6,61.0
10:53.0,Offensive rebound by I. Stewart,0-6, ,,1,0,6,-6,67.0
10:53.0,I. Stewart misses 2-pt layup at rim,0-6, ,,1,0,6,-6,67.0
10:51.0,I. Stewart makes 2-pt layup at rim,2-6, ,,1,2,6,-4,69.0
10:42.0, ,2-6,M. Strus misses 3-pt jump shot from 25 ft,,1,2,6,-4,78.0
10:39.0,Defensive rebound by K. Knox,2-6, ,,1,2,6,-4,81.0
10:28.0,I. Stewart makes 2-pt dunk from 1 ft (assist by C. Cunningham),4-6, ,,1,4,6,-2,92.0
10:16.0, ,4-6,Turnover by D. Garland (bad pass; steal by I. Stewart),,1,4,6,-2,104.0
10:09.0,K. Knox makes 2-pt layup from 1 ft,6-6, ,Tie,1,6,6,0,111.0
9:51.0, ,6-6,Shooting foul by K. Knox (drawn by E. Mobley),,1,6,6,0,129.0
9:51.0, ,6-7,E. Mobley makes free throw 1 of 2,,1,6,7,-1,129.0
9:51.0, ,6-7,E. Mobley misses free throw 2 of 2,,1,6,7,-1,129.0
9:50.0,Defensive rebound by K. Knox,6-7, ,,1,6,7,-1,130.0
9:33.0,K. Knox misses 3-pt jump shot from 23 ft,6-7, ,,1,6,7,-1,147.0
9:30.0, ,6-7,Defensive rebound by D. Garland,,1,6,7,-1,150.0
9:24.0, ,6-9,D. Garland makes 2-pt jump shot from 14 ft,,1,6,9,-3,156.0
8:58.0,A. Thompson makes 2-pt jump shot from 11 ft,8-9, ,,1,8,9,-1,182.0
8:50.0, ,8-9,M. Strus misses 2-pt layup from 1 ft,,1,8,9,-1,190.0
8:47.0,Defensive rebound by A. Thompson,8-9, ,,1,8,9,-1,193.0
8:36.0,K. Knox misses 3-pt jump shot from 25 ft,8-9, ,,1,8,9,-1,204.0
8:36.0, ,8-9,Defensive rebound by Team,,1,8,9,-1,204.0
8:36.0,Loose ball foul by A. Thompson (drawn by D. Wade),8-9, ,,1,8,9,-1,204.0
8:22.0, ,8-11,E. Mobley makes 2-pt dunk from 2 ft (assist by M. Strus),,1,8,11,-3,218.0
8:10.0,K. Hayes makes 2-pt jump shot from 13 ft,10-11, ,,1,10,11,-1,230.0
7:45.0, ,10-11,D. Garland misses 3-pt jump shot from 23 ft,,1,10,11,-1,255.0
7:43.0,Defensive rebound by C. Cunningham,10-11, ,,1,10,11,-1,257.0
7:39.0,Shooting foul by J. Allen (drawn by A. Thompson),10-11, ,,1,10,11,-1,261.0
7:39.0,A. Thompson misses free throw 1 of 2,10-11, ,,1,10,11,-1,261.0
7:39.0,Offensive rebound by Team,10-11, ,,1,10,11,-1,261.0
7:39.0,A. Thompson makes free throw 2 of 2,11-11, ,Tie,1,11,11,0,261.0
7:28.0, ,11-13,D. Garland makes 2-pt layup from 1 ft,,1,11,13,-2,272.0
7:18.0,I. Stewart misses 2-pt layup from 1 ft,11-13, ,,1,11,13,-2,282.0
7:15.0,Offensive rebound by A. Thompson,11-13, ,,1,11,13,-2,285.0
7:13.0,C. Cunningham misses 3-pt jump shot from 27 ft,11-13, ,,1,11,13,-2,287.0
7:11.0,Offensive rebound by K. Knox,11-13, ,,1,11,13,-2,289.0
6:57.0,K. Hayes makes 2-pt jump shot from 8 ft (assist by C. Cunningham),13-13, ,Tie,1,13,13,0,303.0
6:35.0, ,13-13,D. Garland misses 2-pt layup from 2 ft,,1,13,13,0,325.0
