Time,Washington,Score,Detroit,Event,Quarter,TeamScore,OpponentScore,PointDifference,ElapsedTime
12:00.0,Jump ball: D. Gafford vs. J. Duren (J. Ivey gains possession),0-0,,,1,0,0,0,0.0
11:34.0, ,0-0,J. Ivey misses 2-pt layup from 2 ft,,1,0,0,0,26.0
11:30.0, ,0-0,Offensive rebound by J. Ivey,,1,0,0,0,30.0
11:29.0, ,0-2,J. Ivey makes 2-pt layup from 1 ft,,1,2,0,2,31.0
11:09.0,J. Poole misses 2-pt layup from 4 ft (block by J. Duren),0-2, ,,1,2,0,2,51.0
11:07.0, ,0-2,Defensive rebound by C. Cunningham,,1,2,0,2,53.0
10:55.0, ,0-4,C. Cunningham makes 2-pt layup from 2 ft,,1,4,0,4,65.0
10:34.0,K. Kuzma misses 3-pt jump shot from 23 ft,0-4, ,,1,4,0,4,86.0
10:29.0, ,0-4,Defensive rebound by J. Duren,,1,4,0,4,91.0
10:26.0, ,0-6,A. Thompson makes 2-pt layup from 1 ft (assist by C. Cunningham),,1,6,0,6,94.0
10:08.0,T. Jones misses 2-pt jump shot from 4 ft,0-6, ,,1,6,0,6,112.0
10:07.0,Offensive rebound by D. Gafford,0-6, ,,1,6,0,6,113.0
10:04.0,Turnover by J. Poole (traveling),0-6, ,,1,6,0,6,116.0
9:52.0, ,0-6,J. Ivey misses 3-pt jump shot from 25 ft,,1,6,0,6,128.0
9:52.0,Defensive rebound by D. Avdija,0-6, ,,1,6,0,6,128.0
9:43.0,D. Gafford makes 2-pt layup from 2 ft (assist by D. Avdija),2-6, ,,1,6,2,4,137.0
9:31.0, ,2-6,Turnover by J. Ivey (lost ball; steal by J. Poole),,1,6,2,4,149.0
9:22.0,K. Kuzma misses 2-pt layup from 7 ft (block by J. Ivey),2-6, ,,1,6,2,4,158.0
9:18.0, ,2-6,Defensive rebound by J. Ivey,,1,6,2,4,162.0
9:16.0, ,2-8,A. Thompson makes 2-pt dunk from 1 ft (assist by J. Ivey),,1,8,2,6,164.0
9:11.0,Turnover by D. Avdija (bad pass; steal by A. Thompson),2-8, ,,1,8,2,6,169.0
9:04.0, ,2-10,I. Stewart makes 2-pt jump shot from 9 ft (assist by J. Duren),,1,10,2,8,176.0
9:04.0,Washington full timeout,2-10, ,,1,10,2,8,176.0
8:52.0,Shooting foul by J. Duren (drawn by J. Poole),2-10, ,,1,10,2,8,188.0
8:52.0,J. Poole makes free throw 1 of 2,3-10, ,,1,10,3,7,188.0
8:52.0,J. Poole makes free throw 2 of 2,4-10, ,,1,10,4,6,188.0
8:34.0, ,4-10,A. Thompson misses 2-pt layup from 2 ft,,1,10,4,6,206.0
8:32.0,Defensive rebound by D. Gafford,4-10, ,,1,10,4,6,208.0
8:25.0,Personal foul by C. Cunningham (drawn by J. Poole),4-10, ,,1,10,4,6,215.0
8:18.0,J. Poole misses 3-pt jump shot from 29 ft,4-10, ,,1,10,4,6,222.0
8:18.0, ,4-10,Defensive rebound by Team,,1,10,4,6,222.0
8:06.0, ,4-10,C. Cunningham misses 2-pt layup from 4 ft,,1,10,4,6,234.0
8:03.0,Defensive rebound by D. Gafford,4-10, ,,1,10,4,6,237.0
7:53.0,D. Avdija makes 3-pt jump shot from 24 ft (assist by K. Kuzma),7-10, ,,1,10,7,3,247.0
7:53.0,Shooting foul by A. Thompson (drawn by D. Avdija),7-10, ,,1,10,7,3,247.0
7:53.0,D. Avdija makes free throw 1 of 1,8-10, ,,1,10,8,2,247.0
7:41.0, ,8-10,I. Stewart misses 3-pt jump shot from 24 ft,,1,10,8,2,259.0
7:39.0,Defensive rebound by D. Avdija,8-10, ,,1,10,8,2,261.0
7:34.0,Turnover by D. Avdija (bad pass),8-10, ,,1,10,8,2,266.0
7:24.0, ,8-10,C. Cunningham misses 2-pt layup from 2 ft,,1,10,8,2,276.0
7:22.0,Defensive rebound by D. Gafford,8-10, ,,1,10,8,2,278.0
7:15.0,J. Poole makes 2-pt jump shot from 6 ft (assist by K. Kuzma),10-10, ,Tie,1,10,10,0,285.0
6:57.0, ,10-10,I. Stewart misses 3-pt jump shot from 25 ft,,1,10,10,0,303.0
6:54.0, ,10-10,Offensive rebound by J. Ivey,,1,10,10,0,306.0
6:49.0, ,10-12,A. Thompson makes 2-pt dunk from 1 ft (assist by J. Ivey),,1,12,10,2,311.0
6:35.0,Turnover by K. Kuzma (bad pass; steal by C. Cunningham),10-12, ,,1,12,10,2,325.0
6:31.0, ,10-14,J. Duren makes 2-pt layup from 1 ft (assist by J. Ivey),,1,14,10,4,329.0
6:17.0,J. Poole misses 2-pt layup from 3 ft,10-14, ,,1,14,10,4,343.0
