Time,LA Lakers,Score,Detroit,Event,Quarter,TeamScore,OpponentScore,PointDifference,ElapsedTime
12:00.0,Jump ball: A. Davis vs. J. Duren (A. Thompson gains possession),0-0,,,1,0,0,0,0.0
11:37.0, ,0-3,I. Stewart makes 3-pt jump shot from 28 ft (assist by C. Cunningham),,1,3,0,3,23.0
11:24.0,Personal foul by J. Ivey (drawn by A. Davis),0-3, ,,1,3,0,3,36.0
11:11.0,L. James misses 3-pt jump shot from 26 ft,0-3, ,,1,3,0,3,49.0
11:08.0, ,0-3,Defensive rebound by A. Thompson,,1,3,0,3,52.0
11:01.0, ,0-5,A. Thompson makes 2-pt dunk from 3 ft (assist by C. Cunningham),,1,5,0,5,59.0
10:42.0,D. Russell makes 2-pt layup from 3 ft (assist by A. Davis),2-5, ,,1,5,2,3,78.0
10:24.0, ,2-5,J. Ivey misses 2-pt layup from 4 ft (block by A. Davis),,1,5,2,3,96.0
10:19.0, ,2-5,Offensive rebound by I. Stewart,,1,5,2,3,101.0
10:16.0, ,2-5,A. Thompson misses 3-pt jump shot from 24 ft,,1,5,2,3,104.0
10:15.0, ,2-5,Offensive rebound by J. Duren,,1,5,2,3,105.0
10:09.0, ,2-5,J. Ivey misses 3-pt jump shot from 27 ft,,1,5,2,3,111.0
10:06.0,Defensive rebound by D. Russell,2-5, ,,1,5,2,3,114.0
10:03.0,L. James makes 2-pt layup from 2 ft (assist by D. Russell),4-5, ,,1,5,4,1,117.0
10:03.0, ,4-5,Violation by Team (def goaltending),,1,5,4,1,117.0
9:44.0, ,4-5,A. Thompson misses 3-pt jump shot from 27 ft,,1,5,4,1,136.0
9:41.0,Defensive rebound by A. Davis,4-5, ,,1,5,4,1,139.0
9:34.0,A. Davis misses 2-pt jump shot from 3 ft,4-5, ,,1,5,4,1,146.0
9:32.0, ,4-5,Defensive rebound by C. Cunningham,,1,5,4,1,148.0
9:32.0, ,4-5,Offensive foul by I. Stewart (drawn by L. James),,1,5,4,1,148.0
9:32.0, ,4-5,Turnover by I. Stewart (offensive foul),,1,5,4,1,148.0
9:14.0,Personal foul by A. Thompson (drawn by D. Russell),4-5, ,,1,5,4,1,166.0
