Time,Detroit,Score,New York,Event,Quarter,TeamScore,OpponentScore,PointDifference,ElapsedTime
12:00.0,Jump ball: J. Duren vs. M. Robinson (R. Barrett gains possession),0-0,,,1,0,0,0,0.0
11:45.0, ,0-0,J. Brunson misses 2-pt jump shot from 8 ft,,1,0,0,0,15.0
11:41.0, ,0-0,Offensive rebound by M. Robinson,,1,0,0,0,19.0
11:36.0, ,0-0,Turnover by R. Barrett (bad pass; steal by C. Cunningham),,1,0,0,0,24.0
11:31.0,C. Cunningham makes 2-pt dunk at rim,2-0, ,,1,2,0,2,29.0
11:08.0, ,2-2,R. Barrett makes 2-pt layup from 1 ft,Tie,1,2,2,0,52.0
10:51.0,Turnover by C. Cunningham (bad pass),2-2, ,,1,2,2,0,69.0
10:45.0, ,2-2,Shooting foul by K. Hayes (drawn by J. Brunson),,1,2,2,0,75.0
10:45.0, ,2-3,J. Brunson makes free throw 1 of 2,Lead change,1,2,3,-1,75.0
10:45.0, ,2-4,J. Brunson makes free throw 2 of 2,,1,2,4,-2,75.0
10:35.0,K. Hayes misses 3-pt jump shot from 26 ft,2-4, ,,1,2,4,-2,85.0
10:33.0,Offensive rebound by I. Livers,2-4, ,,1,2,4,-2,87.0
10:29.0,Turnover by I. Stewart (lost ball; steal by Q. Grimes),2-4, ,,1,2,4,-2,91.0
10:28.0, ,2-4,Q. Grimes misses 2-pt layup from 3 ft (block by K. Hayes),,1,2,4,-2,92.0
10:26.0, ,2-4,Offensive rebound by Team,,1,2,4,-2,94.0
10:15.0, ,2-4,Q. Grimes misses 3-pt jump shot from 23 ft,,1,2,4,-2,105.0
10:13.0,Defensive rebound by I. Livers,2-4, ,,1,2,4,-2,107.0
10:08.0,Offensive foul by J. Duren (drawn by J. Brunson),2-4, ,,1,2,4,-2,112.0
10:08.0,Turnover by J. Duren (offensive foul),2-4, ,,1,2,4,-2,112.0
9:56.0, ,2-6,J. Brunson makes 2-pt jump shot from 18 ft,,1,2,6,-4,124.0
9:44.0,C. Cunningham misses 3-pt jump shot from 26 ft,2-6, ,,1,2,6,-4,136.0
9:42.0, ,2-6,Defensive rebound by J. Randle,,1,2,6,-4,138.0
9:31.0, ,2-9,J. Brunson makes 3-pt jump shot from 25 ft,,1,2,9,-7,149.0
9:16.0,I. Stewart misses 3-pt jump shot from 24 ft,2-9, ,,1,2,9,-7,164.0
9:14.0, ,2-9,Defensive rebound by Q. Grimes,,1,2,9,-7,166.0
9:05.0, ,2-9,Turnover by J. Randle (out of bounds lost ball),,1,2,9,-7,175.0
8:46.0,K. Hayes makes 2-pt jump shot from 10 ft (assist by C. Cunningham),4-9, ,,1,4,9,-5,194.0
8:33.0, ,4-9,J. Brunson misses 2-pt jump shot from 14 ft,,1,4,9,-5,207.0
8:31.0,Defensive rebound by Team,4-9, ,,1,4,9,-5,209.0
8:17.0,Turnover by I. Livers (bad pass; steal by J. Brunson),4-9, ,,1,4,9,-5,223.0
8:11.0, ,4-9,R. Barrett misses 3-pt jump shot from 25 ft,,1,4,9,-5,229.0
8:09.0,Defensive rebound by J. Duren,4-9, ,,1,4,9,-5,231.0
8:04.0,Shooting foul by J. Brunson (drawn by I. Livers),4-9, ,,1,4,9,-5,236.0
8:04.0,I. Livers makes free throw 1 of 3,5-9, ,,1,5,9,-4,236.0
8:04.0,I. Livers misses free throw 2 of 3,5-9, ,,1,5,9,-4,236.0
8:04.0,Offensive rebound by Team,5-9, ,,1,5,9,-4,236.0
8:04.0,I. Livers misses free throw 3 of 3,5-9, ,,1,5,9,-4,236.0
8:02.0, ,5-9,Defensive rebound by J. Brunson,,1,5,9,-4,238.0
7:54.0, ,5-9,J. Randle misses 3-pt jump shot from 25 ft,,1,5,9,-4,246.0
7:52.0,Defensive rebound by Team,5-9, ,,1,5,9,-4,248.0
7:41.0,J. Duren misses 2-pt layup from 2 ft (block by M. Robinson),5-9, ,,1,5,9,-4,259.0
7:39.0, ,5-9,Defensive rebound by J. Randle,,1,5,9,-4,261.0
7:33.0, ,5-9,J. Randle misses 2-pt layup from 2 ft,,1,5,9,-4,267.0
7:31.0, ,5-9,Offensive rebound by J. Randle,,1,5,9,-4,269.0
7:23.0, ,5-9,J. Randle misses 2-pt jump shot from 7 ft,,1,5,9,-4,277.0
7:21.0,Defensive rebound by I. Stewart,5-9, ,,1,5,9,-4,279.0
7:17.0,Turnover by C. Cunningham (bad pass),5-9, ,,1,5,9,-4,283.0
7:03.0, ,5-9,R. Barrett misses 3-pt jump shot from 24 ft,,1,5,9,-4,297.0
7:01.0,Defensive rebound by J. Duren,5-9, ,,1,5,9,-4,299.0
6:53.0,C. Cunningham makes 3-pt jump shot from 22 ft (assist by K. Hayes),8-9, ,,1,8,9,-1,307.0
6:34.0, ,8-9,Q. Grimes misses 3-pt jump shot from 23 ft,,1,8,9,-1,326.0
6:32.0,Defensive rebound by J. Duren,8-9, ,,1,8,9,-1,328.0
6:23.0,C. Cunningham makes 2-pt layup from 2 ft (assist by K. Hayes),10-9, ,Lead change,1,10,9,1,337.0
6:23.0, ,10-9,New York full timeout,,1,10,9,1,337.0
6:12.0, ,10-12,J. Randle makes 3-pt jump shot from 22 ft (assist by J. Brunson),Lead change,1,10,12,-2,348.0
5:56.0,Turnover by I. Livers (bad pass),10-12, ,,1,10,12,-2,364.0
5:45.0, ,10-14,J. Brunson makes 2-pt jump shot from 17 ft (assist by J. Randle),,1,10,14,-4,375.0
5:33.0,K. Hayes misses 2-pt jump shot from 22 ft,10-14, ,,1,10,14,-4,387.0
5:31.0, ,10-14,Defensive rebound by R. Barrett,,1,10,14,-4,389.0
5:28.0, ,10-14,Shooting foul by I. Livers (drawn by R. Barrett),,1,10,14,-4,392.0
5:28.0, ,10-15,R. Barrett makes free throw 1 of 2,,1,10,15,-5,392.0
5:28.0,M. Sasser enters the game for K. Hayes,10-15, ,,1,10,15,-5,392.0
5:28.0, ,10-15,R. Barrett misses free throw 2 of 2,,1,10,15,-5,392.0
5:26.0,Defensive rebound by I. Stewart,10-15, ,,1,10,15,-5,394.0
5:26.0, ,10-15,J. Hart enters the game for R. Barrett,,1,10,15,-5,394.0
5:05.0,C. Cunningham makes 2-pt layup from 1 ft,12-15, ,,1,12,15,-3,415.0
4:55.0, ,12-15,Personal foul by M. Sasser (drawn by J. Brunson),,1,12,15,-3,425.0
4:55.0,A. Thompson enters the game for I. Livers,12-15, ,,1,12,15,-3,425.0
4:55.0, ,12-15,I. Quickley enters the game for Q. Grimes,,1,12,15,-3,425.0
4:50.0, ,12-18,J. Brunson makes 3-pt jump shot from 26 ft (assist by J. Randle),,1,12,18,-6,430.0
4:37.0,J. Duren misses 2-pt layup from 3 ft,12-18, ,,1,12,18,-6,443.0
4:35.0, ,12-18,Defensive rebound by J. Hart,,1,12,18,-6,445.0
4:30.0, ,12-18,Turnover by J. Hart (bad pass),,1,12,18,-6,450.0
4:30.0,M. Bagley enters the game for J. Duren,12-18, ,,1,12,18,-6,450.0
4:20.0,I. Stewart makes 3-pt jump shot from 23 ft (assist by M. Sasser),15-18, ,,1,15,18,-3,460.0
3:57.0, ,15-18,J. Randle misses 3-pt jump shot from 25 ft,,1,15,18,-3,483.0
3:55.0,Defensive rebound by A. Thompson,15-18, ,,1,15,18,-3,485.0
3:48.0,C. Cunningham misses 3-pt jump shot from 26 ft,15-18, ,,1,15,18,-3,492.0
3:46.0, ,15-18,Defensive rebound by Team,,1,15,18,-3,494.0
3:46.0,K. Knox enters the game for I. Stewart,15-18, ,,1,15,18,-3,494.0
3:32.0, ,15-21,J. Brunson makes 3-pt jump shot from 26 ft (assist by I. Quickley),,1,15,21,-6,508.0
3:24.0,Detroit full timeout,15-21, ,,1,15,21,-6,516.0
3:24.0,A. Burks enters the game for C. Cunningham,15-21, ,,1,15,21,-6,516.0
