Time,Cleveland,Score,Detroit,Event,Quarter,TeamScore,OpponentScore,PointDifference,ElapsedTime
12:00.0,Jump ball: J. Allen vs. J. Duren (C. Cunningham gains possession),0-0,,,1,0,0,0,0.0
11:37.0, ,0-0,Turnover by K. Hayes (bad pass; steal by D. Mitchell),,1,0,0,0,23.0
11:27.0,E. Mobley makes 2-pt layup from 2 ft (assist by M. Strus),2-0, ,,1,0,2,-2,33.0
11:27.0,Shooting foul by J. Duren (drawn by E. Mobley),2-0, ,,1,0,2,-2,33.0
11:27.0,E. Mobley makes free throw 1 of 1,3-0, ,,1,0,3,-3,33.0
11:08.0, ,3-2,J. Duren makes 2-pt layup from 1 ft (assist by I. Stewart),,1,2,3,-1,52.0
10:53.0,Turnover by E. Mobley (bad pass; steal by I. Stewart),3-2, ,,1,2,3,-1,67.0
10:50.0, ,3-4,J. Ivey makes 2-pt dunk from 3 ft (assist by I. Stewart),Lead change,1,4,3,1,70.0
10:32.0,M. Strus misses 3-pt jump shot from 26 ft,3-4, ,,1,4,3,1,88.0
10:27.0, ,3-4,Defensive rebound by J. Duren,,1,4,3,1,93.0
10:19.0, ,3-6,K. Hayes makes 2-pt jump shot from 10 ft (assist by I. Stewart),,1,6,3,3,101.0
10:05.0,J. Allen makes 2-pt dunk from 2 ft (assist by M. Strus),5-6, ,,1,6,5,1,115.0
9:55.0, ,5-8,J. Duren makes 2-pt dunk from 3 ft (assist by C. Cunningham),,1,8,5,3,125.0
9:41.0,D. Mitchell makes 2-pt jump shot from 3 ft,7-8, ,,1,8,7,1,139.0
9:26.0, ,7-8,C. Cunningham misses 3-pt jump shot from 28 ft,,1,8,7,1,154.0
9:23.0,Defensive rebound by E. Mobley,7-8, ,,1,8,7,1,157.0
9:20.0,D. Garland misses 3-pt jump shot from 23 ft,7-8, ,,1,8,7,1,160.0
9:16.0, ,7-8,Defensive rebound by K. Hayes,,1,8,7,1,164.0
9:13.0, ,7-8,Turnover by J. Ivey (lost ball; steal by M. Strus),,1,8,7,1,167.0
9:04.0,D. Mitchell makes 3-pt jump shot from 24 ft (assist by D. Garland),10-8, ,Lead change,1,8,10,-2,176.0
8:44.0, ,10-10,J. Duren makes 2-pt dunk from 4 ft (assist by C. Cunningham),Tie,1,10,10,0,196.0
8:31.0,D. Mitchell misses 2-pt jump shot from 16 ft,10-10, ,,1,10,10,0,209.0
8:28.0, ,10-10,Defensive rebound by J. Ivey,,1,10,10,0,212.0
8:17.0, ,10-10,Turnover by K. Hayes (bad pass; steal by D. Mitchell),,1,10,10,0,223.0
8:14.0,Shooting foul by J. Ivey (drawn by D. Mitchell),10-10, ,,1,10,10,0,226.0
8:14.0,D. Mitchell makes free throw 1 of 2,11-10, ,,1,10,11,-1,226.0
8:14.0,D. Mitchell makes free throw 2 of 2,12-10, ,,1,10,12,-2,226.0
7:59.0, ,12-10,I. Stewart misses 3-pt jump shot from 24 ft,,1,10,12,-2,241.0
7:55.0,Defensive rebound by J. Allen,12-10, ,,1,10,12,-2,245.0
7:47.0,D. Garland misses 2-pt jump shot from 6 ft,12-10, ,,1,10,12,-2,253.0
7:45.0, ,12-10,Defensive rebound by C. Cunningham,,1,10,12,-2,255.0
7:40.0, ,12-12,J. Duren makes 2-pt dunk from 4 ft (assist by C. Cunningham),Tie,1,12,12,0,260.0
7:21.0,J. Allen misses 2-pt hook shot from 8 ft,12-12, ,,1,12,12,0,279.0
7:17.0, ,12-12,Defensive rebound by K. Hayes,,1,12,12,0,283.0
7:13.0, ,12-15,C. Cunningham makes 3-pt jump shot from 23 ft (assist by K. Hayes),Lead change,1,15,12,3,287.0
6:52.0,M. Strus misses 3-pt jump shot from 27 ft,12-15, ,,1,15,12,3,308.0
6:49.0, ,12-15,Defensive rebound by J. Duren,,1,15,12,3,311.0
6:39.0, ,12-15,Detroit full timeout,,1,15,12,3,321.0
6:39.0,I. Okoro enters the game for D. Garland,12-15, ,,1,15,12,3,321.0
6:32.0, ,12-17,C. Cunningham makes 2-pt jump shot from 14 ft,,1,17,12,5,328.0
6:10.0,D. Mitchell misses 2-pt layup from 2 ft,12-17, ,,1,17,12,5,350.0
6:07.0,Offensive rebound by J. Allen,12-17, ,,1,17,12,5,353.0
6:06.0,J. Allen makes 2-pt layup from 3 ft,14-17, ,,1,17,14,3,354.0
5:48.0, ,14-17,K. Hayes misses 2-pt jump shot from 13 ft,,1,17,14,3,372.0
5:48.0,Defensive rebound by Team,14-17, ,,1,17,14,3,372.0
5:48.0, ,14-17,Loose ball foul by J. Duren (drawn by J. Allen),,1,17,14,3,372.0
5:48.0,G. Niang enters the game for E. Mobley,14-17, ,,1,17,14,3,372.0
5:48.0, ,14-17,B. Bogdanović enters the game for K. Hayes,,1,17,14,3,372.0
5:48.0, ,14-17,M. Sasser enters the game for J. Ivey,,1,17,14,3,372.0
5:28.0,J. Allen makes 2-pt layup from 3 ft (assist by D. Mitchell),16-17, ,,1,17,16,1,392.0
5:16.0, ,16-17,Shooting foul by I. Okoro (drawn by C. Cunningham),,1,17,16,1,404.0
5:16.0, ,16-18,C. Cunningham makes free throw 1 of 2,,1,18,16,2,404.0
5:16.0, ,16-18,A. Thompson enters the game for J. Duren,,1,18,16,2,404.0
5:16.0, ,16-19,C. Cunningham makes free throw 2 of 2,,1,19,16,3,404.0
5:03.0,D. Mitchell misses 3-pt jump shot from 25 ft,16-19, ,,1,19,16,3,417.0
5:00.0, ,16-19,Defensive rebound by I. Stewart,,1,19,16,3,420.0
4:43.0, ,16-19,C. Cunningham misses 3-pt jump shot from 26 ft,,1,19,16,3,437.0
4:39.0,Defensive rebound by J. Allen,16-19, ,,1,19,16,3,441.0
4:26.0,J. Allen makes 2-pt jump shot from 14 ft (assist by G. Niang),18-19, ,,1,19,18,1,454.0
4:17.0, ,18-22,B. Bogdanović makes 3-pt jump shot from 30 ft (assist by C. Cunningham),,1,22,18,4,463.0
3:56.0,G. Niang misses 3-pt jump shot from 25 ft,18-22, ,,1,22,18,4,484.0
3:53.0, ,18-22,Defensive rebound by C. Cunningham,,1,22,18,4,487.0
3:46.0, ,18-24,I. Stewart makes 2-pt layup from 3 ft (assist by C. Cunningham),,1,24,18,6,494.0
3:22.0,J. Allen makes 2-pt hook shot from 5 ft (assist by M. Strus),20-24, ,,1,24,20,4,518.0
3:08.0, ,20-26,I. Stewart makes 2-pt layup from 3 ft (assist by C. Cunningham),,1,26,20,6,532.0
2:51.0,G. Niang misses 3-pt jump shot from 25 ft,20-26, ,,1,26,20,6,549.0
2:48.0, ,20-26,Defensive rebound by C. Cunningham,,1,26,20,6,552.0
2:41.0, ,20-26,M. Sasser misses 3-pt jump shot from 28 ft,,1,26,20,6,559.0
2:37.0,Defensive rebound by M. Strus,20-26, ,,1,26,20,6,563.0
2:30.0,D. Mitchell misses 2-pt jump shot from 9 ft,20-26, ,,1,26,20,6,570.0
2:27.0,Offensive rebound by D. Mitchell,20-26, ,,1,26,20,6,573.0
2:26.0,D. Mitchell misses 2-pt layup from 3 ft,20-26, ,,1,26,20,6,574.0
2:26.0, ,20-26,Defensive rebound by C. Cunningham,,1,26,20,6,574.0
2:18.0, ,20-26,A. Thompson misses 3-pt jump shot from 26 ft,,1,26,20,6,582.0
2:18.0,Defensive rebound by J. Allen,20-26, ,,1,26,20,6,582.0
2:18.0,Cleveland full timeout,20-26, ,,1,26,20,6,582.0
2:18.0,D. Garland enters the game for J. Allen,20-26, ,,1,26,20,6,582.0
2:18.0,E. Mobley enters the game for D. Mitchell,20-26, ,,1,26,20,6,582.0
2:18.0,C. Porter enters the game for M. Strus,20-26, ,,1,26,20,6,582.0
2:18.0, ,20-26,M. Bagley enters the game for C. Cunningham,,1,26,20,6,582.0
2:18.0, ,20-26,I. Livers enters the game for I. Stewart,,1,26,20,6,582.0
2:04.0,Turnover by E. Mobley (lost ball; steal by B. Bogdanović),20-26, ,,1,26,20,6,596.0
1:52.0, ,20-26,Shooting foul by C. Porter (drawn by B. Bogdanović),,1,26,20,6,608.0
1:52.0, ,20-27,B. Bogdanović makes free throw 1 of 2,,1,27,20,7,608.0
1:52.0, ,20-28,B. Bogdanović makes free throw 2 of 2,,1,28,20,8,608.0
1:32.0,G. Niang makes 2-pt jump shot from 6 ft,22-28, ,,1,28,22,6,628.0
1:18.0, ,22-28,Personal foul by I. Okoro (drawn by B. Bogdanović),,1,28,22,6,642.0
1:18.0, ,22-29,B. Bogdanović makes free throw 1 of 2,,1,29,22,7,642.0
1:18.0, ,22-30,B. Bogdanović makes free throw 2 of 2,,1,30,22,8,642.0
1:04.0,G. Niang makes 2-pt hook shot from 7 ft,24-30, ,,1,30,24,6,656.0
0:51.0, ,24-30,Turnover by B. Bogdanović (bad pass; steal by I. Okoro),,1,30,24,6,669.0
0:41.0,E. Mobley misses 2-pt layup from 4 ft,24-30, ,,1,30,24,6,679.0
0:38.0, ,24-30,Defensive rebound by M. Bagley,,1,30,24,6,682.0
0:35.0, ,24-30,B. Bogdanović misses 3-pt jump shot from 27 ft,,1,30,24,6,685.0
0:31.0,Defensive rebound by E. Mobley,24-30, ,,1,30,24,6,689.0
0:20.0,Shooting foul by M. Bagley (drawn by E. Mobley),24-30, ,,1,30,24,6,700.0
0:20.0,J. Allen enters the game for G. Niang,24-30, ,,1,30,24,6,700.0
0:20.0, ,24-30,C. Cunningham enters the game for A. Thompson,,1,30,24,6,700.0
0:20.0,E. Mobley makes free throw 1 of 2,25-30, ,,1,30,25,5,700.0
0:20.0,E. Mobley misses free throw 2 of 2,25-30, ,,1,30,25,5,700.0
0:20.0, ,25-30,Defensive rebound by C. Cunningham,,1,30,25,5,700.0
