Time,Detroit,Score,Orlando,Event,Quarter,TeamScore,OpponentScore,PointDifference,ElapsedTime
12:00.0,Jump ball: M. Bagley vs. G. Bitadze (I. Stewart gains possession),0-0,,,1,0,0,0,0.0
11:43.0,B. Bogdanović misses 2-pt hook shot from 10 ft,0-0, ,,1,0,0,0,17.0
11:40.0, ,0-0,Defensive rebound by G. Bitadze,,1,0,0,0,20.0
11:30.0, ,0-0,Shooting foul by I. Stewart (drawn by P. Banchero),,1,0,0,0,30.0
11:30.0, ,0-1,P. Banchero makes free throw 1 of 2,,1,0,1,-1,30.0
11:30.0, ,0-2,P. Banchero makes free throw 2 of 2,,1,0,2,-2,30.0
11:17.0,M. Bagley makes 2-pt dunk from 1 ft (assist by I. Stewart),2-2, ,Tie,1,2,2,0,43.0
10:51.0, ,2-2,F. Wagner misses 2-pt hook shot from 4 ft,,1,2,2,0,69.0
10:49.0,Defensive rebound by B. Bogdanović,2-2, ,,1,2,2,0,71.0
10:43.0,Turnover by I. Stewart (bad pass; steal by P. Banchero),2-2, ,,1,2,2,0,77.0
10:33.0, ,2-2,P. Banchero misses 2-pt layup from 4 ft,,1,2,2,0,87.0
10:27.0,Defensive rebound by I. Stewart,2-2, ,,1,2,2,0,93.0
10:22.0,M. Bagley makes 2-pt hook shot from 6 ft,4-2, ,Lead change,1,4,2,2,98.0
10:10.0, ,4-4,G. Bitadze makes 2-pt layup from 4 ft (assist by A. Black),Tie,1,4,4,0,110.0
10:04.0,B. Bogdanović misses 2-pt jump shot from 5 ft,4-4, ,,1,4,4,0,116.0
10:03.0, ,4-4,Defensive rebound by G. Bitadze,,1,4,4,0,117.0
9:55.0, ,4-6,G. Bitadze makes 2-pt dunk from 1 ft (assist by P. Banchero),Lead change,1,4,6,-2,125.0
9:39.0,C. Cunningham makes 2-pt layup from 2 ft,6-6, ,Tie,1,6,6,0,141.0
9:12.0, ,6-8,G. Bitadze makes 2-pt dunk from 1 ft (assist by A. Black),,1,6,8,-2,168.0
8:59.0,Personal foul by G. Harris (drawn by C. Cunningham),6-8, ,,1,6,8,-2,181.0
8:52.0,C. Cunningham makes 3-pt jump shot from 26 ft (assist by K. Hayes),9-8, ,Lead change,1,9,8,1,188.0
8:32.0, ,9-8,A. Black misses 2-pt jump shot from 7 ft,,1,9,8,1,208.0
8:27.0, ,9-8,Offensive rebound by G. Bitadze,,1,9,8,1,213.0
8:27.0, ,9-10,G. Bitadze makes 2-pt layup at rim,Lead change,1,9,10,-1,213.0
8:16.0,K. Hayes makes 2-pt jump shot from 12 ft (assist by I. Stewart),11-10, ,Lead change,1,11,10,1,224.0
8:03.0, ,11-10,P. Banchero misses 2-pt jump shot from 13 ft (block by K. Hayes),,1,11,10,1,237.0
7:59.0,Defensive rebound by K. Hayes,11-10, ,,1,11,10,1,241.0
7:53.0,Turnover by M. Bagley (out of bounds lost ball),11-10, ,,1,11,10,1,247.0
7:33.0, ,11-10,F. Wagner misses 2-pt jump shot from 6 ft,,1,11,10,1,267.0
7:30.0,Defensive rebound by C. Cunningham,11-10, ,,1,11,10,1,270.0
7:12.0,B. Bogdanović misses 3-pt jump shot from 28 ft,11-10, ,,1,11,10,1,288.0
7:08.0, ,11-10,Defensive rebound by A. Black,,1,11,10,1,292.0
6:56.0, ,11-10,P. Banchero misses 2-pt jump shot from 9 ft,,1,11,10,1,304.0
6:54.0,Defensive rebound by I. Stewart,11-10, ,,1,11,10,1,306.0
6:50.0,K. Hayes makes 2-pt layup from 3 ft (assist by C. Cunningham),13-10, ,,1,13,10,3,310.0
6:24.0, ,13-12,P. Banchero makes 2-pt jump shot from 8 ft,,1,13,12,1,336.0
6:08.0,M. Bagley makes 2-pt dunk from 1 ft (assist by C. Cunningham),15-12, ,,1,15,12,3,352.0
5:46.0, ,15-12,Turnover by G. Harris (bad pass; steal by C. Cunningham),,1,15,12,3,374.0
5:38.0,I. Stewart makes 3-pt jump shot from 26 ft (assist by K. Hayes),18-12, ,,1,18,12,6,382.0
5:36.0, ,18-12,Orlando full timeout,,1,18,12,6,384.0
5:36.0,J. Ivey enters the game for K. Hayes,18-12, ,,1,18,12,6,384.0
5:36.0, ,18-12,J. Ingles enters the game for F. Wagner,,1,18,12,6,384.0
