Time,Indiana,Score,Detroit,Event,Quarter,TeamScore,OpponentScore,PointDifference,ElapsedTime
12:00.0,Jump ball: M. Turner vs. I. Stewart (T. Haliburton gains possession),0-0,,,1,0,0,0,0.0
11:41.0,B. Brown misses 3-pt jump shot from 24 ft,0-0, ,,1,0,0,0,19.0
11:36.0, ,0-0,Defensive rebound by I. Stewart,,1,0,0,0,24.0
11:26.0, ,0-2,A. Thompson makes 2-pt layup from 3 ft (assist by C. Cunningham),,1,2,0,2,34.0
11:26.0, ,0-2,Shooting foul by O. Toppin (drawn by A. Thompson),,1,2,0,2,34.0
11:26.0, ,0-2,A. Thompson misses free throw 1 of 1,,1,2,0,2,34.0
11:23.0,Defensive rebound by O. Toppin,0-2, ,,1,2,0,2,37.0
11:18.0,Turnover by B. Brown (bad pass),0-2, ,,1,2,0,2,42.0
11:07.0, ,0-4,C. Cunningham makes 2-pt layup from 4 ft,,1,4,0,4,53.0
10:57.0,M. Turner makes 2-pt layup from 7 ft (assist by T. Haliburton),2-4, ,,1,4,2,2,63.0
10:57.0,Shooting foul by C. Cunningham (drawn by M. Turner),2-4, ,,1,4,2,2,63.0
10:57.0,M. Turner misses free throw 1 of 1,2-4, ,,1,4,2,2,63.0
10:54.0, ,2-4,Defensive rebound by I. Stewart,,1,4,2,2,66.0
10:39.0, ,2-6,C. Cunningham makes 2-pt layup from 3 ft,,1,6,2,4,81.0
10:23.0,B. Hield makes 2-pt layup from 7 ft (assist by T. Haliburton),4-6, ,,1,6,4,2,97.0
10:05.0, ,4-6,C. Cunningham misses 3-pt jump shot from 29 ft,,1,6,4,2,115.0
10:05.0,Defensive rebound by T. Haliburton,4-6, ,,1,6,4,2,115.0
9:56.0,B. Hield makes 3-pt jump shot from 25 ft (assist by T. Haliburton),7-6, ,Lead change,1,6,7,-1,124.0
9:44.0, ,7-6,K. Hayes misses 2-pt jump shot from 12 ft (block by T. Haliburton),,1,6,7,-1,136.0
9:41.0,Defensive rebound by B. Brown,7-6, ,,1,6,7,-1,139.0
9:33.0,M. Turner makes 2-pt dunk from 4 ft (assist by T. Haliburton),9-6, ,,1,6,9,-3,147.0
9:08.0, ,9-6,Turnover by C. Cunningham (bad pass; steal by B. Brown),,1,6,9,-3,172.0
8:59.0,M. Turner makes 2-pt dunk from 4 ft (assist by T. Haliburton),11-6, ,,1,6,11,-5,181.0
8:59.0, ,11-6,Detroit full timeout,,1,6,11,-5,181.0
8:40.0, ,11-6,B. Bogdanović misses 2-pt layup from 4 ft (block by M. Turner),,1,6,11,-5,200.0
8:36.0,Defensive rebound by M. Turner,11-6, ,,1,6,11,-5,204.0
8:34.0,B. Hield misses 3-pt jump shot from 24 ft,11-6, ,,1,6,11,-5,206.0
8:28.0,Offensive rebound by M. Turner,11-6, ,,1,6,11,-5,212.0
8:28.0,Turnover by M. Turner (lost ball; steal by K. Hayes),11-6, ,,1,6,11,-5,212.0
8:23.0, ,11-6,C. Cunningham misses 3-pt jump shot from 23 ft,,1,6,11,-5,217.0
8:19.0,Defensive rebound by M. Turner,11-6, ,,1,6,11,-5,221.0
8:15.0,Turnover by T. Haliburton (bad pass; steal by A. Thompson),11-6, ,,1,6,11,-5,225.0
8:10.0, ,11-8,C. Cunningham makes 2-pt layup from 2 ft (assist by K. Hayes),,1,8,11,-3,230.0
7:57.0,M. Turner makes 2-pt jump shot from 20 ft (assist by T. Haliburton),13-8, ,,1,8,13,-5,243.0
7:35.0, ,13-11,A. Thompson makes 3-pt jump shot from 24 ft (assist by K. Hayes),,1,11,13,-2,265.0
7:15.0,O. Toppin makes 2-pt jump shot from 8 ft (assist by T. Haliburton),15-11, ,,1,11,15,-4,285.0
6:57.0, ,15-13,B. Bogdanović makes 2-pt jump shot from 17 ft,,1,13,15,-2,303.0
6:51.0,T. Haliburton makes 3-pt jump shot from 31 ft,18-13, ,,1,13,18,-5,309.0
6:36.0, ,18-15,C. Cunningham makes 2-pt hook shot from 6 ft,,1,15,18,-3,324.0
6:26.0,T. Haliburton misses 3-pt jump shot from 28 ft,18-15, ,,1,15,18,-3,334.0
6:23.0, ,18-15,Defensive rebound by B. Bogdanović,,1,15,18,-3,337.0
6:20.0, ,18-15,B. Bogdanović misses 3-pt jump shot from 25 ft,,1,15,18,-3,340.0
6:20.0,Defensive rebound by Team,18-15, ,,1,15,18,-3,340.0
6:18.0, ,18-15,Loose ball foul by I. Stewart (drawn by T. Haliburton),,1,15,18,-3,342.0
6:18.0,B. Mathurin enters the game for B. Hield,18-15, ,,1,15,18,-3,342.0
6:18.0,A. Nesmith enters the game for O. Toppin,18-15, ,,1,15,18,-3,342.0
6:18.0, ,18-15,J. Ivey enters the game for B. Bogdanović,,1,15,18,-3,342.0
6:18.0, ,18-15,I. Livers enters the game for K. Hayes,,1,15,18,-3,342.0
5:54.0,Turnover by T. Haliburton (bad pass; steal by I. Livers),18-15, ,,1,15,18,-3,366.0
5:48.0, ,18-18,C. Cunningham makes 3-pt jump shot from 25 ft (assist by I. Livers),Tie,1,18,18,0,372.0
5:47.0,Indiana full timeout,18-18, ,,1,18,18,0,373.0
5:34.0,B. Brown makes 2-pt layup from 4 ft,20-18, ,,1,18,20,-2,386.0
5:34.0,I. Jackson enters the game for M. Turner,20-18, ,,1,18,20,-2,386.0
5:12.0, ,20-18,Shooting foul by I. Jackson (drawn by A. Thompson),,1,18,20,-2,408.0
5:12.0, ,20-19,A. Thompson makes free throw 1 of 2,,1,19,20,-1,408.0
5:12.0, ,20-20,A. Thompson makes free throw 2 of 2,Tie,1,20,20,0,408.0
4:55.0,I. Jackson makes 2-pt hook shot from 5 ft (assist by B. Mathurin),22-20, ,,1,20,22,-2,425.0
4:35.0, ,22-20,C. Cunningham misses 3-pt jump shot from 25 ft,,1,20,22,-2,445.0
4:32.0,Defensive rebound by T. Haliburton,22-20, ,,1,20,22,-2,448.0
4:26.0,I. Jackson makes 2-pt layup from 4 ft (assist by B. Mathurin),24-20, ,,1,20,24,-4,454.0
4:13.0, ,24-22,J. Ivey makes 2-pt layup from 2 ft (assist by C. Cunningham),,1,22,24,-2,467.0
3:54.0,B. Mathurin makes 3-pt jump shot from 25 ft (assist by T. Haliburton),27-22, ,,1,22,27,-5,486.0
3:40.0, ,27-24,J. Ivey makes 2-pt layup from 2 ft,,1,24,27,-3,500.0
3:39.0, ,27-24,Violation by Team (delay of game),,1,24,27,-3,501.0
3:27.0,Turnover by T. Haliburton (bad pass; steal by I. Livers),27-24, ,,1,24,27,-3,513.0
3:23.0, ,27-26,C. Cunningham makes 2-pt layup from 3 ft (assist by I. Livers),,1,26,27,-1,517.0
3:23.0,Indiana full timeout,27-26, ,,1,26,27,-1,517.0
3:23.0,B. Hield enters the game for B. Brown,27-26, ,,1,26,27,-1,517.0
3:23.0,T. McConnell enters the game for T. Haliburton,27-26, ,,1,26,27,-1,517.0
3:23.0, ,27-26,B. Bogdanović enters the game for C. Cunningham,,1,26,27,-1,517.0
3:23.0, ,27-26,K. Hayes enters the game for I. Stewart,,1,26,27,-1,517.0
3:23.0, ,27-26,J. Wiseman enters the game for A. Thompson,,1,26,27,-1,517.0
3:08.0,T. McConnell makes 2-pt jump shot from 10 ft,29-26, ,,1,26,29,-3,532.0
