Time,Philadelphia,Score,Detroit,Event,Quarter,TeamScore,OpponentScore,PointDifference,ElapsedTime
12:00.0,Jump ball: J. Embiid vs. I. Stewart (K. Hayes gains possession),0-0,,,1,0,0,0,0.0
11:35.0, ,0-2,B. Bogdanović makes 2-pt jump shot from 8 ft (assist by C. Cunningham),,1,2,0,2,25.0
11:17.0,Shooting foul by I. Stewart (drawn by J. Embiid),0-2, ,,1,2,0,2,43.0
11:17.0,J. Embiid makes free throw 1 of 2,1-2, ,,1,2,1,1,43.0
11:17.0,J. Embiid makes free throw 2 of 2,2-2, ,Tie,1,2,2,0,43.0
10:55.0, ,2-4,K. Hayes makes 2-pt jump shot from 9 ft,,1,4,2,2,65.0
10:33.0,D. Melton misses 2-pt jump shot from 15 ft,2-4, ,,1,4,2,2,87.0
10:31.0,Offensive rebound by D. Melton,2-4, ,,1,4,2,2,89.0
10:27.0,T. Harris misses 3-pt jump shot from 26 ft,2-4, ,,1,4,2,2,93.0
10:24.0,Offensive rebound by J. Embiid,2-4, ,,1,4,2,2,96.0
10:21.0,D. Melton makes 3-pt jump shot from 27 ft (assist by T. Maxey),5-4, ,Lead change,1,4,5,-1,99.0
10:14.0, ,5-4,B. Bogdanović misses 2-pt layup from 8 ft (block by D. Melton),,1,4,5,-1,106.0
10:14.0,Defensive rebound by D. Melton,5-4, ,,1,4,5,-1,106.0
10:08.0,T. Harris makes 2-pt layup from 3 ft,7-4, ,,1,4,7,-3,112.0
9:56.0, ,7-4,C. Cunningham misses 2-pt layup from 5 ft (block by T. Harris),,1,4,7,-3,124.0
9:52.0,Defensive rebound by D. Melton,7-4, ,,1,4,7,-3,128.0
9:45.0,Turnover by T. Maxey (lost ball; steal by K. Hayes),7-4, ,,1,4,7,-3,135.0
9:40.0, ,7-6,A. Thompson makes 2-pt dunk from 4 ft (assist by C. Cunningham),,1,6,7,-1,140.0
9:21.0,T. Harris makes 3-pt jump shot from 24 ft (assist by T. Maxey),10-6, ,,1,6,10,-4,159.0
9:12.0, ,10-6,C. Cunningham misses 3-pt jump shot from 27 ft,,1,6,10,-4,168.0
9:10.0,Defensive rebound by T. Harris,10-6, ,,1,6,10,-4,170.0
8:53.0,J. Embiid makes 2-pt layup from 3 ft,12-6, ,,1,6,12,-6,187.0
8:39.0, ,12-6,I. Stewart misses 3-pt jump shot from 28 ft,,1,6,12,-6,201.0
8:36.0,Defensive rebound by T. Harris,12-6, ,,1,6,12,-6,204.0
8:35.0,Shooting foul by I. Stewart (drawn by J. Embiid),12-6, ,,1,6,12,-6,205.0
8:35.0,J. Embiid makes free throw 1 of 2,13-6, ,,1,6,13,-7,205.0
8:35.0, ,13-6,J. Wiseman enters the game for I. Stewart,,1,6,13,-7,205.0
8:35.0,J. Embiid makes free throw 2 of 2,14-6, ,,1,6,14,-8,205.0
8:11.0, ,14-6,B. Bogdanović misses 2-pt jump shot from 10 ft,,1,6,14,-8,229.0
8:08.0,Defensive rebound by J. Embiid,14-6, ,,1,6,14,-8,232.0
8:00.0,Shooting foul by C. Cunningham (drawn by T. Harris),14-6, ,,1,6,14,-8,240.0
8:00.0,T. Harris makes free throw 1 of 2,15-6, ,,1,6,15,-9,240.0
8:00.0,T. Harris makes free throw 2 of 2,16-6, ,,1,6,16,-10,240.0
7:49.0, ,16-8,J. Wiseman makes 2-pt dunk from 6 ft (assist by C. Cunningham),,1,8,16,-8,251.0
7:32.0,J. Embiid misses 2-pt jump shot from 13 ft,16-8, ,,1,8,16,-8,268.0
7:29.0, ,16-8,Defensive rebound by A. Thompson,,1,8,16,-8,271.0
7:22.0, ,16-10,B. Bogdanović makes 2-pt layup from 3 ft (assist by A. Thompson),,1,10,16,-6,278.0
7:10.0,T. Maxey misses 2-pt jump shot from 10 ft,16-10, ,,1,10,16,-6,290.0
7:07.0, ,16-10,Defensive rebound by C. Cunningham,,1,10,16,-6,293.0
7:03.0, ,16-12,J. Wiseman makes 2-pt dunk from 3 ft (assist by C. Cunningham),,1,12,16,-4,297.0
6:48.0,D. Melton misses 2-pt jump shot from 18 ft,16-12, ,,1,12,16,-4,312.0
6:45.0, ,16-12,Defensive rebound by K. Hayes,,1,12,16,-4,315.0
6:38.0, ,16-14,B. Bogdanović makes 2-pt layup from 3 ft (assist by K. Hayes),,1,14,16,-2,322.0
6:38.0, ,16-14,Shooting foul by D. Melton (drawn by B. Bogdanović),,1,14,16,-2,322.0
6:38.0, ,16-14,Detroit full timeout,,1,14,16,-2,322.0
6:38.0, ,16-15,B. Bogdanović makes free throw 1 of 1,,1,15,16,-1,322.0
6:23.0,J. Embiid makes 2-pt layup from 4 ft (assist by T. Maxey),18-15, ,,1,15,18,-3,337.0
6:23.0,Shooting foul by J. Wiseman (drawn by J. Embiid),18-15, ,,1,15,18,-3,337.0
6:23.0,P. Beverley enters the game for N. Batum,18-15, ,,1,15,18,-3,337.0
6:23.0,K. Oubre enters the game for T. Maxey,18-15, ,,1,15,18,-3,337.0
6:23.0,J. Embiid makes free throw 1 of 1,19-15, ,,1,15,19,-4,337.0
6:10.0, ,19-17,J. Wiseman makes 2-pt layup from 3 ft (assist by B. Bogdanović),,1,17,19,-2,350.0
5:57.0,P. Beverley makes 3-pt jump shot from 26 ft (assist by T. Harris),22-17, ,,1,17,22,-5,363.0
5:42.0, ,22-17,C. Cunningham misses 3-pt jump shot from 27 ft,,1,17,22,-5,378.0
5:39.0, ,22-17,Offensive rebound by A. Thompson,,1,17,22,-5,381.0
5:32.0, ,22-19,K. Hayes makes 2-pt jump shot from 13 ft,,1,19,22,-3,388.0
5:15.0,P. Beverley misses 3-pt jump shot from 26 ft,22-19, ,,1,19,22,-3,405.0
5:12.0, ,22-19,Defensive rebound by J. Wiseman,,1,19,22,-3,408.0
5:12.0, ,22-19,Personal foul by D. Melton (drawn by B. Bogdanović),,1,19,22,-3,408.0
5:12.0, ,22-19,J. Ivey enters the game for B. Bogdanović,,1,19,22,-3,408.0
5:12.0, ,22-19,I. Livers enters the game for K. Hayes,,1,19,22,-3,408.0
5:04.0, ,22-19,J. Ivey misses 2-pt layup from 4 ft,,1,19,22,-3,416.0
5:01.0,Defensive rebound by P. Beverley,22-19, ,,1,19,22,-3,419.0
4:53.0,K. Oubre makes 3-pt jump shot from 26 ft (assist by J. Embiid),25-19, ,,1,19,25,-6,427.0
4:43.0, ,25-19,C. Cunningham misses 2-pt jump shot from 12 ft,,1,19,25,-6,437.0
4:40.0,Defensive rebound by T. Harris,25-19, ,,1,19,25,-6,440.0
4:34.0,J. Embiid misses 2-pt jump shot from 12 ft,25-19, ,,1,19,25,-6,446.0
4:33.0, ,25-19,Defensive rebound by I. Livers,,1,19,25,-6,447.0
4:27.0, ,25-19,J. Wiseman misses 2-pt layup from 4 ft,,1,19,25,-6,453.0
4:25.0,Defensive rebound by J. Embiid,25-19, ,,1,19,25,-6,455.0
4:19.0,J. Embiid misses 2-pt layup from 2 ft,25-19, ,,1,19,25,-6,461.0
4:18.0,Offensive rebound by J. Embiid,25-19, ,,1,19,25,-6,462.0
4:17.0,J. Embiid makes 2-pt layup at rim,27-19, ,,1,19,27,-8,463.0
4:00.0, ,27-19,J. Wiseman misses 2-pt jump shot from 17 ft,,1,19,27,-8,480.0
3:57.0,Defensive rebound by K. Oubre,27-19, ,,1,19,27,-8,483.0
3:55.0,Personal foul by J. Wiseman (drawn by J. Embiid),27-19, ,,1,19,27,-8,485.0
3:55.0,J. Embiid makes free throw 1 of 2,28-19, ,,1,19,28,-9,485.0
3:55.0,T. Maxey enters the game for T. Harris,28-19, ,,1,19,28,-9,485.0
3:55.0,M. Morris enters the game for D. Melton,28-19, ,,1,19,28,-9,485.0
3:55.0, ,28-19,A. Burks enters the game for A. Thompson,,1,19,28,-9,485.0
3:55.0,J. Embiid makes free throw 2 of 2,29-19, ,,1,19,29,-10,485.0
3:39.0, ,29-19,C. Cunningham misses 3-pt jump shot from 27 ft,,1,19,29,-10,501.0
3:35.0,Defensive rebound by J. Embiid,29-19, ,,1,19,29,-10,505.0
3:24.0,Personal foul by C. Cunningham (drawn by J. Embiid),29-19, ,,1,19,29,-10,516.0
