Time,Detroit,Score,Milwaukee,Event,Quarter,TeamScore,OpponentScore,PointDifference,ElapsedTime
12:00.0,Jump ball: M. Bagley vs. B. Lopez (D. Lillard gains possession),0-0,,,1,0,0,0,0.0
11:39.0, ,0-0,M. Beauchamp misses 3-pt jump shot from 23 ft,,1,0,0,0,21.0
11:35.0,Defensive rebound by K. Hayes,0-0, ,,1,0,0,0,25.0
11:24.0,M. Bagley misses 2-pt layup from 4 ft (block by B. Lopez),0-0, ,,1,0,0,0,36.0
11:18.0, ,0-0,Defensive rebound by D. Lillard,,1,0,0,0,42.0
11:18.0, ,0-0,Shooting foul by C. Cunningham (drawn by M. Beauchamp),,1,0,0,0,42.0
11:18.0, ,0-1,M. Beauchamp makes free throw 1 of 2,,1,0,1,-1,42.0
11:18.0, ,0-2,M. Beauchamp makes free throw 2 of 2,,1,0,2,-2,42.0
11:08.0,B. Bogdanović misses 3-pt jump shot from 26 ft,0-2, ,,1,0,2,-2,52.0
11:05.0, ,0-2,Defensive rebound by A. Jackson,,1,0,2,-2,55.0
10:54.0, ,0-2,D. Lillard misses 2-pt jump shot from 10 ft,,1,0,2,-2,66.0
10:51.0,Defensive rebound by M. Bagley,0-2, ,,1,0,2,-2,69.0
10:40.0,M. Bagley misses 2-pt jump shot from 16 ft,0-2, ,,1,0,2,-2,80.0
10:37.0, ,0-2,Defensive rebound by G. Antetokounmpo,,1,0,2,-2,83.0
10:32.0, ,0-2,D. Lillard misses 3-pt jump shot from 27 ft (block by M. Bagley),,1,0,2,-2,88.0
10:28.0,Defensive rebound by K. Hayes,0-2, ,,1,0,2,-2,92.0
10:23.0,C. Cunningham misses 3-pt jump shot from 28 ft,0-2, ,,1,0,2,-2,97.0
10:20.0, ,0-2,Defensive rebound by A. Jackson,,1,0,2,-2,100.0
10:11.0, ,0-2,Personal foul by B. Bogdanović (drawn by B. Lopez),,1,0,2,-2,109.0
10:01.0, ,0-5,M. Beauchamp makes 3-pt jump shot from 23 ft (assist by G. Antetokounmpo),,1,0,5,-5,119.0
9:48.0,K. Hayes misses 2-pt jump shot from 16 ft,0-5, ,,1,0,5,-5,132.0
9:44.0, ,0-5,Defensive rebound by M. Beauchamp,,1,0,5,-5,136.0
9:42.0, ,0-5,A. Jackson misses 2-pt layup from 3 ft,,1,0,5,-5,138.0
9:38.0, ,0-5,Offensive rebound by M. Beauchamp,,1,0,5,-5,142.0
9:38.0, ,0-7,M. Beauchamp makes 2-pt layup at rim,,1,0,7,-7,142.0
9:27.0,C. Cunningham makes 2-pt layup from 4 ft (assist by K. Hayes),2-7, ,,1,2,7,-5,153.0
9:13.0, ,2-7,D. Lillard misses 3-pt jump shot from 27 ft,,1,2,7,-5,167.0
9:11.0,Defensive rebound by M. Bagley,2-7, ,,1,2,7,-5,169.0
9:04.0,B. Bogdanović makes 2-pt layup from 4 ft (assist by K. Hayes),4-7, ,,1,4,7,-3,176.0
8:42.0, ,4-7,G. Antetokounmpo misses 2-pt hook shot from 5 ft,,1,4,7,-3,198.0
8:38.0,Defensive rebound by C. Cunningham,4-7, ,,1,4,7,-3,202.0
8:35.0,Turnover by C. Cunningham (lost ball; steal by G. Antetokounmpo),4-7, ,,1,4,7,-3,205.0
8:30.0, ,4-9,A. Jackson makes 2-pt layup from 1 ft (assist by D. Lillard),,1,4,9,-5,210.0
8:12.0,B. Bogdanović misses 2-pt jump shot from 12 ft,4-9, ,,1,4,9,-5,228.0
8:09.0, ,4-9,Defensive rebound by M. Beauchamp,,1,4,9,-5,231.0
8:01.0, ,4-12,B. Lopez makes 3-pt jump shot from 26 ft (assist by M. Beauchamp),,1,4,12,-8,239.0
7:43.0,C. Cunningham makes 2-pt hook shot from 7 ft,6-12, ,,1,6,12,-6,257.0
7:30.0, ,6-15,A. Jackson makes 3-pt jump shot from 23 ft (assist by B. Lopez),,1,6,15,-9,270.0
7:22.0,B. Bogdanović misses 2-pt jump shot from 7 ft,6-15, ,,1,6,15,-9,278.0
7:19.0, ,6-15,Defensive rebound by G. Antetokounmpo,,1,6,15,-9,281.0
7:17.0, ,6-15,Shooting foul by A. Thompson (drawn by G. Antetokounmpo),,1,6,15,-9,283.0
7:17.0, ,6-16,G. Antetokounmpo makes free throw 1 of 2,,1,6,16,-10,283.0
7:17.0, ,6-17,G. Antetokounmpo makes free throw 2 of 2,,1,6,17,-11,283.0
7:01.0,M. Bagley makes 2-pt layup from 2 ft (assist by K. Hayes),8-17, ,,1,8,17,-9,299.0
6:55.0, ,8-19,G. Antetokounmpo makes 2-pt layup from 2 ft,,1,8,19,-11,305.0
6:55.0, ,8-19,Shooting foul by M. Bagley (drawn by G. Antetokounmpo),,1,8,19,-11,305.0
6:55.0, ,8-19,Milwaukee full timeout,,1,8,19,-11,305.0
6:55.0,J. Ivey enters the game for M. Bagley,8-19, ,,1,8,19,-11,305.0
6:55.0,I. Livers enters the game for K. Hayes,8-19, ,,1,8,19,-11,305.0
6:55.0,J. Wiseman enters the game for A. Thompson,8-19, ,,1,8,19,-11,305.0
6:55.0, ,8-20,G. Antetokounmpo makes free throw 1 of 1,,1,8,20,-12,305.0
6:40.0,J. Ivey makes 2-pt jump shot from 14 ft (assist by J. Wiseman),10-20, ,,1,10,20,-10,320.0
6:23.0, ,10-22,G. Antetokounmpo makes 2-pt layup from 1 ft,,1,10,22,-12,337.0
6:04.0,I. Livers misses 3-pt jump shot from 24 ft,10-22, ,,1,10,22,-12,356.0
6:01.0, ,10-22,Defensive rebound by A. Jackson,,1,10,22,-12,359.0
5:55.0, ,10-24,D. Lillard makes 2-pt jump shot from 18 ft,,1,10,24,-14,365.0
5:39.0,C. Cunningham makes 2-pt jump shot from 12 ft (assist by J. Wiseman),12-24, ,,1,12,24,-12,381.0
5:17.0, ,12-24,Personal foul by J. Wiseman (drawn by G. Antetokounmpo),,1,12,24,-12,403.0
5:17.0, ,12-24,G. Antetokounmpo misses free throw 1 of 2,,1,12,24,-12,403.0
5:17.0, ,12-24,Offensive rebound by Team,,1,12,24,-12,403.0
5:17.0, ,12-24,B. Portis enters the game for B. Lopez,,1,12,24,-12,403.0
5:17.0, ,12-25,G. Antetokounmpo makes free throw 2 of 2,,1,12,25,-13,403.0
4:59.0,I. Livers makes 2-pt layup from 1 ft (assist by B. Bogdanović),14-25, ,,1,14,25,-11,421.0
4:38.0, ,14-27,M. Beauchamp makes 2-pt dunk from 1 ft,,1,14,27,-13,442.0
4:26.0,Shooting foul by G. Antetokounmpo (drawn by C. Cunningham),14-27, ,,1,14,27,-13,454.0
4:26.0,C. Cunningham makes free throw 1 of 2,15-27, ,,1,15,27,-12,454.0
4:26.0,A. Burks enters the game for B. Bogdanović,15-27, ,,1,15,27,-12,454.0
4:26.0, ,15-27,P. Connaughton enters the game for G. Antetokounmpo,,1,15,27,-12,454.0
4:26.0, ,15-27,B. Lopez enters the game for A. Jackson,,1,15,27,-12,454.0
4:26.0,C. Cunningham misses free throw 2 of 2,15-27, ,,1,15,27,-12,454.0
4:22.0, ,15-27,Defensive rebound by B. Portis,,1,15,27,-12,458.0
4:11.0, ,15-27,D. Lillard misses 3-pt jump shot from 28 ft,,1,15,27,-12,469.0
4:08.0,Defensive rebound by J. Ivey,15-27, ,,1,15,27,-12,472.0
4:04.0,J. Ivey misses 2-pt layup from 2 ft (block by B. Lopez),15-27, ,,1,15,27,-12,476.0
4:04.0, ,15-27,Defensive rebound by B. Portis,,1,15,27,-12,476.0
3:52.0, ,15-27,Turnover by M. Beauchamp (lost ball; steal by C. Cunningham),,1,15,27,-12,488.0
3:46.0,J. Ivey misses 3-pt jump shot from 24 ft,15-27, ,,1,15,27,-12,494.0
3:43.0, ,15-27,Defensive rebound by D. Lillard,,1,15,27,-12,497.0
3:36.0, ,15-29,D. Lillard makes 2-pt layup from 3 ft,,1,15,29,-14,504.0
3:18.0,C. Cunningham makes 2-pt jump shot from 17 ft (assist by J. Wiseman),17-29, ,,1,17,29,-12,522.0
3:07.0, ,17-32,D. Lillard makes 3-pt jump shot from 29 ft,,1,17,32,-15,533.0
3:07.0,Detroit full timeout,17-32, ,,1,17,32,-15,533.0
3:07.0,M. Sasser enters the game for C. Cunningham,17-32, ,,1,17,32,-15,533.0
3:07.0, ,17-32,A. Green enters the game for M. Beauchamp,,1,17,32,-15,533.0
2:55.0,J. Ivey misses 2-pt jump shot from 13 ft (block by D. Lillard),17-32, ,,1,17,32,-15,545.0
2:52.0, ,17-32,Defensive rebound by P. Connaughton,,1,17,32,-15,548.0
2:49.0, ,17-32,Shooting foul by J. Wiseman (drawn by D. Lillard),,1,17,32,-15,551.0
2:49.0, ,17-33,D. Lillard makes free throw 1 of 2,,1,17,33,-16,551.0
2:49.0, ,17-34,D. Lillard makes free throw 2 of 2,,1,17,34,-17,551.0
2:39.0,J. Wiseman makes 2-pt layup from 1 ft (assist by M. Sasser),19-34, ,,1,19,34,-15,561.0
2:20.0, ,19-34,B. Lopez misses 3-pt jump shot from 26 ft,,1,19,34,-15,580.0
2:18.0, ,19-34,Offensive rebound by A. Green,,1,19,34,-15,582.0
2:15.0, ,19-37,D. Lillard makes 3-pt jump shot from 25 ft (assist by A. Green),,1,19,37,-18,585.0
2:08.0,Personal foul by A. Green (drawn by M. Sasser),19-37, ,,1,19,37,-18,592.0
2:08.0,M. Bagley enters the game for J. Wiseman,19-37, ,,1,19,37,-18,592.0
1:56.0,A. Burks misses 3-pt jump shot from 27 ft,19-37, ,,1,19,37,-18,604.0
1:53.0, ,19-37,Defensive rebound by B. Portis,,1,19,37,-18,607.0
1:51.0, ,19-37,Turnover by B. Portis (lost ball; steal by I. Livers),,1,19,37,-18,609.0
1:41.0,A. Burks misses 3-pt jump shot from 24 ft,19-37, ,,1,19,37,-18,619.0
1:35.0, ,19-37,Defensive rebound by D. Lillard,,1,19,37,-18,625.0
1:30.0, ,19-40,D. Lillard makes 3-pt jump shot from 28 ft (assist by B. Portis),,1,19,40,-21,630.0
1:14.0,J. Ivey misses 2-pt layup from 3 ft (block by B. Lopez),19-40, ,,1,19,40,-21,646.0
1:10.0, ,19-40,Defensive rebound by B. Portis,,1,19,40,-21,650.0
1:06.0, ,19-40,D. Lillard misses 3-pt jump shot from 26 ft,,1,19,40,-21,654.0
1:01.0,Defensive rebound by A. Burks,19-40, ,,1,19,40,-21,659.0
0:49.0,M. Bagley misses 2-pt hook shot from 4 ft,19-40, ,,1,19,40,-21,671.0
0:46.0, ,19-40,Defensive rebound by B. Portis,,1,19,40,-21,674.0
0:29.0, ,19-43,A. Green makes 3-pt jump shot from 23 ft (assist by D. Lillard),,1,19,43,-24,691.0
0:11.0,Shooting foul by P. Connaughton (drawn by A. Burks),19-43, ,,1,19,43,-24,709.0
0:11.0,A. Burks misses free throw 1 of 2,19-43, ,,1,19,43,-24,709.0
0:11.0,Offensive rebound by Team,19-43, ,,1,19,43,-24,709.0
0:11.0,A. Thompson enters the game for M. Sasser,19-43, ,,1,19,43,-24,709.0
0:11.0,A. Burks makes free throw 2 of 2,20-43, ,,1,20,43,-23,709.0
0:02.0, ,20-43,A. Green misses 3-pt jump shot from 23 ft,,1,20,43,-23,718.0
0:01.0,Defensive rebound by A. Thompson,20-43, ,,1,20,43,-23,719.0
0:01.0,A. Thompson misses 3-pt jump shot from 85 ft,20-43, ,,1,20,43,-23,719.0
0:01.0,Offensive rebound by Team,20-43, ,,1,20,43,-23,719.0
0:00.0,End of 1st quarter,20-43,,,1,20,43,-23,720.0
12:00.0,Start of 2nd quarter,20-43,,,2,20,43,-23,720.0
11:48.0,Shooting foul by A. Green (drawn by M. Sasser),20-43, ,,2,20,43,-23,732.0
11:48.0,M. Sasser makes free throw 1 of 2,21-43, ,,2,21,43,-22,732.0
11:48.0,M. Sasser makes free throw 2 of 2,22-43, ,,2,22,43,-21,732.0
11:30.0, ,22-45,B. Portis makes 2-pt layup from 1 ft (assist by G. Antetokounmpo),,2,22,45,-23,750.0
11:19.0,J. Ivey makes 2-pt layup from 2 ft,24-45, ,,2,24,45,-21,761.0
11:05.0, ,24-47,P. Connaughton makes 2-pt jump shot from 2 ft (assist by G. Antetokounmpo),,2,24,47,-23,775.0
11:05.0, ,24-47,Shooting foul by M. Sasser (drawn by P. Connaughton),,2,24,47,-23,775.0
11:05.0, ,24-48,P. Connaughton makes free throw 1 of 1,,2,24,48,-24,775.0
10:56.0,Turnover by M. Sasser (traveling),24-48, ,,2,24,48,-24,784.0
10:56.0,B. Bogdanović enters the game for I. Livers,24-48, ,,2,24,48,-24,784.0
10:45.0, ,24-48,B. Portis misses 3-pt jump shot from 23 ft,,2,24,48,-24,795.0
10:40.0,Defensive rebound by A. Thompson,24-48, ,,2,24,48,-24,800.0
10:38.0,Turnover by B. Bogdanović (bad pass; steal by C. Payne),24-48, ,,2,24,48,-24,802.0
10:30.0, ,24-48,A. Green misses 3-pt jump shot from 25 ft,,2,24,48,-24,810.0
10:29.0, ,24-48,Offensive rebound by B. Portis,,2,24,48,-24,811.0
10:29.0, ,24-50,B. Portis makes 2-pt layup from 1 ft,,2,24,50,-26,811.0
10:29.0, ,24-50,Shooting foul by A. Thompson (drawn by B. Portis),,2,24,50,-26,811.0
10:29.0, ,24-51,B. Portis makes free throw 1 of 1,,2,24,51,-27,811.0
