Time,Utah,Score,Detroit,Event,Quarter,TeamScore,OpponentScore,PointDifference,ElapsedTime
12:00.0,Jump ball: J. Collins vs. M. Bagley (I. Stewart gains possession),0-0,,,1,0,0,0,0.0
11:40.0, ,0-2,J. Ivey makes 2-pt layup from 2 ft,,1,2,0,2,20.0
11:25.0,S. Fontecchio misses 2-pt hook shot from 7 ft (block by I. Stewart),0-2, ,,1,2,0,2,35.0
11:25.0,Offensive rebound by Team,0-2, ,,1,2,0,2,35.0
11:23.0,K. Olynyk misses 3-pt jump shot from 27 ft,0-2, ,,1,2,0,2,37.0
11:19.0, ,0-2,Defensive rebound by I. Stewart,,1,2,0,2,41.0
11:15.0, ,0-2,Turnover by C. Cunningham (bad pass; steal by C. Sexton),,1,2,0,2,45.0
11:14.0,Turnover by C. Sexton (bad pass; steal by J. Ivey),0-2, ,,1,2,0,2,46.0
11:11.0, ,0-4,J. Ivey makes 2-pt layup from 1 ft,,1,4,0,4,49.0
10:50.0,K. Olynyk makes 2-pt hook shot from 4 ft (assist by K. Dunn),2-4, ,,1,4,2,2,70.0
10:21.0,Jump ball: K. Olynyk vs. M. Bagley (K. Dunn gains possession),2-4,,,1,4,2,2,99.0
10:21.0, ,2-4,Turnover by J. Ivey (bad pass; steal by K. Olynyk),,1,4,2,2,99.0
10:16.0,K. Dunn makes 2-pt layup from 2 ft,4-4, ,Tie,1,4,4,0,104.0
10:01.0, ,4-6,M. Bagley makes 2-pt dunk at rim (assist by C. Cunningham),,1,6,4,2,119.0
9:47.0,S. Fontecchio makes 2-pt dunk from 3 ft (assist by K. Olynyk),6-6, ,Tie,1,6,6,0,133.0
9:36.0, ,6-6,B. Bogdanović misses 2-pt jump shot from 11 ft,,1,6,6,0,144.0
9:31.0, ,6-6,Offensive rebound by M. Bagley,,1,6,6,0,149.0
9:31.0, ,6-8,M. Bagley makes 2-pt layup at rim,,1,8,6,2,149.0
9:25.0,C. Sexton makes 2-pt dunk from 1 ft (assist by K. Olynyk),8-8, ,Tie,1,8,8,0,155.0
9:25.0, ,8-8,Detroit full timeout,,1,8,8,0,155.0
9:09.0, ,8-10,M. Bagley makes 2-pt dunk from 2 ft (assist by J. Ivey),,1,10,8,2,171.0
8:40.0,J. Collins misses 2-pt jump shot from 8 ft,8-10, ,,1,10,8,2,200.0
8:40.0, ,8-10,Defensive rebound by I. Stewart,,1,10,8,2,200.0
8:25.0, ,8-10,Turnover by B. Bogdanović (bad pass; steal by J. Collins),,1,10,8,2,215.0
8:16.0,C. Sexton makes 3-pt jump shot from 27 ft (assist by K. Dunn),11-10, ,Lead change,1,10,11,-1,224.0
8:05.0, ,11-12,M. Bagley makes 2-pt dunk from 2 ft (assist by C. Cunningham),Lead change,1,12,11,1,235.0
7:50.0,K. Olynyk makes 3-pt jump shot from 27 ft (assist by K. Dunn),14-12, ,Lead change,1,12,14,-2,250.0
7:35.0, ,14-14,J. Ivey makes 2-pt jump shot from 5 ft,Tie,1,14,14,0,265.0
7:25.0,K. Olynyk makes 2-pt jump shot from 5 ft (assist by C. Sexton),16-14, ,,1,14,16,-2,275.0
7:25.0,Shooting foul by J. Ivey (drawn by K. Olynyk),16-14, ,,1,14,16,-2,275.0
7:25.0,K. Olynyk makes free throw 1 of 1,17-14, ,,1,14,17,-3,275.0
7:12.0, ,17-17,I. Stewart makes 3-pt jump shot from 24 ft (assist by C. Cunningham),Tie,1,17,17,0,288.0
7:01.0,K. Dunn misses 3-pt jump shot from 25 ft,17-17, ,,1,17,17,0,299.0
6:58.0, ,17-17,Defensive rebound by I. Stewart,,1,17,17,0,302.0
6:53.0, ,17-20,B. Bogdanović makes 3-pt jump shot from 22 ft (assist by C. Cunningham),Lead change,1,20,17,3,307.0
6:36.0,S. Fontecchio makes 2-pt dunk from 2 ft (assist by K. Olynyk),19-20, ,,1,20,19,1,324.0
6:22.0, ,19-22,M. Bagley makes 2-pt dunk from 2 ft (assist by I. Stewart),,1,22,19,3,338.0
6:07.0,C. Sexton misses 2-pt hook shot from 3 ft (block by J. Ivey),19-22, ,,1,22,19,3,353.0
6:04.0, ,19-22,Defensive rebound by J. Ivey,,1,22,19,3,356.0
6:03.0, ,19-22,B. Bogdanović misses 3-pt jump shot from 24 ft,,1,22,19,3,357.0
5:59.0,Defensive rebound by K. Dunn,19-22, ,,1,22,19,3,361.0
5:54.0,C. Sexton misses 2-pt layup from 5 ft,19-22, ,,1,22,19,3,366.0
5:52.0, ,19-22,Defensive rebound by M. Bagley,,1,22,19,3,368.0
5:50.0, ,19-24,B. Bogdanović makes 2-pt dunk from 1 ft (assist by I. Stewart),,1,24,19,5,370.0
5:50.0,O. Agbaji enters the game for J. Collins,19-24, ,,1,24,19,5,370.0
5:50.0,W. Kessler enters the game for K. Dunn,19-24, ,,1,24,19,5,370.0
5:50.0, ,19-24,A. Thompson enters the game for M. Bagley,,1,24,19,5,370.0
