Time,Toronto,Score,Detroit,Event,Quarter,TeamScore,OpponentScore,PointDifference,ElapsedTime
12:00.0,Jump ball: J. Poeltl vs. J. Duren (D. Schröder gains possession),0-0,,,1,0,0,0,0.0
11:43.0,P. Siakam misses 2-pt hook shot from 6 ft,0-0, ,,1,0,0,0,17.0
11:39.0, ,0-0,Defensive rebound by K. Knox,,1,0,0,0,21.0
11:31.0, ,0-2,B. Bogdanović makes 2-pt layup from 6 ft,,1,2,0,2,29.0
11:15.0,S. Barnes misses 3-pt jump shot from 25 ft,0-2, ,,1,2,0,2,45.0
11:11.0, ,0-2,Defensive rebound by J. Duren,,1,2,0,2,49.0
11:04.0, ,0-2,J. Duren misses 2-pt layup from 3 ft,,1,2,0,2,56.0
11:01.0,Defensive rebound by P. Siakam,0-2, ,,1,2,0,2,59.0
10:43.0,J. Poeltl makes 2-pt jump shot from 13 ft (assist by D. Schröder),2-2, ,Tie,1,2,2,0,77.0
10:31.0, ,2-2,J. Duren misses 2-pt layup from 3 ft,,1,2,2,0,89.0
10:29.0, ,2-2,Offensive rebound by J. Ivey,,1,2,2,0,91.0
10:29.0, ,2-2,J. Ivey misses 2-pt layup from 3 ft,,1,2,2,0,91.0
10:28.0,Defensive rebound by Team,2-2, ,,1,2,2,0,92.0
10:12.0,P. Siakam makes 3-pt jump shot from 24 ft (assist by J. Poeltl),5-2, ,Lead change,1,2,5,-3,108.0
9:45.0, ,5-4,K. Knox makes 2-pt jump shot from 13 ft,,1,4,5,-1,135.0
9:32.0,G. Trent misses 3-pt jump shot from 25 ft,5-4, ,,1,4,5,-1,148.0
9:29.0, ,5-4,Defensive rebound by J. Duren,,1,4,5,-1,151.0
9:22.0, ,5-4,J. Ivey misses 2-pt layup from 8 ft (block by G. Trent),,1,4,5,-1,158.0
9:22.0, ,5-4,Offensive rebound by Team,,1,4,5,-1,158.0
9:17.0, ,5-4,J. Duren misses 2-pt dunk from 2 ft,,1,4,5,-1,163.0
9:12.0,Defensive rebound by P. Siakam,5-4, ,,1,4,5,-1,168.0
9:03.0,P. Siakam misses 2-pt jump shot from 7 ft,5-4, ,,1,4,5,-1,177.0
8:59.0, ,5-4,Defensive rebound by K. Knox,,1,4,5,-1,181.0
8:55.0, ,5-4,B. Bogdanović misses 2-pt layup from 5 ft (block by J. Poeltl),,1,4,5,-1,185.0
8:48.0,Defensive rebound by S. Barnes,5-4, ,,1,4,5,-1,192.0
8:48.0,S. Barnes misses 2-pt layup from 4 ft (block by K. Knox),5-4, ,,1,4,5,-1,192.0
8:43.0, ,5-4,Defensive rebound by B. Bogdanović,,1,4,5,-1,197.0
8:41.0, ,5-6,C. Cunningham makes 2-pt layup from 3 ft,Lead change,1,6,5,1,199.0
8:32.0,Personal foul by J. Ivey (drawn by D. Schröder),5-6, ,,1,6,5,1,208.0
8:26.0,D. Schröder makes 2-pt jump shot from 17 ft,7-6, ,Lead change,1,6,7,-1,214.0
8:11.0, ,7-6,Turnover by B. Bogdanović (lost ball; steal by J. Poeltl),,1,6,7,-1,229.0
8:04.0,P. Siakam misses 2-pt layup from 5 ft,7-6, ,,1,6,7,-1,236.0
8:01.0, ,7-6,Defensive rebound by J. Duren,,1,6,7,-1,239.0
7:56.0, ,7-6,K. Knox misses 2-pt layup from 4 ft,,1,6,7,-1,244.0
7:54.0,Defensive rebound by J. Poeltl,7-6, ,,1,6,7,-1,246.0
7:52.0,P. Siakam makes 2-pt dunk from 3 ft (assist by D. Schröder),9-6, ,,1,6,9,-3,248.0
7:30.0, ,9-6,C. Cunningham misses 2-pt jump shot from 7 ft,,1,6,9,-3,270.0
7:30.0, ,9-6,Offensive rebound by Team,,1,6,9,-3,270.0
7:30.0,Loose ball foul by S. Barnes (drawn by J. Duren),9-6, ,,1,6,9,-3,270.0
7:22.0, ,9-8,J. Duren makes 2-pt dunk from 4 ft (assist by C. Cunningham),,1,8,9,-1,278.0
7:06.0,D. Schröder makes 2-pt jump shot from 15 ft,11-8, ,,1,8,11,-3,294.0
6:51.0, ,11-8,C. Cunningham misses 2-pt layup from 1 ft,,1,8,11,-3,309.0
6:49.0, ,11-8,Offensive rebound by J. Duren,,1,8,11,-3,311.0
6:46.0, ,11-10,J. Duren makes 2-pt dunk from 2 ft,,1,10,11,-1,314.0
6:36.0,G. Trent makes 3-pt jump shot from 24 ft (assist by S. Barnes),14-10, ,,1,10,14,-4,324.0
6:16.0, ,14-10,Shooting foul by G. Trent (drawn by J. Ivey),,1,10,14,-4,344.0
6:16.0, ,14-10,Detroit full timeout,,1,10,14,-4,344.0
6:16.0,J. McDaniels enters the game for S. Barnes,14-10, ,,1,10,14,-4,344.0
6:16.0, ,14-11,J. Ivey makes free throw 1 of 2,,1,11,14,-3,344.0
6:16.0, ,14-12,J. Ivey makes free throw 2 of 2,,1,12,14,-2,344.0
6:02.0,G. Trent misses 3-pt jump shot from 26 ft,14-12, ,,1,12,14,-2,358.0
5:59.0, ,14-12,Defensive rebound by J. Duren,,1,12,14,-2,361.0
5:49.0, ,14-12,C. Cunningham misses 2-pt jump shot from 19 ft,,1,12,14,-2,371.0
5:47.0,Defensive rebound by J. Poeltl,14-12, ,,1,12,14,-2,373.0
5:27.0,J. Poeltl makes 2-pt layup from 7 ft (assist by G. Trent),16-12, ,,1,12,16,-4,393.0
5:08.0, ,16-12,C. Cunningham misses 3-pt jump shot from 30 ft,,1,12,16,-4,412.0
5:05.0,Defensive rebound by J. Poeltl,16-12, ,,1,12,16,-4,415.0
4:57.0,Personal foul by J. Duren (drawn by D. Schröder),16-12, ,,1,12,16,-4,423.0
4:57.0, ,16-12,A. Burks enters the game for B. Bogdanović,,1,12,16,-4,423.0
4:57.0, ,16-12,I. Livers enters the game for J. Ivey,,1,12,16,-4,423.0
4:57.0, ,16-12,A. Thompson enters the game for K. Knox,,1,12,16,-4,423.0
4:48.0,D. Schröder misses 2-pt jump shot from 18 ft,16-12, ,,1,12,16,-4,432.0
4:44.0, ,16-12,Defensive rebound by I. Livers,,1,12,16,-4,436.0
4:36.0, ,16-12,C. Cunningham misses 2-pt jump shot from 8 ft,,1,12,16,-4,444.0
4:33.0, ,16-12,Offensive rebound by J. Duren,,1,12,16,-4,447.0
4:30.0, ,16-15,A. Burks makes 3-pt jump shot from 25 ft (assist by I. Livers),,1,15,16,-1,450.0
4:14.0,J. Poeltl misses 2-pt jump shot from 12 ft,16-15, ,,1,15,16,-1,466.0
4:11.0, ,16-15,Defensive rebound by J. Duren,,1,15,16,-1,469.0
3:56.0, ,16-15,J. Duren misses 2-pt hook shot from 3 ft,,1,15,16,-1,484.0
3:56.0,Defensive rebound by Team,16-15, ,,1,15,16,-1,484.0
3:56.0, ,16-15,Loose ball foul by J. Duren (drawn by J. Poeltl),,1,15,16,-1,484.0
3:56.0,O. Porter enters the game for P. Siakam,16-15, ,,1,15,16,-1,484.0
3:56.0, ,16-15,K. Hayes enters the game for C. Cunningham,,1,15,16,-1,484.0
3:56.0, ,16-15,J. Wiseman enters the game for J. Duren,,1,15,16,-1,484.0
3:45.0,D. Schröder makes 2-pt layup from 3 ft (assist by J. Poeltl),18-15, ,,1,15,18,-3,495.0
3:29.0, ,18-15,I. Livers misses 3-pt jump shot from 25 ft,,1,15,18,-3,511.0
3:26.0,Defensive rebound by J. Poeltl,18-15, ,,1,15,18,-3,514.0
3:13.0,Shooting foul by K. Hayes (drawn by J. McDaniels),18-15, ,,1,15,18,-3,527.0
3:13.0,J. McDaniels makes free throw 1 of 2,19-15, ,,1,15,19,-4,527.0
3:13.0,S. Barnes enters the game for J. Poeltl,19-15, ,,1,15,19,-4,527.0
3:13.0,T. Young enters the game for D. Schröder,19-15, ,,1,15,19,-4,527.0
3:13.0,J. McDaniels makes free throw 2 of 2,20-15, ,,1,15,20,-5,527.0
2:49.0, ,20-15,K. Hayes misses 2-pt jump shot from 12 ft,,1,15,20,-5,551.0
2:47.0, ,20-15,Offensive rebound by Team,,1,15,20,-5,553.0
2:47.0,Toronto full timeout,20-15, ,,1,15,20,-5,553.0
2:47.0,C. Boucher enters the game for G. Trent,20-15, ,,1,15,20,-5,553.0
2:33.0, ,20-15,Turnover by Team (shot clock),,1,15,20,-5,567.0
2:14.0,T. Young misses 2-pt layup from 5 ft (block by J. Wiseman),20-15, ,,1,15,20,-5,586.0
2:14.0,Offensive rebound by Team,20-15, ,,1,15,20,-5,586.0
2:12.0,Turnover by S. Barnes (bad pass; steal by K. Hayes),20-15, ,,1,15,20,-5,588.0
2:09.0, ,20-15,Shooting foul by O. Porter (drawn by A. Burks),,1,15,20,-5,591.0
2:09.0, ,20-16,A. Burks makes free throw 1 of 2,,1,16,20,-4,591.0
2:09.0,P. Siakam enters the game for J. McDaniels,20-16, ,,1,16,20,-4,591.0
2:09.0, ,20-17,A. Burks makes free throw 2 of 2,,1,17,20,-3,591.0
1:53.0,P. Siakam misses 2-pt jump shot from 9 ft,20-17, ,,1,17,20,-3,607.0
1:50.0, ,20-17,Defensive rebound by J. Wiseman,,1,17,20,-3,610.0
1:40.0, ,20-19,A. Thompson makes 2-pt jump shot from 21 ft (assist by K. Hayes),,1,19,20,-1,620.0
1:27.0,T. Young makes 2-pt layup from 4 ft (assist by P. Siakam),22-19, ,,1,19,22,-3,633.0
1:10.0, ,22-19,Shooting foul by T. Young (drawn by A. Burks),,1,19,22,-3,650.0
1:10.0, ,22-19,Instant Replay (Request: Stands),,1,19,22,-3,650.0
1:10.0, ,22-20,A. Burks makes free throw 1 of 3,,1,20,22,-2,650.0
1:10.0, ,22-21,A. Burks makes free throw 2 of 3,,1,21,22,-1,650.0
1:10.0, ,22-22,A. Burks makes free throw 3 of 3,Tie,1,22,22,0,650.0
1:00.0,S. Barnes misses 2-pt jump shot from 12 ft,22-22, ,,1,22,22,0,660.0
0:57.0, ,22-22,Defensive rebound by J. Wiseman,,1,22,22,0,663.0
0:50.0, ,22-25,A. Burks makes 3-pt jump shot from 26 ft (assist by K. Hayes),Lead change,1,25,22,3,670.0
0:34.0,P. Siakam makes 2-pt jump shot from 12 ft,24-25, ,,1,25,24,1,686.0
0:17.0, ,24-25,Turnover by K. Hayes (traveling),,1,25,24,1,703.0
0:17.0,D. Schröder enters the game for C. Boucher,24-25, ,,1,25,24,1,703.0
0:17.0,G. Trent enters the game for O. Porter,24-25, ,,1,25,24,1,703.0
0:17.0, ,24-25,K. Knox enters the game for J. Wiseman,,1,25,24,1,703.0
0:03.0,D. Schröder misses 2-pt layup from 3 ft,24-25, ,,1,25,24,1,717.0
0:03.0, ,24-25,Defensive rebound by A. Thompson,,1,25,24,1,717.0
0:00.0, ,24-25,A. Thompson misses 3-pt jump shot from 38 ft,,1,25,24,1,720.0
0:00.0, ,24-25,Offensive rebound by Team,,1,25,24,1,720.0
0:00.0,End of 1st quarter,24-25,,,1,25,24,1,720.0
12:00.0,Start of 2nd quarter,24-25,,,2,25,24,1,720.0
11:46.0, ,24-25,Personal foul by C. Boucher (drawn by A. Thompson),,2,25,24,1,734.0
11:32.0, ,24-25,A. Burks misses 2-pt jump shot from 19 ft,,2,25,24,1,748.0
11:32.0,Defensive rebound by Team,24-25, ,,2,25,24,1,748.0
11:17.0,T. Young misses 2-pt hook shot from 10 ft (block by J. Wiseman),24-25, ,,2,25,24,1,763.0
11:14.0, ,24-25,Defensive rebound by B. Bogdanović,,2,25,24,1,766.0
11:10.0, ,24-25,A. Thompson misses 3-pt jump shot from 23 ft,,2,25,24,1,770.0
11:05.0,Defensive rebound by P. Siakam,24-25, ,,2,25,24,1,775.0
10:54.0,S. Barnes misses 3-pt jump shot from 26 ft,24-25, ,,2,25,24,1,786.0
10:51.0, ,24-25,Defensive rebound by K. Hayes,,2,25,24,1,789.0
10:46.0, ,24-25,Turnover by K. Hayes (bad pass; steal by T. Young),,2,25,24,1,794.0
10:40.0,C. Boucher misses 3-pt jump shot from 23 ft,24-25, ,,2,25,24,1,800.0
10:39.0,Offensive rebound by Team,24-25, ,,2,25,24,1,801.0
10:39.0, ,24-25,Loose ball foul by K. Hayes (drawn by S. Barnes),,2,25,24,1,801.0
10:25.0,Turnover by Team (shot clock),24-25, ,,2,25,24,1,815.0
10:25.0,J. Poeltl enters the game for T. Young,24-25, ,,2,25,24,1,815.0
10:12.0, ,24-25,Turnover by K. Hayes (bad pass; steal by S. Barnes),,2,25,24,1,828.0
10:03.0,S. Barnes makes 3-pt jump shot from 27 ft (assist by O. Porter),27-25, ,Lead change,2,25,27,-2,837.0
10:03.0, ,27-25,Detroit full timeout,,2,25,27,-2,837.0
10:03.0,G. Trent enters the game for O. Porter,27-25, ,,2,25,27,-2,837.0
10:03.0, ,27-25,C. Cunningham enters the game for K. Hayes,,2,25,27,-2,837.0
9:42.0, ,27-27,A. Thompson makes 2-pt layup from 4 ft (assist by C. Cunningham),Tie,2,27,27,0,858.0
9:27.0,G. Trent misses 2-pt jump shot from 9 ft,27-27, ,,2,27,27,0,873.0
9:24.0,Offensive rebound by J. Poeltl,27-27, ,,2,27,27,0,876.0
9:19.0,G. Trent misses 2-pt jump shot from 18 ft,27-27, ,,2,27,27,0,881.0
9:16.0, ,27-27,Defensive rebound by J. Wiseman,,2,27,27,0,884.0
9:08.0, ,27-29,J. Wiseman makes 2-pt layup from 2 ft (assist by B. Bogdanović),Lead change,2,29,27,2,892.0
8:49.0,S. Barnes makes 2-pt layup from 6 ft,29-29, ,Tie,2,29,29,0,911.0
8:37.0, ,29-31,B. Bogdanović makes 2-pt jump shot from 14 ft,,2,31,29,2,923.0
8:24.0,S. Barnes misses 2-pt jump shot from 6 ft (block by J. Wiseman),29-31, ,,2,31,29,2,936.0
8:22.0,Offensive rebound by S. Barnes,29-31, ,,2,31,29,2,938.0
8:22.0,Shooting foul by C. Cunningham (drawn by C. Boucher),29-31, ,,2,31,29,2,938.0
8:22.0,C. Boucher makes free throw 1 of 2,30-31, ,,2,31,30,1,938.0
8:22.0,D. Schröder enters the game for S. Barnes,30-31, ,,2,31,30,1,938.0
8:22.0, ,30-31,J. Duren enters the game for A. Burks,,2,31,30,1,938.0
8:22.0, ,30-31,J. Ivey enters the game for J. Wiseman,,2,31,30,1,938.0
8:22.0,C. Boucher makes free throw 2 of 2,31-31, ,Tie,2,31,31,0,938.0
8:06.0, ,31-31,J. Ivey misses 3-pt jump shot from 23 ft,,2,31,31,0,954.0
8:04.0,Defensive rebound by P. Siakam,31-31, ,,2,31,31,0,956.0
8:00.0,Shooting foul by A. Thompson (drawn by G. Trent),31-31, ,,2,31,31,0,960.0
8:00.0,G. Trent makes free throw 1 of 2,32-31, ,Lead change,2,31,32,-1,960.0
8:00.0,J. McDaniels enters the game for C. Boucher,32-31, ,,2,31,32,-1,960.0
8:00.0, ,32-31,K. Knox enters the game for A. Thompson,,2,31,32,-1,960.0
8:00.0,G. Trent makes free throw 2 of 2,33-31, ,,2,31,33,-2,960.0
7:46.0, ,33-31,Shooting foul by J. Poeltl (drawn by C. Cunningham),,2,31,33,-2,974.0
7:46.0, ,33-32,C. Cunningham makes free throw 1 of 2,,2,32,33,-1,974.0
7:46.0, ,33-33,C. Cunningham makes free throw 2 of 2,Tie,2,33,33,0,974.0
7:33.0,P. Siakam misses 2-pt jump shot from 14 ft,33-33, ,,2,33,33,0,987.0
7:29.0, ,33-33,Defensive rebound by B. Bogdanović,,2,33,33,0,991.0
7:24.0, ,33-35,B. Bogdanović makes 2-pt layup from 4 ft,Lead change,2,35,33,2,996.0
7:01.0,D. Schröder misses 3-pt jump shot from 32 ft,33-35, ,,2,35,33,2,1019.0
6:58.0, ,33-35,Defensive rebound by C. Cunningham,,2,35,33,2,1022.0
6:53.0, ,33-35,Shooting foul by D. Schröder (drawn by B. Bogdanović),,2,35,33,2,1027.0
6:53.0, ,33-36,B. Bogdanović makes free throw 1 of 2,,2,36,33,3,1027.0
6:53.0, ,33-37,B. Bogdanović makes free throw 2 of 2,,2,37,33,4,1027.0
6:33.0,P. Siakam misses 2-pt layup from 7 ft,33-37, ,,2,37,33,4,1047.0
6:28.0, ,33-37,Defensive rebound by B. Bogdanović,,2,37,33,4,1052.0
6:28.0,Violation by Team (kicked ball),33-37, ,,2,37,33,4,1052.0
6:28.0,S. Barnes enters the game for P. Siakam,33-37, ,,2,37,33,4,1052.0
6:21.0, ,33-37,B. Bogdanović misses 2-pt layup from 5 ft (block by J. Poeltl),,2,37,33,4,1059.0
6:17.0,Defensive rebound by J. Poeltl,33-37, ,,2,37,33,4,1063.0
6:04.0,S. Barnes misses 3-pt jump shot from 26 ft,33-37, ,,2,37,33,4,1076.0
5:59.0, ,33-37,Defensive rebound by B. Bogdanović,,2,37,33,4,1081.0
5:43.0, ,33-39,J. Duren makes 2-pt layup from 1 ft (assist by J. Ivey),,2,39,33,6,1097.0
5:26.0,J. McDaniels misses 2-pt jump shot from 8 ft,33-39, ,,2,39,33,6,1114.0
5:24.0,Offensive rebound by J. Poeltl,33-39, ,,2,39,33,6,1116.0
5:22.0,J. McDaniels misses 3-pt jump shot from 23 ft,33-39, ,,2,39,33,6,1118.0
5:21.0,Offensive rebound by Team,33-39, ,,2,39,33,6,1119.0
5:21.0, ,33-39,Loose ball foul by J. Ivey (drawn by G. Trent),,2,39,33,6,1119.0
5:21.0,Toronto full timeout,33-39, ,,2,39,33,6,1119.0
5:21.0, ,33-39,I. Livers enters the game for B. Bogdanović,,2,39,33,6,1119.0
5:10.0,J. McDaniels misses 2-pt jump shot from 14 ft,33-39, ,,2,39,33,6,1130.0
5:06.0, ,33-39,Defensive rebound by J. Duren,,2,39,33,6,1134.0
4:56.0, ,33-39,K. Knox misses 3-pt jump shot from 27 ft,,2,39,33,6,1144.0
4:52.0,Defensive rebound by S. Barnes,33-39, ,,2,39,33,6,1148.0
4:37.0,D. Schröder makes 3-pt jump shot from 26 ft (assist by G. Trent),36-39, ,,2,39,36,3,1163.0
4:22.0, ,36-39,Shooting foul by G. Trent (drawn by J. Ivey),,2,39,36,3,1178.0
4:22.0, ,36-39,J. Ivey misses free throw 1 of 2,,2,39,36,3,1178.0
4:22.0, ,36-39,Offensive rebound by Team,,2,39,36,3,1178.0
4:22.0,O. Porter enters the game for J. McDaniels,36-39, ,,2,39,36,3,1178.0
4:22.0,P. Siakam enters the game for J. Poeltl,36-39, ,,2,39,36,3,1178.0
